Map,Query Number,Time,Distance,Path Length
lak302d,0,0.64500000,0.00000000,0
lak302d,1,0.44460000,1.41421356,0
lak302d,2,0.46120000,3.60555128,0
lak302d,3,0.26340000,2.00000000,0
lak302d,4,1.93380000,3.16227766,0
lak302d,5,2.32040000,3.60555128,0
lak302d,6,0.45200000,1.41421356,0
lak302d,7,0.32220000,2.23606798,0
lak302d,8,0.32960000,1.41421356,0
lak302d,9,0.24880000,1.00000000,0
lak302d,10,1.79860000,7.00000000,0
lak302d,11,1.46520000,4.47213595,0
lak302d,12,0.28640000,4.24264069,0
lak302d,13,0.33620000,6.70820393,0
lak302d,14,0.31180000,7.00000000,0
lak302d,15,0.97660000,7.07106781,0
lak302d,16,3.65980000,5.38516481,0
lak302d,17,1.36940000,6.70820393,0
lak302d,18,0.35400000,5.09901951,0
lak302d,19,0.42600000,4.24264069,0
lak302d,20,2.70520000,9.70820393,2
lak302d,21,1.08000000,10.81665383,0
lak302d,22,2.03380000,10.19803903,0
lak302d,23,1.60400000,9.43398113,0
lak302d,24,0.35980000,10.00000000,0
lak302d,25,1.89980000,8.48528137,0
lak302d,26,2.18900000,8.09901951,2
lak302d,27,0.54640000,8.94427191,0
lak302d,28,0.40700000,7.81024968,0
lak302d,29,1.49280000,9.05538514,0
lak302d,30,2.60460000,14.47213595,2
lak302d,31,2.01740000,14.42220510,0
lak302d,32,0.35720000,14.31782106,0
lak302d,33,1.54180000,13.03840481,0
lak302d,34,0.27420000,12.00000000,0
lak302d,35,0.22440000,14.31782106,0
lak302d,36,1.75960000,12.80624847,0
lak302d,37,0.44880000,13.41640786,0
lak302d,38,0.38400000,14.00000000,0
lak302d,39,1.56080000,12.20655562,0
lak302d,40,0.44660000,16.12451550,0
lak302d,41,3.18280000,18.38477631,0
lak302d,42,2.74200000,17.99647696,1
lak302d,43,1.50080000,16.15549442,0
lak302d,44,2.37420000,17.88854382,0
lak302d,45,3.09140000,17.19048316,2
lak302d,46,1.88160000,18.43908891,0
lak302d,47,0.38800000,15.65247584,0
lak302d,48,3.02280000,18.43908891,0
lak302d,49,3.81280000,18.37037434,1
lak302d,50,2.30020000,20.62177395,1
lak302d,51,3.26660000,22.41455117,1
lak302d,52,3.49200000,21.07704093,3
lak302d,53,3.24940000,22.47855762,1
lak302d,54,3.76540000,21.36931688,2
lak302d,55,3.66340000,22.23538406,1
lak302d,56,2.70440000,21.01129178,2
lak302d,57,1.64260000,21.00000000,0
lak302d,58,1.94660000,19.69771560,0
lak302d,59,2.93800000,22.23538406,1
lak302d,60,3.13980000,22.85159611,1
lak302d,61,2.27360000,27.16552506,2
lak302d,62,1.66240000,24.51530134,0
lak302d,63,3.03620000,25.88317744,2
lak302d,64,3.32520000,23.49593508,1
lak302d,65,3.35240000,25.25260681,3
lak302d,66,3.54120000,25.92389386,3
lak302d,67,3.85560000,25.04713450,3
lak302d,68,3.61560000,24.35244368,1
lak302d,69,1.43900000,23.08679276,0
lak302d,70,3.09700000,28.82372728,1
lak302d,71,2.12260000,29.79011376,1
lak302d,72,0.44460000,30.14962686,0
lak302d,73,2.80640000,30.14962686,0
lak302d,74,5.56140000,29.62612131,1
lak302d,75,2.94420000,28.54096642,3
lak302d,76,1.35820000,27.45906044,0
lak302d,77,4.02080000,29.06225775,2
lak302d,78,4.47440000,28.65028154,4
lak302d,79,3.40660000,28.01506100,2
lak302d,80,3.08140000,33.67214403,1
lak302d,81,2.02320000,31.01612484,0
lak302d,82,4.45380000,32.75674905,1
lak302d,83,2.17480000,32.24903099,0
lak302d,84,1.36160000,32.24903099,0
lak302d,85,1.23720000,34.23448554,0
lak302d,86,4.91900000,32.09020890,1
lak302d,87,3.18980000,31.04834939,0
lak302d,88,3.35100000,35.00000000,0
lak302d,89,2.99820000,32.75231494,2
lak302d,90,3.17300000,36.98218981,1
lak302d,91,2.27520000,35.56550469,4
lak302d,92,3.58380000,35.33981477,2
lak302d,93,2.88900000,37.48332963,0
lak302d,94,1.16840000,35.69313660,0
lak302d,95,3.15340000,36.34825443,1
lak302d,96,1.32020000,35.22782991,0
lak302d,97,3.27600000,34.93838826,3
