Map,Query Number,Time,Distance,Path Length
lgt601d,0,1.02580000,2.00000000,0
lgt601d,1,0.62560000,1.41421356,0
lgt601d,2,0.42340000,2.23606798,0
lgt601d,3,3.67580000,3.60555128,0
lgt601d,4,0.44040000,3.60555128,0
lgt601d,5,3.02300000,3.60555128,0
lgt601d,6,0.50560000,1.00000000,0
lgt601d,7,0.41900000,1.00000000,0
lgt601d,8,0.47460000,1.41421356,0
lgt601d,9,2.24100000,3.00000000,0
lgt601d,10,3.61100000,7.21110255,0
lgt601d,11,1.76440000,6.70820393,0
lgt601d,12,0.44440000,5.09901951,0
lgt601d,13,2.60900000,4.12310563,0
lgt601d,14,1.40900000,5.83095189,0
lgt601d,15,2.62960000,5.38516481,0
lgt601d,16,1.11900000,4.47213595,0
lgt601d,17,0.35540000,5.83095189,0
lgt601d,18,0.46580000,7.28010989,0
lgt601d,19,0.46880000,4.00000000,0
lgt601d,20,3.28740000,10.01653883,1
lgt601d,21,2.12800000,9.89949494,0
lgt601d,22,3.12240000,11.40175425,0
lgt601d,23,2.63100000,9.84885780,0
lgt601d,24,1.81880000,10.19803903,0
lgt601d,25,0.37480000,10.04987562,0
lgt601d,26,0.34280000,9.84885780,0
lgt601d,27,0.44240000,9.84885780,0
lgt601d,28,2.58320000,11.31370850,0
lgt601d,29,2.22920000,9.43398113,0
lgt601d,30,4.77160000,14.86606875,0
lgt601d,31,3.78700000,11.66190379,0
lgt601d,32,0.36060000,15.00000000,0
lgt601d,33,0.44740000,14.31782106,0
lgt601d,34,0.41160000,15.13274595,0
lgt601d,35,0.36680000,14.00000000,0
lgt601d,36,0.38700000,13.41640786,0
lgt601d,37,2.51460000,11.18033989,0
lgt601d,38,0.37860000,13.45362405,0
lgt601d,39,2.95080000,14.42220510,0
lgt601d,40,2.96440000,15.81138830,0
lgt601d,41,0.37520000,16.27882060,0
lgt601d,42,0.39020000,17.46424920,0
lgt601d,43,0.33880000,18.35755975,0
lgt601d,44,1.47820000,16.12451550,0
lgt601d,45,3.47360000,15.26433752,0
lgt601d,46,3.13420000,17.00000000,0
lgt601d,47,2.11820000,18.38477631,0
lgt601d,48,3.94940000,19.20937271,0
lgt601d,49,0.39420000,19.79898987,0
lgt601d,50,2.13200000,20.24845673,0
lgt601d,51,3.44100000,21.54065923,0
lgt601d,52,0.43940000,20.12461180,0
lgt601d,53,4.80660000,22.76745174,1
lgt601d,54,0.58700000,22.80350850,0
lgt601d,55,0.31920000,19.64688270,0
lgt601d,56,2.42960000,22.62741700,0
lgt601d,57,2.68320000,18.86796226,0
lgt601d,58,0.44120000,21.84032967,0
lgt601d,59,0.34820000,20.88061302,0
lgt601d,60,3.33260000,26.01922366,0
lgt601d,61,3.86600000,27.01851217,0
lgt601d,62,1.98880000,26.01922366,0
lgt601d,63,2.35120000,23.43074903,0
lgt601d,64,0.35680000,25.55386468,0
lgt601d,65,0.45280000,25.49509757,0
lgt601d,66,0.35560000,26.24880950,0
lgt601d,67,4.42880000,22.84731932,0
lgt601d,68,0.46120000,24.04163056,0
lgt601d,69,4.95700000,26.07680962,0
lgt601d,70,0.47700000,26.92582404,0
lgt601d,71,1.74960000,26.92582404,0
lgt601d,72,5.80420000,30.26549190,0
lgt601d,73,1.53220000,29.06888371,0
lgt601d,74,1.75900000,26.92582404,0
lgt601d,75,6.05980000,27.24828759,2
lgt601d,76,3.73480000,29.83286778,0
lgt601d,77,4.85900000,26.40075756,0
lgt601d,78,5.77280000,29.53428926,3
lgt601d,79,1.61500000,26.41968963,0
lgt601d,80,2.73300000,30.52867504,0
lgt601d,81,1.52720000,30.52867504,0
lgt601d,82,4.12580000,32.77303286,4
lgt601d,83,3.32280000,33.06055051,0
lgt601d,84,0.38840000,31.78049716,0
lgt601d,85,2.87700000,32.69556545,0
lgt601d,86,4.64220000,32.44996148,0
lgt601d,87,2.64720000,32.01562119,0
lgt601d,88,2.01080000,31.62277660,0
lgt601d,89,4.97340000,33.09975124,2
lgt601d,90,0.41880000,35.84689666,0
lgt601d,91,1.95480000,36.05551275,0
lgt601d,92,4.85620000,36.30706327,2
lgt601d,93,4.17960000,38.01315562,0
lgt601d,94,3.59300000,34.48187930,0
lgt601d,95,2.57520000,35.46829570,0
lgt601d,96,4.26080000,35.19778241,4
lgt601d,97,1.55320000,36.13862200,0
lgt601d,98,2.77480000,36.87817783,0
lgt601d,99,2.72940000,35.35533906,0
lgt601d,100,0.42480000,40.04996879,0
lgt601d,101,0.45720000,41.04875150,0
lgt601d,102,2.35000000,38.32753579,0
lgt601d,103,2.87780000,39.56008089,0
lgt601d,104,13.44380000,40.70626487,0
lgt601d,105,11.15840000,39.05478211,11
lgt601d,106,5.46620000,39.14696650,3
lgt601d,107,4.12260000,39.44616585,0
lgt601d,108,2.92620000,37.27477486,4
lgt601d,109,2.70500000,38.32753579,0
lgt601d,110,5.26060000,43.41737544,1
lgt601d,111,5.11800000,44.33073358,9
lgt601d,112,8.81600000,44.05948338,2
lgt601d,113,3.34400000,43.60045871,0
lgt601d,114,2.42440000,43.32435804,0
lgt601d,115,7.03520000,41.71286591,11
lgt601d,116,3.15120000,45.01110974,0
lgt601d,117,4.36940000,41.59326869,0
lgt601d,118,3.24920000,40.71854614,0
lgt601d,119,6.36380000,44.04627716,1
lgt601d,120,7.67900000,46.52026241,1
lgt601d,121,4.11460000,49.67896939,0
lgt601d,122,3.63660000,49.09175083,0
lgt601d,123,3.62560000,48.79549160,0
lgt601d,124,3.18820000,49.51767361,0
