Map,Query Number,Time,Distance,Path Length
orz102d,0,0.37260000,1.00000000,0
orz102d,1,1.36180000,3.16227766,0
orz102d,2,0.24360000,2.00000000,0
orz102d,3,0.93780000,2.23606798,0
orz102d,4,0.72140000,3.16227766,0
orz102d,5,0.20300000,0.00000000,0
orz102d,6,0.17680000,2.00000000,0
orz102d,7,0.78380000,2.23606798,0
orz102d,8,0.88760000,3.16227766,0
orz102d,9,1.23460000,3.00000000,0
orz102d,10,1.01380000,6.08276253,0
orz102d,11,0.76340000,7.07106781,0
orz102d,12,0.73340000,5.38516481,0
orz102d,13,0.69360000,6.32455532,0
orz102d,14,1.69440000,5.00000000,1
orz102d,15,1.62820000,4.41421356,1
orz102d,16,1.12060000,4.47213595,0
orz102d,17,1.29860000,5.23606798,1
orz102d,18,1.44340000,6.60555128,1
orz102d,19,0.90280000,6.32455532,0
orz102d,20,1.01560000,9.00000000,0
orz102d,21,1.86620000,11.60555128,2
orz102d,22,0.86160000,9.21954446,0
orz102d,23,1.61040000,9.41421356,2
orz102d,24,0.96940000,10.44030651,0
orz102d,25,2.07760000,11.00000000,2
orz102d,26,1.64760000,10.00000000,2
orz102d,27,1.73840000,9.32455532,1
orz102d,28,1.01100000,8.48528137,0
orz102d,29,0.80200000,9.21954446,0
orz102d,30,1.97640000,14.00000000,0
orz102d,31,1.41780000,12.24264069,2
orz102d,32,2.00240000,13.00000000,2
orz102d,33,1.81240000,13.04987562,1
orz102d,34,0.97540000,12.08304597,0
orz102d,35,0.84060000,13.00000000,0
orz102d,36,2.05380000,13.44030651,1
orz102d,37,2.07000000,12.48683298,1
orz102d,38,1.10280000,12.20655562,0
orz102d,39,0.85700000,13.03840481,0
orz102d,40,1.98400000,16.03121954,0
orz102d,41,2.22320000,19.02629759,0
orz102d,42,2.09480000,18.24828759,0
orz102d,43,2.06580000,17.72004515,0
orz102d,44,1.12700000,16.15549442,0
orz102d,45,2.34280000,16.64331698,0
orz102d,46,1.88240000,15.62049935,0
orz102d,47,1.79320000,15.62049935,0
orz102d,48,1.48220000,15.23154621,0
orz102d,49,2.55760000,17.21954446,2
orz102d,50,1.96380000,21.00000000,0
orz102d,51,1.72780000,20.39607805,0
orz102d,52,2.18120000,19.84943324,0
orz102d,53,1.69600000,20.00000000,0
orz102d,54,2.28680000,19.41758348,1
orz102d,55,1.57540000,20.26490547,1
orz102d,56,1.79620000,21.30230699,2
orz102d,57,1.87860000,21.21954446,2
orz102d,58,1.77800000,21.58703314,0
orz102d,59,1.43560000,22.25794927,1
orz102d,60,1.60480000,25.31797780,0
orz102d,61,1.36400000,24.51530134,0
orz102d,62,2.07980000,24.73863375,0
orz102d,63,1.92740000,21.88061302,1
orz102d,64,1.77000000,22.29482658,1
orz102d,65,1.96620000,23.07321119,1
orz102d,66,1.72980000,23.60107524,1
orz102d,67,2.57780000,24.73863375,0
orz102d,68,2.24640000,25.21954446,2
orz102d,69,2.56240000,25.49836505,1
orz102d,70,1.85480000,28.07133770,0
orz102d,71,2.44140000,31.06444913,0
orz102d,72,2.86240000,28.60107524,2
orz102d,73,2.35560000,28.86173938,1
orz102d,74,2.08480000,26.68332813,0
orz102d,75,1.90000000,28.98127444,1
orz102d,76,2.33060000,28.24584205,1
orz102d,77,2.62200000,29.21954446,2
orz102d,78,2.00080000,29.44329287,1
orz102d,79,2.52060000,27.67618794,1
orz102d,80,2.20380000,30.56958565,1
orz102d,81,3.05060000,31.58636916,1
orz102d,82,2.71000000,30.53126049,1
orz102d,83,2.41240000,31.63499131,1
orz102d,84,2.36220000,30.65560544,1
orz102d,85,2.33440000,32.14129980,1
orz102d,86,1.94560000,30.89497718,1
orz102d,87,2.30280000,32.13274595,1
orz102d,88,2.36200000,30.69508098,1
orz102d,89,2.23180000,30.12920936,2
orz102d,90,2.57860000,35.63750197,2
orz102d,91,2.49820000,35.61577311,2
orz102d,92,2.02660000,38.61577311,2
orz102d,93,1.74060000,37.63243515,1
orz102d,94,1.57220000,33.79512973,2
orz102d,95,1.64840000,36.91823535,2
orz102d,96,2.02400000,33.57667703,2
orz102d,97,2.40900000,35.49391450,3
orz102d,98,2.48780000,35.24504581,4
orz102d,99,1.75000000,35.85059708,4
orz102d,100,1.86560000,41.63300936,2
orz102d,101,2.02560000,42.63243515,2
orz102d,102,1.68060000,38.68022224,1
orz102d,103,2.47780000,39.75609047,1
orz102d,104,1.78880000,40.75185616,1
orz102d,105,2.20100000,37.24504581,4
orz102d,106,1.70960000,37.90190006,4
orz102d,107,2.09740000,39.31611362,4
orz102d,108,3.08320000,37.93407455,3
orz102d,109,2.33420000,38.30790425,3
orz102d,110,2.45560000,42.74410925,2
orz102d,111,2.23960000,41.46459027,4
orz102d,112,2.19420000,43.66412250,2
orz102d,113,2.99180000,41.47751249,3
orz102d,114,1.85820000,43.87277232,2
orz102d,115,1.94560000,40.61055109,4
orz102d,116,2.22500000,41.71184017,5
orz102d,117,1.99220000,40.93138462,5
orz102d,118,1.66660000,42.23054877,3
orz102d,119,2.20480000,42.18929804,2
orz102d,120,3.07740000,46.90612151,2
orz102d,121,2.39780000,44.84855185,2
orz102d,122,2.79360000,45.80121848,1
orz102d,123,2.31760000,45.47600736,5
orz102d,124,2.61720000,45.45946853,4
orz102d,125,2.16200000,45.46264407,1
orz102d,126,2.02000000,45.37198329,5
orz102d,127,2.00280000,46.87368209,5
orz102d,128,3.12320000,43.74041017,5
orz102d,129,2.38340000,44.37224167,5
