Map,Query Number,Time,Distance,Path Length
ost000t,0,1.26340000,3.16227766,0
ost000t,1,0.77940000,3.60555128,0
ost000t,2,0.71220000,2.00000000,0
ost000t,3,3.14260000,1.00000000,0
ost000t,4,4.32500000,2.82842712,0
ost000t,5,0.91280000,3.60555128,0
ost000t,6,0.70000000,3.16227766,0
ost000t,7,0.85940000,3.16227766,0
ost000t,8,0.62680000,1.00000000,0
ost000t,9,1.00200000,3.00000000,0
ost000t,10,0.46560000,6.00000000,0
ost000t,11,2.79960000,5.65685425,0
ost000t,12,4.87680000,6.40312424,0
ost000t,13,0.74820000,4.47213595,0
ost000t,14,4.07220000,6.40312424,0
ost000t,15,6.73020000,5.53731919,1
ost000t,16,0.51980000,6.08276253,0
ost000t,17,0.69340000,5.38516481,0
ost000t,18,3.54640000,6.08276253,0
ost000t,19,1.67460000,4.00000000,0
ost000t,20,4.84500000,11.04536102,0
ost000t,21,0.79700000,8.94427191,0
ost000t,22,0.65840000,9.05538514,0
ost000t,23,0.71380000,10.19803903,0
ost000t,24,0.53860000,10.29563014,0
ost000t,25,4.65520000,9.21954446,0
ost000t,26,0.74900000,8.94427191,0
ost000t,27,6.10280000,7.63441362,1
ost000t,28,5.76540000,8.94427191,0
ost000t,29,2.35140000,9.43398113,0
ost000t,30,0.68600000,12.20655562,0
ost000t,31,2.24520000,13.15294644,0
ost000t,32,4.78440000,12.04159458,0
ost000t,33,8.61500000,13.41640786,0
ost000t,34,2.94300000,14.21267040,0
ost000t,35,0.78640000,13.60147051,0
ost000t,36,0.35800000,12.08304597,0
ost000t,37,3.04540000,12.72792206,0
ost000t,38,4.25560000,14.56021978,0
ost000t,39,3.27140000,12.04159458,0
ost000t,40,0.47140000,19.10497317,0
ost000t,41,0.50920000,16.97056275,0
ost000t,42,1.22740000,15.62049935,0
ost000t,43,3.06120000,16.55294536,0
ost000t,44,5.51020000,17.64575977,3
ost000t,45,5.24440000,17.88854382,0
ost000t,46,3.13280000,18.60107524,0
ost000t,47,2.51980000,17.69180601,0
ost000t,48,2.61280000,15.65247584,0
ost000t,49,5.20600000,14.63014581,3
ost000t,50,5.42620000,19.43908891,2
ost000t,51,4.27740000,21.18962010,0
ost000t,52,4.57260000,18.86796226,0
ost000t,53,5.35220000,19.41648784,0
ost000t,54,0.50880000,20.00000000,0
ost000t,55,0.48560000,21.09502311,0
ost000t,56,2.16500000,19.64688270,0
ost000t,57,3.48140000,20.39607805,0
ost000t,58,3.91140000,19.41648784,0
ost000t,59,6.93080000,22.21817468,1
ost000t,60,6.32200000,25.63014581,1
ost000t,61,0.64320000,23.08679276,0
ost000t,62,4.33300000,22.56102835,0
ost000t,63,8.42840000,25.71957531,1
ost000t,64,0.78140000,25.80697580,0
