Map,Query Number,Time,Distance,Path Length
ost102d,0,0.34020000,0.00000000,0
ost102d,1,0.23460000,1.00000000,0
ost102d,2,0.25120000,3.00000000,0
ost102d,3,0.19940000,2.00000000,0
ost102d,4,0.21600000,1.00000000,0
ost102d,5,0.23540000,1.00000000,0
ost102d,6,0.20540000,1.41421356,0
ost102d,7,1.14000000,2.23606798,0
ost102d,8,0.25420000,3.16227766,0
ost102d,9,0.19560000,2.23606798,0
ost102d,10,0.78100000,6.00000000,0
ost102d,11,0.69060000,5.00000000,0
ost102d,12,0.55340000,4.00000000,0
ost102d,13,0.65140000,6.08276253,0
ost102d,14,0.21520000,4.12310563,0
ost102d,15,1.36600000,7.32455532,1
ost102d,16,0.90000000,6.32455532,0
ost102d,17,0.51320000,4.47213595,0
ost102d,18,0.81560000,6.70820393,0
ost102d,19,0.94680000,5.83095189,0
ost102d,20,1.84720000,9.32455532,1
ost102d,21,1.14900000,8.32455532,1
ost102d,22,0.76580000,9.48683298,0
ost102d,23,0.81400000,8.54400375,0
ost102d,24,0.75520000,7.61577311,0
ost102d,25,0.71500000,9.84885780,0
ost102d,26,0.74060000,8.94427191,0
ost102d,27,0.75260000,8.06225775,0
ost102d,28,0.70360000,10.29563014,0
ost102d,29,0.71300000,9.43398113,0
ost102d,30,1.57540000,11.32455532,1
ost102d,31,1.40620000,11.42357483,1
ost102d,32,1.33140000,10.79669128,1
ost102d,33,1.23200000,11.70972013,1
ost102d,34,0.88860000,11.31370850,0
ost102d,35,1.52580000,11.32455532,1
ost102d,36,1.43800000,11.77032961,1
ost102d,37,1.06600000,11.40175425,0
ost102d,38,1.43280000,11.70972013,1
ost102d,39,1.27500000,12.15550722,1
ost102d,40,1.56180000,14.86855907,1
ost102d,41,1.36900000,15.29705854,0
ost102d,42,1.24980000,15.52417470,0
ost102d,43,1.32400000,15.81138830,0
ost102d,44,1.25340000,16.49242250,0
ost102d,45,1.22100000,16.76305461,0
ost102d,46,1.27900000,14.86606875,0
ost102d,47,1.49680000,15.30230699,1
ost102d,48,1.40020000,15.56959551,1
ost102d,49,1.31540000,16.13274595,1
ost102d,50,1.48800000,18.86796226,0
ost102d,51,1.46640000,18.86796226,0
ost102d,52,1.16680000,19.41648784,0
ost102d,53,1.22080000,18.86796226,0
ost102d,54,1.51180000,19.42220510,1
ost102d,55,1.23840000,18.89244399,1
ost102d,56,1.28820000,18.41640786,1
ost102d,57,1.48620000,17.41421356,7
ost102d,58,1.34100000,20.00000000,0
ost102d,59,1.17980000,19.41648784,0
ost102d,60,1.46400000,22.36067977,0
ost102d,61,1.21960000,22.82542442,0
ost102d,62,1.19020000,22.36067977,0
ost102d,63,1.40180000,21.61507155,6
ost102d,64,1.47420000,22.30261402,2
ost102d,65,1.33260000,21.64575977,2
ost102d,66,1.48860000,21.93713656,2
ost102d,67,1.36260000,22.84731932,0
ost102d,68,1.18960000,22.47220505,0
ost102d,69,1.56560000,22.12645295,4
