Map,Query Number,Time,Distance,Path Length
oth000d,0,4.32900000,3.00000000,0
oth000d,1,0.74200000,3.16227766,0
oth000d,2,0.32180000,1.00000000,0
oth000d,3,0.57760000,1.00000000,0
oth000d,4,2.67660000,3.00000000,0
oth000d,5,0.47620000,3.00000000,0
oth000d,6,0.32100000,2.23606798,0
oth000d,7,0.46660000,1.00000000,0
oth000d,8,0.47580000,2.23606798,0
oth000d,9,3.11380000,2.82842712,0
oth000d,10,3.59960000,6.38516481,1
oth000d,11,0.41200000,6.08276253,0
oth000d,12,2.25560000,5.83095189,0
oth000d,13,0.39960000,5.00000000,0
oth000d,14,2.40120000,6.00000000,0
oth000d,15,1.36920000,5.38516481,0
oth000d,16,0.29980000,4.47213595,0
oth000d,17,0.25160000,7.28010989,0
oth000d,18,2.25060000,6.70820393,0
oth000d,19,0.34520000,6.00000000,0
oth000d,20,0.38060000,9.21954446,0
oth000d,21,2.17580000,11.04536102,0
oth000d,22,3.85920000,11.18033989,0
oth000d,23,2.70920000,8.54400375,0
oth000d,24,4.20000000,10.23334547,1
oth000d,25,3.15140000,11.08276253,1
oth000d,26,1.95340000,11.18033989,0
oth000d,27,2.36520000,8.82842712,2
oth000d,28,0.44260000,9.21954446,0
oth000d,29,1.73400000,8.54400375,0
oth000d,30,3.22200000,13.34166406,0
oth000d,31,2.79840000,13.45362405,0
oth000d,32,2.60540000,13.15294644,0
oth000d,33,1.58280000,13.03840481,0
oth000d,34,2.04460000,12.80624847,0
oth000d,35,1.63820000,14.42220510,0
oth000d,36,0.44840000,14.00000000,0
oth000d,37,3.61000000,10.92997141,1
oth000d,38,3.12180000,11.81665383,1
oth000d,39,2.04340000,12.20655562,0
oth000d,40,2.09140000,18.35755975,0
oth000d,41,1.69320000,18.43908891,0
oth000d,42,2.08420000,16.55294536,0
oth000d,43,2.68880000,16.12451550,0
oth000d,44,2.48900000,16.80359030,2
oth000d,45,3.60720000,17.69224175,3
oth000d,46,2.84880000,16.49242250,0
oth000d,47,0.47580000,19.02629759,0
oth000d,48,1.59560000,17.11724277,0
oth000d,49,2.47620000,17.11724277,0
oth000d,50,2.54580000,19.23538406,0
oth000d,51,1.46980000,20.09975124,0
oth000d,52,4.59040000,22.00000000,0
oth000d,53,3.11800000,22.09072203,0
oth000d,54,2.67120000,21.18962010,0
oth000d,55,1.69960000,18.68154169,0
oth000d,56,2.83320000,21.45933620,2
oth000d,57,1.90920000,19.31320792,0
oth000d,58,3.97640000,23.02172887,0
oth000d,59,2.96060000,21.93171220,0
oth000d,60,3.06320000,23.19482701,0
oth000d,61,2.10680000,23.76972865,0
oth000d,62,2.30480000,26.07680962,0
oth000d,63,5.20000000,26.16657962,1
oth000d,64,3.23060000,23.76972865,0
oth000d,65,4.51620000,26.17250466,0
oth000d,66,2.91660000,22.56102835,0
oth000d,67,3.25680000,25.31797780,0
oth000d,68,3.78480000,22.47220505,0
oth000d,69,4.43880000,23.84106229,1
oth000d,70,5.32700000,28.60069929,0
oth000d,71,4.29780000,28.63564213,0
oth000d,72,4.13380000,27.65863337,0
oth000d,73,3.38660000,29.06888371,0
oth000d,74,4.81860000,27.65863337,0
oth000d,75,5.04600000,30.00000000,1
oth000d,76,4.28460000,30.26549190,0
oth000d,77,2.59160000,29.01723626,0
oth000d,78,2.76000000,26.00000000,0
oth000d,79,4.40180000,27.80287755,0
oth000d,80,2.79520000,32.38826948,0
oth000d,81,2.69280000,33.81821831,3
oth000d,82,4.96200000,34.01470270,0
oth000d,83,4.19300000,30.52867504,0
oth000d,84,3.14880000,30.80584360,0
oth000d,85,3.73460000,32.52691193,0
oth000d,86,2.18720000,33.01514804,0
oth000d,87,4.27340000,32.46296313,2
oth000d,88,5.49920000,34.05877273,0
oth000d,89,7.08900000,33.82842712,4
oth000d,90,6.87820000,37.24880950,2
oth000d,91,5.29400000,37.22881466,1
oth000d,92,3.78440000,36.40054945,0
oth000d,93,5.21920000,36.71511950,0
oth000d,94,6.80520000,37.25377899,2
oth000d,95,4.23980000,37.00000000,0
oth000d,96,6.09300000,37.12267119,3
oth000d,97,4.41820000,37.00000000,0
oth000d,98,5.30740000,37.01578510,3
oth000d,99,4.35960000,37.44329045,0
oth000d,100,3.50700000,38.47076812,0
oth000d,101,5.86400000,38.36567364,5
oth000d,102,7.66900000,41.30676176,1
oth000d,103,6.22460000,39.00000000,0
oth000d,104,7.60660000,39.84447213,1
oth000d,105,3.27100000,37.58989226,0
oth000d,106,3.52020000,40.31128874,0
oth000d,107,4.95060000,41.04875150,0
oth000d,108,3.95780000,43.13930922,0
oth000d,109,4.83340000,40.16217126,0
oth000d,110,7.64860000,44.29446918,0
oth000d,111,8.56420000,43.54901981,10
oth000d,112,7.25020000,43.30511164,3
oth000d,113,5.36280000,41.97618372,0
oth000d,114,4.39400000,40.91015292,1
oth000d,115,6.69260000,45.26679976,1
oth000d,116,4.28000000,41.77319715,0
oth000d,117,4.96380000,44.14748011,0
oth000d,118,7.96280000,42.46792750,11
oth000d,119,5.79400000,41.77319715,0
oth000d,120,9.83460000,48.78304808,11
oth000d,121,4.43360000,44.92215489,0
oth000d,122,3.67460000,48.79549160,0
oth000d,123,4.78380000,49.01020302,0
oth000d,124,5.74140000,45.89285967,1
oth000d,125,6.74800000,48.37354649,0
oth000d,126,6.62920000,45.70820401,3
oth000d,127,6.26860000,47.33554757,3
oth000d,128,5.08540000,46.05364798,1
oth000d,129,7.10860000,45.57819067,5
oth000d,130,8.00800000,50.95766677,6
oth000d,131,6.77720000,49.41299824,1
oth000d,132,4.10780000,50.69516742,0
oth000d,133,13.18020000,54.30004038,4
oth000d,134,10.44420000,52.12292132,8
oth000d,135,8.71660000,50.23307720,2
oth000d,136,4.15260000,52.63078947,0
oth000d,137,11.70560000,52.24358272,5
oth000d,138,6.78260000,50.44799302,0
oth000d,139,6.41700000,51.53400665,2
oth000d,140,8.66320000,55.27644573,4
oth000d,141,7.08940000,55.75840744,0
oth000d,142,5.50820000,57.31491952,0
oth000d,143,4.41480000,56.08029957,0
oth000d,144,5.15580000,54.84979301,3
oth000d,145,4.42200000,55.54277631,0
oth000d,146,4.95460000,52.59644256,1
oth000d,147,3.24260000,53.54609588,1
oth000d,148,11.08300000,53.95449013,7
oth000d,149,3.80580000,56.85068161,0
oth000d,150,6.97320000,59.30430001,0
oth000d,151,6.09200000,58.91010440,3
oth000d,152,5.41760000,60.21627687,0
oth000d,153,10.22680000,58.00862005,0
oth000d,154,12.28300000,61.79025691,4
oth000d,155,10.59400000,59.42255890,1
oth000d,156,13.04300000,57.95327126,4
oth000d,157,7.44840000,60.93747670,1
oth000d,158,10.13980000,59.25162464,8
oth000d,159,6.06080000,56.08029957,0
oth000d,160,7.55920000,61.04292270,1
oth000d,161,6.44220000,61.65459728,6
oth000d,162,17.26100000,64.86265981,5
oth000d,163,8.36080000,61.03277808,0
oth000d,164,6.40940000,63.41135545,0
oth000d,165,4.32780000,65.11528238,0
oth000d,166,3.94820000,62.80127387,0
oth000d,167,7.65560000,64.00781202,0
oth000d,168,11.66120000,63.91343567,4
oth000d,169,11.92080000,60.43177353,4
oth000d,170,4.97180000,66.84309987,0
oth000d,171,6.66740000,66.64833081,0
oth000d,172,8.81340000,65.02631131,5
oth000d,173,15.11500000,67.84723588,6
oth000d,174,7.14820000,66.85110448,1
oth000d,175,8.66740000,67.70042756,2
oth000d,176,7.32380000,66.24198065,0
oth000d,177,6.47440000,64.47480128,0
oth000d,178,10.92520000,66.60330322,0
oth000d,179,5.82640000,65.63175308,1
oth000d,180,7.65020000,67.08203932,0
oth000d,181,21.28240000,70.50799194,4
oth000d,182,7.05620000,70.71067812,0
oth000d,183,5.66600000,67.23094526,0
oth000d,184,10.24800000,72.59074493,1
oth000d,185,7.79000000,68.36266733,1
oth000d,186,10.15820000,69.18670332,3
oth000d,187,14.94620000,69.02969686,6
oth000d,188,7.51680000,69.85699679,0
