Map,Query Number,Time,Distance,Path Length
rmtst03,0,0.58180000,2.23606798,0
rmtst03,1,2.20040000,2.23606798,0
rmtst03,2,1.56180000,2.00000000,0
rmtst03,3,0.48540000,1.00000000,0
rmtst03,4,0.98760000,2.82842712,0
rmtst03,5,0.33720000,2.23606798,0
rmtst03,6,0.40860000,1.41421356,0
rmtst03,7,0.48840000,1.00000000,0
rmtst03,8,0.37760000,3.16227766,0
rmtst03,9,1.90540000,3.00000000,0
rmtst03,10,2.96560000,4.82842712,1
rmtst03,11,1.79860000,5.83095189,0
rmtst03,12,1.64960000,7.28010989,0
rmtst03,13,0.28320000,7.00000000,0
rmtst03,14,2.27940000,6.70820393,0
rmtst03,15,0.38900000,5.00000000,0
rmtst03,16,2.72180000,5.84161925,1
rmtst03,17,2.27620000,5.65028154,3
rmtst03,18,2.24880000,5.09901951,0
rmtst03,19,1.40880000,5.83095189,0
rmtst03,20,3.24520000,9.44717053,1
rmtst03,21,3.31980000,10.29832573,1
rmtst03,22,2.24520000,10.54400375,2
rmtst03,23,2.59960000,8.59524158,1
rmtst03,24,1.37740000,9.43398113,0
rmtst03,25,3.02060000,8.48528137,0
rmtst03,26,2.28620000,6.16227766,2
rmtst03,27,2.88200000,9.48528137,2
rmtst03,28,2.15580000,8.06225775,0
rmtst03,29,0.40500000,8.06225775,0
rmtst03,30,2.95160000,12.18033989,1
rmtst03,31,2.14520000,13.03840481,0
rmtst03,32,2.75900000,14.28010989,1
rmtst03,33,3.56780000,14.32397704,1
rmtst03,34,1.75900000,13.92838828,0
rmtst03,35,3.85340000,11.75224584,1
rmtst03,36,2.82860000,12.04159458,0
rmtst03,37,2.46240000,13.64508095,1
rmtst03,38,2.96740000,11.21611670,1
rmtst03,39,2.33580000,11.35917360,2
rmtst03,40,2.98100000,16.16523653,2
rmtst03,41,2.81340000,15.81138830,0
rmtst03,42,3.32220000,18.03083673,1
rmtst03,43,3.88020000,17.88634952,6
rmtst03,44,3.70340000,17.05996035,1
rmtst03,45,2.86760000,16.65028154,4
rmtst03,46,3.12580000,16.40121947,0
rmtst03,47,3.62580000,16.16603938,3
rmtst03,48,2.63660000,17.88854382,0
rmtst03,49,2.80060000,19.00000000,0
rmtst03,50,3.51000000,20.39988434,1
rmtst03,51,4.24340000,22.24735975,6
rmtst03,52,3.26380000,19.67637449,3
rmtst03,53,2.20700000,20.31814254,2
rmtst03,54,3.10780000,20.92087434,2
rmtst03,55,4.06140000,19.94234939,8
rmtst03,56,3.41240000,21.75790873,1
rmtst03,57,4.20680000,21.00958356,2
rmtst03,58,3.99400000,21.83839325,3
rmtst03,59,3.55880000,21.24621125,2
rmtst03,60,3.09800000,23.00089104,3
rmtst03,61,2.88340000,25.68533939,2
rmtst03,62,5.04800000,23.56550470,4
rmtst03,63,4.66360000,26.51621935,1
rmtst03,64,5.58160000,26.62084429,4
rmtst03,65,2.99260000,23.55634919,4
rmtst03,66,3.45400000,25.99665570,1
rmtst03,67,3.43960000,26.34170601,2
rmtst03,68,4.41420000,21.78007172,7
rmtst03,69,3.53920000,24.92252034,3
rmtst03,70,3.67680000,26.00089104,6
rmtst03,71,3.60380000,27.06701987,5
rmtst03,72,4.83200000,27.94774761,5
rmtst03,73,5.39360000,25.33834975,3
rmtst03,74,2.59560000,26.68279298,5
rmtst03,75,2.66060000,27.63911172,4
rmtst03,76,3.55800000,29.28827385,1
rmtst03,77,3.63140000,30.08791224,4
rmtst03,78,3.23960000,27.29468813,0
rmtst03,79,5.57540000,28.07133770,0
rmtst03,80,4.57620000,32.12097865,4
rmtst03,81,3.59000000,32.44927141,7
rmtst03,82,2.52640000,28.80589860,5
rmtst03,83,5.47420000,32.34104115,3
rmtst03,84,2.65920000,31.28756899,6
rmtst03,85,5.09360000,31.83516978,1
rmtst03,86,5.30180000,31.00730553,4
rmtst03,87,6.00260000,32.36067977,3
rmtst03,88,4.69760000,34.20206875,1
rmtst03,89,5.58400000,32.54464205,2
rmtst03,90,4.14840000,35.40375045,3
rmtst03,91,5.34860000,35.26352905,1
rmtst03,92,6.92520000,36.13852665,1
rmtst03,93,4.13960000,35.14370406,3
rmtst03,94,3.19040000,35.47836756,4
rmtst03,95,3.01200000,33.85665831,2
rmtst03,96,4.14000000,35.40997845,8
rmtst03,97,5.68520000,34.48854701,1
rmtst03,98,3.34940000,34.72186596,2
rmtst03,99,4.16900000,37.01851217,1
rmtst03,100,3.74820000,41.55528751,7
rmtst03,101,5.59380000,41.25074124,8
rmtst03,102,4.17920000,39.05284199,1
rmtst03,103,2.68240000,38.46443580,2
rmtst03,104,5.38140000,40.96574410,4
rmtst03,105,4.17980000,40.63867680,3
rmtst03,106,5.76200000,40.48123343,6
rmtst03,107,4.14080000,37.95965007,1
rmtst03,108,4.18360000,40.79215611,0
rmtst03,109,5.14660000,42.08172257,2
rmtst03,110,5.43760000,45.25452672,4
rmtst03,111,5.18620000,44.66992515,2
rmtst03,112,3.19480000,43.28656433,7
rmtst03,113,3.58000000,43.40109446,2
rmtst03,114,3.30900000,44.93684586,8
rmtst03,115,2.65940000,42.44927141,8
rmtst03,116,2.67720000,43.38072837,7
rmtst03,117,6.74440000,44.79604810,5
rmtst03,118,4.27740000,43.25553151,7
rmtst03,119,4.89600000,42.28313657,6
rmtst03,120,4.48760000,48.89517455,3
rmtst03,121,8.75380000,50.04337756,1
rmtst03,122,5.93820000,46.51456650,4
rmtst03,123,4.97000000,47.46877412,7
rmtst03,124,4.64460000,47.24735976,7
rmtst03,125,4.00300000,47.56855673,3
rmtst03,126,7.54420000,48.55294536,2
rmtst03,127,4.92240000,47.87005157,2
rmtst03,128,5.17960000,47.81157168,3
rmtst03,129,3.59400000,44.49400182,3
rmtst03,130,5.11240000,50.71406890,3
rmtst03,131,6.18980000,52.95138325,5
rmtst03,132,4.68500000,51.69287744,3
rmtst03,133,6.53200000,50.26157493,2
rmtst03,134,4.25200000,50.70586752,7
rmtst03,135,6.08300000,49.88965030,5
rmtst03,136,7.53020000,52.44672500,10
rmtst03,137,4.83100000,51.29856608,7
rmtst03,138,5.87600000,50.73054451,6
rmtst03,139,4.54660000,50.16447984,5
rmtst03,140,6.97980000,56.42819145,2
rmtst03,141,4.85820000,52.31779055,4
rmtst03,142,5.43680000,56.00745153,4
rmtst03,143,6.32540000,54.33632248,4
rmtst03,144,6.15840000,55.37761854,3
rmtst03,145,8.38360000,57.51071876,1
rmtst03,146,6.06260000,56.32059433,1
rmtst03,147,4.23660000,56.00000000,0
rmtst03,148,4.56700000,55.71390941,1
rmtst03,149,3.32440000,55.99869193,4
rmtst03,150,6.61340000,57.19496099,5
rmtst03,151,5.79500000,56.98283868,5
