Map,Query Number,Time,Distance,Path Length
Archipelago,0,1.16440000,5.38516481,0
Archipelago,1,2.12940000,5.83095189,0
Archipelago,2,7.11340000,5.41421356,2
Archipelago,3,0.71840000,4.12310563,0
Archipelago,4,5.10780000,5.00000000,0
Archipelago,5,0.91300000,5.65685425,0
Archipelago,6,5.21400000,6.40312424,0
Archipelago,7,0.99540000,6.08276253,0
Archipelago,8,0.56440000,5.38516481,0
Archipelago,9,0.57640000,4.47213595,0
Archipelago,10,3.52180000,9.43398113,0
Archipelago,11,2.40120000,11.18033989,0
Archipelago,12,0.69040000,8.60232527,0
Archipelago,13,0.58220000,10.29563014,0
Archipelago,14,0.46520000,8.06225775,0
Archipelago,15,3.22320000,11.18033989,0
Archipelago,16,3.60580000,9.43398113,0
Archipelago,17,2.99480000,9.21954446,0
Archipelago,18,0.66160000,8.06225775,0
Archipelago,19,0.79000000,8.24621125,0
Archipelago,20,2.16220000,13.60147051,0
Archipelago,21,0.54960000,12.20655562,0
Archipelago,22,3.40000000,12.36931688,0
Archipelago,23,3.51160000,15.55634919,0
Archipelago,24,2.36580000,14.14213562,0
Archipelago,25,4.65000000,14.42220510,0
Archipelago,26,0.61440000,12.80624847,0
Archipelago,27,0.63080000,13.89244399,0
Archipelago,28,3.68640000,15.00000000,0
Archipelago,29,0.63840000,13.00000000,0
Archipelago,30,2.35000000,15.62049935,0
Archipelago,31,0.87660000,15.81138830,0
Archipelago,32,0.76000000,18.38477631,0
Archipelago,33,4.20100000,19.02629759,0
Archipelago,34,3.06840000,18.24828759,0
Archipelago,35,4.11920000,19.10497317,0
Archipelago,36,0.65920000,14.86606875,0
Archipelago,37,2.10380000,18.02775638,0
Archipelago,38,3.97700000,15.81138830,0
Archipelago,39,3.88820000,17.69180601,0
Archipelago,40,0.56320000,21.18962010,0
Archipelago,41,4.17540000,20.24845673,0
Archipelago,42,2.85160000,22.20360331,0
Archipelago,43,2.25240000,21.95449840,0
Archipelago,44,4.20720000,21.56046175,2
Archipelago,45,2.91760000,19.84943324,0
Archipelago,46,0.82740000,19.64688270,0
Archipelago,47,0.57980000,21.21320344,0
Archipelago,48,8.01040000,22.18962010,1
Archipelago,49,0.58600000,21.21320344,0
Archipelago,50,3.48440000,27.58622845,0
Archipelago,51,3.42960000,26.17250466,0
Archipelago,52,0.60880000,22.80350850,0
Archipelago,53,0.73220000,25.70992026,0
Archipelago,54,2.19780000,26.00000000,0
Archipelago,55,6.68540000,24.08318916,0
Archipelago,56,0.67080000,25.49509757,0
Archipelago,57,4.37140000,22.80350850,0
Archipelago,58,3.11260000,25.80697580,0
Archipelago,59,8.42120000,25.55386468,0
Archipelago,60,5.82920000,28.42534081,0
Archipelago,61,2.58700000,26.40075756,0
Archipelago,62,5.09720000,28.84441020,0
Archipelago,63,2.85060000,28.84441020,0
Archipelago,64,4.45420000,27.73084925,0
Archipelago,65,4.89700000,27.01851217,0
Archipelago,66,6.21560000,29.15475947,0
Archipelago,67,0.85800000,27.51363298,0
Archipelago,68,0.61040000,30.61045573,0
Archipelago,69,0.48380000,28.30194340,0
Archipelago,70,1.96020000,31.06444913,0
Archipelago,71,6.26980000,32.98484500,0
Archipelago,72,4.14160000,31.01612484,0
Archipelago,73,2.73740000,32.20248438,0
Archipelago,74,3.31700000,30.59411708,0
Archipelago,75,5.55900000,31.23773773,4
Archipelago,76,2.78120000,32.06243908,0
Archipelago,77,3.06360000,32.20248438,0
Archipelago,78,3.87880000,33.54101966,0
Archipelago,79,2.73800000,31.25699922,0
Archipelago,80,5.09720000,34.92849839,0
Archipelago,81,6.27080000,36.13063877,1
Archipelago,82,7.82600000,36.61744545,1
Archipelago,83,2.89080000,35.69313660,0
Archipelago,84,5.77160000,37.02484355,2
Archipelago,85,6.26820000,36.89086620,2
Archipelago,86,5.07900000,35.11568155,1
Archipelago,87,3.09280000,36.76955262,0
Archipelago,88,3.60300000,34.20526275,0
Archipelago,89,5.67800000,36.67424164,0
Archipelago,90,6.21000000,40.22437072,0
Archipelago,91,6.12660000,38.83297568,0
Archipelago,92,4.57360000,40.26164428,0
Archipelago,93,0.72540000,39.81205847,0
Archipelago,94,4.05380000,40.49691346,0
Archipelago,95,0.71380000,37.36308338,0
