Map,Query Number,Time,Distance,Path Length
ArcticStation,0,2.41120000,6.40312424,0
ArcticStation,1,1.03560000,5.38516481,0
ArcticStation,2,1.32520000,4.00000000,0
ArcticStation,3,13.45800000,6.40312424,0
ArcticStation,4,7.26120000,6.32455532,0
ArcticStation,5,1.22380000,6.32455532,0
ArcticStation,6,1.25260000,5.38516481,0
ArcticStation,7,1.88180000,7.21110255,0
ArcticStation,8,3.33320000,7.28010989,0
ArcticStation,9,5.52220000,6.32455532,0
ArcticStation,10,0.99300000,10.00000000,0
ArcticStation,11,1.05180000,10.63014581,0
ArcticStation,12,1.73560000,10.19803903,0
ArcticStation,13,0.92860000,8.54400375,0
ArcticStation,14,7.10240000,9.21954446,0
ArcticStation,15,1.50800000,10.44030651,0
ArcticStation,16,4.02500000,10.04631765,1
ArcticStation,17,1.06140000,9.21954446,0
ArcticStation,18,4.56140000,8.60232527,0
ArcticStation,19,1.33340000,10.44030651,0
ArcticStation,20,1.68960000,12.72792206,0
ArcticStation,21,3.78680000,14.21267040,0
ArcticStation,22,6.20380000,14.14213562,0
ArcticStation,23,0.89420000,13.89244399,0
ArcticStation,24,1.07620000,11.18033989,0
ArcticStation,25,2.94620000,12.64911064,0
ArcticStation,26,5.74740000,12.16552506,0
ArcticStation,27,4.09180000,14.86606875,0
ArcticStation,28,0.83260000,13.34166406,0
ArcticStation,29,4.50980000,13.60147051,0
ArcticStation,30,3.63340000,19.02629759,0
ArcticStation,31,7.43300000,17.69180601,0
ArcticStation,32,5.04540000,17.20465053,0
ArcticStation,33,3.38840000,17.46424920,0
ArcticStation,34,3.88900000,17.49285568,0
ArcticStation,35,3.90440000,17.80449381,0
ArcticStation,36,4.21960000,17.88854382,0
ArcticStation,37,0.84920000,17.08800749,0
ArcticStation,38,5.50680000,17.02938637,0
ArcticStation,39,0.84520000,16.27882060,0
ArcticStation,40,5.32580000,19.41648784,0
ArcticStation,41,2.55120000,21.26029163,0
ArcticStation,42,1.92760000,21.00000000,0
ArcticStation,43,1.34840000,21.02379604,0
ArcticStation,44,2.82180000,21.40093456,0
ArcticStation,45,2.29420000,20.51828453,0
ArcticStation,46,0.81640000,19.31320792,0
ArcticStation,47,8.38140000,22.09072203,0
ArcticStation,48,0.88200000,20.39607805,0
ArcticStation,49,1.25300000,20.00000000,0
ArcticStation,50,1.20080000,25.31797780,0
ArcticStation,51,7.75720000,23.53720459,0
ArcticStation,52,1.66400000,24.59674775,0
ArcticStation,53,0.84120000,26.07680962,0
ArcticStation,54,9.04980000,25.55386468,0
ArcticStation,55,4.97680000,22.36067977,0
ArcticStation,56,7.69420000,23.08679276,0
ArcticStation,57,4.08120000,25.00000000,0
ArcticStation,58,5.28140000,24.00000000,0
ArcticStation,59,6.21200000,26.00000000,0
ArcticStation,60,8.63780000,26.03702244,5
ArcticStation,61,3.82400000,27.20294102,0
