Map,Query Number,Time,Distance,Path Length
Aurora,0,2.41760000,7.00000000,0
Aurora,1,2.01220000,5.00000000,0
Aurora,2,2.57580000,6.40312424,0
Aurora,3,5.32060000,4.12310563,0
Aurora,4,2.10320000,7.21110255,0
Aurora,5,1.54560000,5.00000000,0
Aurora,6,2.92240000,6.70820393,0
Aurora,7,4.50420000,6.70820393,0
Aurora,8,10.80060000,5.00000000,0
Aurora,9,1.55040000,5.00000000,0
Aurora,10,10.00880000,10.44030651,0
Aurora,11,6.43060000,8.06225775,0
Aurora,12,6.68620000,10.04987562,0
Aurora,13,12.62040000,9.53663105,2
Aurora,14,5.08180000,11.18033989,0
Aurora,15,6.02680000,10.29563014,0
Aurora,16,1.48020000,7.61577311,0
Aurora,17,2.24840000,11.40175425,0
Aurora,18,4.59720000,11.31370850,0
Aurora,19,9.50620000,10.19803903,0
Aurora,20,2.02520000,14.31782106,0
Aurora,21,4.29080000,12.16552506,0
Aurora,22,5.12380000,13.60147051,0
Aurora,23,4.89520000,14.14213562,0
Aurora,24,21.74760000,13.92838828,0
Aurora,25,1.72620000,13.03840481,0
Aurora,26,5.90980000,13.60147051,0
Aurora,27,11.32520000,14.86606875,0
Aurora,28,13.13880000,13.34166406,0
Aurora,29,2.13540000,12.20655562,0
Aurora,30,6.31500000,19.20937271,0
Aurora,31,6.85140000,19.20937271,0
Aurora,32,4.86020000,17.00000000,0
Aurora,33,1.67520000,17.49285568,0
Aurora,34,2.37820000,16.40121947,0
Aurora,35,5.11220000,16.55294536,0
Aurora,36,5.31460000,17.46424920,0
Aurora,37,8.02940000,14.86606875,0
Aurora,38,9.46400000,16.64331698,0
Aurora,39,5.39280000,18.02775638,0
Aurora,40,7.99100000,19.23538406,0
Aurora,41,7.84880000,21.58703314,0
Aurora,42,1.66160000,21.58703314,0
Aurora,43,1.40680000,18.78829423,0
Aurora,44,9.74200000,23.08679276,0
Aurora,45,8.39700000,22.67156810,0
Aurora,46,9.90920000,22.62741700,0
Aurora,47,6.88360000,21.37755833,0
Aurora,48,5.71280000,20.12461180,0
Aurora,49,1.31500000,19.72308292,0
Aurora,50,8.38100000,23.02172887,0
Aurora,51,10.11080000,26.40075756,0
Aurora,52,7.87800000,26.17250466,0
Aurora,53,8.56860000,24.35159132,0
Aurora,54,1.89980000,24.69817807,0
Aurora,55,1.54480000,23.70653918,0
Aurora,56,8.42640000,23.45498452,1
Aurora,57,1.68860000,23.25940670,0
Aurora,58,10.78100000,22.18117122,3
Aurora,59,3.03340000,23.76972865,0
Aurora,60,9.35720000,28.28427125,0
Aurora,61,10.78020000,27.16615541,0
Aurora,62,5.27160000,28.17800561,0
Aurora,63,14.69880000,26.92582404,0
Aurora,64,9.66260000,29.00000000,0
Aurora,65,6.23720000,29.42787794,0
Aurora,66,11.86900000,27.29468813,0
Aurora,67,8.84400000,30.01666204,0
Aurora,68,19.50920000,29.06888371,0
Aurora,69,12.83340000,30.06659276,0
Aurora,70,9.02220000,32.00000000,0
Aurora,71,7.31220000,34.23448554,0
Aurora,72,5.85500000,32.80243893,0
Aurora,73,10.74860000,30.31300057,1
Aurora,74,5.61000000,32.64965543,0
Aurora,75,15.70900000,31.69693780,1
Aurora,76,4.72160000,33.01514804,0
Aurora,77,6.39400000,31.38470965,0
Aurora,78,15.35400000,32.86286143,2
Aurora,79,13.91680000,33.72748428,2
Aurora,80,9.77700000,34.82814953,0
Aurora,81,7.86600000,36.12478374,0
Aurora,82,27.05320000,37.40462539,3
Aurora,83,6.60440000,36.49657518,0
Aurora,84,9.81440000,35.69313660,0
Aurora,85,14.62800000,35.42220510,2
Aurora,86,7.53000000,34.00000000,0
Aurora,87,1.96940000,34.43835072,0
Aurora,88,6.20000000,33.54101966,0
Aurora,89,5.63020000,33.61547263,0
Aurora,90,6.38960000,42.52058325,0
Aurora,91,12.91620000,39.69886648,0
Aurora,92,14.91360000,39.00000000,1
Aurora,93,10.01720000,39.58756276,1
Aurora,94,14.20920000,39.27531842,1
Aurora,95,13.31020000,39.44616585,0
Aurora,96,10.63000000,38.01315562,0
Aurora,97,10.04880000,41.01219331,0
Aurora,98,5.84140000,39.10795063,1
Aurora,99,18.96680000,39.47085993,4
Aurora,100,32.20080000,42.40825385,2
Aurora,101,11.65080000,42.10453011,4
Aurora,102,13.30600000,41.43669871,0
Aurora,103,7.62820000,43.38202393,0
Aurora,104,9.62340000,44.55333882,0
Aurora,105,5.62100000,44.64302857,0
Aurora,106,12.73920000,41.88078318,0
Aurora,107,1.14720000,42.94182111,0
Aurora,108,13.33300000,41.34005322,0
Aurora,109,7.49200000,43.90899680,0
Aurora,110,20.89400000,46.50381096,11
Aurora,111,16.95300000,44.77722635,0
Aurora,112,12.18780000,46.22769733,0
Aurora,113,8.38960000,50.27692569,1
Aurora,114,7.00940000,47.38143096,0
Aurora,115,9.99100000,47.80167361,0
Aurora,116,21.92820000,47.93118962,7
Aurora,117,13.49780000,50.91168825,0
Aurora,118,10.83280000,49.49747468,0
Aurora,119,13.09880000,46.52956050,0
Aurora,120,15.56100000,50.99019514,0
Aurora,121,10.24280000,53.03772242,0
Aurora,122,14.47260000,53.81449619,0
Aurora,123,19.08680000,51.26805391,6
Aurora,124,46.65740000,47.57030505,12
Aurora,125,13.13860000,50.34058280,2
Aurora,126,14.05580000,52.94945532,3
Aurora,127,8.53940000,50.63595560,0
Aurora,128,11.03040000,50.56678752,0
Aurora,129,5.70760000,53.23532662,0
Aurora,130,6.58560000,58.07753438,0
Aurora,131,8.44880000,52.39274759,0
Aurora,132,6.08100000,53.33854141,0
Aurora,133,8.66800000,52.00000000,0
Aurora,134,30.94120000,56.87373443,9
Aurora,135,14.72340000,55.56459079,3
Aurora,136,16.85860000,54.87585951,1
Aurora,137,9.38780000,54.70831747,0
Aurora,138,8.84700000,51.86520992,0
Aurora,139,11.49860000,52.35456045,0
Aurora,140,20.96820000,56.88087237,3
Aurora,141,31.90300000,58.30864114,5
Aurora,142,15.79800000,56.82117872,2
Aurora,143,14.22000000,60.87692502,0
Aurora,144,27.47600000,57.95574608,4
Aurora,145,30.46760000,56.71784396,3
Aurora,146,22.62740000,57.15549442,3
Aurora,147,15.19480000,57.80138407,0
Aurora,148,11.33720000,58.87274412,0
Aurora,149,20.95820000,56.37449558,2
Aurora,150,57.13020000,60.69063370,6
Aurora,151,45.20420000,59.70259782,7
Aurora,152,21.01320000,59.70137453,6
Aurora,153,17.01260000,63.92751715,4
