Map,Query Number,Time,Distance,Path Length
Backwoods,0,1.77440000,7.00000000,0
Backwoods,1,1.20080000,6.40312424,0
Backwoods,2,0.88100000,7.00000000,0
Backwoods,3,1.89840000,6.32455532,0
Backwoods,4,5.04800000,7.07106781,0
Backwoods,5,0.48880000,5.38516481,0
Backwoods,6,0.96780000,6.08276253,0
Backwoods,7,1.18680000,7.07106781,0
Backwoods,8,5.65680000,4.47213595,0
Backwoods,9,0.83680000,6.70820393,0
Backwoods,10,1.22680000,11.40175425,0
Backwoods,11,1.02900000,8.54400375,0
Backwoods,12,7.04360000,8.82842712,2
Backwoods,13,1.42500000,10.00000000,0
Backwoods,14,1.31640000,10.19803903,0
Backwoods,15,3.93320000,8.94427191,0
Backwoods,16,1.38880000,8.06225775,0
Backwoods,17,2.76000000,10.44030651,0
Backwoods,18,2.36620000,7.61577311,0
Backwoods,19,4.64520000,7.00000000,0
Backwoods,20,4.64760000,14.86606875,0
Backwoods,21,1.02520000,13.92838828,0
Backwoods,22,3.78680000,14.42220510,0
Backwoods,23,5.88020000,13.15294644,0
Backwoods,24,2.72240000,11.66190379,0
Backwoods,25,0.58300000,15.00000000,0
Backwoods,26,2.36900000,12.04159458,0
Backwoods,27,2.43700000,12.04159458,0
Backwoods,28,4.77180000,13.64911064,2
Backwoods,29,3.26480000,13.92838828,0
Backwoods,30,3.86380000,18.38477631,0
Backwoods,31,6.14280000,17.72004515,0
Backwoods,32,6.34300000,16.12451550,0
Backwoods,33,3.53980000,16.97056275,0
Backwoods,34,0.95940000,19.02629759,0
Backwoods,35,8.36280000,17.54659718,1
Backwoods,36,0.68720000,18.60107524,0
Backwoods,37,4.46760000,15.62049935,0
Backwoods,38,0.81040000,17.88854382,0
Backwoods,39,0.76760000,16.27882060,0
Backwoods,40,5.39200000,21.95449840,0
Backwoods,41,5.33720000,21.93171220,0
Backwoods,42,1.12020000,22.47220505,0
Backwoods,43,4.97880000,20.80865205,0
Backwoods,44,8.05660000,18.97366596,0
Backwoods,45,1.18380000,23.02172887,0
Backwoods,46,5.46600000,20.24845673,0
Backwoods,47,0.73500000,21.09502311,0
Backwoods,48,2.88440000,21.37755833,0
Backwoods,49,6.15400000,23.00000000,0
Backwoods,50,1.18940000,23.76972865,0
Backwoods,51,0.83280000,24.41311123,0
Backwoods,52,0.73880000,23.08679276,0
Backwoods,53,8.74720000,26.17513878,2
Backwoods,54,3.20460000,24.33105012,0
Backwoods,55,11.45260000,24.20399269,1
Backwoods,56,2.21280000,24.04163056,0
Backwoods,57,6.63960000,23.53720459,0
Backwoods,58,1.10900000,24.18677324,0
Backwoods,59,0.86240000,24.04163056,0
Backwoods,60,0.65560000,27.29468813,0
Backwoods,61,2.14360000,29.61418579,0
Backwoods,62,7.06720000,28.00000000,0
Backwoods,63,7.01820000,29.06888371,0
Backwoods,64,0.58300000,28.30194340,0
Backwoods,65,4.53060000,28.23118843,0
Backwoods,66,0.70400000,26.92582404,0
Backwoods,67,0.78940000,28.16025568,0
Backwoods,68,0.76320000,27.31300057,0
Backwoods,69,5.38560000,30.00000000,0
Backwoods,70,9.67340000,32.66204588,1
Backwoods,71,6.70400000,32.57362574,2
Backwoods,72,0.88280000,35.05709629,0
Backwoods,73,0.89120000,31.06444913,0
Backwoods,74,2.91640000,34.13209633,0
Backwoods,75,4.93660000,33.01514804,0
Backwoods,76,0.71280000,31.01612484,0
Backwoods,77,0.55200000,31.38470965,0
Backwoods,78,6.46380000,34.05877273,0
Backwoods,79,10.31180000,33.01514804,0
Backwoods,80,3.44640000,36.40054945,0
Backwoods,81,6.67880000,36.68787266,0
Backwoods,82,0.90680000,34.17601498,0
Backwoods,83,0.58040000,34.98571137,0
Backwoods,84,3.41160000,36.40054945,0
Backwoods,85,7.05360000,34.01470270,0
Backwoods,86,0.68680000,37.48332963,0
Backwoods,87,3.83820000,35.46829570,0
Backwoods,88,9.08200000,37.33630941,0
Backwoods,89,0.82880000,37.12142239,0
Backwoods,90,4.75920000,37.57658846,0
Backwoods,91,4.23000000,40.26164428,0
Backwoods,92,5.00500000,41.59326869,0
Backwoods,93,0.71660000,40.24922359,0
Backwoods,94,3.61840000,41.43669871,0
Backwoods,95,5.43440000,40.16217126,0
Backwoods,96,0.62740000,43.13930922,0
Backwoods,97,3.34980000,37.94733192,0
Backwoods,98,11.40360000,37.23407613,2
Backwoods,99,0.72180000,37.33630941,0
Backwoods,100,2.38340000,46.04345773,0
Backwoods,101,5.90200000,42.44997055,0
Backwoods,102,2.59060000,41.62931659,0
Backwoods,103,9.18760000,41.33876718,2
Backwoods,104,2.56600000,41.59326869,0
Backwoods,105,14.83960000,42.51820321,3
Backwoods,106,0.85800000,40.71854614,0
Backwoods,107,1.59740000,46.09772229,0
Backwoods,108,0.57780000,43.73785546,0
Backwoods,109,3.31940000,44.00000000,0
Backwoods,110,0.74000000,46.52956050,0
Backwoods,111,7.60180000,47.71516781,3
Backwoods,112,3.23140000,46.09772229,0
Backwoods,113,2.98040000,44.38468204,0
Backwoods,114,0.76040000,48.01041554,0
Backwoods,115,3.30260000,47.42362281,0
Backwoods,116,0.50740000,47.67598976,0
Backwoods,117,0.59480000,47.16990566,0
Backwoods,118,0.56680000,48.83646179,0
Backwoods,119,3.37520000,50.91168825,0
Backwoods,120,0.59860000,50.48762225,0
Backwoods,121,0.51600000,49.73932046,0
Backwoods,122,0.97940000,50.00000000,0
Backwoods,123,5.35460000,51.88448708,0
Backwoods,124,7.00300000,50.21951812,0
Backwoods,125,4.69540000,48.84669897,0
Backwoods,126,5.99080000,53.46026562,0
Backwoods,127,0.59740000,48.38388161,0
Backwoods,128,5.43900000,52.00961450,0
