Map,Query Number,Time,Distance,Path Length
BrokenSteppes,0,1.74400000,7.21110255,0
BrokenSteppes,1,1.41100000,4.12310563,0
BrokenSteppes,2,0.93040000,4.24264069,0
BrokenSteppes,3,1.26080000,7.28010989,0
BrokenSteppes,4,8.43760000,5.00000000,0
BrokenSteppes,5,3.67900000,5.09901951,0
BrokenSteppes,6,4.40480000,6.08276253,0
BrokenSteppes,7,1.06060000,5.83095189,0
BrokenSteppes,8,0.69460000,5.38516481,0
BrokenSteppes,9,1.60920000,7.07106781,0
BrokenSteppes,10,0.75700000,9.84885780,0
BrokenSteppes,11,1.07680000,9.43398113,0
BrokenSteppes,12,0.75100000,10.81665383,0
BrokenSteppes,13,4.43200000,11.18033989,0
BrokenSteppes,14,0.46360000,11.00000000,0
BrokenSteppes,15,1.25420000,10.77032961,0
BrokenSteppes,16,1.47240000,8.24621125,0
BrokenSteppes,17,3.43540000,10.81665383,0
BrokenSteppes,18,2.39500000,10.19803903,0
BrokenSteppes,19,1.30240000,9.05538514,0
BrokenSteppes,20,2.85700000,11.18033989,0
BrokenSteppes,21,0.78340000,12.08304597,0
BrokenSteppes,22,0.85880000,13.15294644,0
BrokenSteppes,23,5.77460000,13.34166406,0
BrokenSteppes,24,1.13400000,11.70469991,0
BrokenSteppes,25,3.38220000,15.55634919,0
BrokenSteppes,26,3.10980000,13.60147051,0
BrokenSteppes,27,5.16860000,13.00000000,0
BrokenSteppes,28,1.13560000,13.03840481,0
BrokenSteppes,29,1.20960000,12.08304597,0
BrokenSteppes,30,1.91100000,17.08800749,0
BrokenSteppes,31,0.97120000,15.23154621,0
BrokenSteppes,32,0.76620000,15.81138830,0
BrokenSteppes,33,7.95020000,17.46424920,0
BrokenSteppes,34,8.08100000,16.49242250,0
BrokenSteppes,35,1.32100000,19.00000000,0
BrokenSteppes,36,0.81520000,18.02775638,0
BrokenSteppes,37,1.00980000,16.27882060,0
BrokenSteppes,38,0.61620000,18.02775638,0
BrokenSteppes,39,5.59580000,19.02629759,0
BrokenSteppes,40,4.53600000,21.63330765,0
BrokenSteppes,41,1.14620000,21.02379604,0
BrokenSteppes,42,4.35700000,22.80350850,0
BrokenSteppes,43,4.18420000,21.58703314,0
BrokenSteppes,44,2.98340000,21.00000000,0
BrokenSteppes,45,8.11560000,21.09502311,0
BrokenSteppes,46,2.60060000,21.63330765,0
BrokenSteppes,47,5.49520000,18.78829423,0
BrokenSteppes,48,1.28500000,19.84943324,0
BrokenSteppes,49,0.80440000,21.02379604,0
BrokenSteppes,50,2.84960000,24.08318916,0
BrokenSteppes,51,1.01580000,24.69817807,0
BrokenSteppes,52,8.17840000,24.18677324,0
BrokenSteppes,53,0.88000000,25.07987241,0
BrokenSteppes,54,0.52660000,22.47220505,0
BrokenSteppes,55,12.37120000,25.00000000,0
BrokenSteppes,56,7.06780000,23.76972865,0
BrokenSteppes,57,3.60260000,24.73863375,0
BrokenSteppes,58,4.42780000,23.76972865,0
BrokenSteppes,59,2.42420000,24.69817807,0
BrokenSteppes,60,7.12980000,30.14962686,0
BrokenSteppes,61,1.02420000,27.45906044,0
BrokenSteppes,62,5.73980000,29.15475947,0
BrokenSteppes,63,0.82240000,29.20616373,0
BrokenSteppes,64,8.98120000,30.49145018,3
BrokenSteppes,65,0.64300000,29.83286778,0
BrokenSteppes,66,6.60720000,29.15475947,0
BrokenSteppes,67,4.20980000,26.83281573,0
BrokenSteppes,68,4.07800000,26.62705391,0
BrokenSteppes,69,4.96920000,26.92582404,0
BrokenSteppes,70,5.48820000,34.23448554,0
BrokenSteppes,71,1.43320000,32.80243893,0
BrokenSteppes,72,3.70160000,30.01666204,0
BrokenSteppes,73,7.02920000,33.10589071,0
BrokenSteppes,74,7.33620000,35.05709629,0
BrokenSteppes,75,3.88860000,30.59411708,0
BrokenSteppes,76,0.63720000,31.57530681,0
BrokenSteppes,77,3.94480000,33.13608305,0
BrokenSteppes,78,0.80580000,33.06055051,0
BrokenSteppes,79,3.19840000,31.25699922,0
BrokenSteppes,80,2.36320000,34.40930107,0
BrokenSteppes,81,2.27000000,36.23534186,0
BrokenSteppes,82,4.90740000,36.76955262,0
BrokenSteppes,83,6.33900000,36.87817783,0
BrokenSteppes,84,8.29120000,36.37363667,1
BrokenSteppes,85,0.62300000,37.01351105,0
BrokenSteppes,86,6.19940000,37.01351105,0
BrokenSteppes,87,10.76160000,34.66813299,3
BrokenSteppes,88,6.87120000,37.00000000,0
BrokenSteppes,89,6.64180000,38.00000000,0
BrokenSteppes,90,0.97060000,39.20459157,0
BrokenSteppes,91,8.03240000,38.07886553,0
BrokenSteppes,92,9.07180000,38.27531842,0
BrokenSteppes,93,0.67460000,39.44616585,0
BrokenSteppes,94,3.04860000,37.94733192,0
BrokenSteppes,95,1.25100000,37.73592453,0
BrokenSteppes,96,0.71160000,38.48376281,0
BrokenSteppes,97,0.71040000,42.52058325,0
BrokenSteppes,98,2.29580000,38.48376281,0
BrokenSteppes,99,7.08220000,39.00000000,0
BrokenSteppes,100,9.81900000,44.86802779,2
BrokenSteppes,101,8.50940000,45.96737974,0
BrokenSteppes,102,4.41580000,44.64302857,0
BrokenSteppes,103,0.84960000,46.09772229,0
BrokenSteppes,104,3.67960000,43.41658669,0
BrokenSteppes,105,4.45960000,44.18144407,0
BrokenSteppes,106,8.53960000,42.29657197,0
BrokenSteppes,107,9.42640000,42.29657197,0
BrokenSteppes,108,6.35320000,43.68065934,0
BrokenSteppes,109,0.66940000,42.72001873,0
BrokenSteppes,110,0.76560000,48.82622246,0
BrokenSteppes,111,0.67380000,47.01063709,0
BrokenSteppes,112,8.91280000,46.64761516,0
BrokenSteppes,113,0.88740000,48.01041554,0
BrokenSteppes,114,7.95100000,48.30275738,2
BrokenSteppes,115,0.84200000,47.20169488,0
BrokenSteppes,116,6.96880000,46.38965402,0
BrokenSteppes,117,4.96080000,46.48655720,0
BrokenSteppes,118,6.25600000,48.60041152,0
BrokenSteppes,119,6.50080000,49.49747468,0
BrokenSteppes,120,8.05560000,52.17278984,0
BrokenSteppes,121,0.86660000,48.76474136,0
BrokenSteppes,122,22.19520000,51.70089867,5
BrokenSteppes,123,14.00980000,52.49761899,0
BrokenSteppes,124,9.17320000,50.44848472,1
BrokenSteppes,125,4.62000000,51.24451190,0
BrokenSteppes,126,6.00060000,50.44799302,0
BrokenSteppes,127,13.39540000,50.57021088,4
BrokenSteppes,128,8.00560000,51.08815910,0
BrokenSteppes,129,4.71500000,48.10405388,0
BrokenSteppes,130,0.82580000,54.40588203,0
BrokenSteppes,131,5.43500000,53.85164807,0
BrokenSteppes,132,7.37440000,55.85197833,6
BrokenSteppes,133,7.49040000,54.12947441,0
BrokenSteppes,134,8.63840000,52.49761899,0
BrokenSteppes,135,0.82740000,53.53503526,0
BrokenSteppes,136,3.30820000,59.00847397,0
BrokenSteppes,137,0.56560000,54.74486277,0
BrokenSteppes,138,0.62240000,54.40588203,0
BrokenSteppes,139,5.00300000,54.70831747,0
BrokenSteppes,140,5.02960000,61.29437168,0
BrokenSteppes,141,7.47480000,58.79776548,1
BrokenSteppes,142,13.63460000,57.37226392,6
BrokenSteppes,143,2.06800000,57.20139858,0
BrokenSteppes,144,3.86740000,59.40538696,0
BrokenSteppes,145,6.79820000,60.46546199,2
BrokenSteppes,146,3.93800000,60.30754513,0
BrokenSteppes,147,0.90460000,59.22837158,0
BrokenSteppes,148,5.46280000,56.32051136,0
BrokenSteppes,149,13.72580000,61.61980201,0
BrokenSteppes,150,11.08160000,59.85949490,2
BrokenSteppes,151,0.97000000,61.29437168,0
BrokenSteppes,152,12.66560000,60.46502718,1
BrokenSteppes,153,6.65300000,61.46543744,0
BrokenSteppes,154,9.18520000,64.21745450,2
BrokenSteppes,155,5.89040000,62.96824597,0
BrokenSteppes,156,1.94740000,60.08327554,0
BrokenSteppes,157,6.17680000,61.40032573,0
BrokenSteppes,158,0.92420000,62.42595614,0
BrokenSteppes,159,12.28860000,61.29690907,1
BrokenSteppes,160,5.24980000,69.02897942,0
BrokenSteppes,161,2.65460000,68.06614430,0
BrokenSteppes,162,8.96440000,64.84597135,0
BrokenSteppes,163,12.72380000,64.26409196,3
BrokenSteppes,164,5.46300000,67.06713055,0
BrokenSteppes,165,9.75160000,63.07138812,0
BrokenSteppes,166,2.18200000,67.94115101,0
BrokenSteppes,167,1.08140000,68.00735254,0
BrokenSteppes,168,7.50520000,67.74215822,0
BrokenSteppes,169,0.94240000,65.79513660,0
BrokenSteppes,170,6.42240000,70.21395873,0
BrokenSteppes,171,10.77420000,70.17834424,0
BrokenSteppes,172,23.21680000,70.13951143,2
BrokenSteppes,173,15.87440000,67.78884119,2
BrokenSteppes,174,10.23860000,70.84841265,2
BrokenSteppes,175,0.89320000,71.06335202,0
BrokenSteppes,176,8.53420000,70.45565982,0
BrokenSteppes,177,7.44280000,67.23094526,0
BrokenSteppes,178,4.26280000,69.05070601,0
BrokenSteppes,179,10.28880000,69.66496727,1
BrokenSteppes,180,8.18680000,75.24357382,1
BrokenSteppes,181,10.63060000,71.16881339,0
BrokenSteppes,182,0.91280000,75.10659092,0
BrokenSteppes,183,40.21860000,74.31543247,10
BrokenSteppes,184,0.77720000,74.09453421,0
BrokenSteppes,185,0.83760000,73.82411530,0
BrokenSteppes,186,3.82800000,73.00684899,0
BrokenSteppes,187,8.65340000,72.53275122,0
BrokenSteppes,188,29.90840000,72.67264103,8
BrokenSteppes,189,29.34660000,71.88406042,8
BrokenSteppes,190,11.11100000,76.24303247,0
BrokenSteppes,191,11.02980000,74.24284477,0
BrokenSteppes,192,18.58400000,74.89672062,2
BrokenSteppes,193,6.94220000,77.16216690,0
BrokenSteppes,194,82.88540000,75.31813030,4
BrokenSteppes,195,0.77180000,76.29547824,0
BrokenSteppes,196,5.06080000,75.23961722,0
BrokenSteppes,197,8.45680000,78.81624198,0
BrokenSteppes,198,13.45960000,77.06511068,1
BrokenSteppes,199,9.71140000,75.28612090,0
BrokenSteppes,200,15.31280000,80.66903376,2
BrokenSteppes,201,30.54040000,79.46305402,3
BrokenSteppes,202,12.64880000,81.24838090,1
BrokenSteppes,203,11.62160000,83.81952141,2
BrokenSteppes,204,6.09740000,82.49242389,0
BrokenSteppes,205,6.18720000,80.32434251,0
BrokenSteppes,206,11.77140000,79.45804526,2
BrokenSteppes,207,24.35640000,81.53496786,4
BrokenSteppes,208,5.46180000,80.52328856,0
BrokenSteppes,209,9.63260000,83.06514107,3
BrokenSteppes,210,10.78360000,83.81527307,0
BrokenSteppes,211,1.01080000,86.02325267,0
BrokenSteppes,212,19.14780000,84.58005253,1
BrokenSteppes,213,5.58980000,86.46964785,0
BrokenSteppes,214,5.24320000,87.05170877,0
BrokenSteppes,215,7.56700000,85.37564055,0
BrokenSteppes,216,13.72560000,86.36249271,4
BrokenSteppes,217,13.81640000,89.02246907,0
BrokenSteppes,218,12.04820000,82.77752748,3
BrokenSteppes,219,17.08640000,87.92217691,14
BrokenSteppes,220,7.06140000,87.66413178,0
BrokenSteppes,221,6.41180000,87.28115490,0
