Map,Query Number,Time,Distance,Path Length
Brushfire,0,7.99740000,5.38516481,0
Brushfire,1,1.02380000,6.40312424,0
Brushfire,2,0.83660000,7.28010989,0
Brushfire,3,0.37380000,5.09901951,0
Brushfire,4,0.78880000,4.47213595,0
Brushfire,5,0.71680000,6.08276253,0
Brushfire,6,0.51640000,4.47213595,0
Brushfire,7,2.70160000,7.28010989,0
Brushfire,8,0.94600000,4.47213595,0
Brushfire,9,2.80440000,7.07106781,0
Brushfire,10,0.54180000,9.89949494,0
Brushfire,11,0.47360000,10.29563014,0
Brushfire,12,0.59440000,9.43398113,0
Brushfire,13,1.69800000,10.04987562,0
Brushfire,14,0.55340000,10.00000000,0
Brushfire,15,2.40600000,9.84885780,0
Brushfire,16,2.33680000,10.19803903,0
Brushfire,17,1.21960000,8.60232527,0
Brushfire,18,2.06740000,11.04536102,0
Brushfire,19,3.47840000,10.08276253,1
Brushfire,20,3.76060000,14.31782106,0
Brushfire,21,0.56340000,14.14213562,0
Brushfire,22,4.38480000,13.04987562,1
Brushfire,23,0.61520000,12.64911064,0
Brushfire,24,2.08000000,12.00000000,0
Brushfire,25,3.46580000,14.56021978,0
Brushfire,26,0.58160000,14.21267040,0
Brushfire,27,2.04900000,11.66190379,0
Brushfire,28,0.58640000,13.03840481,0
Brushfire,29,1.85540000,14.31782106,0
Brushfire,30,0.47460000,18.60107524,0
Brushfire,31,0.44620000,15.26433752,0
Brushfire,32,0.39960000,19.02629759,0
Brushfire,33,0.57080000,16.03121954,0
Brushfire,34,0.44700000,16.49242250,0
Brushfire,35,1.80700000,17.00000000,0
Brushfire,36,0.47080000,17.00000000,0
Brushfire,37,1.42260000,18.60107524,0
Brushfire,38,0.40500000,16.40121947,0
Brushfire,39,3.14280000,16.03121954,0
Brushfire,40,1.00180000,21.09502311,0
Brushfire,41,0.49240000,20.22374842,0
Brushfire,42,0.47080000,19.23538406,0
Brushfire,43,0.50340000,19.23538406,0
Brushfire,44,0.40160000,19.84943324,0
Brushfire,45,0.41980000,21.54065923,0
Brushfire,46,4.78880000,22.29380911,4
Brushfire,47,0.76320000,21.93171220,0
Brushfire,48,6.49140000,21.09502311,0
Brushfire,49,0.51760000,20.61552813,0
Brushfire,50,1.68420000,26.90724809,0
Brushfire,51,4.71420000,22.88854382,1
Brushfire,52,3.26300000,25.31797780,0
Brushfire,53,0.58300000,23.85372088,0
Brushfire,54,6.00180000,23.76972865,0
Brushfire,55,0.62700000,26.17250466,0
Brushfire,56,1.66460000,23.40939982,0
Brushfire,57,1.49680000,26.01922366,0
Brushfire,58,3.37740000,26.07680962,0
Brushfire,59,5.75040000,25.70992026,0
Brushfire,60,1.77500000,27.73084925,0
Brushfire,61,0.45980000,30.61045573,0
Brushfire,62,0.49180000,28.23118843,0
Brushfire,63,4.20720000,27.65863337,0
Brushfire,64,3.51500000,28.16025568,0
Brushfire,65,0.45960000,28.79236010,0
Brushfire,66,2.53140000,30.06659276,0
Brushfire,67,2.44360000,30.01666204,0
Brushfire,68,4.47720000,29.06888371,0
Brushfire,69,0.56480000,26.00000000,0
Brushfire,70,0.60120000,32.80243893,0
Brushfire,71,2.91280000,31.30495168,0
Brushfire,72,0.81840000,33.12099032,0
Brushfire,73,2.50800000,34.65544690,0
Brushfire,74,4.25860000,32.24903099,0
Brushfire,75,6.03780000,31.62277660,0
Brushfire,76,2.50440000,31.95309062,0
Brushfire,77,0.54380000,31.25699922,0
Brushfire,78,2.16280000,34.05877273,0
Brushfire,79,0.48860000,31.62277660,0
Brushfire,80,8.12680000,33.09286233,3
Brushfire,81,0.61480000,34.53983208,0
Brushfire,82,0.41060000,39.00000000,0
Brushfire,83,0.52240000,36.35931793,0
Brushfire,84,0.52220000,36.05551275,0
Brushfire,85,0.38860000,36.89173349,0
Brushfire,86,2.20360000,37.01351105,0
Brushfire,87,1.80740000,35.46829570,0
Brushfire,88,5.93200000,39.05877273,1
Brushfire,89,3.69680000,36.67424164,0
Brushfire,90,2.31860000,37.94733192,0
Brushfire,91,1.67980000,40.26164428,0
Brushfire,92,1.72660000,39.69886648,0
Brushfire,93,0.42740000,38.89730068,0
Brushfire,94,5.55880000,41.77319715,0
Brushfire,95,5.87360000,37.43735141,1
Brushfire,96,2.19880000,38.27531842,0
Brushfire,97,0.44700000,40.31128874,0
Brushfire,98,0.55520000,42.10700654,0
Brushfire,99,1.45480000,41.61730409,0
Brushfire,100,4.32420000,44.38468204,0
Brushfire,101,2.77400000,42.95346319,0
Brushfire,102,8.98620000,41.63394431,1
Brushfire,103,0.44840000,46.04345773,0
Brushfire,104,0.33820000,44.10215414,0
Brushfire,105,4.80040000,41.77319715,0
Brushfire,106,2.94440000,41.76122604,0
Brushfire,107,4.31280000,43.86342440,0
Brushfire,108,0.48180000,43.86342440,0
Brushfire,109,5.52300000,42.95346319,0
Brushfire,110,2.05740000,45.89117562,0
Brushfire,111,0.68980000,48.02082881,0
Brushfire,112,7.44760000,51.62363800,0
Brushfire,113,4.88700000,48.89098784,2
