Map,Query Number,Time,Distance,Path Length
Caldera,0,3.91160000,4.00000000,0
Caldera,1,3.48240000,7.07106781,0
Caldera,2,0.91340000,7.28010989,0
Caldera,3,0.94100000,5.38516481,0
Caldera,4,0.87720000,6.08276253,0
Caldera,5,0.93140000,6.08276253,0
Caldera,6,0.96860000,4.12310563,0
Caldera,7,0.59120000,7.07106781,0
Caldera,8,0.81240000,5.09901951,0
Caldera,9,0.67800000,7.28010989,0
Caldera,10,5.66900000,9.89949494,0
Caldera,11,0.76260000,11.00000000,0
Caldera,12,3.74000000,8.94427191,0
Caldera,13,3.31740000,9.43398113,0
Caldera,14,4.13520000,8.00000000,0
Caldera,15,1.67780000,8.06225775,0
Caldera,16,3.85740000,11.31370850,0
Caldera,17,0.61140000,9.05538514,0
Caldera,18,2.53680000,8.60232527,0
Caldera,19,0.75580000,10.63014581,0
Caldera,20,0.72860000,12.20655562,0
Caldera,21,4.88000000,14.31782106,0
Caldera,22,2.72940000,15.55634919,0
Caldera,23,0.51960000,12.16552506,0
Caldera,24,0.59620000,13.41640786,0
Caldera,25,0.81900000,14.42220510,0
Caldera,26,0.82680000,13.41640786,0
Caldera,27,3.23980000,11.18033989,0
Caldera,28,0.47880000,12.52996409,0
Caldera,29,0.54120000,14.14213562,0
Caldera,30,3.20620000,15.81138830,0
Caldera,31,0.58900000,16.76305461,0
Caldera,32,0.65380000,16.27882060,0
Caldera,33,0.59320000,17.20465053,0
Caldera,34,0.59940000,15.52417470,0
Caldera,35,0.63020000,16.55294536,0
Caldera,36,4.89800000,19.13468836,1
Caldera,37,2.02840000,18.43908891,0
Caldera,38,4.09100000,16.55294536,0
Caldera,39,0.72920000,17.49285568,0
Caldera,40,2.81400000,22.36067977,0
Caldera,41,0.58620000,22.20360331,0
Caldera,42,7.74520000,21.47091055,0
Caldera,43,3.77800000,20.61552813,0
Caldera,44,6.38960000,21.06980047,1
Caldera,45,0.61420000,18.68154169,0
Caldera,46,4.59660000,21.47091055,0
Caldera,47,0.64980000,22.36067977,0
Caldera,48,2.21300000,20.24845673,0
Caldera,49,0.71360000,21.02379604,0
Caldera,50,3.22200000,24.33105012,0
Caldera,51,0.62680000,23.76972865,0
Caldera,52,3.48820000,23.40939982,0
Caldera,53,0.83440000,25.96150997,0
Caldera,54,0.52220000,22.80350850,0
Caldera,55,5.87340000,24.59674775,0
Caldera,56,4.91920000,26.07680962,0
Caldera,57,2.94180000,25.29822128,0
Caldera,58,5.40780000,24.41311123,0
Caldera,59,0.59080000,26.87005769,0
Caldera,60,2.97740000,28.63564213,0
Caldera,61,0.48560000,26.92582404,0
Caldera,62,2.60200000,29.06888371,0
Caldera,63,0.57620000,28.42534081,0
Caldera,64,2.73440000,27.29468813,0
Caldera,65,3.17880000,27.89265136,0
Caldera,66,0.67000000,29.61418579,0
Caldera,67,2.95140000,29.54657341,0
Caldera,68,3.69320000,29.27456234,0
Caldera,69,5.16560000,28.86173938,0
Caldera,70,2.77160000,31.30495168,0
Caldera,71,0.46880000,34.13209633,0
Caldera,72,6.88280000,31.39795999,1
Caldera,73,2.66620000,34.20526275,0
Caldera,74,0.56700000,30.01666204,0
Caldera,75,2.83600000,31.76476035,0
Caldera,76,5.02440000,33.24710880,1
Caldera,77,4.48800000,32.44996148,0
Caldera,78,3.52040000,32.01562119,0
Caldera,79,0.48460000,32.31098884,0
Caldera,80,0.54320000,36.71511950,0
Caldera,81,5.94700000,36.06937759,0
Caldera,82,6.38060000,35.36067977,1
Caldera,83,5.85280000,37.12142239,0
Caldera,84,0.59760000,36.13862200,0
Caldera,85,1.98640000,37.01351105,0
Caldera,86,0.51340000,33.61547263,0
Caldera,87,7.96400000,35.66799036,1
Caldera,88,6.96680000,36.68787266,0
Caldera,89,6.05780000,37.00000000,2
Caldera,90,9.19320000,41.72597031,3
Caldera,91,3.61880000,38.58756276,0
Caldera,92,2.05720000,39.92492956,0
Caldera,93,3.09260000,39.11521443,0
Caldera,94,0.65860000,38.63935817,0
Caldera,95,4.50700000,39.40981178,3
Caldera,96,3.84160000,40.31128874,0
Caldera,97,7.06120000,37.94733192,0
