Map,Query Number,Time,Distance,Path Length
Cauldron,0,7.61480000,6.70820393,0
Cauldron,1,1.73000000,4.12310563,0
Cauldron,2,11.99980000,7.21110255,0
Cauldron,3,2.23160000,6.70820393,0
Cauldron,4,1.74980000,6.40312424,0
Cauldron,5,1.95120000,7.28010989,0
Cauldron,6,2.24820000,4.12310563,0
Cauldron,7,1.51160000,5.09901951,0
Cauldron,8,1.82000000,7.21110255,0
Cauldron,9,1.43040000,5.00000000,0
Cauldron,10,5.07080000,8.60232527,0
Cauldron,11,5.72400000,9.21954446,0
Cauldron,12,5.90380000,9.84885780,0
Cauldron,13,1.32600000,8.06225775,0
Cauldron,14,2.25900000,10.77032961,0
Cauldron,15,1.61740000,9.21954446,0
Cauldron,16,5.42760000,11.40175425,0
Cauldron,17,1.22720000,11.04536102,0
Cauldron,18,2.24700000,10.00000000,0
Cauldron,19,2.21460000,8.60232527,0
Cauldron,20,1.26740000,11.40175425,0
Cauldron,21,5.28540000,14.31782106,0
Cauldron,22,3.81200000,14.31782106,0
Cauldron,23,2.13220000,14.31782106,0
Cauldron,24,1.51340000,15.55634919,0
Cauldron,25,1.65020000,15.00000000,0
Cauldron,26,2.15260000,12.08304597,0
Cauldron,27,1.39800000,13.45362405,0
Cauldron,28,7.16260000,14.56021978,0
Cauldron,29,5.35780000,14.76482306,0
Cauldron,30,5.42240000,19.10497317,0
Cauldron,31,8.56280000,16.27882060,0
Cauldron,32,1.90840000,18.02775638,0
Cauldron,33,9.82620000,17.69180601,0
Cauldron,34,1.65280000,19.10497317,0
Cauldron,35,3.99920000,19.20937271,0
Cauldron,36,4.79100000,17.00000000,0
Cauldron,37,5.23820000,16.49242250,0
Cauldron,38,1.91740000,16.55294536,0
Cauldron,39,5.08420000,19.00000000,0
Cauldron,40,6.73740000,20.02498439,0
Cauldron,41,12.23580000,20.02498439,0
Cauldron,42,1.32000000,19.23538406,0
Cauldron,43,6.08120000,18.78829423,0
Cauldron,44,7.58040000,19.69771560,0
Cauldron,45,9.70120000,22.02271555,0
Cauldron,46,3.64260000,21.95449840,0
Cauldron,47,6.96920000,21.95449840,0
Cauldron,48,1.58880000,22.02271555,0
Cauldron,49,4.99420000,22.47220505,0
Cauldron,50,8.46180000,23.40939982,0
Cauldron,51,1.51400000,23.32380758,0
Cauldron,52,6.18640000,24.02629759,1
Cauldron,53,8.01920000,25.83095189,1
Cauldron,54,3.89920000,23.02172887,0
Cauldron,55,5.79880000,22.88536058,1
Cauldron,56,6.77960000,23.02172887,0
Cauldron,57,3.41120000,23.53720459,0
Cauldron,58,9.78480000,25.96150997,0
Cauldron,59,1.43480000,22.56102835,0
Cauldron,60,14.55380000,28.44434566,1
Cauldron,61,6.09540000,28.17800561,0
Cauldron,62,5.84880000,29.12043956,0
Cauldron,63,6.79160000,29.00000000,0
Cauldron,64,1.52520000,28.16025568,0
Cauldron,65,1.73940000,27.80287755,0
Cauldron,66,4.54440000,27.85677655,0
Cauldron,67,8.17620000,27.65307249,2
Cauldron,68,5.82680000,26.68332813,0
Cauldron,69,1.91620000,29.54657341,0
Cauldron,70,10.60080000,31.38470965,0
Cauldron,71,13.85760000,34.05877273,0
Cauldron,72,10.23640000,30.87069808,0
Cauldron,73,9.33360000,31.76476035,0
Cauldron,74,6.03620000,33.24154028,0
Cauldron,75,1.36680000,35.00000000,0
Cauldron,76,7.38920000,30.23243292,0
Cauldron,77,7.84580000,31.82766093,0
Cauldron,78,4.75700000,34.23448554,0
Cauldron,79,2.07140000,30.41381265,0
Cauldron,80,8.03760000,39.00000000,0
Cauldron,81,9.69880000,35.11409973,0
Cauldron,82,8.97580000,37.44329045,0
Cauldron,83,8.37840000,35.22782991,0
Cauldron,84,8.87380000,35.90264614,0
Cauldron,85,1.14400000,35.80502758,0
Cauldron,86,9.50780000,35.84689666,0
Cauldron,87,8.75980000,34.53983208,0
Cauldron,88,5.94280000,39.00000000,0
Cauldron,89,1.18900000,35.12833614,0
Cauldron,90,5.14020000,40.81666326,0
Cauldron,91,5.36460000,41.00000000,0
Cauldron,92,1.21500000,41.43669871,0
Cauldron,93,6.27320000,38.32753579,0
Cauldron,94,17.84420000,39.00000000,0
Cauldron,95,5.47540000,38.60051813,0
Cauldron,96,6.84820000,38.60051813,0
Cauldron,97,18.85360000,38.83297568,0
Cauldron,98,1.15240000,38.32753579,0
Cauldron,99,10.56340000,41.00000000,0
Cauldron,100,20.67900000,44.22301961,19
Cauldron,101,5.22420000,43.18564576,0
Cauldron,102,4.97660000,45.60701700,0
