Map,Query Number,Time,Distance,Path Length
CrashSites,0,1.94720000,6.00000000,0
CrashSites,1,4.34640000,7.28010989,0
CrashSites,2,1.25280000,4.12310563,0
CrashSites,3,0.78800000,4.12310563,0
CrashSites,4,1.59040000,7.21110255,0
CrashSites,5,0.53100000,5.09901951,0
CrashSites,6,0.66280000,5.38516481,0
CrashSites,7,0.73260000,4.24264069,0
CrashSites,8,0.59760000,6.32455532,0
CrashSites,9,0.52040000,6.40312424,0
CrashSites,10,1.28180000,8.54400375,0
CrashSites,11,1.19260000,9.84885780,0
CrashSites,12,2.05360000,9.84885780,0
CrashSites,13,1.27920000,10.19803903,0
CrashSites,14,4.20680000,9.43398113,0
CrashSites,15,1.20160000,9.05538514,0
CrashSites,16,1.49180000,10.29563014,0
CrashSites,17,0.85460000,11.18033989,0
CrashSites,18,3.85700000,10.77032961,0
CrashSites,19,0.59700000,9.21954446,0
CrashSites,20,0.56120000,13.92838828,0
CrashSites,21,7.97000000,12.04159458,0
CrashSites,22,0.47900000,12.36931688,0
CrashSites,23,0.53960000,15.03329638,0
CrashSites,24,1.13240000,12.72792206,0
CrashSites,25,0.40140000,14.31782106,0
CrashSites,26,3.67100000,12.80624847,0
CrashSites,27,2.91740000,13.41640786,0
CrashSites,28,0.47340000,11.70469991,0
CrashSites,29,0.80840000,13.41640786,0
CrashSites,30,6.36260000,17.02938637,0
CrashSites,31,0.81220000,16.40121947,0
CrashSites,32,3.20320000,15.81138830,0
CrashSites,33,0.38180000,17.02938637,0
CrashSites,34,4.48600000,16.64331698,0
CrashSites,35,0.44900000,15.62049935,0
CrashSites,36,8.11220000,17.00000000,0
CrashSites,37,1.15540000,17.02938637,0
CrashSites,38,1.06260000,14.86606875,0
CrashSites,39,3.90080000,15.26433752,0
CrashSites,40,3.35380000,20.24845673,0
CrashSites,41,0.95720000,20.24845673,0
CrashSites,42,3.17340000,22.02271555,0
CrashSites,43,4.84360000,22.80350850,0
CrashSites,44,9.35560000,18.99912259,1
CrashSites,45,3.78140000,20.61552813,0
CrashSites,46,4.68680000,18.86796226,0
CrashSites,47,5.72200000,19.41648784,0
CrashSites,48,2.78660000,22.67156810,0
CrashSites,49,8.92660000,23.34523506,0
CrashSites,50,3.15940000,26.01922366,0
CrashSites,51,9.03140000,26.17250466,0
CrashSites,52,11.26280000,23.76972865,0
CrashSites,53,3.61300000,25.80697580,0
CrashSites,54,0.53340000,26.01922366,0
CrashSites,55,5.45740000,25.49800917,3
CrashSites,56,8.54300000,23.85372088,0
CrashSites,57,4.96460000,24.14809002,1
CrashSites,58,0.72040000,24.18677324,0
CrashSites,59,3.88820000,27.07397274,0
CrashSites,60,4.93600000,28.07133770,0
CrashSites,61,1.52020000,31.00000000,0
CrashSites,62,0.61800000,28.42534081,0
CrashSites,63,0.69000000,28.16025568,0
