Map,Query Number,Time,Distance,Path Length
CrescentMoon,0,1.63540000,7.21110255,0
CrescentMoon,1,4.11720000,6.40312424,0
CrescentMoon,2,2.23480000,7.00000000,0
CrescentMoon,3,2.25320000,6.70820393,0
CrescentMoon,4,0.58240000,6.32455532,0
CrescentMoon,5,1.15300000,6.40312424,0
CrescentMoon,6,1.01840000,6.32455532,0
CrescentMoon,7,0.80460000,4.24264069,0
CrescentMoon,8,1.25280000,6.08276253,0
CrescentMoon,9,1.08180000,5.09901951,0
CrescentMoon,10,0.68560000,10.77032961,0
CrescentMoon,11,4.23420000,10.44030651,0
CrescentMoon,12,5.39840000,9.21954446,0
CrescentMoon,13,0.50720000,10.44030651,0
CrescentMoon,14,0.65240000,8.94427191,0
CrescentMoon,15,0.44380000,10.81665383,0
CrescentMoon,16,2.67000000,8.24621125,0
CrescentMoon,17,2.72800000,8.60232527,0
CrescentMoon,18,1.02420000,8.24621125,0
CrescentMoon,19,0.55500000,9.84885780,0
CrescentMoon,20,0.58040000,14.14213562,0
CrescentMoon,21,0.83700000,13.03840481,0
CrescentMoon,22,0.41820000,14.31782106,0
CrescentMoon,23,0.71880000,14.14213562,0
CrescentMoon,24,0.51840000,13.60147051,0
CrescentMoon,25,0.57300000,11.70469991,0
CrescentMoon,26,1.19700000,13.89244399,0
CrescentMoon,27,0.87160000,13.00000000,0
CrescentMoon,28,0.61480000,14.00000000,0
CrescentMoon,29,0.52380000,11.70469991,0
CrescentMoon,30,3.90700000,17.72004515,0
CrescentMoon,31,0.90080000,19.02629759,0
CrescentMoon,32,3.11220000,16.15549442,0
CrescentMoon,33,0.47540000,18.02775638,0
CrescentMoon,34,0.75920000,17.46424920,0
CrescentMoon,35,4.27220000,17.11724277,0
CrescentMoon,36,4.47220000,16.40121947,0
CrescentMoon,37,2.13980000,15.65247584,0
CrescentMoon,38,0.64320000,18.60107524,0
CrescentMoon,39,0.42200000,18.60107524,0
CrescentMoon,40,2.19000000,22.20360331,0
CrescentMoon,41,3.30080000,23.34523506,0
CrescentMoon,42,0.91940000,19.69771560,0
CrescentMoon,43,0.43140000,21.02379604,0
CrescentMoon,44,0.58800000,20.80865205,0
CrescentMoon,45,5.82580000,19.84943324,0
CrescentMoon,46,0.43820000,21.02379604,0
CrescentMoon,47,0.33640000,22.02271555,0
CrescentMoon,48,5.82420000,21.47091055,0
CrescentMoon,49,0.75680000,21.02379604,0
