Map,Query Number,Time,Distance,Path Length
Crossroads,0,2.24600000,7.00000000,0
Crossroads,1,1.47640000,5.65685425,0
Crossroads,2,1.78200000,7.28010989,0
Crossroads,3,1.85980000,5.09901951,0
Crossroads,4,4.18520000,7.21110255,0
Crossroads,5,1.29240000,6.08276253,0
Crossroads,6,4.57620000,7.21110255,0
Crossroads,7,1.87760000,6.08276253,0
Crossroads,8,1.37300000,5.00000000,0
Crossroads,9,1.95080000,7.28010989,0
Crossroads,10,5.62140000,8.48528137,0
Crossroads,11,1.28180000,11.00000000,0
Crossroads,12,1.93440000,9.21954446,0
Crossroads,13,1.40980000,10.77032961,0
Crossroads,14,1.05400000,11.40175425,0
Crossroads,15,0.76280000,9.48683298,0
Crossroads,16,1.43900000,10.77032961,0
Crossroads,17,5.19400000,11.18033989,0
Crossroads,18,1.05200000,9.21954446,0
Crossroads,19,6.12420000,10.77032961,0
Crossroads,20,1.18100000,13.15294644,0
Crossroads,21,7.03880000,10.56540190,2
Crossroads,22,0.87020000,15.00000000,0
Crossroads,23,6.02840000,14.86606875,0
Crossroads,24,3.60820000,13.15294644,0
Crossroads,25,1.29160000,13.03840481,0
Crossroads,26,3.36080000,13.41640786,0
Crossroads,27,0.92000000,13.00000000,0
Crossroads,28,1.04880000,14.21267040,0
Crossroads,29,0.88380000,12.36931688,0
Crossroads,30,6.98620000,15.29705854,0
Crossroads,31,1.27800000,17.49285568,0
Crossroads,32,1.10500000,18.38477631,0
Crossroads,33,0.85060000,16.03121954,0
Crossroads,34,0.76820000,17.72004515,0
Crossroads,35,3.13740000,15.81138830,0
Crossroads,36,6.15480000,17.20465053,0
Crossroads,37,1.03820000,17.02938637,0
Crossroads,38,4.15580000,19.10497317,0
Crossroads,39,1.02040000,18.38477631,0
Crossroads,40,1.12180000,20.00000000,0
Crossroads,41,1.14020000,21.95449840,0
Crossroads,42,3.83400000,22.09072203,0
Crossroads,43,4.94060000,19.84943324,0
Crossroads,44,17.00320000,19.23538406,0
Crossroads,45,6.19800000,20.92087434,1
Crossroads,46,0.99720000,19.69771560,0
Crossroads,47,4.26800000,21.84032967,0
Crossroads,48,0.86880000,19.92485885,0
Crossroads,49,5.51980000,21.21320344,0
Crossroads,50,3.17540000,23.76972865,0
Crossroads,51,0.75080000,25.80697580,0
Crossroads,52,7.53260000,26.17250466,0
Crossroads,53,3.82140000,26.40075756,0
Crossroads,54,1.09520000,25.00000000,0
Crossroads,55,4.45960000,25.07987241,0
Crossroads,56,0.80240000,26.90724809,0
Crossroads,57,3.45880000,25.00000000,0
Crossroads,58,0.76680000,23.43074903,0
Crossroads,59,5.17780000,23.60084744,0
Crossroads,60,4.05480000,28.31960452,0
Crossroads,61,4.98120000,28.16025568,0
Crossroads,62,5.33180000,26.00000000,0
Crossroads,63,3.19120000,28.79236010,0
Crossroads,64,3.76060000,27.16615541,0
Crossroads,65,1.15700000,28.60069929,0
Crossroads,66,7.18620000,28.02379604,1
Crossroads,67,6.16200000,29.15475947,0
Crossroads,68,0.57840000,27.51363298,0
Crossroads,69,14.66260000,29.09491551,3
Crossroads,70,6.72860000,32.20248438,0
Crossroads,71,2.84760000,31.62277660,0
Crossroads,72,2.82540000,29.73213749,0
Crossroads,73,1.22840000,33.13608305,0
Crossroads,74,6.72720000,31.82766093,0
Crossroads,75,6.72240000,31.32091953,0
Crossroads,76,3.42840000,33.01514804,0
Crossroads,77,2.90400000,32.75667871,0
Crossroads,78,5.30840000,33.60059523,0
Crossroads,79,2.20940000,30.67572330,0
Crossroads,80,6.74380000,35.73513677,0
Crossroads,81,0.95540000,33.54101966,0
Crossroads,82,0.65900000,36.67424164,0
Crossroads,83,5.07300000,35.51056181,0
Crossroads,84,0.99220000,35.69313660,0
Crossroads,85,4.70440000,35.12833614,0
Crossroads,86,1.02840000,36.05551275,0
Crossroads,87,2.64740000,36.87817783,0
Crossroads,88,8.70580000,33.17838061,3
Crossroads,89,0.74520000,36.87817783,0
Crossroads,90,6.51400000,39.05124838,0
Crossroads,91,7.59560000,39.05124838,0
Crossroads,92,4.75860000,37.64306045,0
Crossroads,93,10.75400000,38.16167572,2
Crossroads,94,3.38180000,38.62641583,0
Crossroads,95,1.50420000,39.45883931,0
Crossroads,96,0.75760000,37.36308338,0
Crossroads,97,0.61940000,40.04996879,0
Crossroads,98,9.01600000,38.60051813,0
Crossroads,99,7.42600000,40.31128874,0
Crossroads,100,6.80880000,43.18564576,0
Crossroads,101,6.06660000,42.54409477,0
Crossroads,102,0.84940000,44.20407221,0
Crossroads,103,7.20720000,45.04442252,0
Crossroads,104,0.68660000,45.09988914,0
Crossroads,105,3.56100000,44.18144407,0
Crossroads,106,0.74700000,42.37924020,0
Crossroads,107,0.76240000,43.96589587,0
Crossroads,108,0.99840000,42.63801121,0
Crossroads,109,0.83420000,44.38468204,0
Crossroads,110,14.33300000,51.62363800,0
Crossroads,111,0.53420000,48.10405388,0
Crossroads,112,3.15000000,48.41487375,0
Crossroads,113,6.07800000,47.80167361,0
Crossroads,114,3.05840000,47.53945730,0
Crossroads,115,5.07340000,45.70557953,0
Crossroads,116,0.95600000,47.16990566,0
Crossroads,117,10.86200000,45.80392996,0
Crossroads,118,1.26000000,48.66210024,0
Crossroads,119,6.62060000,48.08326112,0
Crossroads,120,3.65360000,51.24451190,0
Crossroads,121,0.74000000,51.26402247,0
Crossroads,122,0.69700000,49.39635614,0
Crossroads,123,0.78060000,50.60632372,0
Crossroads,124,10.55420000,50.70448148,1
Crossroads,125,0.81100000,48.33218389,0
Crossroads,126,9.74900000,51.11574085,2
Crossroads,127,3.03260000,52.32590181,0
Crossroads,128,8.19800000,48.18052170,1
Crossroads,129,0.76260000,51.97114584,0
Crossroads,130,5.11460000,55.00000000,0
Crossroads,131,8.11000000,54.81788029,0
Crossroads,132,7.33740000,53.16013544,0
Crossroads,133,3.19360000,55.02726597,0
Crossroads,134,5.82240000,58.14213562,2
Crossroads,135,8.34040000,53.60037313,0
Crossroads,136,4.80660000,58.00862005,0
Crossroads,137,3.01300000,55.54277631,0
Crossroads,138,0.82520000,58.05170109,0
Crossroads,139,8.04440000,56.40035461,0
Crossroads,140,0.64280000,56.85947590,0
Crossroads,141,8.07480000,62.00806399,0
Crossroads,142,9.07420000,59.05929224,0
Crossroads,143,0.91000000,56.08029957,0
Crossroads,144,8.56460000,55.68854702,1
Crossroads,145,6.14680000,55.90169944,0
Crossroads,146,2.92060000,60.40695324,0
Crossroads,147,8.97280000,58.24946352,0
Crossroads,148,7.08560000,61.00000000,0
Crossroads,149,8.14400000,55.94640292,0
Crossroads,150,17.94960000,61.78866942,2
Crossroads,151,12.24760000,63.68585085,2
Crossroads,152,13.41360000,61.87086786,4
Crossroads,153,32.86660000,63.27377310,11
Crossroads,154,16.02700000,64.38167441,0
Crossroads,155,1.05020000,65.94694838,0
Crossroads,156,0.83680000,67.00746227,0
Crossroads,157,14.13380000,64.53681120,0
Crossroads,158,3.27660000,60.46486583,0
Crossroads,159,0.91460000,59.23681288,0
Crossroads,160,4.63780000,64.19501538,0
Crossroads,161,6.98180000,63.07138812,0
Crossroads,162,7.48640000,66.73080248,0
Crossroads,163,7.19200000,68.18357573,0
Crossroads,164,3.53660000,65.39113090,0
Crossroads,165,6.02360000,66.61080993,0
Crossroads,166,9.47820000,68.20642846,2
Crossroads,167,4.67820000,68.24954212,0
Crossroads,168,0.59400000,68.24954212,0
Crossroads,169,2.97540000,66.64833081,0
Crossroads,170,0.60500000,71.06335202,0
Crossroads,171,4.86260000,68.65857558,0
Crossroads,172,7.58500000,72.83543094,0
Crossroads,173,8.25500000,69.89277502,0
Crossroads,174,7.83720000,70.83784299,0
Crossroads,175,6.66880000,68.94200461,0
Crossroads,176,3.87380000,67.44627492,0
Crossroads,177,0.55320000,69.65629907,0
