Map,Query Number,Time,Distance,Path Length
Desolation,0,1.66380000,6.08276253,0
Desolation,1,0.88740000,7.00000000,0
Desolation,2,0.84360000,5.38516481,0
Desolation,3,1.07500000,5.38516481,0
Desolation,4,0.68100000,6.08276253,0
Desolation,5,0.81580000,5.38516481,0
Desolation,6,4.72880000,4.00000000,0
Desolation,7,0.73840000,4.47213595,0
Desolation,8,1.18800000,5.65685425,0
Desolation,9,0.73460000,7.28010989,0
Desolation,10,0.62980000,8.94427191,0
Desolation,11,0.85380000,10.44030651,0
Desolation,12,0.72140000,8.24621125,0
Desolation,13,0.83420000,9.43398113,0
Desolation,14,0.54500000,9.05538514,0
Desolation,15,0.75360000,10.63014581,0
Desolation,16,0.78120000,9.84885780,0
Desolation,17,3.77440000,9.00000000,0
Desolation,18,1.02780000,7.81024968,0
Desolation,19,0.63820000,11.18033989,0
Desolation,20,0.56980000,13.15294644,0
Desolation,21,0.74080000,11.66190379,0
Desolation,22,0.88700000,12.04159458,0
Desolation,23,0.64760000,13.03840481,0
Desolation,24,0.77040000,13.60147051,0
Desolation,25,0.74040000,14.14213562,0
Desolation,26,4.00440000,12.04159458,0
Desolation,27,3.97520000,14.31782106,0
Desolation,28,3.83240000,12.36931688,0
Desolation,29,0.77860000,15.00000000,0
Desolation,30,4.17340000,19.10497317,0
Desolation,31,8.26220000,18.11214909,2
Desolation,32,0.77220000,16.40121947,0
Desolation,33,0.94520000,19.20937271,0
Desolation,34,0.60680000,19.00000000,0
Desolation,35,0.85660000,17.11724277,0
Desolation,36,0.54260000,18.35755975,0
Desolation,37,0.68240000,19.10497317,0
Desolation,38,4.46020000,18.02775638,0
Desolation,39,0.58300000,16.49242250,0
Desolation,40,6.25140000,20.80865205,0
Desolation,41,5.39620000,22.09502311,1
Desolation,42,2.32800000,19.84943324,0
Desolation,43,0.65480000,19.92485885,0
Desolation,44,0.63160000,20.80865205,0
Desolation,45,3.66840000,20.51828453,0
Desolation,46,0.56940000,19.31320792,0
Desolation,47,3.93060000,21.54065923,0
Desolation,48,0.70640000,20.59126028,0
Desolation,49,0.69640000,20.88061302,0
Desolation,50,0.55020000,22.84731932,0
Desolation,51,3.03000000,25.94224354,0
Desolation,52,3.42040000,25.23885893,0
Desolation,53,5.41500000,26.10178742,4
Desolation,54,0.68840000,22.84731932,0
Desolation,55,0.66200000,22.56102835,0
Desolation,56,0.57740000,23.85372088,0
Desolation,57,0.64960000,26.40075756,0
Desolation,58,3.72760000,23.60084744,0
Desolation,59,3.78060000,25.07987241,0
Desolation,60,0.82220000,27.65863337,0
Desolation,61,0.64960000,28.86173938,0
Desolation,62,0.52120000,28.01785145,0
Desolation,63,5.74380000,31.01612484,0
Desolation,64,5.32080000,28.16025568,0
Desolation,65,0.62260000,26.57066051,0
Desolation,66,2.74980000,28.07133770,0
Desolation,67,0.72320000,26.57066051,0
Desolation,68,7.83760000,28.24880950,1
Desolation,69,7.14440000,30.11080235,1
Desolation,70,2.64080000,31.57530681,0
Desolation,71,0.64840000,31.82766093,0
Desolation,72,5.85440000,33.10589071,0
Desolation,73,2.96660000,33.12099032,0
Desolation,74,3.94240000,30.52867504,0
Desolation,75,3.41280000,30.52867504,0
Desolation,76,0.46680000,34.05877273,0
Desolation,77,0.56760000,31.78049716,0
Desolation,78,2.96880000,33.24187449,1
Desolation,79,2.80120000,34.13209633,0
Desolation,80,3.68980000,34.43835072,0
Desolation,81,2.51860000,36.23534186,0
Desolation,82,0.49160000,36.40054945,0
Desolation,83,2.97580000,35.11409973,0
Desolation,84,3.38660000,34.53983208,0
Desolation,85,0.51060000,34.17601498,0
Desolation,86,6.46240000,37.44329045,0
Desolation,87,3.27540000,37.80211634,0
Desolation,88,4.16660000,35.22895400,1
Desolation,89,5.30920000,35.80584360,1
Desolation,90,4.12960000,38.91015292,0
Desolation,91,2.43320000,37.33630941,0
Desolation,92,4.14980000,38.27531842,0
Desolation,93,6.15540000,39.62322551,0
Desolation,94,5.32260000,38.32753579,0
Desolation,95,0.56040000,40.31128874,0
Desolation,96,3.72520000,38.27531842,0
Desolation,97,0.60520000,39.44616585,0
Desolation,98,0.46220000,39.11521443,0
Desolation,99,0.57300000,40.60788101,0
Desolation,100,0.82520000,47.38143096,0
Desolation,101,3.99860000,45.01110974,0
Desolation,102,5.01860000,43.65775991,0
Desolation,103,0.47300000,42.54409477,0
Desolation,104,9.94280000,41.88078318,0
Desolation,105,0.61540000,43.82921400,0
Desolation,106,2.77520000,43.32435804,0
Desolation,107,2.10900000,42.48529157,0
Desolation,108,5.43340000,41.23105626,0
Desolation,109,4.66400000,44.91102315,0
Desolation,110,3.52900000,49.51767361,0
Desolation,111,2.30160000,48.66210024,0
Desolation,112,4.83460000,47.55952847,1
Desolation,113,5.23520000,48.37354649,0
Desolation,114,4.40340000,45.88027899,0
Desolation,115,8.14280000,46.09772229,0
Desolation,116,0.69180000,45.69463864,0
Desolation,117,5.32600000,49.01020302,0
Desolation,118,3.24660000,47.01063709,0
Desolation,119,2.05640000,47.42362281,0
Desolation,120,6.62140000,54.00090832,1
Desolation,121,4.71020000,50.44799302,0
Desolation,122,4.24340000,52.39274759,0
Desolation,123,6.38100000,53.81449619,0
Desolation,124,9.72140000,49.64876635,0
Desolation,125,8.38980000,52.03421647,1
Desolation,126,5.61060000,53.33854141,0
Desolation,127,2.17040000,52.63078947,0
Desolation,128,3.61240000,51.47815070,0
Desolation,129,4.10520000,50.00999900,0
Desolation,130,3.96720000,57.42821606,0
Desolation,131,4.14520000,54.20332093,0
Desolation,132,3.89980000,54.58937626,0
Desolation,133,4.24660000,55.47071299,0
Desolation,134,3.01500000,55.75840744,0
Desolation,135,3.23840000,52.32590181,0
Desolation,136,4.52720000,55.07267925,0
Desolation,137,5.52880000,56.71860365,0
Desolation,138,3.59820000,55.07267925,0
Desolation,139,8.01240000,56.40490146,2
Desolation,140,5.96160000,59.03388857,0
Desolation,141,3.12600000,59.05929224,0
Desolation,142,3.54000000,58.03929369,1
Desolation,143,9.17760000,58.47815070,2
Desolation,144,3.20540000,59.84145720,0
Desolation,145,7.33780000,60.87692502,0
Desolation,146,4.37260000,57.98275606,0
Desolation,147,5.79220000,56.32051136,0
Desolation,148,6.17580000,60.01666435,0
