Map,Query Number,Time,Distance,Path Length
EbonLakes,0,1.42600000,5.38516481,0
EbonLakes,1,8.17620000,7.28010989,0
EbonLakes,2,0.70200000,4.12310563,0
EbonLakes,3,1.06040000,4.12310563,0
EbonLakes,4,0.98520000,5.00000000,0
EbonLakes,5,0.73720000,6.70820393,0
EbonLakes,6,7.33340000,6.47870866,2
EbonLakes,7,1.00920000,6.70820393,0
EbonLakes,8,1.68160000,6.32455532,0
EbonLakes,9,3.18400000,7.00000000,0
EbonLakes,10,0.98460000,10.77032961,0
EbonLakes,11,4.48420000,8.70457079,1
EbonLakes,12,2.76140000,8.60232527,0
EbonLakes,13,0.91680000,10.81665383,0
EbonLakes,14,0.57160000,8.24621125,0
EbonLakes,15,5.32840000,9.30713579,1
EbonLakes,16,0.67760000,8.60232527,0
EbonLakes,17,2.83260000,9.84885780,0
EbonLakes,18,2.68660000,8.06225775,0
EbonLakes,19,1.15080000,7.61577311,0
EbonLakes,20,1.05060000,11.66190379,0
EbonLakes,21,4.83160000,13.34166406,0
EbonLakes,22,1.19520000,14.76482306,0
EbonLakes,23,5.19760000,12.36931688,0
EbonLakes,24,0.68380000,11.18033989,0
EbonLakes,25,1.04880000,11.18033989,0
EbonLakes,26,0.90140000,14.86606875,0
EbonLakes,27,0.74500000,12.20655562,0
EbonLakes,28,4.73400000,15.55634919,0
EbonLakes,29,0.87200000,13.03840481,0
EbonLakes,30,4.69840000,19.02629759,0
EbonLakes,31,0.60020000,17.02938637,0
EbonLakes,32,0.75920000,15.62049935,0
EbonLakes,33,0.38400000,16.03121954,0
EbonLakes,34,0.80400000,18.43908891,0
EbonLakes,35,4.98720000,18.43908891,0
EbonLakes,36,1.98480000,16.40121947,0
EbonLakes,37,1.91600000,17.11724277,0
EbonLakes,38,0.57040000,17.49285568,0
EbonLakes,39,3.32960000,17.49285568,0
EbonLakes,40,3.21000000,20.24845673,0
EbonLakes,41,4.45080000,23.02172887,0
EbonLakes,42,5.20440000,23.08679276,0
EbonLakes,43,3.15200000,21.40093456,0
EbonLakes,44,3.52220000,22.47220505,0
EbonLakes,45,2.05920000,21.26029163,0
EbonLakes,46,0.79400000,19.84943324,0
EbonLakes,47,3.25840000,21.02379604,0
EbonLakes,48,6.49820000,20.61552813,0
EbonLakes,49,0.81140000,20.02498439,0
EbonLakes,50,6.78620000,25.55386468,0
EbonLakes,51,2.59660000,24.16609195,0
EbonLakes,52,0.88800000,25.49509757,0
