Map,Query Number,Time,Distance,Path Length
Enigma,0,1.74420000,5.00000000,0
Enigma,1,8.82100000,5.83095189,0
Enigma,2,2.14420000,5.83095189,0
Enigma,3,4.27440000,5.38516481,0
Enigma,4,1.71260000,5.09901951,0
Enigma,5,1.25500000,4.47213595,0
Enigma,6,1.04560000,6.40312424,0
Enigma,7,1.54660000,4.24264069,0
Enigma,8,1.31380000,7.07106781,0
Enigma,9,4.73340000,5.09901951,0
Enigma,10,1.91560000,8.54400375,0
Enigma,11,0.70880000,8.94427191,0
Enigma,12,6.21000000,10.04987562,0
Enigma,13,3.20920000,10.77032961,0
Enigma,14,0.94080000,9.84885780,0
Enigma,15,1.15140000,10.00000000,0
Enigma,16,1.03820000,9.00000000,0
Enigma,17,2.96000000,9.48683298,0
Enigma,18,4.82920000,10.29563014,0
Enigma,19,1.16540000,9.21954446,0
Enigma,20,4.70800000,13.45362405,0
Enigma,21,1.41800000,14.31782106,0
Enigma,22,3.49800000,11.81665383,1
Enigma,23,7.88720000,14.21267040,0
Enigma,24,0.72640000,15.13274595,0
Enigma,25,3.13600000,12.16552506,0
Enigma,26,4.75780000,12.16552506,0
Enigma,27,1.23580000,13.00000000,0
Enigma,28,3.88760000,13.89244399,0
Enigma,29,9.32660000,12.64911064,0
Enigma,30,2.39240000,16.97056275,0
Enigma,31,1.13680000,16.15549442,0
Enigma,32,0.71520000,18.02775638,0
Enigma,33,1.49040000,16.27882060,0
Enigma,34,0.61000000,18.38477631,0
Enigma,35,1.15500000,17.69180601,0
Enigma,36,5.24260000,18.38477631,0
Enigma,37,0.97580000,18.43908891,0
Enigma,38,5.75340000,16.76305461,0
Enigma,39,1.06880000,18.02775638,0
Enigma,40,4.00820000,20.24845673,0
Enigma,41,3.75340000,21.37755833,0
Enigma,42,4.11940000,20.00000000,0
Enigma,43,6.15380000,21.93171220,0
Enigma,44,4.05320000,21.84032967,0
Enigma,45,3.97580000,21.09502311,0
Enigma,46,0.96700000,22.00000000,0
Enigma,47,5.26940000,21.95449840,0
Enigma,48,1.16000000,18.97366596,0
Enigma,49,0.76620000,23.08679276,0
Enigma,50,4.89540000,22.84731932,0
Enigma,51,7.59740000,24.18677324,0
Enigma,52,4.77020000,27.58622845,0
Enigma,53,4.50960000,23.85372088,0
Enigma,54,5.71660000,22.36067977,0
Enigma,55,14.83860000,23.35135012,1
Enigma,56,12.46120000,25.35231170,2
Enigma,57,1.00440000,22.80350850,0
Enigma,58,6.27040000,22.82542442,0
Enigma,59,1.00340000,25.49509757,0
Enigma,60,1.23460000,29.54657341,0
Enigma,61,7.03920000,27.45906044,0
Enigma,62,5.99460000,28.63564213,0
Enigma,63,1.03060000,27.78488798,0
Enigma,64,14.55500000,28.17800561,0
Enigma,65,10.24900000,29.06888371,0
Enigma,66,7.22860000,29.01723626,0
Enigma,67,3.24700000,29.61418579,0
Enigma,68,3.77620000,28.01785145,0
Enigma,69,6.01460000,26.00000000,0
Enigma,70,8.80080000,30.59411708,0
Enigma,71,12.58500000,32.81662907,2
Enigma,72,6.17280000,30.52867504,0
Enigma,73,2.52340000,30.36445290,0
Enigma,74,4.04140000,35.00000000,0
Enigma,75,5.07020000,30.01666204,0
Enigma,76,7.65800000,32.44996148,0
Enigma,77,3.74400000,33.54101966,0
Enigma,78,7.81560000,32.00000000,0
Enigma,79,18.03540000,31.56108449,3
Enigma,80,5.56480000,33.98484500,1
Enigma,81,8.18180000,36.06937759,0
Enigma,82,0.94080000,36.12478374,0
Enigma,83,9.44040000,35.83753849,2
Enigma,84,5.44120000,37.00000000,0
Enigma,85,0.92000000,36.71511950,0
Enigma,86,5.87660000,34.48187930,0
Enigma,87,1.23580000,36.67424164,0
Enigma,88,7.52760000,36.33129745,2
Enigma,89,17.14680000,33.75815190,2
Enigma,90,14.35020000,38.61966685,2
Enigma,91,8.38120000,40.60788101,0
Enigma,92,15.79840000,38.55056912,3
Enigma,93,6.25900000,41.43669871,0
Enigma,94,8.16840000,39.88552709,1
Enigma,95,8.01160000,38.21558813,1
Enigma,96,5.51680000,37.85498646,0
Enigma,97,7.64520000,42.44997055,0
Enigma,98,3.72180000,40.19950248,0
Enigma,99,4.57540000,38.62641583,0
Enigma,100,8.90600000,44.55333882,0
Enigma,101,9.25260000,45.04442252,0
Enigma,102,10.03460000,40.97903512,4
Enigma,103,9.12040000,42.63801121,0
Enigma,104,9.63860000,43.04648650,0
Enigma,105,4.18500000,43.27817002,0
Enigma,106,7.92200000,44.04543109,0
Enigma,107,4.64220000,43.68065934,0
Enigma,108,7.14280000,46.17358552,0
Enigma,109,7.80860000,43.32435804,0
Enigma,110,4.43520000,45.35416188,0
Enigma,111,9.16820000,45.88027899,0
Enigma,112,14.25340000,46.28848668,4
Enigma,113,4.61760000,47.50789408,0
Enigma,114,12.85100000,49.67864284,3
Enigma,115,18.26940000,47.03121954,9
Enigma,116,6.66940000,47.01063709,0
Enigma,117,7.42380000,51.02873214,1
Enigma,118,4.60040000,46.61544808,0
Enigma,119,4.87280000,48.25971405,0
Enigma,120,13.91440000,50.93819343,2
Enigma,121,14.04520000,49.24428901,0
Enigma,122,15.11160000,51.69384344,2
Enigma,123,5.77060000,51.19570294,0
Enigma,124,9.50980000,52.15361924,0
Enigma,125,9.34240000,49.09175083,0
Enigma,126,6.22660000,50.99019514,0
Enigma,127,9.54080000,51.54703078,2
Enigma,128,7.20020000,52.39274759,0
Enigma,129,15.25740000,52.73229980,3
Enigma,130,1.00000000,54.81788029,0
Enigma,131,10.93680000,54.58937626,0
Enigma,132,14.33940000,56.77121774,2
Enigma,133,8.24360000,55.36244214,0
Enigma,134,15.08180000,53.31922568,1
Enigma,135,26.63040000,54.89371580,6
Enigma,136,4.56360000,53.56073246,3
Enigma,137,8.34420000,53.82378656,0
Enigma,138,6.58620000,57.00000000,0
Enigma,139,10.01140000,55.47071299,0
Enigma,140,9.80040000,61.33475256,1
Enigma,141,9.11120000,60.44005295,0
Enigma,142,8.16220000,56.36488268,0
Enigma,143,10.55920000,57.24508713,0
Enigma,144,11.02420000,58.66927475,2
Enigma,145,9.71380000,56.85947590,0
Enigma,146,7.00040000,56.04462508,0
Enigma,147,4.26220000,58.52349955,0
Enigma,148,9.11840000,58.82176468,0
Enigma,149,8.91340000,57.70615219,0
Enigma,150,6.19320000,65.12296062,0
Enigma,151,8.23280000,63.31220876,3
Enigma,152,11.23280000,61.43236839,2
Enigma,153,12.25240000,61.55979842,1
Enigma,154,9.13820000,62.70103150,7
Enigma,155,13.32620000,64.85068161,2
Enigma,156,8.16060000,62.96032718,3
Enigma,157,15.41320000,62.08291960,5
Enigma,158,24.80620000,60.82390776,5
Enigma,159,17.15900000,62.74870482,7
Enigma,160,17.77520000,67.70814436,4
Enigma,161,8.96180000,64.77949320,2
Enigma,162,7.86840000,65.30696747,0
Enigma,163,3.24000000,67.18630813,0
Enigma,164,10.31020000,67.72468606,3
Enigma,165,8.78260000,66.72319184,1
Enigma,166,12.79400000,64.62197769,0
Enigma,167,15.92360000,63.96807824,2
Enigma,168,30.41320000,67.22769733,3
Enigma,169,9.78160000,67.51112075,2
Enigma,170,13.77780000,69.35416354,0
Enigma,171,14.46680000,70.83784299,0
Enigma,172,4.83180000,70.21395873,0
Enigma,173,7.32940000,69.46221995,0
Enigma,174,7.71200000,74.02702209,0
Enigma,175,13.11880000,69.12252077,2
Enigma,176,13.93500000,70.01765178,5
Enigma,177,9.54340000,67.40130287,2
Enigma,178,9.01180000,69.46221995,0
Enigma,179,11.50340000,69.63656724,4
Enigma,180,19.49180000,75.41567857,1
Enigma,181,12.02180000,73.68041109,1
Enigma,182,16.60160000,71.59514829,1
Enigma,183,24.21340000,71.11009987,5
Enigma,184,8.97800000,75.00666637,0
Enigma,185,13.33100000,76.40746834,4
Enigma,186,17.46580000,69.96101387,6
Enigma,187,5.98620000,77.16216690,0
Enigma,188,27.68640000,76.32790806,9
Enigma,189,17.04500000,72.62105934,2
Enigma,190,14.59400000,78.29374485,4
Enigma,191,18.76500000,79.83635604,4
Enigma,192,45.61020000,73.42389666,13
Enigma,193,8.42380000,77.93454235,2
Enigma,194,12.61700000,76.15433694,7
Enigma,195,12.23820000,74.67261881,0
Enigma,196,19.47380000,77.97673405,2
Enigma,197,12.24000000,76.84399781,0
Enigma,198,11.20000000,76.55063684,0
Enigma,199,20.73020000,76.54277875,4
Enigma,200,9.90920000,79.66044650,4
Enigma,201,12.96420000,82.03530377,4
Enigma,202,35.47200000,80.23401153,4
Enigma,203,10.05940000,83.14994016,4
Enigma,204,19.72000000,84.61550371,7
Enigma,205,18.16060000,81.20999876,10
Enigma,206,20.18980000,78.73101381,3
Enigma,207,13.01440000,80.33900689,2
Enigma,208,21.14360000,82.67219749,4
Enigma,209,17.07280000,78.94402630,8
Enigma,210,10.84280000,84.86459804,0
Enigma,211,11.13300000,84.45010205,8
Enigma,212,8.19900000,89.05054744,0
Enigma,213,8.39720000,89.27485648,0
Enigma,214,7.11940000,81.93289938,0
Enigma,215,11.81420000,81.93900170,0
Enigma,216,11.07740000,87.36704184,0
Enigma,217,10.61260000,83.43010860,4
Enigma,218,22.38100000,82.89908540,2
Enigma,219,23.40820000,86.40717122,4
Enigma,220,35.08080000,85.10976340,6
Enigma,221,8.32780000,87.48392124,3
Enigma,222,16.54680000,86.74172501,2
Enigma,223,13.92860000,85.46885783,4
Enigma,224,11.52900000,89.94474796,4
Enigma,225,20.79880000,90.21911842,2
Enigma,226,17.30020000,87.99534491,2
Enigma,227,23.84940000,89.66763194,4
Enigma,228,11.73960000,86.82165628,0
Enigma,229,18.55300000,89.76305461,2
Enigma,230,47.55300000,89.95187188,14
Enigma,231,12.28380000,93.62862368,2
Enigma,232,11.97280000,89.05054744,0
Enigma,233,21.91600000,92.99545175,4
Enigma,234,10.49880000,92.60272079,1
Enigma,235,18.60220000,89.51890236,8
Enigma,236,21.75660000,92.83703599,4
Enigma,237,17.73520000,94.04786016,0
Enigma,238,24.37940000,91.41266460,14
Enigma,239,25.03940000,90.74701006,3
Enigma,240,18.42560000,94.25451157,9
Enigma,241,27.19120000,94.26136784,3
Enigma,242,12.45080000,99.12809166,2
Enigma,243,21.90060000,96.27764384,4
Enigma,244,12.81820000,96.87990639,2
Enigma,245,7.60220000,99.32270637,0
Enigma,246,30.99600000,94.13252762,3
Enigma,247,24.74020000,93.77677440,15
Enigma,248,13.51380000,93.44842652,3
Enigma,249,20.01740000,95.77055915,0
Enigma,250,16.03520000,101.08475019,5
Enigma,251,15.42300000,99.17680027,2
Enigma,252,62.23180000,98.57538432,6
Enigma,253,22.67120000,97.21016539,4
Enigma,254,17.01640000,97.94386147,0
Enigma,255,12.85980000,97.51500181,1
Enigma,256,11.51440000,98.04451368,2
Enigma,257,74.93720000,97.49440274,5
Enigma,258,16.66860000,99.74467404,0
Enigma,259,17.41940000,96.93296653,0
Enigma,260,7.96240000,101.55112666,3
Enigma,261,42.48500000,99.17276905,8
Enigma,262,30.06620000,101.10738862,5
Enigma,263,32.53160000,105.32176552,6
Enigma,264,11.79780000,101.39033485,0
Enigma,265,18.78220000,106.60139673,7
Enigma,266,25.76160000,102.23119011,2
Enigma,267,16.20720000,108.37435121,0
Enigma,268,18.90560000,103.61891615,3
Enigma,269,15.64980000,104.40740774,11
Enigma,270,32.59300000,107.70560267,8
Enigma,271,57.58260000,108.10470077,4
Enigma,272,11.61420000,111.66467660,0
Enigma,273,22.22080000,107.93172265,4
Enigma,274,8.00640000,106.99653965,2
Enigma,275,29.97120000,106.33156171,6
Enigma,276,9.78640000,104.69479452,0
Enigma,277,17.07460000,106.15440465,8
Enigma,278,24.43500000,104.58570212,3
Enigma,279,35.77800000,108.09405883,9
Enigma,280,16.98440000,109.36971119,3
Enigma,281,28.32760000,109.15149263,11
Enigma,282,8.32340000,114.21471009,0
Enigma,283,56.25620000,112.34718136,4
Enigma,284,32.47980000,109.34231871,14
Enigma,285,22.63760000,116.44042497,15
Enigma,286,39.71880000,110.65455407,6
Enigma,287,68.47120000,111.47045962,14
Enigma,288,40.66940000,109.22485427,7
Enigma,289,27.78720000,110.72191665,9
Enigma,290,15.42040000,114.42302111,2
Enigma,291,33.02180000,117.09349077,9
