Map,Query Number,Time,Distance,Path Length
Entanglement,0,1.56040000,6.08276253,0
Entanglement,1,1.05000000,4.47213595,0
Entanglement,2,0.35260000,7.07106781,0
Entanglement,3,1.00780000,7.21110255,0
Entanglement,4,8.68900000,6.40312424,0
Entanglement,5,0.78000000,5.38516481,0
Entanglement,6,1.48920000,4.47213595,0
Entanglement,7,0.90620000,4.00000000,0
Entanglement,8,3.49400000,5.83095189,0
Entanglement,9,2.24780000,4.12310563,0
Entanglement,10,0.82180000,9.21954446,0
Entanglement,11,0.72940000,11.18033989,0
Entanglement,12,1.98120000,8.24621125,0
Entanglement,13,3.43120000,7.81024968,0
Entanglement,14,4.70860000,10.00000000,0
Entanglement,15,0.95440000,11.00000000,0
Entanglement,16,2.23880000,11.40175425,0
Entanglement,17,4.91820000,8.06225775,0
Entanglement,18,0.90780000,11.04536102,0
Entanglement,19,6.20080000,9.84885780,0
Entanglement,20,0.80220000,13.45362405,0
Entanglement,21,4.14560000,13.03840481,0
Entanglement,22,4.37980000,13.03840481,0
Entanglement,23,2.08600000,14.31782106,0
Entanglement,24,0.95480000,14.86606875,0
Entanglement,25,2.82260000,14.42220510,0
Entanglement,26,0.64300000,11.18033989,0
Entanglement,27,0.72400000,13.03840481,0
Entanglement,28,0.69600000,14.21267040,0
Entanglement,29,7.08420000,13.41640786,0
Entanglement,30,4.25800000,18.11077028,0
Entanglement,31,0.65320000,15.29705854,0
Entanglement,32,2.88080000,17.46424920,0
Entanglement,33,0.87160000,15.26433752,0
Entanglement,34,0.75540000,15.62049935,0
Entanglement,35,4.77620000,18.43908891,0
Entanglement,36,0.61280000,18.02775638,0
Entanglement,37,0.70120000,15.62049935,0
Entanglement,38,1.75120000,16.64331698,0
Entanglement,39,9.22400000,16.40321551,2
Entanglement,40,5.97160000,20.61552813,0
Entanglement,41,3.80940000,18.97366596,0
Entanglement,42,6.82200000,19.11724277,2
Entanglement,43,0.68960000,22.62741700,0
Entanglement,44,8.16860000,21.26029163,0
Entanglement,45,0.85400000,20.88061302,0
Entanglement,46,1.02320000,22.47220505,0
Entanglement,47,4.06020000,21.02379604,0
Entanglement,48,6.94560000,20.24845673,0
Entanglement,49,5.44360000,21.00000000,0
Entanglement,50,1.83340000,24.08318916,0
Entanglement,51,6.41660000,27.04362230,2
Entanglement,52,6.47500000,22.82542442,0
Entanglement,53,4.13040000,25.49509757,0
Entanglement,54,7.64160000,21.67281843,4
Entanglement,55,0.87300000,24.51530134,0
Entanglement,56,0.66980000,25.49509757,0
Entanglement,57,4.71520000,24.73863375,0
Entanglement,58,3.47820000,22.47220505,0
Entanglement,59,3.00560000,26.90724809,0
Entanglement,60,0.72680000,28.46049894,0
Entanglement,61,7.63320000,26.92582404,0
Entanglement,62,0.60440000,30.47950131,0
Entanglement,63,3.88360000,28.01785145,0
