Map,Query Number,Time,Distance,Path Length
Eruption,0,2.11640000,6.32455532,0
Eruption,1,1.08440000,5.83095189,0
Eruption,2,1.17340000,4.00000000,0
Eruption,3,1.03260000,5.00000000,0
Eruption,4,1.39840000,5.00000000,0
Eruption,5,0.99040000,4.00000000,0
Eruption,6,1.17260000,7.07106781,0
Eruption,7,1.06900000,5.00000000,0
Eruption,8,2.72880000,6.16227766,1
Eruption,9,0.95600000,4.24264069,0
Eruption,10,0.86420000,10.63014581,0
Eruption,11,3.45880000,8.54400375,0
Eruption,12,0.82840000,10.04987562,0
Eruption,13,5.53780000,11.40175425,0
Eruption,14,0.68680000,10.19803903,0
Eruption,15,7.67920000,10.44030651,0
Eruption,16,1.48500000,10.81665383,0
Eruption,17,4.32860000,9.84885780,0
Eruption,18,0.82660000,9.84885780,0
Eruption,19,4.38080000,10.19803903,0
Eruption,20,0.80560000,13.03840481,0
Eruption,21,1.20840000,14.42220510,0
Eruption,22,1.40480000,12.20655562,0
Eruption,23,0.81840000,11.66190379,0
Eruption,24,1.03920000,11.40175425,0
Eruption,25,0.57880000,13.00000000,0
Eruption,26,3.40320000,15.00000000,0
Eruption,27,2.68980000,13.45362405,0
Eruption,28,0.61660000,14.31782106,0
Eruption,29,4.20680000,14.14213562,0
Eruption,30,4.56820000,17.08800749,0
Eruption,31,4.70040000,18.60107524,0
Eruption,32,7.63920000,18.35755975,0
Eruption,33,1.48300000,19.20937271,0
Eruption,34,0.67660000,17.02938637,0
Eruption,35,0.96720000,14.86606875,0
Eruption,36,6.92180000,17.80449381,0
Eruption,37,1.02720000,19.02629759,0
Eruption,38,2.91380000,19.79898987,0
Eruption,39,0.81520000,18.24828759,0
Eruption,40,3.73440000,22.67156810,0
Eruption,41,8.67300000,21.81569063,1
Eruption,42,0.63940000,20.88061302,0
Eruption,43,6.91540000,20.51828453,0
Eruption,44,11.30340000,21.26029163,0
Eruption,45,5.19560000,21.09502311,0
Eruption,46,0.66980000,21.63330765,0
Eruption,47,0.80980000,22.02271555,0
Eruption,48,0.63960000,21.84032967,0
Eruption,49,0.82780000,21.21320344,0
Eruption,50,0.49560000,22.36067977,0
Eruption,51,0.56220000,25.49509757,0
Eruption,52,4.38920000,24.16609195,0
Eruption,53,3.79920000,25.49509757,0
Eruption,54,7.51200000,25.58199374,2
Eruption,55,4.41420000,23.76972865,0
Eruption,56,4.75940000,25.55386468,0
Eruption,57,0.71180000,24.51530134,0
Eruption,58,5.83120000,27.01851217,0
Eruption,59,4.55080000,24.96126753,3
Eruption,60,0.76500000,29.06888371,0
Eruption,61,13.23140000,28.07262436,2
Eruption,62,6.20920000,26.00000000,0
Eruption,63,3.73780000,30.26549190,0
Eruption,64,0.73260000,26.47640459,0
Eruption,65,4.41400000,29.41088234,0
Eruption,66,5.68460000,26.43669441,3
Eruption,67,6.43380000,27.20294102,0
Eruption,68,3.33620000,26.41968963,0
Eruption,69,4.44060000,28.31960452,0
Eruption,70,7.70260000,28.28685403,9
Eruption,71,8.94580000,32.64965543,0
Eruption,72,4.69740000,32.55764119,0
Eruption,73,3.52500000,31.14482300,0
Eruption,74,0.78540000,35.38361203,0
Eruption,75,8.37760000,30.67640248,2
Eruption,76,6.84320000,31.81786484,1
Eruption,77,4.96820000,34.65544690,0
Eruption,78,4.31260000,32.01562119,0
Eruption,79,4.88520000,31.82766093,0
Eruption,80,6.81800000,35.51056181,0
Eruption,81,0.79220000,34.66987165,0
Eruption,82,0.78380000,36.24913792,0
Eruption,83,4.13120000,38.20994635,0
Eruption,84,0.71340000,36.89173349,0
Eruption,85,3.21580000,35.35533906,0
Eruption,86,8.51400000,33.61547263,0
Eruption,87,11.41380000,34.78438298,12
Eruption,88,7.36720000,33.83818830,1
Eruption,89,6.85460000,36.67424164,0
Eruption,90,5.81760000,40.11234224,0
Eruption,91,18.64800000,39.68654262,7
Eruption,92,7.41480000,40.50708575,1
Eruption,93,6.55840000,38.88305810,1
Eruption,94,3.76720000,42.01190308,0
Eruption,95,6.14620000,40.49691346,0
Eruption,96,5.58280000,37.94733192,0
Eruption,97,9.13720000,42.16711623,1
Eruption,98,6.89720000,39.35733731,0
Eruption,99,0.75300000,40.52159918,0
Eruption,100,3.60840000,42.72001873,0
Eruption,101,7.70020000,45.25483400,0
Eruption,102,0.60980000,47.01063709,0
Eruption,103,4.53640000,44.94441011,0
Eruption,104,5.80660000,46.04345773,0
Eruption,105,13.27220000,45.63882716,2
Eruption,106,10.32440000,42.20189569,0
Eruption,107,5.19520000,47.38143096,0
Eruption,108,6.60700000,44.64302857,0
Eruption,109,6.32240000,43.51296804,2
Eruption,110,10.91840000,46.53376704,4
Eruption,111,0.80800000,44.72135955,0
Eruption,112,13.72340000,51.58916968,6
Eruption,113,0.77400000,46.87216658,0
Eruption,114,6.66700000,48.25971405,0
Eruption,115,8.04320000,48.27007354,0
Eruption,116,5.07280000,46.61544808,0
Eruption,117,0.82700000,48.79549160,0
Eruption,118,4.18960000,49.00000000,0
Eruption,119,0.63940000,50.93132631,0
Eruption,120,0.48140000,50.77400910,0
Eruption,121,10.50300000,53.06094190,1
Eruption,122,4.72780000,48.33218389,0
Eruption,123,0.68680000,49.04079934,0
Eruption,124,0.72660000,51.31276644,0
Eruption,125,3.46560000,48.76474136,0
Eruption,126,13.23660000,52.34909134,7
Eruption,127,5.73860000,50.24937811,0
Eruption,128,0.85240000,51.35172831,0
Eruption,129,0.72980000,52.77309921,0
Eruption,130,10.23100000,55.83861236,2
Eruption,131,11.23680000,54.46714061,1
Eruption,132,6.90900000,53.45091206,0
Eruption,133,4.65940000,57.03507693,0
Eruption,134,7.08940000,57.14017851,0
Eruption,135,4.90140000,52.35456045,0
Eruption,136,4.64260000,53.23532662,0
Eruption,137,0.75660000,57.14017851,0
Eruption,138,12.81420000,53.79341171,7
Eruption,139,6.79960000,56.14267539,0
Eruption,140,8.86500000,58.18075283,0
Eruption,141,3.18500000,59.66573556,0
Eruption,142,6.06020000,60.95900262,0
Eruption,143,4.82320000,61.22091146,0
Eruption,144,10.74360000,60.87692502,0
Eruption,145,10.71520000,57.57253130,8
Eruption,146,12.27840000,58.69412236,0
Eruption,147,3.96580000,57.56735186,0
Eruption,148,18.73240000,61.44196994,4
Eruption,149,7.11640000,57.72347876,0
Eruption,150,26.82860000,61.30916300,2
Eruption,151,4.45860000,63.65532185,0
Eruption,152,0.75500000,61.29437168,0
Eruption,153,2.74580000,64.62971453,0
Eruption,154,5.50440000,61.61168720,0
Eruption,155,19.88820000,64.57105854,6
Eruption,156,16.50160000,63.17738298,9
Eruption,157,5.13080000,63.03173804,0
Eruption,158,15.21880000,61.44185613,6
Eruption,159,0.62540000,63.06346010,0
Eruption,160,10.04960000,70.35416354,1
Eruption,161,5.49120000,67.74215822,0
Eruption,162,4.87860000,67.18630813,0
Eruption,163,2.87280000,66.40783086,0
Eruption,164,7.59000000,65.78753681,0
Eruption,165,8.94120000,67.11929678,0
Eruption,166,10.00020000,66.81895999,4
