Map,Query Number,Time,Distance,Path Length
Expedition,0,1.98640000,5.38516481,0
Expedition,1,1.86220000,7.28010989,0
Expedition,2,1.33480000,5.00000000,0
Expedition,3,6.91500000,5.38516481,0
Expedition,4,4.14980000,5.38516481,0
Expedition,5,4.60740000,6.00000000,0
Expedition,6,1.64500000,5.83095189,0
Expedition,7,0.91420000,6.40312424,0
Expedition,8,1.94640000,7.07106781,0
Expedition,9,1.54840000,6.08276253,0
Expedition,10,2.14860000,8.48528137,0
Expedition,11,6.05280000,11.00000000,0
Expedition,12,1.51020000,8.06225775,0
Expedition,13,10.58840000,10.92997141,5
Expedition,14,5.11440000,9.89949494,0
Expedition,15,1.26100000,11.40175425,0
Expedition,16,1.40900000,9.00000000,0
Expedition,17,1.80360000,9.84885780,0
Expedition,18,1.16780000,10.44030651,0
Expedition,19,5.40040000,10.04987562,0
Expedition,20,1.83960000,11.66190379,0
Expedition,21,4.46100000,13.03840481,0
Expedition,22,3.62700000,12.16552506,0
Expedition,23,6.58440000,11.66190379,0
Expedition,24,0.86220000,13.60147051,0
Expedition,25,2.90020000,13.89244399,0
Expedition,26,1.65940000,13.89244399,0
Expedition,27,7.59500000,12.04159458,0
Expedition,28,1.08180000,13.45362405,0
Expedition,29,0.77820000,12.08304597,0
Expedition,30,6.38920000,16.64331698,0
Expedition,31,1.29460000,17.46424920,0
Expedition,32,0.90360000,17.20465053,0
Expedition,33,1.27000000,16.64331698,0
Expedition,34,1.53860000,17.46424920,0
Expedition,35,16.49680000,15.81138830,0
Expedition,36,5.54420000,18.24828759,0
Expedition,37,1.05220000,17.02938637,0
Expedition,38,3.50860000,16.55294536,0
Expedition,39,11.36940000,16.79021500,1
Expedition,40,1.07400000,22.62741700,0
Expedition,41,1.43060000,19.23538406,0
Expedition,42,0.98000000,20.39607805,0
Expedition,43,1.43500000,19.92485885,0
Expedition,44,5.68100000,19.41648784,0
Expedition,45,1.74780000,20.24845673,0
Expedition,46,1.91620000,20.59126028,0
Expedition,47,9.65460000,19.69771560,0
Expedition,48,2.18300000,20.51828453,0
Expedition,49,0.86720000,20.80865205,0
Expedition,50,7.49600000,23.95449840,1
Expedition,51,12.04400000,25.56392350,2
Expedition,52,9.09620000,24.35229041,1
Expedition,53,1.27260000,24.18677324,0
Expedition,54,6.19560000,26.40075756,0
Expedition,55,5.42900000,23.32380758,0
Expedition,56,1.34560000,24.51530134,0
Expedition,57,0.67800000,24.02082430,0
Expedition,58,7.02180000,24.04163056,0
Expedition,59,7.94580000,25.01999201,0
Expedition,60,3.94480000,29.83286778,0
Expedition,61,4.34940000,28.44292531,0
Expedition,62,1.51220000,26.41968963,0
