Map,Query Number,Time,Distance,Path Length
FloodedPlains,0,7.48660000,5.38516481,0
FloodedPlains,1,4.55060000,5.65685425,0
FloodedPlains,2,4.33960000,6.70820393,0
FloodedPlains,3,1.00760000,4.00000000,0
FloodedPlains,4,1.64720000,5.00000000,0
FloodedPlains,5,4.75340000,5.12310563,1
FloodedPlains,6,1.02140000,6.32455532,0
FloodedPlains,7,6.15460000,5.38516481,0
FloodedPlains,8,6.16440000,4.12310563,0
FloodedPlains,9,1.05820000,7.07106781,0
FloodedPlains,10,0.71740000,10.44030651,0
FloodedPlains,11,2.82100000,10.19803903,0
FloodedPlains,12,1.18220000,9.05538514,0
FloodedPlains,13,8.13540000,11.18033989,0
FloodedPlains,14,11.69880000,11.40175425,0
FloodedPlains,15,2.29640000,7.61577311,0
FloodedPlains,16,1.43880000,11.40175425,0
FloodedPlains,17,1.07320000,8.48528137,0
FloodedPlains,18,5.85040000,9.21954446,0
FloodedPlains,19,0.82160000,10.04987562,0
FloodedPlains,20,2.44820000,15.00000000,0
FloodedPlains,21,0.71500000,15.00000000,0
FloodedPlains,22,1.31840000,14.86606875,0
FloodedPlains,23,1.28600000,14.56021978,0
FloodedPlains,24,0.79340000,15.03329638,0
FloodedPlains,25,1.42720000,11.40175425,0
FloodedPlains,26,1.43080000,12.80624847,0
FloodedPlains,27,1.01380000,14.31782106,0
FloodedPlains,28,6.01940000,14.14213562,0
FloodedPlains,29,1.11320000,14.76482306,0
FloodedPlains,30,7.73020000,18.02775638,0
FloodedPlains,31,4.51020000,17.00000000,0
FloodedPlains,32,15.92980000,15.32897378,2
FloodedPlains,33,7.73760000,18.43908891,0
FloodedPlains,34,3.45480000,19.10497317,0
FloodedPlains,35,7.52280000,17.49285568,0
FloodedPlains,36,1.24460000,16.55294536,0
FloodedPlains,37,10.32840000,16.64331698,0
FloodedPlains,38,5.11100000,14.87199779,1
FloodedPlains,39,5.67140000,16.15549442,0
FloodedPlains,40,6.21560000,18.78829423,0
FloodedPlains,41,1.43560000,20.12461180,0
FloodedPlains,42,4.11960000,20.61552813,0
FloodedPlains,43,2.77100000,20.02498439,0
FloodedPlains,44,7.13320000,23.02172887,0
FloodedPlains,45,1.19840000,21.09502311,0
FloodedPlains,46,0.97320000,23.08679276,0
FloodedPlains,47,1.56040000,21.02379604,0
FloodedPlains,48,4.83300000,21.09502311,0
FloodedPlains,49,0.79940000,21.93171220,0
FloodedPlains,50,17.52700000,25.23885893,0
FloodedPlains,51,1.36880000,25.80697580,0
FloodedPlains,52,1.11060000,22.80350850,0
FloodedPlains,53,6.25160000,24.33105012,0
FloodedPlains,54,9.10320000,24.08318916,0
FloodedPlains,55,5.30800000,25.17935662,0
FloodedPlains,56,10.32720000,23.40939982,0
FloodedPlains,57,0.88780000,22.80350850,0
FloodedPlains,58,1.17940000,25.23885893,0
FloodedPlains,59,4.71980000,23.25940670,0
FloodedPlains,60,6.87380000,28.16025568,0
FloodedPlains,61,6.73280000,26.24880950,0
FloodedPlains,62,0.91580000,27.20294102,0
FloodedPlains,63,1.18860000,27.31300057,0
FloodedPlains,64,0.91000000,26.47640459,0
FloodedPlains,65,0.95140000,29.54657341,0
FloodedPlains,66,0.80780000,29.20616373,0
FloodedPlains,67,5.64380000,28.16025568,0
FloodedPlains,68,1.13120000,26.41968963,0
FloodedPlains,69,5.30520000,29.15475947,0
FloodedPlains,70,1.46200000,31.06444913,0
FloodedPlains,71,1.41840000,29.96664813,0
FloodedPlains,72,1.25180000,34.65544690,0
FloodedPlains,73,7.67220000,32.64965543,0
FloodedPlains,74,0.89960000,31.14482300,0
FloodedPlains,75,7.61740000,33.12099032,0
FloodedPlains,76,11.53060000,31.04834939,0
FloodedPlains,77,1.19360000,30.52867504,0
FloodedPlains,78,4.96140000,31.14482300,0
FloodedPlains,79,4.75700000,32.55764119,0
FloodedPlains,80,5.09520000,35.60898763,0
FloodedPlains,81,12.67480000,38.14213562,3
FloodedPlains,82,4.51060000,36.23534186,0
FloodedPlains,83,0.90700000,37.21558813,0
FloodedPlains,84,7.34140000,36.87817783,0
FloodedPlains,85,3.24640000,38.20994635,0
FloodedPlains,86,9.66780000,35.35533906,0
FloodedPlains,87,15.70380000,34.75249322,2
FloodedPlains,88,8.04080000,36.05551275,0
FloodedPlains,89,1.77400000,36.22154055,0
FloodedPlains,90,6.66120000,40.44749683,0
FloodedPlains,91,0.88240000,38.27531842,0
FloodedPlains,92,10.10260000,39.92492956,0
FloodedPlains,93,9.06160000,39.66406141,1
FloodedPlains,94,1.02540000,40.16217126,0
FloodedPlains,95,8.20140000,42.12246679,1
FloodedPlains,96,5.53940000,39.62322551,0
FloodedPlains,97,7.02780000,37.36308338,0
FloodedPlains,98,14.16780000,41.02325413,3
FloodedPlains,99,0.81800000,39.45883931,0
FloodedPlains,100,5.75280000,43.18564576,0
FloodedPlains,101,13.53960000,41.32684942,2
FloodedPlains,102,1.10040000,42.72001873,0
FloodedPlains,103,15.98680000,42.62931659,1
FloodedPlains,104,9.47180000,40.08933473,6
FloodedPlains,105,1.41240000,42.48529157,0
FloodedPlains,106,6.44400000,44.65422712,0
FloodedPlains,107,7.70340000,43.93176527,0
FloodedPlains,108,6.68560000,44.68780594,0
FloodedPlains,109,4.91040000,43.41658669,0
FloodedPlains,110,4.66720000,48.60041152,0
FloodedPlains,111,8.28060000,46.52956050,0
FloodedPlains,112,7.27360000,46.51284393,5
FloodedPlains,113,15.59300000,45.72943143,2
FloodedPlains,114,5.56980000,47.51841748,0
FloodedPlains,115,5.41600000,47.50789408,0
FloodedPlains,116,4.23000000,45.65084884,0
FloodedPlains,117,9.07320000,46.45908142,3
FloodedPlains,118,5.83220000,50.08991915,0
FloodedPlains,119,8.38080000,51.62363800,0
FloodedPlains,120,10.40260000,55.17245690,0
FloodedPlains,121,3.85000000,50.69516742,0
FloodedPlains,122,0.99820000,52.15361924,0
FloodedPlains,123,7.29140000,51.08815910,0
FloodedPlains,124,8.06240000,54.03702434,0
FloodedPlains,125,3.93160000,48.87739764,0
FloodedPlains,126,2.44980000,54.08326913,0
FloodedPlains,127,4.70380000,50.24937811,0
FloodedPlains,128,17.61260000,49.01752736,7
FloodedPlains,129,6.02900000,53.81449619,0
FloodedPlains,130,3.35360000,52.39274759,0
FloodedPlains,131,5.82580000,58.00862005,0
FloodedPlains,132,4.24900000,55.97320788,0
FloodedPlains,133,16.44980000,53.56018321,4
FloodedPlains,134,9.27120000,52.15454134,3
FloodedPlains,135,7.72880000,54.58937626,0
FloodedPlains,136,5.06240000,55.90169944,0
FloodedPlains,137,9.27500000,54.64415310,3
FloodedPlains,138,0.90300000,59.39696962,0
FloodedPlains,139,1.31700000,53.93514624,0
FloodedPlains,140,3.40800000,56.43580424,0
FloodedPlains,141,0.67780000,61.22091146,0
FloodedPlains,142,6.55700000,56.79788728,0
FloodedPlains,143,0.76480000,60.81118318,0
FloodedPlains,144,4.96360000,58.21511831,0
FloodedPlains,145,5.51660000,59.16924877,0
FloodedPlains,146,7.46800000,58.60034130,0
FloodedPlains,147,14.12460000,57.72727580,1
FloodedPlains,148,18.60980000,59.80416479,4
FloodedPlains,149,13.70780000,57.12365968,3
FloodedPlains,150,6.51640000,64.00000000,0
FloodedPlains,151,1.10000000,63.07138812,0
FloodedPlains,152,0.80080000,63.51377803,0
FloodedPlains,153,12.84420000,63.23181780,4
FloodedPlains,154,5.76020000,62.80127387,0
FloodedPlains,155,9.68320000,61.21740296,3
FloodedPlains,156,4.92040000,62.81719510,0
FloodedPlains,157,8.40580000,63.56099433,0
FloodedPlains,158,0.98560000,61.71709650,0
FloodedPlains,159,5.23240000,62.76941931,0
FloodedPlains,160,6.43580000,67.00746227,0
FloodedPlains,161,22.14260000,64.99625022,3
FloodedPlains,162,16.30180000,66.61547263,7
FloodedPlains,163,7.99300000,67.11929678,0
FloodedPlains,164,8.31120000,64.14047084,0
FloodedPlains,165,8.56040000,68.00735254,0
FloodedPlains,166,6.99040000,70.02856560,0
FloodedPlains,167,19.57020000,67.29671362,2
FloodedPlains,168,0.95220000,63.52952070,0
FloodedPlains,169,7.12140000,63.56886030,0
FloodedPlains,170,9.17840000,72.86288493,0
FloodedPlains,171,6.18220000,71.25307011,0
FloodedPlains,172,13.91860000,73.03757879,2
FloodedPlains,173,0.89300000,71.34423593,0
FloodedPlains,174,8.23040000,75.00000000,0
FloodedPlains,175,5.63600000,68.65857558,0
FloodedPlains,176,51.82360000,68.31144397,8
FloodedPlains,177,4.24740000,70.61161378,0
FloodedPlains,178,6.56100000,70.83784299,0
FloodedPlains,179,14.43860000,68.95445977,6
FloodedPlains,180,6.53360000,74.43117626,0
FloodedPlains,181,10.84720000,75.00000000,0
FloodedPlains,182,6.16120000,72.73238618,0
FloodedPlains,183,13.23020000,78.72184841,4
FloodedPlains,184,8.10820000,74.39635614,1
FloodedPlains,185,5.44060000,77.15568676,0
FloodedPlains,186,5.75900000,70.68238819,0
FloodedPlains,187,7.49000000,77.83315489,0
FloodedPlains,188,20.19640000,73.87750325,3
FloodedPlains,189,15.41360000,73.57660138,1
FloodedPlains,190,5.44680000,80.70129149,3
FloodedPlains,191,5.93220000,75.23961722,0
FloodedPlains,192,31.39800000,79.05081290,2
FloodedPlains,193,9.89880000,76.48529270,0
FloodedPlains,194,22.47780000,80.89654464,9
FloodedPlains,195,9.84280000,76.92203845,0
FloodedPlains,196,3.83580000,81.34494453,0
FloodedPlains,197,11.06660000,76.94153625,0
FloodedPlains,198,16.37360000,77.02596965,0
FloodedPlains,199,13.65940000,76.99245224,1
FloodedPlains,200,5.55680000,79.30952024,0
FloodedPlains,201,11.08900000,80.36590591,3
FloodedPlains,202,13.04740000,80.48940043,11
FloodedPlains,203,13.10100000,79.60527621,0
FloodedPlains,204,12.28080000,81.40024570,0
FloodedPlains,205,6.92340000,86.02325267,0
FloodedPlains,206,14.15440000,81.22337729,3
FloodedPlains,207,14.42660000,81.47915525,5
FloodedPlains,208,11.83540000,81.33650681,3
FloodedPlains,209,13.31280000,78.38361763,3
FloodedPlains,210,19.55220000,86.09072948,17
FloodedPlains,211,10.23740000,83.76284765,1
FloodedPlains,212,9.89960000,82.21921916,0
FloodedPlains,213,8.93640000,82.79358287,1
FloodedPlains,214,37.12920000,83.07337575,3
FloodedPlains,215,5.08540000,82.46211251,0
FloodedPlains,216,35.89680000,87.82793812,4
FloodedPlains,217,7.20740000,84.30895563,0
FloodedPlains,218,6.36840000,87.80091116,0
FloodedPlains,219,35.05060000,83.68733382,6
FloodedPlains,220,21.73020000,87.18279534,2
FloodedPlains,221,7.97260000,87.86353055,0
FloodedPlains,222,0.81840000,86.02325267,0
FloodedPlains,223,30.82600000,90.88299033,2
FloodedPlains,224,4.22020000,88.60022573,0
FloodedPlains,225,24.50460000,89.98606578,15
FloodedPlains,226,5.81700000,86.09297300,0
FloodedPlains,227,0.92760000,93.08598176,0
FloodedPlains,228,30.64420000,89.52098900,4
FloodedPlains,229,10.69420000,85.09406560,0
FloodedPlains,230,17.20600000,95.70523150,3
FloodedPlains,231,4.55040000,92.65527508,0
FloodedPlains,232,17.63500000,89.47066558,0
FloodedPlains,233,11.72320000,94.92994855,2
FloodedPlains,234,9.69060000,91.28526716,0
FloodedPlains,235,14.45200000,92.40292444,3
FloodedPlains,236,31.82680000,93.61630356,14
FloodedPlains,237,14.16120000,93.56321669,2
FloodedPlains,238,18.09840000,97.22843790,1
FloodedPlains,239,6.97640000,91.93726965,1
FloodedPlains,240,11.86040000,96.09993675,2
FloodedPlains,241,24.16320000,99.21734259,2
FloodedPlains,242,6.83760000,93.62157871,0
FloodedPlains,243,8.38880000,97.01546269,0
FloodedPlains,244,16.02060000,96.65109248,3
FloodedPlains,245,17.34400000,94.98413034,3
FloodedPlains,246,10.78340000,95.19803903,1
FloodedPlains,247,19.57960000,97.96111076,15
FloodedPlains,248,7.85980000,97.32933782,0
FloodedPlains,249,15.36820000,96.35729633,8
FloodedPlains,250,20.54660000,99.37030859,3
FloodedPlains,251,65.41660000,103.27561683,7
FloodedPlains,252,38.51460000,99.10415599,25
FloodedPlains,253,25.22140000,97.73270573,7
FloodedPlains,254,46.22040000,99.62671990,3
FloodedPlains,255,9.80380000,99.86490875,0
FloodedPlains,256,5.70500000,100.28459503,0
FloodedPlains,257,11.35020000,102.24314553,3
FloodedPlains,258,8.58880000,99.48742835,2
FloodedPlains,259,16.01200000,102.01625282,8
FloodedPlains,260,85.78220000,105.41683567,12
FloodedPlains,261,37.43740000,105.28816493,10
FloodedPlains,262,32.49580000,100.61938266,15
FloodedPlains,263,19.90540000,102.29487091,4
FloodedPlains,264,30.27320000,103.96887095,4
FloodedPlains,265,30.71400000,101.41856568,12
FloodedPlains,266,24.65720000,101.73846681,7
FloodedPlains,267,11.06500000,106.28639634,6
FloodedPlains,268,37.93420000,101.86869647,2
FloodedPlains,269,33.37260000,105.40455444,3
FloodedPlains,270,52.84340000,106.44816465,3
FloodedPlains,271,6.64940000,110.29052543,0
FloodedPlains,272,50.90680000,109.47720832,6
FloodedPlains,273,30.19960000,105.18031538,12
FloodedPlains,274,5.68680000,110.22250224,0
FloodedPlains,275,22.97220000,109.41463473,1
FloodedPlains,276,18.84560000,111.12650296,4
FloodedPlains,277,14.25380000,107.22377921,1
FloodedPlains,278,26.58360000,106.01491141,4
FloodedPlains,279,23.65580000,109.61824972,2
FloodedPlains,280,41.01060000,109.42581952,21
FloodedPlains,281,12.09960000,109.44866975,5
FloodedPlains,282,14.19180000,112.80382632,2
FloodedPlains,283,26.01520000,110.51385498,5
FloodedPlains,284,43.69580000,112.11210401,9
FloodedPlains,285,14.53360000,107.94752606,3
FloodedPlains,286,65.14320000,107.64431010,4
FloodedPlains,287,24.21080000,111.39653597,5
FloodedPlains,288,30.18360000,113.66093065,6
FloodedPlains,289,43.33140000,111.56313278,4
FloodedPlains,290,14.40840000,114.86286644,1
FloodedPlains,291,76.75960000,114.37954962,12
FloodedPlains,292,14.35020000,117.56735643,1
FloodedPlains,293,26.81620000,114.31388233,3
FloodedPlains,294,31.39140000,114.10843105,4
FloodedPlains,295,31.58760000,113.28272791,11
FloodedPlains,296,29.14280000,112.02967635,5
FloodedPlains,297,18.87480000,119.54626957,2
FloodedPlains,298,17.06800000,115.59177494,15
FloodedPlains,299,18.88280000,116.93185979,3
FloodedPlains,300,34.97500000,116.96834023,25
FloodedPlains,301,17.83100000,115.83609109,0
FloodedPlains,302,15.80200000,119.26864599,1
FloodedPlains,303,27.72200000,119.73908047,8
FloodedPlains,304,66.13620000,117.16639829,13
FloodedPlains,305,11.95680000,123.13913122,4
FloodedPlains,306,17.61920000,118.99663942,1
FloodedPlains,307,14.60640000,115.39497389,0
FloodedPlains,308,67.36200000,119.16201846,3
FloodedPlains,309,7.98160000,115.52056094,0
FloodedPlains,310,66.96520000,116.58732469,6
FloodedPlains,311,26.38360000,124.52528425,1
FloodedPlains,312,17.73680000,122.63698475,2
FloodedPlains,313,18.35540000,122.05021590,1
FloodedPlains,314,5.28820000,121.75795662,0
FloodedPlains,315,24.52680000,126.53743803,2
FloodedPlains,316,93.16060000,122.79408355,18
FloodedPlains,317,35.05680000,123.43999082,4
FloodedPlains,318,31.91360000,126.36172088,7
FloodedPlains,319,135.90820000,124.74146467,8
FloodedPlains,320,28.06680000,128.14322670,4
FloodedPlains,321,49.09500000,123.03856737,4
FloodedPlains,322,25.29040000,129.49296703,2
FloodedPlains,323,30.54600000,125.18828894,6
FloodedPlains,324,45.13500000,121.84221308,9
FloodedPlains,325,19.04660000,122.46006086,2
FloodedPlains,326,51.93540000,127.38377511,4
FloodedPlains,327,27.98900000,122.55664316,8
FloodedPlains,328,30.36380000,123.75116332,6
FloodedPlains,329,21.32280000,125.94907461,3
FloodedPlains,330,16.23680000,135.36251104,15
FloodedPlains,331,30.69340000,125.50475699,2
FloodedPlains,332,70.25180000,130.40745888,6
FloodedPlains,333,27.82100000,127.04703532,11
FloodedPlains,334,18.25300000,130.61976754,1
FloodedPlains,335,55.80380000,128.24946197,9
FloodedPlains,336,16.09700000,129.89798495,2
FloodedPlains,337,64.21920000,128.18973854,7
FloodedPlains,338,78.11520000,126.36737532,26
FloodedPlains,339,15.94240000,135.06566136,1
FloodedPlains,340,37.12060000,132.20513813,12
FloodedPlains,341,29.33700000,131.13321154,2
FloodedPlains,342,17.96020000,140.19869042,1
FloodedPlains,343,58.26880000,137.21160087,7
FloodedPlains,344,16.30880000,134.93487044,4
FloodedPlains,345,33.92760000,133.57478375,12
FloodedPlains,346,61.64100000,138.19778509,4
FloodedPlains,347,19.93660000,133.56056157,8
FloodedPlains,348,35.67140000,133.93023862,10
FloodedPlains,349,31.06060000,133.73025227,2
FloodedPlains,350,29.10760000,138.79570133,9
FloodedPlains,351,13.91860000,135.67977005,0
FloodedPlains,352,15.84560000,136.98297784,1
FloodedPlains,353,25.61280000,137.36298962,4
FloodedPlains,354,44.16580000,138.55055352,9
FloodedPlains,355,21.47380000,134.52918485,9
FloodedPlains,356,18.11820000,139.13010554,3
FloodedPlains,357,13.03860000,136.13776742,2
FloodedPlains,358,63.38840000,136.73821520,9
FloodedPlains,359,33.04900000,133.10338301,17
FloodedPlains,360,44.46240000,140.69619438,26
FloodedPlains,361,54.59000000,143.46819877,9
FloodedPlains,362,36.77320000,138.22449379,3
FloodedPlains,363,47.17140000,142.01072782,4
FloodedPlains,364,34.79300000,143.29145780,3
FloodedPlains,365,113.68720000,140.52605846,15
FloodedPlains,366,18.13820000,142.99115204,3
FloodedPlains,367,39.47840000,143.99329246,15
FloodedPlains,368,11.02920000,139.71757227,0
FloodedPlains,369,41.06360000,143.96478049,4
FloodedPlains,370,15.22420000,144.75133456,2
FloodedPlains,371,13.27540000,145.25678903,5
FloodedPlains,372,121.22700000,148.07203787,14
FloodedPlains,373,17.12040000,141.97016679,2
FloodedPlains,374,45.44140000,145.88762681,9
FloodedPlains,375,20.47040000,140.81682228,4
FloodedPlains,376,28.77120000,145.56764771,4
FloodedPlains,377,59.86500000,145.27272965,2
FloodedPlains,378,48.71420000,142.50956365,17
FloodedPlains,379,20.39040000,149.40220261,3
FloodedPlains,380,108.48040000,150.72292023,13
FloodedPlains,381,5.93180000,157.08085415,1
FloodedPlains,382,14.58480000,152.27960347,2
FloodedPlains,383,21.03740000,153.59849050,11
FloodedPlains,384,27.22280000,150.67919762,7
FloodedPlains,385,51.37300000,145.29514205,17
FloodedPlains,386,27.09960000,148.16053752,2
FloodedPlains,387,30.37040000,148.54826268,18
FloodedPlains,388,27.27260000,150.06858078,5
FloodedPlains,389,20.51220000,152.06822216,1
FloodedPlains,390,14.10220000,150.21651041,0
FloodedPlains,391,64.37520000,150.65781884,10
FloodedPlains,392,74.83320000,154.01494045,6
FloodedPlains,393,15.57060000,153.95039987,3
FloodedPlains,394,16.81700000,151.05174361,1
FloodedPlains,395,66.48800000,155.28701545,16
