Map,Query Number,Time,Distance,Path Length
GhostTown,0,2.08620000,5.38516481,0
GhostTown,1,2.02440000,6.32455532,0
GhostTown,2,1.21780000,5.00000000,0
GhostTown,3,1.59020000,4.12310563,0
GhostTown,4,25.81040000,5.38516481,0
GhostTown,5,1.49020000,6.70820393,0
GhostTown,6,1.57220000,7.21110255,0
GhostTown,7,1.08260000,5.38516481,0
GhostTown,8,2.22780000,5.00000000,0
GhostTown,9,1.81600000,6.32455532,0
GhostTown,10,2.12280000,8.24621125,0
GhostTown,11,1.64700000,11.04536102,0
GhostTown,12,1.52100000,8.48528137,0
GhostTown,13,1.50400000,10.04987562,0
GhostTown,14,7.50940000,8.00000000,0
GhostTown,15,1.08440000,8.06225775,0
GhostTown,16,5.39940000,11.04536102,0
GhostTown,17,5.95300000,9.89949494,0
GhostTown,18,1.50360000,8.54400375,0
GhostTown,19,1.31800000,8.54400375,0
GhostTown,20,1.18680000,14.31782106,0
GhostTown,21,1.02880000,12.52996409,0
GhostTown,22,0.86680000,14.00000000,0
GhostTown,23,1.35420000,11.40175425,0
GhostTown,24,0.89020000,12.16552506,0
GhostTown,25,1.06180000,12.80624847,0
GhostTown,26,1.77380000,14.03566885,0
GhostTown,27,6.70540000,14.86606875,0
GhostTown,28,3.01860000,12.04159458,0
GhostTown,29,18.24560000,11.66190379,0
GhostTown,30,15.33540000,18.02775638,0
GhostTown,31,2.64020000,16.49242250,0
GhostTown,32,12.27520000,16.12451550,0
GhostTown,33,7.95340000,16.27882060,0
GhostTown,34,10.61520000,18.24828759,0
GhostTown,35,1.54720000,15.62049935,0
GhostTown,36,11.02580000,17.20465053,0
GhostTown,37,1.83120000,16.40121947,0
GhostTown,38,1.47800000,15.26433752,0
GhostTown,39,22.38400000,15.84819469,2
GhostTown,40,4.54960000,20.00000000,0
GhostTown,41,7.33660000,21.93378358,1
GhostTown,42,7.81320000,20.00000000,0
GhostTown,43,10.63140000,21.02629759,1
GhostTown,44,7.25420000,18.86796226,0
GhostTown,45,0.98040000,18.78829423,0
GhostTown,46,6.45460000,19.23538406,0
GhostTown,47,7.95800000,21.63128759,1
GhostTown,48,16.37940000,22.67156810,0
GhostTown,49,0.93820000,21.26029163,0
GhostTown,50,4.69800000,27.58622845,0
GhostTown,51,0.91700000,25.17935662,0
GhostTown,52,5.00280000,26.00000000,0
GhostTown,53,4.95280000,23.60084744,0
GhostTown,54,9.22880000,25.55386468,0
GhostTown,55,0.87980000,26.07680962,0
GhostTown,56,7.15640000,24.69817807,0
GhostTown,57,1.30080000,24.18677324,0
GhostTown,58,13.36460000,23.76972865,0
GhostTown,59,1.21020000,25.00000000,0
GhostTown,60,1.27420000,28.46049894,0
GhostTown,61,4.73520000,29.83286778,0
GhostTown,62,8.36040000,29.26475785,2
GhostTown,63,0.86300000,30.00000000,0
GhostTown,64,4.42080000,29.00000000,0
GhostTown,65,14.57420000,25.48766641,5
GhostTown,66,8.30260000,27.20294102,0
GhostTown,67,1.21300000,27.45906044,0
GhostTown,68,1.04120000,26.92582404,0
GhostTown,69,15.09580000,29.30589288,1
GhostTown,70,7.01320000,31.40063694,0
GhostTown,71,17.60480000,30.46438593,1
GhostTown,72,15.07800000,32.55764119,0
GhostTown,73,4.86300000,30.67572330,0
GhostTown,74,0.92220000,34.65544690,0
GhostTown,75,10.86080000,33.54101966,0
GhostTown,76,10.89580000,31.30495168,0
GhostTown,77,4.98840000,32.75667871,0
GhostTown,78,6.38040000,33.51756607,1
GhostTown,79,10.15200000,30.87069808,0
GhostTown,80,16.24820000,35.62083744,5
GhostTown,81,0.95860000,35.22782991,0
GhostTown,82,8.51200000,36.40054945,0
GhostTown,83,5.61720000,38.20994635,0
GhostTown,84,1.17920000,37.53664876,0
GhostTown,85,6.08140000,37.48332963,0
GhostTown,86,0.83860000,36.05551275,0
GhostTown,87,12.60080000,37.20432732,5
GhostTown,88,7.51260000,37.05401463,0
GhostTown,89,2.02460000,37.33630941,0
GhostTown,90,13.12620000,39.29389604,2
GhostTown,91,5.61640000,40.26164428,0
GhostTown,92,8.12920000,39.07988883,1
GhostTown,93,27.84700000,40.27994316,3
GhostTown,94,11.91300000,40.80441153,0
GhostTown,95,0.79940000,41.10960958,0
GhostTown,96,7.51020000,40.49691346,0
GhostTown,97,2.87740000,38.89730068,0
GhostTown,98,0.66280000,38.63935817,0
GhostTown,99,1.22140000,38.89730068,0
GhostTown,100,0.97380000,41.62931659,0
GhostTown,101,12.59840000,41.76122604,0
GhostTown,102,7.81880000,44.68780594,0
GhostTown,103,8.14000000,43.32435804,0
GhostTown,104,8.22820000,41.23105626,0
GhostTown,105,0.96540000,41.97618372,0
GhostTown,106,14.28260000,43.33264676,1
GhostTown,107,8.71780000,44.20407221,0
GhostTown,108,10.92040000,41.34005322,0
GhostTown,109,2.82460000,41.14608122,0
GhostTown,110,18.04940000,48.16637832,0
GhostTown,111,6.09860000,46.38965402,0
GhostTown,112,10.77520000,46.95742753,0
GhostTown,113,15.72820000,46.69228820,1
GhostTown,114,15.98400000,47.50789408,0
GhostTown,115,7.53620000,48.23171561,1
GhostTown,116,29.98420000,48.02792960,3
GhostTown,117,28.76800000,48.83646179,0
GhostTown,118,37.37800000,48.38533261,2
GhostTown,119,7.94400000,44.77722635,0
GhostTown,120,21.07820000,50.31273672,2
GhostTown,121,8.17380000,49.64876635,0
GhostTown,122,10.15040000,51.10772936,0
GhostTown,123,11.86960000,49.97999600,0
GhostTown,124,0.91360000,50.60632372,0
GhostTown,125,6.73760000,51.97114584,0
GhostTown,126,21.11520000,50.19803903,2
GhostTown,127,1.02180000,54.03702434,0
GhostTown,128,11.34800000,50.60632372,0
GhostTown,129,23.03060000,50.14011687,9
GhostTown,130,7.48380000,55.36244214,0
GhostTown,131,15.91160000,56.03570290,0
GhostTown,132,11.98980000,55.90169944,0
GhostTown,133,10.25540000,53.63034840,1
GhostTown,134,12.85860000,54.86165933,1
GhostTown,135,11.78680000,56.71860365,0
GhostTown,136,6.68940000,54.20332093,0
