Map,Query Number,Time,Distance,Path Length
GreenerPastures,0,1.75720000,7.07106781,0
GreenerPastures,1,5.87360000,5.00000000,0
GreenerPastures,2,7.24860000,5.83095189,0
GreenerPastures,3,1.16380000,7.00000000,0
GreenerPastures,4,1.17820000,7.28010989,0
GreenerPastures,5,0.79440000,5.09901951,0
GreenerPastures,6,1.27700000,6.08276253,0
GreenerPastures,7,1.47280000,4.24264069,0
GreenerPastures,8,0.70080000,7.28010989,0
GreenerPastures,9,1.52760000,7.07106781,0
GreenerPastures,10,0.90260000,8.48528137,0
GreenerPastures,11,4.63880000,11.40175425,0
GreenerPastures,12,0.86920000,8.54400375,0
GreenerPastures,13,0.87680000,10.04987562,0
GreenerPastures,14,0.90340000,8.06225775,0
GreenerPastures,15,0.61160000,10.00000000,0
GreenerPastures,16,7.29860000,9.61577311,2
GreenerPastures,17,3.70500000,9.21954446,0
GreenerPastures,18,3.67000000,10.29563014,0
GreenerPastures,19,1.48240000,7.81024968,0
GreenerPastures,20,5.82900000,11.70469991,0
GreenerPastures,21,0.66580000,13.03840481,0
GreenerPastures,22,0.98920000,14.21267040,0
GreenerPastures,23,2.00440000,14.21267040,0
GreenerPastures,24,0.66420000,12.04159458,0
GreenerPastures,25,5.40940000,11.18033989,0
GreenerPastures,26,6.02640000,14.14213562,0
GreenerPastures,27,1.15380000,12.04159458,0
GreenerPastures,28,6.97180000,13.15294644,0
GreenerPastures,29,7.27300000,12.08304597,0
GreenerPastures,30,0.78720000,16.76305461,0
GreenerPastures,31,0.48960000,16.00000000,0
GreenerPastures,32,0.91380000,17.46424920,0
GreenerPastures,33,0.83540000,18.43908891,0
GreenerPastures,34,4.09840000,15.29705854,0
GreenerPastures,35,10.76800000,15.87250742,1
GreenerPastures,36,5.46300000,16.12451550,0
GreenerPastures,37,2.25600000,18.00000000,0
GreenerPastures,38,0.66940000,19.00000000,0
GreenerPastures,39,5.11980000,17.20465053,0
GreenerPastures,40,0.73820000,19.41648784,0
GreenerPastures,41,0.98380000,20.00000000,0
GreenerPastures,42,0.63160000,22.02271555,0
GreenerPastures,43,2.82280000,22.20360331,0
GreenerPastures,44,4.32280000,21.95449840,0
GreenerPastures,45,1.23700000,21.93171220,0
GreenerPastures,46,0.62200000,19.64688270,0
GreenerPastures,47,0.83540000,20.24845673,0
GreenerPastures,48,0.79660000,21.09502311,0
GreenerPastures,49,6.53400000,21.63330765,0
GreenerPastures,50,3.88680000,23.25940670,0
GreenerPastures,51,0.94860000,24.16609195,0
GreenerPastures,52,0.60180000,23.53720459,0
GreenerPastures,53,4.45120000,27.00000000,0
GreenerPastures,54,3.53680000,26.07680962,0
GreenerPastures,55,1.01400000,23.76972865,0
GreenerPastures,56,0.88740000,25.49509757,0
GreenerPastures,57,0.84340000,22.84731932,0
GreenerPastures,58,6.22200000,24.20743687,0
GreenerPastures,59,7.11460000,24.08318916,0
GreenerPastures,60,2.70160000,26.68332813,0
GreenerPastures,61,3.30600000,29.00000000,0
GreenerPastures,62,5.62840000,26.42284122,1
GreenerPastures,63,0.94560000,26.41968963,0
GreenerPastures,64,0.86840000,26.24880950,0
GreenerPastures,65,10.77100000,28.23118843,0
GreenerPastures,66,0.57220000,29.83286778,0
GreenerPastures,67,0.78560000,28.30194340,0
GreenerPastures,68,5.59520000,28.60069929,0
GreenerPastures,69,5.04100000,31.01612484,0
GreenerPastures,70,0.78160000,35.00000000,0
GreenerPastures,71,0.76160000,31.62277660,0
GreenerPastures,72,4.21120000,32.89376841,0
GreenerPastures,73,2.50480000,34.23448554,0
GreenerPastures,74,0.85360000,32.00000000,0
GreenerPastures,75,8.42880000,31.52867504,1
GreenerPastures,76,5.35540000,32.64965543,0
GreenerPastures,77,0.92320000,32.14031736,0
GreenerPastures,78,3.65640000,33.24154028,0
GreenerPastures,79,4.41360000,34.65544690,0
GreenerPastures,80,0.82840000,37.05401463,0
GreenerPastures,81,1.21560000,34.92849839,0
GreenerPastures,82,7.26760000,34.43855235,1
GreenerPastures,83,0.84440000,34.01470270,0
GreenerPastures,84,5.91500000,35.37215103,1
GreenerPastures,85,0.78260000,34.82814953,0
GreenerPastures,86,5.84640000,35.84689666,0
GreenerPastures,87,5.21280000,35.46829570,0
GreenerPastures,88,8.27400000,36.12478374,0
GreenerPastures,89,0.71760000,36.40054945,0
GreenerPastures,90,3.98700000,37.85498646,0
GreenerPastures,91,0.46780000,39.20459157,0
GreenerPastures,92,3.39260000,40.70626487,0
GreenerPastures,93,0.51480000,37.69615365,0
GreenerPastures,94,12.52880000,42.10700654,0
GreenerPastures,95,0.80640000,40.36087214,0
GreenerPastures,96,0.77100000,43.13930922,0
GreenerPastures,97,1.76140000,39.84971769,0
GreenerPastures,98,3.89960000,40.36087214,0
GreenerPastures,99,0.74800000,39.62322551,0
GreenerPastures,100,6.38980000,43.56604182,0
GreenerPastures,101,0.66860000,43.86342440,0
GreenerPastures,102,0.81720000,42.54409477,0
GreenerPastures,103,4.66000000,46.66904756,0
GreenerPastures,104,0.74480000,43.65775991,0
GreenerPastures,105,6.95180000,44.20407221,0
GreenerPastures,106,3.67000000,44.18144407,0
GreenerPastures,107,2.77660000,43.41658669,0
GreenerPastures,108,4.68100000,42.95346319,0
GreenerPastures,109,0.80320000,43.90899680,0
GreenerPastures,110,10.69520000,47.80167361,0
GreenerPastures,111,0.83680000,47.07440918,0
GreenerPastures,112,6.02800000,45.04648650,2
GreenerPastures,113,4.73780000,50.24937811,0
GreenerPastures,114,2.51040000,48.16637832,0
GreenerPastures,115,7.13940000,49.75729509,1
GreenerPastures,116,3.50680000,46.32493929,0
GreenerPastures,117,0.72020000,46.64761516,0
GreenerPastures,118,0.61740000,45.60701700,0
GreenerPastures,119,0.68680000,48.04164860,0
GreenerPastures,120,5.15180000,54.48853090,0
GreenerPastures,121,5.71600000,52.63078947,0
GreenerPastures,122,5.62600000,51.62363800,0
GreenerPastures,123,5.48700000,49.24428901,0
GreenerPastures,124,0.91220000,53.23532662,0
GreenerPastures,125,3.08860000,50.99019514,0
GreenerPastures,126,5.37360000,48.84669897,0
GreenerPastures,127,5.31760000,49.19349550,0
GreenerPastures,128,9.83900000,49.68187081,1
GreenerPastures,129,0.80620000,48.84669897,0
GreenerPastures,130,5.36160000,54.03702434,0
