Map,Query Number,Time,Distance,Path Length
IceMountain,0,7.17900000,6.00000000,0
IceMountain,1,1.39440000,7.21110255,0
IceMountain,2,2.08020000,7.21110255,0
IceMountain,3,1.33140000,4.00000000,0
IceMountain,4,3.68440000,7.07106781,0
IceMountain,5,0.74940000,7.28010989,0
IceMountain,6,1.34520000,7.07106781,0
IceMountain,7,0.97720000,5.38516481,0
IceMountain,8,2.57880000,7.07106781,0
IceMountain,9,0.83800000,5.83095189,0
IceMountain,10,0.88820000,11.00000000,0
IceMountain,11,1.43100000,7.81024968,0
IceMountain,12,1.46540000,10.29563014,0
IceMountain,13,7.19620000,9.21954446,0
IceMountain,14,3.58080000,9.21954446,0
IceMountain,15,7.98600000,9.43398113,0
IceMountain,16,6.40380000,10.63014581,0
IceMountain,17,5.68700000,10.19803903,0
IceMountain,18,8.35360000,10.00000000,0
IceMountain,19,1.48740000,8.48528137,0
IceMountain,20,9.16100000,14.47647131,3
IceMountain,21,1.07780000,13.34166406,0
IceMountain,22,5.88880000,14.38681307,1
IceMountain,23,1.39340000,13.92838828,0
IceMountain,24,6.36960000,15.16227766,2
IceMountain,25,0.74540000,11.70469991,0
IceMountain,26,7.79020000,12.80624847,0
IceMountain,27,4.70160000,12.64911064,0
IceMountain,28,0.93800000,12.16552506,0
IceMountain,29,2.46300000,12.04159458,0
IceMountain,30,9.08700000,19.10497317,0
IceMountain,31,0.70520000,16.15549442,0
IceMountain,32,8.72320000,19.00000000,0
IceMountain,33,5.18800000,16.55294536,0
IceMountain,34,5.09300000,15.62049935,0
IceMountain,35,1.56060000,18.43908891,0
IceMountain,36,1.00720000,19.20937271,0
IceMountain,37,0.97220000,19.10497317,0
IceMountain,38,16.07280000,14.86606875,0
IceMountain,39,5.01500000,19.02629759,0
IceMountain,40,5.73660000,19.69771560,0
IceMountain,41,1.12160000,19.23538406,0
IceMountain,42,5.38760000,21.14218506,2
IceMountain,43,6.41180000,22.00000000,1
IceMountain,44,0.96040000,20.24845673,0
IceMountain,45,2.48620000,20.61552813,0
IceMountain,46,5.03240000,21.02379604,0
IceMountain,47,0.91480000,20.61552813,0
IceMountain,48,0.96980000,21.40093456,0
IceMountain,49,4.25600000,22.02271555,0
IceMountain,50,2.92080000,25.05992817,0
IceMountain,51,5.14340000,24.08318916,0
IceMountain,52,10.55340000,25.81961208,1
IceMountain,53,0.77240000,22.84731932,0
