Map,Query Number,Time,Distance,Path Length
JungleSiege,0,1.49440000,6.08276253,0
JungleSiege,1,2.12440000,5.65685425,0
JungleSiege,2,1.25000000,5.00000000,0
JungleSiege,3,1.21380000,4.12310563,0
JungleSiege,4,1.61380000,6.70820393,0
JungleSiege,5,5.92360000,6.08276253,0
JungleSiege,6,2.79440000,4.47213595,0
JungleSiege,7,0.97720000,4.12310563,0
JungleSiege,8,0.81120000,7.07106781,0
JungleSiege,9,1.64280000,5.83095189,0
JungleSiege,10,2.25960000,11.00000000,0
JungleSiege,11,1.59540000,10.00000000,0
JungleSiege,12,1.21720000,11.18033989,0
JungleSiege,13,0.94840000,9.48683298,0
JungleSiege,14,0.82700000,8.54400375,0
JungleSiege,15,1.50060000,8.48528137,0
JungleSiege,16,7.99900000,10.19803903,0
JungleSiege,17,1.58020000,8.06225775,0
JungleSiege,18,1.23400000,8.54400375,0
JungleSiege,19,5.74300000,9.21954446,0
JungleSiege,20,4.53580000,12.21954446,1
JungleSiege,21,0.97700000,13.60147051,0
JungleSiege,22,1.21620000,13.45362405,0
JungleSiege,23,5.97560000,11.18033989,0
JungleSiege,24,4.04040000,12.36931688,0
JungleSiege,25,1.05400000,15.00000000,0
JungleSiege,26,0.87760000,14.76482306,0
JungleSiege,27,0.86780000,14.31782106,0
JungleSiege,28,1.21860000,11.70469991,0
JungleSiege,29,1.47860000,14.56021978,0
JungleSiege,30,0.90460000,15.29705854,0
JungleSiege,31,4.57020000,16.49242250,0
JungleSiege,32,4.76760000,16.27882060,0
JungleSiege,33,3.21860000,17.72004515,0
JungleSiege,34,0.82020000,17.46424920,0
JungleSiege,35,1.04280000,15.62049935,0
JungleSiege,36,0.87100000,18.11077028,0
JungleSiege,37,4.01120000,16.49242250,0
JungleSiege,38,1.15880000,16.12451550,0
JungleSiege,39,3.63920000,17.69180601,0
JungleSiege,40,3.88760000,19.64688270,0
JungleSiege,41,0.90240000,20.00000000,0
JungleSiege,42,0.81780000,21.37755833,0
JungleSiege,43,1.10740000,20.39607805,0
JungleSiege,44,1.05260000,20.51828453,0
JungleSiege,45,0.76340000,21.02379604,0
JungleSiege,46,3.91300000,21.40093456,0
JungleSiege,47,1.02160000,21.21320344,0
JungleSiege,48,1.25600000,20.22374842,0
JungleSiege,49,3.28420000,22.36067977,0
JungleSiege,50,7.31760000,25.80697580,0
JungleSiege,51,1.20900000,24.08318916,0
JungleSiege,52,1.01740000,24.41311123,0
JungleSiege,53,0.65440000,25.96150997,0
JungleSiege,54,3.18300000,22.47220505,0
JungleSiege,55,0.87240000,24.73863375,0
JungleSiege,56,3.27800000,25.23885893,0
JungleSiege,57,5.46360000,26.30589288,0
JungleSiege,58,0.91840000,22.47220505,0
JungleSiege,59,6.87920000,25.49509757,0
JungleSiege,60,1.00100000,30.26549190,0
JungleSiege,61,2.58180000,28.79236010,0
JungleSiege,62,4.36600000,28.79236010,0
JungleSiege,63,0.97220000,26.92582404,0
JungleSiege,64,0.83520000,28.01785145,0
JungleSiege,65,0.76560000,27.73084925,0
JungleSiege,66,5.01260000,29.68164416,0
JungleSiege,67,5.83220000,28.16025568,0
JungleSiege,68,3.36020000,28.84441020,0
JungleSiege,69,4.38060000,29.41088234,0
JungleSiege,70,4.63900000,32.01562119,0
JungleSiege,71,7.71620000,32.01562119,0
JungleSiege,72,5.06160000,34.05877273,0
JungleSiege,73,0.71740000,32.28002478,0
JungleSiege,74,0.62260000,31.32091953,0
JungleSiege,75,7.49300000,33.24154028,0
JungleSiege,76,3.96460000,31.82766093,0
JungleSiege,77,4.17880000,33.83784863,0
JungleSiege,78,1.30260000,30.46309242,0
