Map,Query Number,Time,Distance,Path Length
Labyrinth,0,7.78240000,7.07106781,0
Labyrinth,1,5.38700000,5.09901951,0
Labyrinth,2,1.58400000,6.40312424,0
Labyrinth,3,1.32340000,7.00000000,0
Labyrinth,4,1.53440000,4.00000000,0
Labyrinth,5,0.87920000,5.00000000,0
Labyrinth,6,1.30300000,5.83095189,0
Labyrinth,7,5.04440000,5.09901951,0
Labyrinth,8,2.58920000,4.47213595,0
Labyrinth,9,5.18100000,6.70820393,0
Labyrinth,10,1.91720000,10.77032961,0
Labyrinth,11,1.31320000,8.94427191,0
Labyrinth,12,1.33440000,10.00000000,0
Labyrinth,13,1.46680000,9.89949494,0
Labyrinth,14,6.87960000,9.21954446,0
Labyrinth,15,1.67420000,10.77032961,0
Labyrinth,16,1.45680000,9.21954446,0
Labyrinth,17,4.06220000,7.81024968,0
Labyrinth,18,3.71260000,10.63014581,0
Labyrinth,19,1.93940000,9.84885780,0
Labyrinth,20,9.83720000,11.18033989,0
Labyrinth,21,1.91200000,14.31782106,0
Labyrinth,22,1.06340000,13.89244399,0
Labyrinth,23,0.73620000,11.40175425,0
Labyrinth,24,0.65740000,11.70469991,0
Labyrinth,25,1.47000000,14.31782106,0
Labyrinth,26,6.97780000,14.31782106,0
Labyrinth,27,0.86060000,11.18033989,0
Labyrinth,28,4.99100000,13.18033989,2
Labyrinth,29,0.90660000,12.04159458,0
Labyrinth,30,7.98340000,16.27882060,0
Labyrinth,31,6.09240000,16.97056275,0
Labyrinth,32,5.54140000,17.02938637,0
Labyrinth,33,5.76120000,16.15549442,0
Labyrinth,34,12.16400000,18.60107524,0
Labyrinth,35,2.96240000,16.97056275,0
Labyrinth,36,0.99280000,18.24828759,0
Labyrinth,37,1.33260000,16.64331698,0
Labyrinth,38,6.03500000,16.27882060,0
Labyrinth,39,6.44960000,19.10497317,0
Labyrinth,40,3.78360000,18.97366596,0
Labyrinth,41,5.31300000,21.84032967,0
Labyrinth,42,4.50140000,21.63330765,0
Labyrinth,43,0.88220000,22.02271555,0
Labyrinth,44,5.49560000,19.92485885,0
Labyrinth,45,4.95840000,22.20360331,0
Labyrinth,46,0.90400000,21.02379604,0
