Map,Query Number,Time,Distance,Path Length
LakeShore,0,5.47660000,6.32455532,0
LakeShore,1,4.39440000,6.08276253,0
LakeShore,2,1.55560000,5.65685425,0
LakeShore,3,1.66220000,6.00000000,0
LakeShore,4,2.13820000,6.32455532,0
LakeShore,5,1.19300000,6.40312424,0
LakeShore,6,3.67540000,6.32455532,0
LakeShore,7,5.27020000,7.07106781,0
LakeShore,8,1.54860000,6.08276253,0
LakeShore,9,1.25160000,6.40312424,0
LakeShore,10,7.22320000,9.21954446,0
LakeShore,11,1.64040000,10.81665383,0
LakeShore,12,8.20140000,9.00000000,0
LakeShore,13,0.97000000,9.05538514,0
LakeShore,14,5.11500000,10.00000000,0
LakeShore,15,6.51320000,10.00000000,0
LakeShore,16,1.68860000,7.61577311,0
LakeShore,17,0.88300000,9.48683298,0
LakeShore,18,0.69660000,9.21954446,0
LakeShore,19,3.45040000,8.24621125,0
LakeShore,20,3.31680000,14.76482306,0
LakeShore,21,6.64080000,12.20655562,0
LakeShore,22,5.15440000,15.03329638,0
LakeShore,23,2.37700000,12.52996409,0
LakeShore,24,1.19880000,15.00000000,0
LakeShore,25,1.70140000,14.56021978,0
LakeShore,26,4.66560000,12.08304597,0
LakeShore,27,4.86020000,11.66190379,0
LakeShore,28,4.37600000,15.13274595,0
LakeShore,29,3.31000000,11.40175425,0
LakeShore,30,4.64600000,18.38477631,0
LakeShore,31,8.01320000,16.31370850,2
LakeShore,32,4.79760000,18.24828759,0
LakeShore,33,7.66620000,15.81138830,0
LakeShore,34,3.52980000,16.00000000,0
LakeShore,35,1.21540000,15.81138830,0
LakeShore,36,7.14960000,15.65247584,0
LakeShore,37,0.80440000,17.11724277,0
LakeShore,38,0.63740000,17.72004515,0
LakeShore,39,4.04640000,15.62049935,0
LakeShore,40,3.96000000,21.95449840,0
LakeShore,41,4.13960000,20.61552813,0
LakeShore,42,4.76220000,21.40093456,0
LakeShore,43,4.70760000,22.80350850,0
LakeShore,44,5.23860000,22.80350850,0
LakeShore,45,8.49820000,19.23538406,0
LakeShore,46,5.81740000,21.40093456,0
LakeShore,47,5.21580000,23.00000000,0
LakeShore,48,4.76540000,21.09502311,0
LakeShore,49,4.28140000,20.61552813,0
LakeShore,50,2.11040000,25.00000000,0
LakeShore,51,0.83440000,25.49509757,0
LakeShore,52,3.72660000,23.85372088,0
LakeShore,53,6.57700000,25.94224354,0
