Map,Query Number,Time,Distance,Path Length
Medusa,0,2.80560000,6.08276253,0
Medusa,1,1.20960000,5.09901951,0
Medusa,2,1.72800000,7.07106781,0
Medusa,3,0.97440000,7.07106781,0
Medusa,4,7.24960000,5.83095189,0
Medusa,5,7.99360000,4.24264068,2
Medusa,6,1.01280000,7.07106781,0
Medusa,7,1.30460000,7.21110255,0
Medusa,8,1.13980000,5.83095189,0
Medusa,9,1.87740000,4.12310563,0
Medusa,10,0.95420000,10.81665383,0
Medusa,11,4.79720000,8.48528137,0
Medusa,12,0.86580000,10.44030651,0
Medusa,13,4.19340000,8.00000000,0
Medusa,14,1.75920000,10.04987562,0
Medusa,15,8.68920000,10.44030651,0
Medusa,16,1.27840000,11.04536102,0
Medusa,17,9.47540000,9.23606798,2
Medusa,18,1.03940000,7.81024968,0
Medusa,19,1.73560000,10.29563014,0
Medusa,20,0.84080000,15.03329638,0
Medusa,21,5.03280000,13.45362405,0
Medusa,22,5.25100000,14.03566885,0
Medusa,23,1.37160000,14.56021978,0
Medusa,24,5.55800000,13.15294644,0
Medusa,25,0.89780000,11.40175425,0
Medusa,26,4.20920000,12.16552506,0
Medusa,27,4.75380000,13.00000000,0
Medusa,28,0.93320000,14.31782106,0
Medusa,29,0.78780000,15.55634919,0
Medusa,30,4.58660000,17.49285568,0
Medusa,31,9.65540000,18.43908891,0
Medusa,32,1.24380000,14.86606875,0
Medusa,33,5.32040000,15.23154621,0
Medusa,34,1.34140000,16.27882060,0
Medusa,35,1.13840000,15.81138830,0
Medusa,36,2.78200000,16.03121954,0
Medusa,37,8.29680000,18.38477631,0
Medusa,38,1.69780000,16.12451550,0
Medusa,39,0.72940000,17.46424920,0
Medusa,40,1.13620000,19.92485885,0
Medusa,41,1.02840000,22.20360331,0
Medusa,42,4.73000000,20.24845673,0
Medusa,43,4.41080000,21.21320344,0
Medusa,44,9.19500000,21.42950236,2
Medusa,45,1.77700000,21.37755833,0
Medusa,46,6.36600000,23.02172887,0
Medusa,47,4.91280000,21.93171220,0
Medusa,48,0.80620000,20.02498439,0
Medusa,49,6.02260000,22.02271555,0
Medusa,50,0.67880000,24.83948470,0
Medusa,51,6.27740000,25.31797780,0
Medusa,52,1.77000000,25.29822128,0
Medusa,53,5.80640000,23.84744926,2
Medusa,54,4.21620000,24.33105012,0
Medusa,55,11.13660000,24.54098945,2
Medusa,56,1.12020000,25.00000000,0
Medusa,57,9.48060000,26.09975124,2
Medusa,58,5.72380000,26.00000000,0
Medusa,59,14.15500000,23.25940670,0
Medusa,60,7.23040000,28.79236010,0
Medusa,61,5.11460000,29.06888371,0
Medusa,62,7.88660000,29.54657341,0
Medusa,63,4.82120000,28.84441020,0
Medusa,64,0.77400000,29.12043956,0
Medusa,65,5.83920000,26.68332813,0
Medusa,66,3.15580000,27.73084925,0
Medusa,67,5.70480000,28.60069929,0
Medusa,68,2.78900000,28.01785145,0
Medusa,69,6.02280000,26.92582404,0
Medusa,70,10.60780000,33.01847042,5
Medusa,71,7.28620000,31.90611227,0
Medusa,72,3.94520000,31.95309062,0
Medusa,73,6.62360000,35.05709629,0
Medusa,74,10.31080000,33.24154028,0
Medusa,75,4.21440000,30.41381265,0
Medusa,76,4.46700000,30.23243292,0
Medusa,77,2.02060000,33.94112550,0
Medusa,78,8.87240000,29.96664813,0
Medusa,79,6.26180000,31.40063694,0
Medusa,80,1.25620000,36.35931793,0
Medusa,81,7.51500000,36.89173349,0
Medusa,82,12.30100000,35.04494887,3
Medusa,83,9.92620000,37.55370615,1
Medusa,84,2.43420000,35.90264614,0
Medusa,85,8.22980000,34.53983208,0
Medusa,86,8.28020000,35.51056181,0
Medusa,87,5.95100000,35.84689666,0
Medusa,88,1.40180000,35.77708764,0
Medusa,89,0.85780000,37.21558813,0
Medusa,90,11.13380000,39.99080202,2
Medusa,91,10.00900000,39.90691061,1
Medusa,92,7.78900000,41.00685340,6
Medusa,93,10.16020000,38.76469555,4
Medusa,94,5.00860000,37.73592453,0
Medusa,95,2.87460000,40.60788101,0
Medusa,96,6.30960000,43.04648650,0
Medusa,97,4.34220000,43.00000000,0
Medusa,98,6.47520000,42.42640687,0
Medusa,99,2.27380000,40.70626487,0
Medusa,100,6.71340000,44.72135955,0
Medusa,101,0.93700000,45.39823785,0
Medusa,102,9.09680000,43.87590534,1
Medusa,103,3.81680000,44.27188724,0
Medusa,104,0.63940000,42.42640687,0
Medusa,105,3.57060000,44.10215414,0
Medusa,106,5.90640000,41.18252056,0
Medusa,107,6.16980000,42.72001873,0
Medusa,108,4.76360000,42.48529157,0
Medusa,109,10.86400000,46.27355908,1
Medusa,110,13.34000000,47.04995856,13
Medusa,111,0.88500000,48.60041152,0
Medusa,112,0.64080000,47.50789408,0
Medusa,113,6.02480000,44.38468204,0
Medusa,114,12.48320000,46.23851209,0
Medusa,115,5.03140000,47.42362281,0
Medusa,116,13.04140000,48.26680178,2
Medusa,117,0.66200000,45.27692569,0
Medusa,118,3.37000000,50.00000000,0
Medusa,119,13.49620000,49.49747468,0
Medusa,120,12.47100000,50.78168354,12
Medusa,121,3.04800000,49.64876635,0
Medusa,122,10.01680000,48.46648326,0
Medusa,123,0.66780000,51.73973328,0
Medusa,124,18.71020000,50.81654776,4
Medusa,125,17.08740000,53.08647167,2
Medusa,126,3.65440000,51.97114584,0
Medusa,127,3.38160000,48.70318265,0
Medusa,128,0.73680000,49.24428901,0
Medusa,129,14.89500000,49.96236413,1
Medusa,130,21.87080000,56.27447391,9
Medusa,131,9.53980000,52.47856705,0
Medusa,132,5.16840000,54.57105460,0
Medusa,133,14.60920000,54.94554322,3
Medusa,134,3.10420000,53.15072906,0
Medusa,135,5.78020000,53.15072906,0
