Map,Query Number,Time,Distance,Path Length
OrbitalGully,0,7.49880000,6.08276253,0
OrbitalGully,1,1.31480000,7.07106781,0
OrbitalGully,2,1.22640000,7.07106781,0
OrbitalGully,3,10.04880000,6.70820393,0
OrbitalGully,4,1.26860000,5.00000000,0
OrbitalGully,5,1.01480000,7.00000000,0
OrbitalGully,6,1.02320000,4.47213595,0
OrbitalGully,7,1.16940000,5.09901951,0
OrbitalGully,8,3.69160000,6.70820393,0
OrbitalGully,9,0.95960000,7.21110255,0
OrbitalGully,10,1.78300000,8.94427191,0
OrbitalGully,11,0.89480000,9.48683298,0
OrbitalGully,12,0.83480000,10.63014581,0
OrbitalGully,13,4.96240000,10.04987562,0
OrbitalGully,14,7.30640000,9.89949494,0
OrbitalGully,15,1.02340000,9.43398113,0
OrbitalGully,16,1.15000000,10.63014581,0
OrbitalGully,17,1.33420000,11.18033989,0
OrbitalGully,18,6.21120000,11.40175425,0
OrbitalGully,19,1.65940000,7.61577311,0
OrbitalGully,20,0.73220000,11.40175425,0
OrbitalGully,21,1.15340000,12.08304597,0
OrbitalGully,22,0.89760000,13.60147051,0
OrbitalGully,23,0.81920000,12.16552506,0
OrbitalGully,24,3.82160000,13.34166406,0
OrbitalGully,25,0.99780000,13.15294644,0
OrbitalGully,26,2.01700000,11.66190379,0
OrbitalGully,27,0.95860000,12.52996409,0
OrbitalGully,28,2.43980000,13.41640786,0
OrbitalGully,29,7.52380000,10.62123279,5
OrbitalGully,30,3.16180000,16.27882060,0
OrbitalGully,31,1.03480000,19.20937271,0
OrbitalGully,32,1.05640000,17.20465053,0
OrbitalGully,33,2.76740000,15.65247584,0
OrbitalGully,34,0.83240000,19.20937271,0
OrbitalGully,35,0.56440000,17.72004515,0
OrbitalGully,36,0.69360000,16.15549442,0
OrbitalGully,37,0.64640000,18.35755975,0
OrbitalGully,38,4.09520000,19.20937271,0
OrbitalGully,39,3.51820000,17.00000000,0
OrbitalGully,40,0.64120000,21.40093456,0
OrbitalGully,41,6.22660000,19.41648784,0
OrbitalGully,42,0.70960000,23.02172887,0
OrbitalGully,43,0.80080000,20.02498439,0
OrbitalGully,44,1.21580000,20.24845673,0
OrbitalGully,45,3.92860000,21.21320344,0
OrbitalGully,46,0.74220000,18.68154169,0
OrbitalGully,47,0.76920000,19.64688270,0
OrbitalGully,48,0.75540000,21.26029163,0
OrbitalGully,49,0.59840000,18.86796226,0
OrbitalGully,50,7.64720000,23.41073439,1
OrbitalGully,51,0.84560000,22.82542442,0
OrbitalGully,52,1.21020000,26.07680962,0
OrbitalGully,53,0.47840000,24.18677324,0
OrbitalGully,54,0.71580000,24.83948470,0
OrbitalGully,55,7.22900000,25.55386468,0
OrbitalGully,56,1.91060000,24.16609195,0
OrbitalGully,57,4.82600000,23.25940670,0
OrbitalGully,58,1.10720000,24.69817807,0
OrbitalGully,59,0.68240000,26.87005769,0
OrbitalGully,60,2.05020000,27.01851217,0
OrbitalGully,61,8.41800000,27.29468813,0
OrbitalGully,62,3.76660000,27.45906044,0
OrbitalGully,63,0.71740000,31.14482300,0
OrbitalGully,64,1.39300000,26.92582404,0
OrbitalGully,65,10.12360000,26.83281573,0
OrbitalGully,66,4.84440000,28.79236010,0
OrbitalGully,67,5.12100000,28.07133770,0
OrbitalGully,68,5.60200000,30.61045573,0
OrbitalGully,69,7.40480000,29.83286778,0
OrbitalGully,70,5.34780000,34.01470270,0
OrbitalGully,71,1.01080000,33.28663395,0
OrbitalGully,72,0.71880000,32.24903099,0
OrbitalGully,73,4.77020000,34.01470270,0
OrbitalGully,74,0.82140000,30.01666204,0
OrbitalGully,75,2.95660000,34.23448554,0
OrbitalGully,76,10.93520000,33.05930509,1
OrbitalGully,77,8.52980000,35.05709629,0
OrbitalGully,78,15.00240000,31.92003878,1
OrbitalGully,79,3.56720000,33.01514804,0
OrbitalGully,80,3.65880000,33.83784863,0
OrbitalGully,81,5.70820000,36.71511950,0
OrbitalGully,82,7.88740000,37.43933937,2
OrbitalGully,83,10.73980000,37.33105012,1
OrbitalGully,84,12.02040000,35.29337855,1
OrbitalGully,85,3.24420000,36.49657518,0
OrbitalGully,86,8.96500000,36.05551275,0
OrbitalGully,87,2.82240000,39.05124838,0
OrbitalGully,88,6.37280000,34.00000000,0
OrbitalGully,89,0.82660000,37.00000000,0
OrbitalGully,90,13.10820000,40.53718150,3
OrbitalGully,91,7.03340000,39.12604883,1
OrbitalGully,92,6.00460000,39.96248241,0
OrbitalGully,93,0.83460000,41.23105626,0
OrbitalGully,94,3.99800000,39.44616585,0
OrbitalGully,95,5.43080000,41.10960958,0
OrbitalGully,96,27.15260000,39.78335203,5
OrbitalGully,97,3.25120000,40.11234224,0
OrbitalGully,98,8.06500000,42.19004622,0
OrbitalGully,99,9.30060000,43.13930922,0
OrbitalGully,100,3.83380000,43.56604182,0
OrbitalGully,101,5.66560000,43.18564576,0
OrbitalGully,102,4.16260000,42.95346319,0
OrbitalGully,103,9.53120000,41.82390581,1
OrbitalGully,104,14.06120000,44.40720662,0
OrbitalGully,105,4.55960000,41.23105626,0
OrbitalGully,106,7.73380000,43.82921400,0
OrbitalGully,107,4.23340000,41.78516483,0
OrbitalGully,108,4.58620000,42.95346319,0
OrbitalGully,109,1.95320000,44.65422712,0
OrbitalGully,110,2.35600000,47.85394446,0
OrbitalGully,111,6.86280000,47.92702787,0
OrbitalGully,112,0.57040000,46.04345773,0
OrbitalGully,113,3.47440000,46.87216658,0
OrbitalGully,114,6.09900000,48.27007354,0
OrbitalGully,115,3.93060000,47.85394446,0
OrbitalGully,116,6.64240000,50.26009746,4
OrbitalGully,117,6.52960000,46.84015371,0
OrbitalGully,118,3.06200000,49.36598019,0
OrbitalGully,119,8.04980000,48.01666204,2
OrbitalGully,120,3.30220000,51.08815910,0
OrbitalGully,121,0.81700000,50.99019514,0
