Map,Query Number,Time,Distance,Path Length
PrimevalIsles,0,5.39760000,6.32455532,0
PrimevalIsles,1,1.92760000,7.28010989,0
PrimevalIsles,2,2.18560000,6.08276253,0
PrimevalIsles,3,1.40460000,6.40312424,0
PrimevalIsles,4,5.83220000,7.21110255,0
PrimevalIsles,5,1.36820000,6.40312424,0
PrimevalIsles,6,6.44220000,6.70820393,0
PrimevalIsles,7,1.12020000,5.09901951,0
PrimevalIsles,8,0.94300000,5.83095189,0
PrimevalIsles,9,5.39200000,6.32455532,0
PrimevalIsles,10,7.10180000,9.89949494,0
PrimevalIsles,11,6.92840000,10.29563014,0
PrimevalIsles,12,3.96440000,8.60232527,0
PrimevalIsles,13,1.48400000,10.44030651,0
PrimevalIsles,14,1.74340000,9.05538514,0
PrimevalIsles,15,1.06180000,9.43398113,0
PrimevalIsles,16,1.64200000,10.44030651,0
PrimevalIsles,17,5.46760000,9.00000000,2
PrimevalIsles,18,6.04980000,9.05538514,0
PrimevalIsles,19,1.50420000,8.06225775,0
PrimevalIsles,20,1.74500000,13.15294644,0
PrimevalIsles,21,1.30520000,13.60147051,0
PrimevalIsles,22,1.08120000,12.20655562,0
PrimevalIsles,23,3.64460000,14.86606875,0
PrimevalIsles,24,1.18700000,14.21267040,0
PrimevalIsles,25,4.87360000,13.92838828,0
PrimevalIsles,26,1.16980000,13.60147051,0
PrimevalIsles,27,0.99120000,11.18033989,0
PrimevalIsles,28,5.49240000,14.03566885,0
PrimevalIsles,29,1.27040000,14.86606875,0
PrimevalIsles,30,2.62180000,16.49242250,0
PrimevalIsles,31,10.49060000,19.20937271,0
PrimevalIsles,32,1.33820000,18.02775638,0
PrimevalIsles,33,3.39260000,16.55294536,0
PrimevalIsles,34,16.04000000,18.43908891,0
PrimevalIsles,35,1.53940000,15.26433752,0
PrimevalIsles,36,3.79400000,17.69180601,0
PrimevalIsles,37,0.97340000,16.00000000,0
PrimevalIsles,38,1.01200000,18.11077028,0
PrimevalIsles,39,9.80540000,18.38477631,0
PrimevalIsles,40,6.74840000,19.35465184,1
PrimevalIsles,41,7.86520000,20.88061302,0
PrimevalIsles,42,1.39020000,22.00000000,0
