Map,Query Number,Time,Distance,Path Length
Rosewood,0,5.29160000,5.65685425,0
Rosewood,1,1.06340000,5.09901951,0
Rosewood,2,1.36200000,7.07106781,0
Rosewood,3,3.64240000,6.40312424,0
Rosewood,4,0.98880000,6.32455532,0
Rosewood,5,5.53220000,6.08276253,0
Rosewood,6,0.78400000,4.24264069,0
Rosewood,7,0.79060000,5.83095189,0
Rosewood,8,4.24980000,5.00000000,0
Rosewood,9,4.08120000,4.47213595,0
Rosewood,10,0.78560000,8.48528137,0
Rosewood,11,0.56120000,10.19803903,0
Rosewood,12,0.75580000,11.04536102,0
Rosewood,13,3.95860000,10.63014581,0
Rosewood,14,0.71860000,11.31370850,0
Rosewood,15,0.88720000,10.77032961,0
Rosewood,16,3.50460000,8.94427191,0
Rosewood,17,0.76560000,9.21954446,0
Rosewood,18,0.58340000,8.06225775,0
Rosewood,19,0.54020000,8.00000000,0
Rosewood,20,0.53940000,15.13274595,0
Rosewood,21,3.40880000,13.03840481,0
Rosewood,22,5.28520000,13.00000000,0
Rosewood,23,3.08580000,14.31782106,0
Rosewood,24,3.22760000,13.92838828,0
Rosewood,25,0.79360000,11.18033989,0
Rosewood,26,0.76600000,12.52996409,0
Rosewood,27,4.25260000,11.70469991,0
Rosewood,28,6.01500000,12.20655562,0
Rosewood,29,3.38200000,14.00000000,0
Rosewood,30,4.75700000,14.86606875,0
Rosewood,31,4.90140000,17.08800749,0
Rosewood,32,0.77520000,18.38477631,0
Rosewood,33,0.65800000,15.81138830,0
Rosewood,34,0.82980000,15.81138830,0
Rosewood,35,0.67500000,15.62049935,0
Rosewood,36,0.87060000,16.40121947,0
Rosewood,37,0.59340000,15.81138830,0
Rosewood,38,3.44800000,15.23154621,0
Rosewood,39,0.60500000,15.26433752,0
Rosewood,40,2.84880000,23.02172887,0
Rosewood,41,0.88540000,18.97366596,0
Rosewood,42,4.60560000,21.40093456,0
Rosewood,43,7.30660000,19.10778652,2
Rosewood,44,5.21940000,21.13040903,1
Rosewood,45,2.29900000,21.93171220,0
Rosewood,46,0.79700000,22.20360331,0
Rosewood,47,1.87480000,19.92485885,0
