Map,Query Number,Time,Distance,Path Length
Sanctuary,0,1.24820000,7.00000000,0
Sanctuary,1,1.94240000,7.07106781,0
Sanctuary,2,7.55740000,6.40312424,0
Sanctuary,3,1.03800000,5.00000000,0
Sanctuary,4,6.07520000,5.38516481,0
Sanctuary,5,1.00800000,7.07106781,0
Sanctuary,6,1.31820000,7.21110255,0
Sanctuary,7,0.88960000,4.12310563,0
Sanctuary,8,3.18340000,7.21110255,0
Sanctuary,9,0.88940000,6.08276253,0
Sanctuary,10,3.94220000,9.21954446,0
Sanctuary,11,1.04120000,10.04987562,0
Sanctuary,12,1.03820000,11.18033989,0
Sanctuary,13,0.96400000,10.63014581,0
Sanctuary,14,0.85540000,9.43398113,0
Sanctuary,15,0.99220000,8.06225775,0
Sanctuary,16,0.85680000,7.81024968,0
Sanctuary,17,0.95180000,8.06225775,0
Sanctuary,18,0.68560000,9.05538514,0
Sanctuary,19,0.60340000,9.43398113,0
Sanctuary,20,0.59460000,15.00000000,0
Sanctuary,21,3.52680000,14.42220510,0
Sanctuary,22,0.76840000,15.00000000,0
Sanctuary,23,0.92240000,14.14213562,0
Sanctuary,24,3.66160000,12.52996409,0
Sanctuary,25,2.76180000,11.18033989,0
Sanctuary,26,3.21360000,13.03840481,0
Sanctuary,27,8.01360000,13.11132817,2
Sanctuary,28,4.31900000,15.03329638,0
Sanctuary,29,1.11980000,15.03329638,0
Sanctuary,30,0.58320000,17.80449381,0
Sanctuary,31,0.64920000,18.60107524,0
Sanctuary,32,0.85780000,18.35755975,0
Sanctuary,33,0.55920000,16.55294536,0
Sanctuary,34,0.63520000,18.11077028,0
Sanctuary,35,1.36280000,17.02938637,0
Sanctuary,36,0.81560000,18.60107524,0
Sanctuary,37,2.90880000,16.15549442,0
Sanctuary,38,4.74640000,17.08800749,0
Sanctuary,39,3.70580000,17.02938637,0
Sanctuary,40,4.11660000,19.41648784,0
Sanctuary,41,0.64080000,21.93171220,0
Sanctuary,42,0.86260000,20.24845673,0
Sanctuary,43,3.38820000,20.80865205,0
Sanctuary,44,4.62580000,20.00000000,0
Sanctuary,45,5.77500000,20.64688270,1
Sanctuary,46,3.85600000,21.54065923,0
Sanctuary,47,0.61300000,18.68154169,0
Sanctuary,48,5.46180000,20.61552813,0
Sanctuary,49,3.00100000,22.20360331,0
Sanctuary,50,0.56440000,24.08318916,0
Sanctuary,51,0.60840000,25.29822128,0
Sanctuary,52,2.49820000,24.00000000,0
Sanctuary,53,3.25340000,25.63201124,0
Sanctuary,54,4.21620000,24.69817807,0
Sanctuary,55,3.43880000,23.34523506,0
Sanctuary,56,4.09680000,25.31797780,0
Sanctuary,57,3.63940000,24.20743687,0
Sanctuary,58,4.88320000,24.69817807,0
Sanctuary,59,5.33180000,23.25940670,0
Sanctuary,60,9.17800000,30.32380758,1
Sanctuary,61,0.93900000,30.41381265,0
Sanctuary,62,4.62260000,28.13760543,3
Sanctuary,63,6.13460000,31.06444913,0
Sanctuary,64,4.34240000,29.20616373,0
Sanctuary,65,0.70680000,29.00000000,0
Sanctuary,66,0.62480000,27.89265136,0
Sanctuary,67,6.56840000,28.77344579,1
Sanctuary,68,4.33100000,26.36067977,2
Sanctuary,69,2.77100000,27.45906044,0
Sanctuary,70,6.44200000,30.88689042,0
Sanctuary,71,4.63300000,33.54101966,0
Sanctuary,72,10.50600000,31.46309242,1
Sanctuary,73,3.94300000,30.87069808,0
Sanctuary,74,5.15840000,30.80584360,0
Sanctuary,75,0.73660000,32.75667871,0
Sanctuary,76,0.60820000,31.95309062,0
Sanctuary,77,0.65220000,33.12099032,0
Sanctuary,78,0.71080000,30.08321791,0
Sanctuary,79,3.83340000,33.37663854,0
Sanctuary,80,1.98460000,35.00000000,0
Sanctuary,81,0.63980000,36.23534186,0
Sanctuary,82,3.73480000,36.06937759,0
Sanctuary,83,0.64260000,34.66987165,0
Sanctuary,84,9.24280000,34.98571137,0
Sanctuary,85,3.13280000,36.23534186,0
Sanctuary,86,5.26540000,36.05551275,0
Sanctuary,87,2.95380000,34.13209633,0
Sanctuary,88,0.58340000,36.23534186,0
Sanctuary,89,2.70900000,34.82814953,0
Sanctuary,90,0.51560000,38.94868419,0
Sanctuary,91,0.52500000,40.70626487,0
Sanctuary,92,2.87320000,38.83297568,0
Sanctuary,93,5.54840000,42.52058325,0
Sanctuary,94,2.22160000,41.23105626,0
Sanctuary,95,2.54760000,39.40812099,0
Sanctuary,96,2.50440000,43.04648650,0
Sanctuary,97,3.11940000,37.85498646,0
Sanctuary,98,12.82220000,39.69045501,2
Sanctuary,99,3.01560000,43.13930922,0
Sanctuary,100,6.80700000,44.72135955,0
Sanctuary,101,5.21140000,46.01086828,0
Sanctuary,102,3.74760000,41.18252056,0
Sanctuary,103,2.38200000,43.32435804,0
Sanctuary,104,3.72740000,47.38143096,0
Sanctuary,105,4.25100000,43.68468842,1
Sanctuary,106,6.61420000,44.04543109,0
Sanctuary,107,2.00900000,43.38202393,0
Sanctuary,108,0.85760000,43.01162634,0
Sanctuary,109,3.67580000,46.75467891,0
Sanctuary,110,0.74720000,46.52956050,0
Sanctuary,111,4.58480000,47.16990566,0
Sanctuary,112,0.70700000,48.01041554,0
Sanctuary,113,0.64040000,48.79549160,0
Sanctuary,114,6.44520000,45.35416188,0
Sanctuary,115,6.81140000,48.83646179,0
Sanctuary,116,8.85840000,47.38109147,4
Sanctuary,117,7.45300000,46.23851209,0
Sanctuary,118,0.69940000,46.69047012,0
Sanctuary,119,4.07500000,47.43416490,0
Sanctuary,120,7.96580000,51.66236541,0
Sanctuary,121,4.32740000,52.17278984,0
Sanctuary,122,2.42460000,49.40647731,0
Sanctuary,123,4.35020000,51.35172831,0
Sanctuary,124,4.83560000,50.44799302,0
Sanctuary,125,0.49240000,50.00000000,0
Sanctuary,126,11.92560000,48.30113870,0
Sanctuary,127,24.53700000,48.27562620,8
Sanctuary,128,5.80840000,52.40229003,0
Sanctuary,129,12.17320000,49.72273558,4
Sanctuary,130,7.62000000,55.28493819,7
Sanctuary,131,11.94240000,53.40054945,1
Sanctuary,132,0.83580000,56.08921465,0
Sanctuary,133,2.47960000,56.22277119,0
Sanctuary,134,0.56620000,54.58937626,0
Sanctuary,135,5.80200000,53.66563146,0
Sanctuary,136,4.01820000,56.22277119,0
Sanctuary,137,4.53400000,57.00000000,0
Sanctuary,138,0.62020000,55.21775077,0
Sanctuary,139,8.69340000,55.85943763,1
Sanctuary,140,3.40600000,61.07372594,0
Sanctuary,141,3.51920000,63.00793601,0
Sanctuary,142,5.45340000,57.72347876,0
Sanctuary,143,8.42420000,58.83026432,0
Sanctuary,144,2.20860000,56.35601121,0
Sanctuary,145,14.80620000,58.35626337,3
Sanctuary,146,10.27160000,59.03388857,0
Sanctuary,147,3.49540000,60.01666435,0
Sanctuary,148,7.05180000,57.99965831,2
Sanctuary,149,2.84480000,60.30754513,0
Sanctuary,150,9.49500000,62.64065962,3
Sanctuary,151,4.41380000,67.00746227,0
Sanctuary,152,12.11840000,64.91829923,2
Sanctuary,153,6.50140000,61.85466838,0
Sanctuary,154,3.09060000,63.89053138,0
Sanctuary,155,10.45100000,66.48308055,0
Sanctuary,156,7.99780000,61.03277808,0
Sanctuary,157,2.88540000,66.48308055,0
Sanctuary,158,5.65580000,65.29931087,0
Sanctuary,159,5.33900000,67.02984410,0
Sanctuary,160,4.33600000,67.47592163,0
Sanctuary,161,3.75600000,64.76109943,0
Sanctuary,162,4.17120000,63.78871374,0
Sanctuary,163,12.61320000,67.20119047,0
Sanctuary,164,4.41080000,66.30987860,0
Sanctuary,165,4.67480000,64.51356447,0
Sanctuary,166,4.46840000,65.49045732,0
Sanctuary,167,7.68840000,66.57326791,0
Sanctuary,168,1.82640000,66.48308055,0
Sanctuary,169,7.72640000,67.10674660,1
Sanctuary,170,0.62480000,68.65857558,0
Sanctuary,171,5.41400000,69.63476143,0
Sanctuary,172,4.62540000,68.68041933,0
Sanctuary,173,3.42700000,69.63476143,0
Sanctuary,174,5.67540000,67.44627492,0
Sanctuary,175,3.09900000,69.05070601,0
Sanctuary,176,2.69760000,69.58448103,0
Sanctuary,177,9.79760000,69.26037828,0
Sanctuary,178,2.38020000,73.66138744,0
Sanctuary,179,8.32280000,68.61843699,1
Sanctuary,180,10.90680000,76.32168761,0
Sanctuary,181,3.00040000,70.83784299,0
Sanctuary,182,2.76700000,73.49829930,0
Sanctuary,183,8.04600000,71.85936130,4
Sanctuary,184,4.99480000,74.33034374,0
Sanctuary,185,0.48440000,73.43704787,0
Sanctuary,186,3.07040000,72.80109889,0
Sanctuary,187,9.66140000,72.80109889,0
Sanctuary,188,12.71020000,75.83985423,2
Sanctuary,189,7.13220000,72.92976665,5
Sanctuary,190,9.41560000,75.66372975,0
Sanctuary,191,22.62340000,78.87463983,3
Sanctuary,192,5.72520000,81.32035416,0
Sanctuary,193,6.50240000,79.24645102,0
Sanctuary,194,0.72060000,75.92759709,0
Sanctuary,195,7.89100000,77.20103626,0
Sanctuary,196,7.12620000,76.15773106,0
Sanctuary,197,16.13980000,75.86800860,7
Sanctuary,198,7.48520000,78.08969202,0
Sanctuary,199,3.09460000,76.00657866,0
Sanctuary,200,6.65320000,81.68843247,0
Sanctuary,201,9.75920000,80.61271942,2
Sanctuary,202,5.58340000,82.49242389,0
Sanctuary,203,13.00640000,82.81630691,5
Sanctuary,204,6.95340000,79.12016178,0
Sanctuary,205,2.38020000,80.70935510,0
Sanctuary,206,12.81980000,80.99786159,1
Sanctuary,207,10.79340000,81.63332653,0
Sanctuary,208,6.49040000,79.62411695,0
Sanctuary,209,16.77300000,80.23660690,5
Sanctuary,210,8.68740000,84.13090722,2
Sanctuary,211,11.82260000,87.02318705,1
Sanctuary,212,19.31920000,82.29454697,6
Sanctuary,213,21.04820000,88.67319859,10
Sanctuary,214,9.04900000,83.94808649,3
Sanctuary,215,6.26060000,84.62860037,0
Sanctuary,216,6.88740000,82.85529555,0
Sanctuary,217,12.44360000,87.64200369,15
Sanctuary,218,4.23520000,85.84287973,0
Sanctuary,219,8.82300000,84.20213774,0
Sanctuary,220,5.25860000,88.49344358,2
Sanctuary,221,4.57480000,87.36704184,0
Sanctuary,222,7.61200000,87.77674556,1
Sanctuary,223,7.59560000,88.23831367,0
Sanctuary,224,5.32000000,85.95929269,0
Sanctuary,225,9.55700000,88.37524264,2
Sanctuary,226,3.99120000,91.08786966,0
Sanctuary,227,8.09040000,88.51072227,4
Sanctuary,228,13.03240000,90.93957546,3
Sanctuary,229,5.75640000,88.75246475,0
Sanctuary,230,4.46000000,96.42095208,0
Sanctuary,231,9.37840000,90.46215149,2
Sanctuary,232,4.35940000,89.47066558,0
Sanctuary,233,14.20060000,92.94862589,6
Sanctuary,234,3.73620000,90.44335244,0
Sanctuary,235,11.02020000,93.98483425,1
Sanctuary,236,5.21460000,94.26027795,0
Sanctuary,237,11.25320000,93.46500922,2
Sanctuary,238,13.01040000,92.49242389,2
