Map,Query Number,Time,Distance,Path Length
SapphireIsles,0,5.30820000,6.08276253,0
SapphireIsles,1,2.43820000,7.21110255,0
SapphireIsles,2,1.05880000,5.09901951,0
SapphireIsles,3,0.80560000,7.28010989,0
SapphireIsles,4,1.00740000,5.00000000,0
SapphireIsles,5,0.94500000,7.07106781,0
SapphireIsles,6,1.19460000,7.07106781,0
SapphireIsles,7,0.61940000,7.00000000,0
SapphireIsles,8,1.05680000,5.38516481,0
SapphireIsles,9,1.09740000,6.70820393,0
SapphireIsles,10,4.15820000,11.18033989,0
SapphireIsles,11,3.50300000,10.29563014,0
SapphireIsles,12,0.82040000,11.40175425,0
SapphireIsles,13,0.80920000,10.00000000,0
SapphireIsles,14,6.60980000,10.63014581,0
SapphireIsles,15,3.00780000,8.06225775,0
SapphireIsles,16,1.01820000,8.60232527,0
SapphireIsles,17,0.73720000,9.48683298,0
SapphireIsles,18,0.84820000,7.61577311,0
SapphireIsles,19,6.92640000,8.60232527,0
SapphireIsles,20,1.08540000,11.18033989,0
SapphireIsles,21,0.74640000,12.08304597,0
SapphireIsles,22,0.99640000,14.14213562,0
SapphireIsles,23,5.35920000,14.56021978,0
SapphireIsles,24,1.06740000,13.15294644,0
SapphireIsles,25,0.66140000,14.00000000,0
SapphireIsles,26,0.98860000,14.56021978,0
SapphireIsles,27,0.79360000,12.52996409,0
SapphireIsles,28,0.74700000,13.00000000,0
SapphireIsles,29,4.80200000,14.76482306,0
SapphireIsles,30,0.63400000,15.52417470,0
SapphireIsles,31,3.71380000,17.80449381,0
SapphireIsles,32,3.22820000,17.00000000,0
SapphireIsles,33,1.06180000,16.12451550,0
SapphireIsles,34,0.91280000,17.26267650,0
SapphireIsles,35,7.46380000,19.10497317,0
SapphireIsles,36,0.99000000,17.72004515,0
SapphireIsles,37,4.97720000,17.69180601,0
SapphireIsles,38,1.29620000,17.26267650,0
SapphireIsles,39,0.66240000,19.79898987,0
SapphireIsles,40,3.16620000,20.61552813,0
SapphireIsles,41,5.42660000,21.18962010,0
SapphireIsles,42,3.92620000,21.93171220,0
SapphireIsles,43,0.91960000,19.23538406,0
SapphireIsles,44,3.33200000,19.23538406,0
SapphireIsles,45,0.85320000,21.09502311,0
SapphireIsles,46,7.76400000,21.58703314,0
SapphireIsles,47,1.02380000,22.67156810,0
SapphireIsles,48,0.69140000,21.47091055,0
SapphireIsles,49,2.75340000,22.80350850,0
SapphireIsles,50,0.59680000,25.17935662,0
SapphireIsles,51,0.79660000,25.23885893,0
SapphireIsles,52,0.68460000,22.80350850,0
SapphireIsles,53,0.68820000,23.25940670,0
SapphireIsles,54,2.29660000,24.04163056,0
SapphireIsles,55,0.79420000,25.01999201,0
SapphireIsles,56,4.22340000,25.96150997,0
SapphireIsles,57,3.06040000,24.02082430,0
SapphireIsles,58,0.80040000,24.18677324,0
SapphireIsles,59,0.96500000,24.08318916,0
SapphireIsles,60,0.57620000,29.15475947,0
SapphireIsles,61,3.18480000,29.01723626,0
SapphireIsles,62,4.66700000,27.31300057,0
SapphireIsles,63,6.27060000,29.68164416,0
SapphireIsles,64,1.92680000,26.62705391,0
SapphireIsles,65,6.48160000,28.31300057,1
SapphireIsles,66,13.05520000,28.31960452,0
SapphireIsles,67,1.83840000,29.00000000,0
SapphireIsles,68,4.63880000,28.28427125,0
SapphireIsles,69,6.95060000,26.65158097,1
SapphireIsles,70,3.06480000,32.55764119,0
SapphireIsles,71,3.82780000,34.71310992,0
SapphireIsles,72,0.63440000,33.00000000,0
SapphireIsles,73,7.19140000,31.15475947,2
SapphireIsles,74,9.61800000,34.65544690,0
SapphireIsles,75,5.28300000,30.02216735,3
SapphireIsles,76,0.62140000,34.13209633,0
SapphireIsles,77,0.52480000,32.06243908,0
SapphireIsles,78,8.64880000,30.87171010,1
