Map,Query Number,Time,Distance,Path Length
SpaceDebris,0,6.39920000,6.32455532,0
SpaceDebris,1,1.15620000,4.24264069,0
SpaceDebris,2,2.80600000,5.00000000,0
SpaceDebris,3,4.15240000,5.00000000,1
SpaceDebris,4,0.74500000,5.00000000,0
SpaceDebris,5,1.13340000,6.08276253,0
SpaceDebris,6,0.73200000,6.32455532,0
SpaceDebris,7,0.84860000,5.38516481,0
SpaceDebris,8,1.03440000,4.12310563,0
SpaceDebris,9,0.77800000,4.47213595,0
SpaceDebris,10,0.87340000,7.81024968,0
SpaceDebris,11,5.21580000,10.00000000,0
SpaceDebris,12,0.56300000,10.04987562,0
SpaceDebris,13,0.80200000,10.19803903,0
SpaceDebris,14,3.88480000,10.19803903,0
SpaceDebris,15,1.00100000,9.48683298,0
SpaceDebris,16,0.43460000,11.04536102,0
SpaceDebris,17,2.09500000,7.81024968,0
SpaceDebris,18,0.88600000,8.06225775,0
SpaceDebris,19,2.47460000,9.43398113,0
SpaceDebris,20,1.25660000,14.00000000,0
SpaceDebris,21,2.38720000,12.08304597,0
SpaceDebris,22,4.82340000,14.76482306,0
SpaceDebris,23,0.62720000,11.40175425,0
SpaceDebris,24,0.67140000,13.00000000,0
SpaceDebris,25,0.75940000,13.89244399,0
SpaceDebris,26,0.44240000,12.52996409,0
SpaceDebris,27,2.62360000,13.60147051,0
SpaceDebris,28,0.77320000,14.42220510,0
SpaceDebris,29,5.46880000,14.21267040,0
SpaceDebris,30,0.72440000,17.02938637,0
SpaceDebris,31,0.52020000,17.49285568,0
SpaceDebris,32,1.05440000,19.10497317,0
SpaceDebris,33,2.52580000,16.12451550,0
SpaceDebris,34,1.35120000,17.20465053,0
SpaceDebris,35,3.13180000,18.02775638,0
SpaceDebris,36,2.96320000,15.26433752,0
SpaceDebris,37,0.53800000,18.02775638,0
SpaceDebris,38,3.70020000,17.08800749,0
SpaceDebris,39,0.81640000,18.02775638,0
SpaceDebris,40,2.19320000,21.00000000,0
