Map,Query Number,Time,Distance,Path Length
SteppingStones,0,1.31840000,6.40312424,0
SteppingStones,1,1.08920000,7.07106781,0
SteppingStones,2,0.79900000,6.32455532,0
SteppingStones,3,5.21100000,4.00000000,0
SteppingStones,4,3.35640000,5.38516481,0
SteppingStones,5,0.77900000,7.07106781,0
SteppingStones,6,0.77380000,5.38516481,0
SteppingStones,7,0.93000000,4.12310563,0
SteppingStones,8,4.59940000,4.00000000,0
SteppingStones,9,0.99280000,7.28010989,0
SteppingStones,10,2.41620000,10.77032961,0
SteppingStones,11,3.90060000,9.05538514,0
SteppingStones,12,0.83260000,10.44030651,0
SteppingStones,13,0.75520000,9.21954446,0
SteppingStones,14,4.49080000,9.84885780,0
SteppingStones,15,0.85580000,9.21954446,0
SteppingStones,16,0.66820000,8.48528137,0
SteppingStones,17,4.01680000,9.43398113,0
SteppingStones,18,0.87880000,8.06225775,0
SteppingStones,19,9.33900000,10.00000000,2
SteppingStones,20,0.71620000,13.45362405,0
SteppingStones,21,2.64040000,14.86606875,0
SteppingStones,22,0.69500000,15.00000000,0
SteppingStones,23,1.04200000,15.00000000,0
SteppingStones,24,5.35400000,12.28538329,2
SteppingStones,25,4.03080000,11.84885780,1
SteppingStones,26,2.07160000,12.36931688,0
SteppingStones,27,5.27440000,12.16552506,0
SteppingStones,28,4.15340000,14.42220510,0
SteppingStones,29,0.69440000,13.89244399,0
SteppingStones,30,3.31320000,16.12451550,0
SteppingStones,31,0.63540000,15.23154621,0
SteppingStones,32,3.59680000,16.40121947,0
SteppingStones,33,2.37800000,18.11077028,0
SteppingStones,34,0.76960000,15.23154621,0
SteppingStones,35,0.86700000,15.29705854,0
SteppingStones,36,0.44040000,15.62049935,0
SteppingStones,37,0.71680000,19.20937271,0
SteppingStones,38,4.08420000,16.27882060,0
SteppingStones,39,3.53940000,18.38477631,0
SteppingStones,40,2.87880000,23.08679276,0
SteppingStones,41,3.22220000,20.88061302,0
SteppingStones,42,0.50860000,20.88061302,0
SteppingStones,43,1.89420000,19.41648784,0
SteppingStones,44,0.65160000,21.47091055,0
SteppingStones,45,2.36380000,22.47220505,0
SteppingStones,46,0.60120000,20.61552813,0
SteppingStones,47,2.62060000,21.21320344,0
SteppingStones,48,0.81060000,23.08679276,0
SteppingStones,49,1.91100000,22.00000000,0
SteppingStones,50,3.55020000,26.30589288,0
SteppingStones,51,6.95340000,25.33014253,1
SteppingStones,52,10.03580000,25.05538514,2
SteppingStones,53,5.53240000,25.63201124,0
SteppingStones,54,7.34800000,23.67759703,3
SteppingStones,55,1.12400000,23.76972865,0
SteppingStones,56,5.76760000,24.18677324,0
SteppingStones,57,6.23780000,26.35931114,1
SteppingStones,58,2.74780000,23.43074903,0
SteppingStones,59,2.46240000,26.87005769,0
SteppingStones,60,0.86220000,30.06659276,0
SteppingStones,61,2.92020000,28.28427125,0
SteppingStones,62,3.56300000,29.42787794,0
SteppingStones,63,0.85380000,27.65863337,0
SteppingStones,64,4.77900000,30.06659276,0
SteppingStones,65,6.64340000,30.00000000,0
SteppingStones,66,3.20680000,29.83286778,0
SteppingStones,67,7.74720000,29.54657341,0
SteppingStones,68,3.49460000,31.14482300,0
SteppingStones,69,1.76380000,27.65863337,0
SteppingStones,70,3.18800000,34.05877273,0
SteppingStones,71,2.30100000,30.36445290,0
SteppingStones,72,3.21580000,32.75667871,0
SteppingStones,73,2.48680000,31.25699922,0
SteppingStones,74,0.66580000,29.96664813,0
