Map,Query Number,Time,Distance,Path Length
TaleofTwoCities,0,2.62900000,6.70820393,0
TaleofTwoCities,1,1.32400000,4.00000000,0
TaleofTwoCities,2,1.32120000,7.28010989,0
TaleofTwoCities,3,1.23340000,6.00000000,0
TaleofTwoCities,4,1.02880000,7.07106781,0
TaleofTwoCities,5,0.74820000,7.00000000,0
TaleofTwoCities,6,2.32700000,7.21110255,0
TaleofTwoCities,7,1.64260000,5.83095189,0
TaleofTwoCities,8,2.11580000,7.28010989,0
TaleofTwoCities,9,5.49600000,7.21110255,0
TaleofTwoCities,10,3.01720000,9.43398113,0
TaleofTwoCities,11,7.59400000,11.40175425,0
TaleofTwoCities,12,1.21980000,9.05538514,0
TaleofTwoCities,13,1.10560000,8.54400375,0
TaleofTwoCities,14,1.22220000,8.48528137,0
TaleofTwoCities,15,0.88440000,8.06225775,0
TaleofTwoCities,16,10.37180000,7.81024968,0
TaleofTwoCities,17,6.26360000,7.81024968,0
TaleofTwoCities,18,1.92740000,10.63014581,0
TaleofTwoCities,19,1.01760000,8.60232527,0
TaleofTwoCities,20,1.28320000,13.89244399,0
TaleofTwoCities,21,1.22580000,13.34166406,0
TaleofTwoCities,22,1.35200000,13.45362405,0
TaleofTwoCities,23,1.11340000,14.86606875,0
TaleofTwoCities,24,4.14820000,14.76482306,0
TaleofTwoCities,25,1.21360000,15.13274595,0
TaleofTwoCities,26,0.70960000,14.31782106,0
TaleofTwoCities,27,10.83040000,11.78007172,2
TaleofTwoCities,28,7.03580000,11.66190379,0
TaleofTwoCities,29,2.01680000,11.66190379,0
TaleofTwoCities,30,1.21220000,17.80449381,0
TaleofTwoCities,31,1.07780000,17.11724277,0
TaleofTwoCities,32,0.80260000,15.26433752,0
TaleofTwoCities,33,0.87220000,17.72004515,0
TaleofTwoCities,34,1.16020000,17.26267650,0
TaleofTwoCities,35,1.07960000,16.27882060,0
TaleofTwoCities,36,4.23300000,16.49242250,0
TaleofTwoCities,37,1.08080000,17.00000000,0
TaleofTwoCities,38,0.58880000,16.03121954,0
TaleofTwoCities,39,0.76020000,16.03121954,0
TaleofTwoCities,40,3.96180000,23.34523506,0
TaleofTwoCities,41,3.57860000,20.61552813,0
TaleofTwoCities,42,2.03580000,18.86796226,0
TaleofTwoCities,43,0.99660000,21.54065923,0
TaleofTwoCities,44,1.73280000,21.02379604,0
TaleofTwoCities,45,0.81360000,20.51828453,0
TaleofTwoCities,46,5.83760000,19.23538406,0
TaleofTwoCities,47,1.04280000,23.08679276,0
TaleofTwoCities,48,4.61980000,20.61552813,0
TaleofTwoCities,49,4.71520000,21.21320344,0
TaleofTwoCities,50,3.47600000,25.31797780,0
TaleofTwoCities,51,4.72240000,27.58622845,0
TaleofTwoCities,52,8.14440000,25.94224354,0
TaleofTwoCities,53,1.11700000,23.34523506,0
TaleofTwoCities,54,1.14000000,24.73863375,0
