Map,Query Number,Time,Distance,Path Length
TheatreofWar,0,1.33640000,4.47213595,0
TheatreofWar,1,1.79360000,7.07106781,0
TheatreofWar,2,1.34400000,6.08276253,0
TheatreofWar,3,4.16760000,7.07106781,0
TheatreofWar,4,1.61440000,7.28010989,0
TheatreofWar,5,1.44620000,5.09901951,0
TheatreofWar,6,1.21340000,4.12310563,0
TheatreofWar,7,0.89560000,6.32455532,0
TheatreofWar,8,4.56420000,6.32455532,0
TheatreofWar,9,4.47680000,4.47213595,0
TheatreofWar,10,7.90360000,9.24621125,1
TheatreofWar,11,1.14860000,9.43398113,0
TheatreofWar,12,3.76500000,10.81665383,0
TheatreofWar,13,4.23820000,11.04536102,0
TheatreofWar,14,1.22520000,10.00000000,0
TheatreofWar,15,1.19740000,10.77032961,0
TheatreofWar,16,0.48500000,9.21954446,0
TheatreofWar,17,1.00860000,10.00000000,0
TheatreofWar,18,3.82180000,7.61577311,0
TheatreofWar,19,4.88560000,8.06225775,0
TheatreofWar,20,0.74840000,14.31782106,0
TheatreofWar,21,3.91200000,13.00000000,0
TheatreofWar,22,3.50420000,14.14213562,0
TheatreofWar,23,2.55080000,12.52996409,0
TheatreofWar,24,6.72580000,13.00000000,0
TheatreofWar,25,0.70700000,12.36931688,0
TheatreofWar,26,0.80620000,14.86606875,0
TheatreofWar,27,3.79920000,14.00000000,0
TheatreofWar,28,6.04400000,13.60147051,0
TheatreofWar,29,1.11420000,11.66190379,0
TheatreofWar,30,0.65140000,17.00000000,0
TheatreofWar,31,0.87240000,19.10497317,0
TheatreofWar,32,0.64380000,18.35755975,0
TheatreofWar,33,7.29200000,15.52417470,0
TheatreofWar,34,3.68800000,16.27882060,0
TheatreofWar,35,4.02900000,15.81138830,0
TheatreofWar,36,3.11000000,19.10497317,0
TheatreofWar,37,1.00360000,17.11724277,0
TheatreofWar,38,0.69720000,16.12451550,0
TheatreofWar,39,0.60160000,17.46424920,0
TheatreofWar,40,0.74980000,19.92485885,0
TheatreofWar,41,3.66060000,21.63330765,0
TheatreofWar,42,0.77100000,22.13594362,0
TheatreofWar,43,6.95440000,22.47220505,0
TheatreofWar,44,0.73340000,19.23538406,0
TheatreofWar,45,2.12100000,21.47091055,0
TheatreofWar,46,5.37660000,21.95449840,0
TheatreofWar,47,1.02460000,20.24845673,0
TheatreofWar,48,4.01780000,22.67156810,0
TheatreofWar,49,6.02500000,22.00000000,0
TheatreofWar,50,5.63780000,26.07680962,0
TheatreofWar,51,0.75000000,24.83948470,0
TheatreofWar,52,0.67280000,22.84731932,0
TheatreofWar,53,1.06260000,25.80697580,0
TheatreofWar,54,2.90560000,23.60084744,0
TheatreofWar,55,4.34640000,24.69817807,0
TheatreofWar,56,4.79960000,25.49509757,0
TheatreofWar,57,0.71160000,24.51530134,0
TheatreofWar,58,0.62980000,25.94224354,0
TheatreofWar,59,2.81540000,23.70653918,0
TheatreofWar,60,3.09560000,29.41088234,0
TheatreofWar,61,6.33800000,30.47950131,0
TheatreofWar,62,4.49980000,27.01851217,0
TheatreofWar,63,2.20260000,26.83281573,0
TheatreofWar,64,3.64700000,27.80287755,0
TheatreofWar,65,4.09060000,27.29468813,0
TheatreofWar,66,0.69160000,29.06888371,0
TheatreofWar,67,3.27740000,29.41088234,0
TheatreofWar,68,6.42440000,28.07133770,0
TheatreofWar,69,2.53160000,28.17800561,0
TheatreofWar,70,2.46080000,33.54101966,0
TheatreofWar,71,6.99160000,35.35533906,0
TheatreofWar,72,11.40960000,31.40957849,3
TheatreofWar,73,1.09840000,35.05709629,0
TheatreofWar,74,0.96320000,33.13608305,0
TheatreofWar,75,5.71040000,32.14031736,0
TheatreofWar,76,0.94800000,29.96664813,0
TheatreofWar,77,2.85600000,32.06243908,0
TheatreofWar,78,5.47680000,33.06055051,0
TheatreofWar,79,3.43340000,33.94112550,0
