Map,Query Number,Time,Distance,Path Length
ThinIce,0,1.92640000,6.32455532,0
ThinIce,1,1.87220000,7.21110255,0
ThinIce,2,1.32120000,4.00000000,0
ThinIce,3,2.67680000,5.00000000,0
ThinIce,4,1.41840000,6.08276253,0
ThinIce,5,1.16820000,7.21110255,0
ThinIce,6,8.80600000,7.07106781,0
ThinIce,7,4.96640000,5.00000000,0
ThinIce,8,4.62500000,6.40312424,0
ThinIce,9,0.94360000,5.00000000,0
ThinIce,10,1.41520000,10.19803903,0
ThinIce,11,4.96220000,9.21954446,0
ThinIce,12,0.96320000,8.24621125,0
ThinIce,13,2.49860000,8.48528137,0
ThinIce,14,1.10180000,10.63014581,0
ThinIce,15,0.94280000,8.24621125,0
ThinIce,16,2.51820000,10.44030651,0
ThinIce,17,3.88360000,10.30713579,2
ThinIce,18,0.87520000,10.00000000,0
ThinIce,19,0.59200000,9.21954446,0
ThinIce,20,0.88340000,15.00000000,0
ThinIce,21,4.89520000,11.66190379,0
ThinIce,22,6.49960000,14.86783761,1
ThinIce,23,2.23880000,14.86606875,0
ThinIce,24,3.96960000,14.56021978,0
ThinIce,25,0.80740000,14.00000000,0
ThinIce,26,3.49200000,13.60147051,0
ThinIce,27,2.79860000,11.18033989,0
ThinIce,28,4.30980000,14.14213562,0
ThinIce,29,0.73780000,12.08304597,0
ThinIce,30,7.31260000,18.43908891,0
ThinIce,31,0.77640000,17.00000000,0
ThinIce,32,5.68440000,15.89580466,2
ThinIce,33,4.55760000,16.40121947,0
ThinIce,34,4.90020000,16.97056275,0
ThinIce,35,1.40320000,17.02938637,0
ThinIce,36,4.38420000,17.49285568,0
ThinIce,37,2.80720000,18.38477631,0
ThinIce,38,0.94160000,17.08800749,0
ThinIce,39,4.17900000,18.02775638,0
ThinIce,40,6.78680000,18.97366596,0
ThinIce,41,6.10180000,21.82844351,1
ThinIce,42,5.56480000,18.68154169,0
ThinIce,43,3.63080000,21.18962010,0
ThinIce,44,2.08580000,20.02498439,0
ThinIce,45,5.43580000,22.36067977,0
