Map,Query Number,Time,Distance,Path Length
Typhoon,0,3.37200000,4.12310563,0
Typhoon,1,5.45640000,7.07106781,0
Typhoon,2,1.84020000,7.28010989,0
Typhoon,3,1.16640000,5.38516481,0
Typhoon,4,1.25360000,7.07106781,0
Typhoon,5,1.30300000,5.83095189,0
Typhoon,6,0.66840000,6.70820393,0
Typhoon,7,1.39800000,5.00000000,0
Typhoon,8,0.56200000,6.08276253,0
Typhoon,9,0.92820000,5.38516481,0
Typhoon,10,0.77620000,7.81024968,0
Typhoon,11,0.90100000,8.24621125,0
Typhoon,12,0.91180000,10.04987562,0
Typhoon,13,1.05180000,8.06225775,0
Typhoon,14,0.92340000,11.40175425,0
Typhoon,15,0.77500000,9.21954446,0
Typhoon,16,0.91700000,10.63014581,0
Typhoon,17,4.26460000,8.06225775,0
Typhoon,18,1.67360000,10.29563014,0
Typhoon,19,0.73640000,8.94427191,0
Typhoon,20,0.70480000,11.18033989,0
Typhoon,21,1.22920000,14.86606875,0
Typhoon,22,3.87760000,11.18033989,0
Typhoon,23,7.53280000,14.03566885,0
Typhoon,24,6.01540000,13.34166406,0
Typhoon,25,3.59460000,12.04159458,0
Typhoon,26,0.90280000,12.04159458,0
Typhoon,27,1.26100000,12.04159458,0
Typhoon,28,0.74760000,12.04159458,0
Typhoon,29,0.79280000,12.04159458,0
Typhoon,30,8.35640000,19.20937271,0
Typhoon,31,7.30160000,18.43908891,0
Typhoon,32,0.69720000,18.02775638,0
Typhoon,33,0.61000000,18.02775638,0
Typhoon,34,1.03840000,15.62049935,0
Typhoon,35,0.95900000,18.35755975,0
Typhoon,36,4.40360000,17.72004515,0
Typhoon,37,0.59880000,19.10497317,0
Typhoon,38,0.46100000,15.81138830,0
Typhoon,39,0.73540000,16.64331698,0
Typhoon,40,5.39680000,22.80350850,0
Typhoon,41,0.93660000,21.02379604,0
Typhoon,42,0.59440000,22.02271555,0
Typhoon,43,4.63800000,20.02498439,0
Typhoon,44,1.23680000,20.61552813,0
Typhoon,45,5.05080000,19.92485885,0
Typhoon,46,0.79720000,21.18962010,0
Typhoon,47,0.83380000,20.61552813,0
Typhoon,48,0.73240000,20.24845673,0
Typhoon,49,0.50980000,20.59126028,0
Typhoon,50,10.51320000,22.84731932,0
Typhoon,51,7.66740000,24.18677324,0
Typhoon,52,1.04720000,23.43074903,0
Typhoon,53,0.73040000,26.07680962,0
Typhoon,54,1.08620000,23.08679276,0
Typhoon,55,0.68420000,26.07680962,0
Typhoon,56,5.46120000,23.34523506,0
Typhoon,57,0.70060000,22.84731932,0
Typhoon,58,7.70700000,23.70653918,0
Typhoon,59,0.64560000,23.60084744,0
Typhoon,60,0.55120000,29.15475947,0
Typhoon,61,3.39460000,28.23118843,0
Typhoon,62,0.73460000,26.24880950,0
Typhoon,63,4.95240000,28.01785145,0
Typhoon,64,6.07840000,31.01612484,0
Typhoon,65,0.63080000,28.17800561,0
Typhoon,66,0.79000000,29.06888371,0
Typhoon,67,3.33320000,27.51363298,0
Typhoon,68,0.73980000,28.60069929,0
Typhoon,69,0.50060000,28.16025568,0
Typhoon,70,0.58100000,30.41381265,0
Typhoon,71,0.59380000,31.01612484,0
Typhoon,72,4.12680000,32.75667871,0
Typhoon,73,2.75260000,31.95309062,0
Typhoon,74,5.55400000,31.06444913,0
Typhoon,75,0.86240000,32.06243908,0
Typhoon,76,3.63020000,32.28002478,0
Typhoon,77,7.48160000,32.24903099,0
Typhoon,78,0.65740000,32.55764119,0
Typhoon,79,3.90020000,32.89376841,0
Typhoon,80,5.84260000,35.00000000,0
Typhoon,81,4.43800000,36.40054945,0
Typhoon,82,4.94560000,36.87817783,0
Typhoon,83,0.75740000,36.05551275,0
Typhoon,84,0.60500000,34.43835072,0
Typhoon,85,0.59980000,36.87817783,0
Typhoon,86,2.72220000,35.11409973,0
Typhoon,87,9.26760000,38.29681778,1
Typhoon,88,3.12920000,39.59797975,0
Typhoon,89,6.76900000,37.00000000,0
Typhoon,90,0.90620000,39.56008089,0
Typhoon,91,7.74720000,40.22437072,0
Typhoon,92,0.64300000,40.79215611,0
Typhoon,93,0.57380000,37.36308338,0
Typhoon,94,8.58060000,38.69719587,1
Typhoon,95,0.55140000,39.84971769,0
Typhoon,96,0.71360000,41.10960958,0
Typhoon,97,5.87540000,41.24401866,3
Typhoon,98,4.83260000,40.70626487,0
Typhoon,99,0.59240000,41.43669871,0
Typhoon,100,12.80160000,43.02172887,1
Typhoon,101,8.30160000,44.64383817,1
Typhoon,102,0.80620000,45.17742799,0
Typhoon,103,0.64760000,42.29657197,0
Typhoon,104,0.67440000,44.55333882,0
Typhoon,105,4.75180000,44.40720662,0
Typhoon,106,0.63860000,44.94441011,0
Typhoon,107,9.08960000,42.27338600,1
Typhoon,108,5.58240000,43.60045871,0
Typhoon,109,11.34100000,44.50275065,5
Typhoon,110,0.76060000,46.61544808,0
Typhoon,111,4.29740000,51.03920062,0
Typhoon,112,0.86180000,46.87216658,0
Typhoon,113,10.12000000,50.15974482,0
Typhoon,114,0.55100000,45.48626166,0
Typhoon,115,3.74740000,48.10405388,0
Typhoon,116,5.00000000,48.50773134,0
Typhoon,117,0.70940000,50.32891813,0
Typhoon,118,0.65240000,49.09175083,0
Typhoon,119,5.20900000,49.51767361,0
Typhoon,120,3.28040000,49.65883607,0
Typhoon,121,0.56060000,54.56189146,0
Typhoon,122,0.82480000,52.23983155,0
Typhoon,123,0.58100000,51.26402247,0
Typhoon,124,9.03000000,50.15729176,1
