Map,Query Number,Time,Distance,Path Length
WatersEdge,0,1.08000000,5.38516481,0
WatersEdge,1,2.76400000,7.21110255,0
WatersEdge,2,1.61360000,7.28010989,0
WatersEdge,3,1.25920000,6.00000000,0
WatersEdge,4,1.09760000,4.00000000,0
WatersEdge,5,2.68240000,5.00000000,0
WatersEdge,6,0.99260000,5.38516481,0
WatersEdge,7,0.98920000,6.00000000,0
WatersEdge,8,1.15700000,7.28010989,0
WatersEdge,9,1.12960000,4.47213595,0
WatersEdge,10,0.75400000,10.19803903,0
WatersEdge,11,0.81460000,7.81024968,0
WatersEdge,12,5.56660000,8.54400375,0
WatersEdge,13,0.99000000,9.43398113,0
WatersEdge,14,0.81660000,7.81024968,0
WatersEdge,15,1.28700000,9.89949494,0
WatersEdge,16,1.03080000,8.06225775,0
WatersEdge,17,6.23520000,11.40175425,0
WatersEdge,18,0.88340000,7.61577311,0
WatersEdge,19,0.85660000,8.54400375,0
WatersEdge,20,0.69700000,13.60147051,0
WatersEdge,21,1.67700000,14.31782106,0
WatersEdge,22,2.58700000,13.00000000,0
WatersEdge,23,1.47180000,13.03840481,0
WatersEdge,24,2.39420000,12.36931688,0
WatersEdge,25,0.69720000,13.45362405,0
WatersEdge,26,0.65480000,14.21267040,0
WatersEdge,27,0.53060000,13.00000000,0
WatersEdge,28,0.73760000,11.40175425,0
WatersEdge,29,1.82720000,14.21267040,0
WatersEdge,30,2.50880000,16.27882060,0
WatersEdge,31,0.77420000,16.76305461,0
WatersEdge,32,0.42600000,14.86606875,0
WatersEdge,33,0.64920000,17.02938637,0
WatersEdge,34,0.56740000,17.00000000,0
WatersEdge,35,3.59860000,15.81138830,0
WatersEdge,36,1.03780000,17.26267650,0
WatersEdge,37,3.67920000,16.00000000,0
WatersEdge,38,6.65820000,18.07248664,2
WatersEdge,39,0.53580000,17.69180601,0
WatersEdge,40,5.67060000,18.09083265,5
WatersEdge,41,4.64720000,19.23538406,0
WatersEdge,42,4.72000000,20.24845673,0
WatersEdge,43,5.22880000,21.95449840,0
WatersEdge,44,0.81960000,21.54065923,0
WatersEdge,45,0.52400000,20.24845673,0
WatersEdge,46,0.63100000,20.61552813,0
WatersEdge,47,0.44880000,20.09975124,0
WatersEdge,48,4.17340000,20.39607805,0
WatersEdge,49,0.63200000,22.02271555,0
WatersEdge,50,0.63040000,24.83948470,0
WatersEdge,51,0.59240000,22.56102835,0
WatersEdge,52,1.18520000,24.33105012,0
WatersEdge,53,2.86060000,23.76972865,0
WatersEdge,54,0.54340000,24.73863375,0
WatersEdge,55,0.95860000,25.94224354,0
WatersEdge,56,5.03140000,26.17250466,0
WatersEdge,57,2.31260000,24.04163056,0
WatersEdge,58,5.37720000,25.07987241,0
WatersEdge,59,0.68880000,25.63201124,0
WatersEdge,60,0.53420000,28.79236010,0
WatersEdge,61,5.68920000,27.33442142,3
WatersEdge,62,2.61900000,26.68332813,0
WatersEdge,63,0.85560000,29.61418579,0
WatersEdge,64,4.88620000,29.83286778,0
WatersEdge,65,4.08560000,27.16615541,0
WatersEdge,66,3.99580000,28.17800561,0
WatersEdge,67,0.92300000,28.84441020,0
WatersEdge,68,0.65740000,28.16025568,0
WatersEdge,69,0.59980000,28.60069929,0
WatersEdge,70,4.01740000,33.60059523,0
WatersEdge,71,0.53140000,29.96664813,0
WatersEdge,72,2.95900000,33.24154028,0
WatersEdge,73,8.41940000,33.30424399,1
WatersEdge,74,2.46020000,31.95309062,0
WatersEdge,75,2.91860000,33.24154028,0
WatersEdge,76,4.55320000,34.65544690,0
WatersEdge,77,0.62600000,35.01428280,0
