Map,Query Number,Time,Distance,Path Length
WaypointJunction,0,7.21440000,6.70820393,0
WaypointJunction,1,4.98860000,5.00000000,0
WaypointJunction,2,4.38420000,6.00000000,0
WaypointJunction,3,3.71800000,5.00000000,0
WaypointJunction,4,1.09720000,4.47213595,0
WaypointJunction,5,0.90560000,5.38516481,0
WaypointJunction,6,4.09320000,5.38516481,0
WaypointJunction,7,0.97720000,5.00000000,0
WaypointJunction,8,0.89760000,7.21110255,0
WaypointJunction,9,0.98320000,7.07106781,0
WaypointJunction,10,2.14080000,11.00000000,0
WaypointJunction,11,0.65780000,9.43398113,0
WaypointJunction,12,0.54160000,10.77032961,0
WaypointJunction,13,0.54760000,8.54400375,0
WaypointJunction,14,4.34980000,11.18033989,0
WaypointJunction,15,0.82620000,10.00000000,0
WaypointJunction,16,0.92200000,8.00000000,0
WaypointJunction,17,3.37940000,11.40175425,0
WaypointJunction,18,0.89900000,8.06225775,0
WaypointJunction,19,7.04840000,7.81024968,0
WaypointJunction,20,5.59700000,12.04159458,0
WaypointJunction,21,7.68680000,15.00000000,2
WaypointJunction,22,0.74300000,14.14213562,0
WaypointJunction,23,0.84960000,12.36931688,0
WaypointJunction,24,4.20580000,12.36931688,0
WaypointJunction,25,0.76520000,13.60147051,0
WaypointJunction,26,0.57860000,11.18033989,0
WaypointJunction,27,1.09480000,14.31782106,0
WaypointJunction,28,0.96480000,14.76482306,0
WaypointJunction,29,4.61900000,15.13274595,0
WaypointJunction,30,3.53860000,18.38477631,0
WaypointJunction,31,3.78060000,18.02775638,0
WaypointJunction,32,2.97620000,17.00000000,0
WaypointJunction,33,0.92600000,17.88854382,0
WaypointJunction,34,9.02940000,18.02775638,0
WaypointJunction,35,0.56420000,16.12451550,0
WaypointJunction,36,1.75500000,16.49242250,0
WaypointJunction,37,3.44540000,16.03121954,0
WaypointJunction,38,6.72620000,18.00000000,0
WaypointJunction,39,2.01840000,16.64331698,0
WaypointJunction,40,0.78900000,20.24845673,0
WaypointJunction,41,5.46460000,21.84032967,0
WaypointJunction,42,0.80580000,20.12461180,0
WaypointJunction,43,2.88140000,19.23538406,0
WaypointJunction,44,5.17820000,22.62741700,0
WaypointJunction,45,0.90420000,20.61552813,0
WaypointJunction,46,5.10960000,22.20360331,0
WaypointJunction,47,9.36780000,19.71730140,4
WaypointJunction,48,7.12260000,22.02271555,0
WaypointJunction,49,1.03240000,19.41648784,0
WaypointJunction,50,0.74860000,25.70992026,0
WaypointJunction,51,4.23300000,24.00000000,0
WaypointJunction,52,0.94400000,24.04163056,0
WaypointJunction,53,3.10860000,24.08318916,0
WaypointJunction,54,9.10740000,24.75883681,0
WaypointJunction,55,3.42020000,24.08318916,0
WaypointJunction,56,2.67360000,25.96150997,0
WaypointJunction,57,4.91960000,25.55386468,0
WaypointJunction,58,12.58200000,24.75883681,0
WaypointJunction,59,2.18340000,24.18677324,0
WaypointJunction,60,11.93060000,27.22821998,4
WaypointJunction,61,5.40540000,29.15475947,0
WaypointJunction,62,10.44300000,29.61418579,0
WaypointJunction,63,0.65740000,27.29468813,0
WaypointJunction,64,5.74540000,30.61045573,0
WaypointJunction,65,10.09700000,30.18233280,1
WaypointJunction,66,3.18360000,27.16615541,0
WaypointJunction,67,3.01900000,28.65309756,0
WaypointJunction,68,0.86300000,31.11269837,0
WaypointJunction,69,2.37680000,28.65309756,0
WaypointJunction,70,7.13380000,30.80584360,0
WaypointJunction,71,3.71420000,31.38470965,0
WaypointJunction,72,0.80660000,33.24154028,0
WaypointJunction,73,6.60540000,31.90611227,0
WaypointJunction,74,10.14460000,30.90955684,1
WaypointJunction,75,7.53080000,30.59411708,0
WaypointJunction,76,0.57820000,31.90611227,0
WaypointJunction,77,7.89140000,31.62277660,0
WaypointJunction,78,2.51500000,32.01562119,0
WaypointJunction,79,8.80360000,31.11269837,2
WaypointJunction,80,1.44460000,36.05551275,0
WaypointJunction,81,7.54180000,39.05124838,0
WaypointJunction,82,13.21160000,33.63757447,2
