Map,Query Number,Time,Distance,Path Length
WheelofWar,0,1.75940000,5.00000000,0
WheelofWar,1,10.19560000,7.07106781,0
WheelofWar,2,1.02800000,7.28010989,0
WheelofWar,3,1.03160000,5.09901951,0
WheelofWar,4,1.23980000,4.47213595,0
WheelofWar,5,4.68300000,5.00000000,0
WheelofWar,6,1.30040000,5.00000000,0
WheelofWar,7,1.46660000,5.09901951,0
WheelofWar,8,4.59320000,5.38516481,0
WheelofWar,9,3.90680000,5.38516481,0
WheelofWar,10,1.16180000,10.77032961,0
WheelofWar,11,4.95380000,9.84885780,0
WheelofWar,12,3.54060000,11.00000000,0
WheelofWar,13,1.36320000,8.54400375,0
WheelofWar,14,4.45300000,8.24621125,0
WheelofWar,15,0.87940000,8.54400375,0
WheelofWar,16,0.98680000,10.04987562,0
WheelofWar,17,1.31820000,9.43398113,0
WheelofWar,18,1.58920000,10.44030651,0
WheelofWar,19,3.68320000,7.81024968,0
WheelofWar,20,5.93260000,13.92838828,0
WheelofWar,21,1.50080000,14.31782106,0
WheelofWar,22,2.42120000,13.60147051,0
WheelofWar,23,0.93940000,15.00000000,0
WheelofWar,24,1.14840000,15.55634919,0
WheelofWar,25,0.72100000,13.03840481,0
WheelofWar,26,3.34360000,14.56021978,0
WheelofWar,27,3.92620000,12.16552506,0
WheelofWar,28,1.30600000,12.08304597,0
WheelofWar,29,0.77780000,14.31782106,0
WheelofWar,30,1.51920000,16.76305461,0
WheelofWar,31,0.84100000,19.10497317,0
WheelofWar,32,1.22480000,15.62049935,0
WheelofWar,33,2.37460000,16.27882060,0
WheelofWar,34,4.80160000,17.02938637,0
WheelofWar,35,7.94580000,17.49285568,0
WheelofWar,36,6.41600000,15.23154621,0
WheelofWar,37,1.07120000,18.60107524,0
WheelofWar,38,1.13380000,15.29705854,0
WheelofWar,39,0.77800000,18.02775638,0
WheelofWar,40,6.24720000,21.93171220,0
WheelofWar,41,0.98520000,20.24845673,0
WheelofWar,42,1.17420000,20.12461180,0
WheelofWar,43,5.54940000,21.02379604,0
WheelofWar,44,0.89720000,18.86796226,0
WheelofWar,45,6.00640000,19.41648784,0
WheelofWar,46,1.31520000,22.80350850,0
