Map,Query Number,Time,Distance,Path Length
WinterConquest,0,1.48900000,6.00000000,0
WinterConquest,1,1.02620000,6.32455532,0
WinterConquest,2,3.24900000,7.28010989,0
WinterConquest,3,1.69580000,6.70820393,0
WinterConquest,4,0.75400000,4.47213595,0
WinterConquest,5,0.84840000,7.07106781,0
WinterConquest,6,0.82900000,7.07106781,0
WinterConquest,7,1.17140000,5.09901951,0
WinterConquest,8,1.01720000,7.07106781,0
WinterConquest,9,0.97460000,5.09901951,0
WinterConquest,10,0.86280000,11.00000000,0
WinterConquest,11,1.00000000,10.63014581,0
WinterConquest,12,4.15820000,9.21954446,0
WinterConquest,13,3.87100000,10.19803903,0
WinterConquest,14,0.93400000,8.54400375,0
WinterConquest,15,3.64640000,8.60232527,0
WinterConquest,16,2.75700000,8.06225775,0
WinterConquest,17,0.87500000,9.21954446,0
WinterConquest,18,0.91400000,10.29563014,0
WinterConquest,19,2.70400000,10.04987562,0
WinterConquest,20,0.62940000,12.00000000,0
WinterConquest,21,6.49680000,12.52996409,0
WinterConquest,22,3.13200000,13.41640786,0
WinterConquest,23,2.75680000,13.92838828,0
WinterConquest,24,5.37080000,13.34166406,0
WinterConquest,25,0.77720000,12.36931688,0
WinterConquest,26,1.04820000,13.60147051,0
WinterConquest,27,0.98220000,11.40175425,0
WinterConquest,28,1.04300000,13.15294644,0
WinterConquest,29,2.39160000,14.86606875,0
WinterConquest,30,0.65780000,16.03121954,0
WinterConquest,31,4.24420000,14.86606875,0
WinterConquest,32,0.77300000,16.76305461,0
WinterConquest,33,5.75860000,18.02775638,0
WinterConquest,34,0.48720000,18.43908891,0
WinterConquest,35,3.08600000,17.02938637,0
WinterConquest,36,5.22580000,16.49242250,0
WinterConquest,37,0.64840000,19.00000000,0
WinterConquest,38,2.99700000,17.11724277,0
WinterConquest,39,0.91380000,16.27882060,0
WinterConquest,40,3.94160000,22.67156810,0
WinterConquest,41,0.73700000,21.63330765,0
WinterConquest,42,2.20540000,19.92485885,0
WinterConquest,43,0.75580000,20.59126028,0
WinterConquest,44,7.34360000,21.09502311,0
WinterConquest,45,5.45660000,19.64688270,0
WinterConquest,46,2.73720000,22.20360331,0
WinterConquest,47,0.79140000,19.84943324,0
WinterConquest,48,2.42340000,22.20360331,0
WinterConquest,49,0.64480000,19.69771560,0
WinterConquest,50,2.93360000,26.00000000,0
WinterConquest,51,3.83920000,23.19482701,0
WinterConquest,52,2.99360000,24.73863375,0
WinterConquest,53,4.82840000,25.61249695,0
WinterConquest,54,4.62200000,25.94224354,0
WinterConquest,55,2.80060000,24.08318916,0
WinterConquest,56,4.21940000,25.00000000,0
WinterConquest,57,5.49980000,24.04163056,0
WinterConquest,58,6.33260000,26.40075756,0
WinterConquest,59,3.03840000,26.30589288,0
WinterConquest,60,2.95860000,27.45906044,0
WinterConquest,61,2.19400000,27.65863337,0
WinterConquest,62,2.68640000,29.06888371,0
WinterConquest,63,2.83180000,27.16615541,0
WinterConquest,64,3.03280000,31.14482300,0
WinterConquest,65,8.54340000,29.27456234,0
WinterConquest,66,5.60580000,27.45906044,0
WinterConquest,67,5.34280000,29.15475947,0
WinterConquest,68,5.45120000,31.01612484,0
WinterConquest,69,2.76700000,28.01785145,0
WinterConquest,70,0.82960000,32.31098884,0
WinterConquest,71,2.72360000,31.06444913,0
WinterConquest,72,4.90820000,32.24903099,0
WinterConquest,73,8.19300000,30.46309242,0
WinterConquest,74,9.31940000,33.37663854,0
WinterConquest,75,10.02720000,32.23875796,2
WinterConquest,76,1.13820000,33.54101966,0
WinterConquest,77,9.06500000,31.49740272,3
WinterConquest,78,4.79500000,32.98484500,0
WinterConquest,79,7.65580000,33.54101966,0
WinterConquest,80,0.83180000,38.94868419,0
WinterConquest,81,0.62020000,35.51056181,0
WinterConquest,82,5.16120000,35.51056181,0
WinterConquest,83,2.95940000,36.67424164,0
WinterConquest,84,2.59260000,38.05259518,0
WinterConquest,85,6.80720000,33.83784863,0
WinterConquest,86,3.10180000,36.23534186,0
WinterConquest,87,12.24220000,34.82682249,11
WinterConquest,88,0.73480000,34.48187930,0
WinterConquest,89,2.18540000,34.66987165,0
WinterConquest,90,1.91060000,42.01190308,0
WinterConquest,91,5.96660000,39.39543121,0
WinterConquest,92,4.72700000,38.48376281,0
WinterConquest,93,6.71620000,38.47076812,0
WinterConquest,94,6.97200000,38.47076812,0
WinterConquest,95,5.37260000,38.48376281,0
WinterConquest,96,5.80420000,38.83297568,0
WinterConquest,97,2.22260000,38.32753579,0
WinterConquest,98,0.73080000,38.07886553,0
WinterConquest,99,0.74180000,38.83297568,0
WinterConquest,100,4.72560000,41.23105626,0
WinterConquest,101,0.84280000,40.85339643,0
WinterConquest,102,4.89680000,41.76122604,0
WinterConquest,103,4.03920000,45.39823785,0
WinterConquest,104,4.02000000,42.63801121,0
WinterConquest,105,4.65440000,44.01136217,0
WinterConquest,106,6.89820000,43.26661531,0
WinterConquest,107,5.61480000,42.94182111,0
WinterConquest,108,4.48660000,43.08131846,0
WinterConquest,109,0.72880000,41.78516483,0
WinterConquest,110,4.23320000,47.38143096,0
WinterConquest,111,7.39640000,48.16637832,0
WinterConquest,112,4.72740000,45.69463864,0
WinterConquest,113,4.69240000,48.01315562,1
WinterConquest,114,3.39840000,48.79549160,0
WinterConquest,115,3.44000000,44.38468204,0
WinterConquest,116,6.72640000,45.88027899,0
WinterConquest,117,4.73360000,46.87216658,0
WinterConquest,118,4.25640000,48.41487375,0
WinterConquest,119,10.35480000,48.27711774,2
WinterConquest,120,8.76480000,50.77400910,0
WinterConquest,121,3.45480000,51.62363800,0
WinterConquest,122,3.13180000,52.34500931,0
WinterConquest,123,2.01380000,54.00925847,0
WinterConquest,124,4.34400000,51.22499390,0
WinterConquest,125,4.40000000,51.36598019,1
WinterConquest,126,4.32440000,50.24937811,0
WinterConquest,127,4.58920000,53.90732789,0
WinterConquest,128,7.36780000,49.64876635,0
WinterConquest,129,6.42180000,50.35871325,0
WinterConquest,130,0.62180000,54.67174773,0
WinterConquest,131,8.85240000,55.72135955,2
WinterConquest,132,10.53440000,55.80697580,1
WinterConquest,133,16.59660000,54.01684174,4
WinterConquest,134,7.11740000,56.86904722,1
WinterConquest,135,3.49760000,55.90169944,0
WinterConquest,136,3.41580000,58.13776741,0
WinterConquest,137,9.95400000,57.00877125,0
WinterConquest,138,11.27520000,55.97320788,0
WinterConquest,139,9.26220000,55.31726674,0
WinterConquest,140,4.25440000,59.42130394,1
WinterConquest,141,5.01180000,59.16924877,0
WinterConquest,142,5.81560000,60.53098380,0
WinterConquest,143,2.89260000,55.97320788,0
WinterConquest,144,9.72580000,58.41232747,0
WinterConquest,145,3.92560000,56.64803615,0
WinterConquest,146,5.99300000,62.00806399,0
WinterConquest,147,6.24980000,58.12475166,1
WinterConquest,148,2.76220000,61.20457499,0
WinterConquest,149,12.51740000,59.09314681,0
WinterConquest,150,5.60400000,61.68468205,0
WinterConquest,151,4.43400000,62.51399843,0
WinterConquest,152,9.77360000,61.98386887,0
WinterConquest,153,7.56120000,62.94530994,1
WinterConquest,154,3.49640000,62.39390996,0
WinterConquest,155,8.41300000,61.77378085,0
WinterConquest,156,4.64000000,61.29437168,0
WinterConquest,157,6.09440000,64.12487817,0
WinterConquest,158,20.11000000,61.32792616,2
WinterConquest,159,5.39580000,66.06814664,0
WinterConquest,160,11.84120000,67.55635251,9
WinterConquest,161,12.62360000,68.60029154,0
WinterConquest,162,9.05640000,64.12706557,1
WinterConquest,163,11.05320000,69.31089380,0
WinterConquest,164,5.49060000,63.15853070,0
WinterConquest,165,2.86360000,68.02940541,0
WinterConquest,166,9.62400000,66.24198065,0
WinterConquest,167,5.86580000,64.50694518,3
WinterConquest,168,6.64280000,64.85195600,1
WinterConquest,169,5.33220000,67.89698079,0
WinterConquest,170,5.83440000,70.40596566,0
WinterConquest,171,5.04300000,69.85699679,0
WinterConquest,172,15.66860000,73.14997964,9
WinterConquest,173,7.06040000,75.66372975,0
WinterConquest,174,5.61040000,67.35725648,0
WinterConquest,175,10.65300000,69.54435963,3
WinterConquest,176,7.12660000,71.81433266,3
WinterConquest,177,9.34220000,68.24954212,0
WinterConquest,178,9.68480000,74.33257905,1
WinterConquest,179,5.46280000,68.44705983,0
WinterConquest,180,4.41940000,73.16419890,0
WinterConquest,181,3.42980000,75.43208866,0
WinterConquest,182,8.70260000,76.37020969,1
WinterConquest,183,6.71020000,77.00649323,0
WinterConquest,184,6.71800000,76.36753237,0
WinterConquest,185,6.57900000,73.16419890,0
WinterConquest,186,12.95400000,73.06522332,22
WinterConquest,187,6.01880000,73.43023900,0
WinterConquest,188,11.92560000,72.55630818,11
WinterConquest,189,2.54020000,75.69015788,0
WinterConquest,190,3.84780000,77.98717843,0
WinterConquest,191,7.26480000,78.40918314,0
WinterConquest,192,9.05020000,75.25248176,1
WinterConquest,193,12.42260000,75.83490313,1
WinterConquest,194,6.92240000,77.69813383,0
WinterConquest,195,11.23540000,77.02112362,2
WinterConquest,196,8.50600000,80.30566605,0
WinterConquest,197,30.42560000,78.46309390,21
WinterConquest,198,11.68060000,76.98794150,2
