Map,Query Number,Time,Distance,Path Length
AR0602SR,0,0.61080000,5.09901951,2
AR0602SR,1,50.55680000,207.20419990,9
AR0602SR,2,4.67860000,48.34804129,3
AR0602SR,3,117.95940000,426.06216207,27
AR0602SR,4,47.94520000,330.91445465,14
AR0602SR,5,182.59600000,455.35787202,14
AR0602SR,6,17.38900000,229.18842771,9
AR0602SR,7,70.73140000,257.21439218,14
AR0602SR,8,80.26440000,461.04023545,13
AR0602SR,9,23.68700000,184.44888543,9
AR0602SR,10,57.83800000,269.65226566,12
AR0602SR,11,53.62000000,359.87781140,18
AR0602SR,12,94.81480000,449.79379675,22
AR0602SR,13,15.93420000,210.28926695,10
AR0602SR,14,35.04580000,167.56095907,18
AR0602SR,15,3.50580000,45.22212269,4
AR0602SR,16,31.02080000,243.55835704,8
AR0602SR,17,21.00080000,194.62592817,6
AR0602SR,18,143.10660000,471.65850728,18
AR0602SR,19,21.55340000,138.71114005,7
AR0602SR,20,187.82700000,489.83645802,18
AR0602SR,21,39.55920000,259.26433128,12
AR0602SR,22,156.07360000,453.23641768,18
AR0602SR,23,50.85260000,267.45666469,15
AR0602SR,24,4.30180000,55.00813907,6
AR0602SR,25,98.27700000,381.07912104,13
AR0602SR,26,33.21460000,239.28216135,13
AR0602SR,27,44.85320000,290.82031376,13
AR0602SR,28,61.65900000,318.83505397,9
AR0602SR,29,26.19760000,292.68590673,13
AR0602SR,30,109.43260000,483.61374754,20
AR0602SR,31,154.85000000,411.27588072,17
AR0602SR,32,141.40760000,487.49227995,19
AR0602SR,33,37.27160000,273.79690479,12
AR0602SR,34,54.15620000,439.92613440,16
AR0602SR,35,138.98140000,491.04871098,19
AR0602SR,36,53.20440000,286.38972986,15
AR0602SR,37,17.39860000,148.16757116,13
AR0602SR,38,47.83880000,358.96793394,17
AR0602SR,39,90.95360000,335.22443655,16
AR0602SR,40,35.55920000,225.70441972,10
AR0602SR,41,98.35780000,486.70644903,20
AR0602SR,42,16.70740000,134.74706437,6
AR0602SR,43,69.65920000,400.19985971,16
AR0602SR,44,89.68780000,398.97783414,22
AR0602SR,45,2.48920000,24.95961163,4
AR0602SR,46,90.76640000,424.95257823,17
AR0602SR,47,5.59620000,127.63368577,3
AR0602SR,48,125.32760000,454.37538017,20
AR0602SR,49,2.41680000,41.79584574,4
AR0602SR,50,113.16380000,400.68627252,22
AR0602SR,51,22.35200000,304.31567704,10
AR0602SR,52,128.04620000,352.74324035,18
AR0602SR,53,110.84220000,396.98575427,21
AR0602SR,54,8.94780000,89.52757757,5
AR0602SR,55,5.07020000,49.24928741,3
AR0602SR,56,50.93740000,272.50462916,12
AR0602SR,57,51.61160000,285.91249064,14
AR0602SR,58,142.21320000,494.49912423,18
AR0602SR,59,42.97120000,248.90044358,17
AR0602SR,60,101.79940000,378.51454076,21
AR0602SR,61,85.35780000,466.56862429,29
AR0602SR,62,25.41920000,196.89387437,7
AR0602SR,63,114.07260000,482.05837909,20
AR0602SR,64,37.17300000,191.96988872,10
AR0602SR,65,2.18500000,37.93263490,4
AR0602SR,66,50.14640000,292.09110995,14
AR0602SR,67,13.04440000,185.16776118,8
AR0602SR,68,54.25620000,466.46278567,14
AR0602SR,69,137.61240000,454.69621537,17
AR0602SR,70,45.65740000,287.57700986,13
AR0602SR,71,60.64520000,261.59525191,10
AR0602SR,72,5.88140000,124.19419290,5
AR0602SR,73,6.05720000,94.46568750,5
AR0602SR,74,123.61020000,368.37539767,15
AR0602SR,75,74.17980000,404.15669771,14
AR0602SR,76,129.68100000,490.88768801,22
AR0602SR,77,71.34500000,368.96628932,12
AR0602SR,78,19.94380000,291.45323715,12
AR0602SR,79,45.35320000,307.81481856,16
AR0602SR,80,100.35020000,365.70394272,15
AR0602SR,81,46.34240000,270.42969334,14
AR0602SR,82,46.05100000,258.45949143,15
AR0602SR,83,8.02480000,105.01223562,7
AR0602SR,84,2.58300000,70.13461080,3
AR0602SR,85,1.83600000,71.55417528,2
AR0602SR,86,91.70580000,379.67935064,13
AR0602SR,87,22.53280000,214.20021968,13
AR0602SR,88,101.34500000,445.14757255,16
AR0602SR,89,0.96840000,6.32455532,2
AR0602SR,90,6.69120000,100.47590854,6
AR0602SR,91,15.51720000,166.84070999,12
AR0602SR,92,24.06620000,253.23729949,8
AR0602SR,93,100.59000000,482.65681498,19
AR0602SR,94,63.95840000,327.61283358,11
AR0602SR,95,26.63380000,190.29690282,15
AR0602SR,96,92.48240000,446.59360821,21
AR0602SR,97,43.82300000,244.29135704,14
AR0602SR,98,7.39160000,114.84337102,8
AR0602SR,99,2.16880000,33.54101966,2
AR0602SR,100,119.18840000,435.48121037,14
AR0602SR,101,58.74300000,346.64246506,14
AR0602SR,102,1.61760000,21.34104115,3
AR0602SR,103,71.17660000,298.69174647,12
AR0602SR,104,128.80120000,471.65734545,20
AR0602SR,105,119.84000000,469.82193204,17
AR0602SR,106,50.44640000,263.86208546,10
AR0602SR,107,30.15140000,333.24124497,17
AR0602SR,108,76.14260000,366.99350464,20
AR0602SR,109,20.67300000,143.48743151,11
AR0602SR,110,45.07400000,231.08215915,11
AR0602SR,111,36.09680000,262.31478576,15
AR0602SR,112,78.30980000,373.91291562,18
