Map,Query Number,Time,Distance,Path Length
ca_cave,0,3.16340000,5.00000000,2
ca_cave,1,1.25860000,7.07106781,2
ca_cave,2,1.00760000,7.07106781,2
ca_cave,3,0.89580000,6.00000000,2
ca_cave,4,1.05460000,5.38516481,2
ca_cave,5,0.42780000,6.70820393,2
ca_cave,6,0.76860000,7.21110255,2
ca_cave,7,0.43740000,7.07106781,2
ca_cave,8,0.41540000,6.70820393,2
ca_cave,9,0.77920000,6.40312424,2
ca_cave,10,0.44160000,10.00000000,2
ca_cave,11,0.78680000,10.81665383,2
ca_cave,12,0.78180000,9.84885780,2
ca_cave,13,0.77180000,9.21954446,2
ca_cave,14,1.08100000,10.44030651,2
ca_cave,15,0.70900000,8.06225775,2
ca_cave,16,0.43060000,10.00000000,2
ca_cave,17,0.43740000,10.63014581,2
ca_cave,18,0.39480000,8.94427191,2
ca_cave,19,1.03160000,10.81665383,2
ca_cave,20,0.80700000,13.45362405,2
ca_cave,21,1.02020000,12.23086739,4
ca_cave,22,1.43180000,12.36931688,2
ca_cave,23,0.41660000,12.52996409,2
ca_cave,24,4.90540000,11.40175425,2
ca_cave,25,0.33920000,14.56021978,2
ca_cave,26,0.89180000,13.34166406,2
ca_cave,27,0.36680000,13.89244399,2
ca_cave,28,0.60420000,14.03566885,2
ca_cave,29,0.86640000,12.64911064,2
ca_cave,30,0.65940000,15.26433752,2
ca_cave,31,0.87380000,16.49965435,3
ca_cave,32,1.22960000,16.49242250,2
ca_cave,33,1.17280000,15.26433752,2
ca_cave,34,1.17360000,17.72004515,2
ca_cave,35,0.49440000,15.26433752,2
ca_cave,36,0.44140000,16.40121947,2
ca_cave,37,0.59480000,17.26267650,2
ca_cave,38,1.73680000,18.18033989,3
ca_cave,39,0.70980000,19.02629759,2
ca_cave,40,1.41180000,23.34523506,2
ca_cave,41,0.84700000,22.13594362,2
ca_cave,42,0.64380000,20.61552813,2
ca_cave,43,0.91040000,21.95449840,2
ca_cave,44,1.04720000,19.23538406,2
ca_cave,45,1.00200000,19.92485885,2
ca_cave,46,3.95060000,21.02379604,2
ca_cave,47,0.67440000,21.58703314,2
ca_cave,48,1.31400000,20.61552813,2
ca_cave,49,1.82780000,20.61552813,2
ca_cave,50,1.70260000,22.86935671,4
ca_cave,51,0.41420000,23.40939982,2
ca_cave,52,3.90120000,26.07680962,2
ca_cave,53,0.37680000,23.25940670,2
ca_cave,54,0.79900000,25.55386468,2
ca_cave,55,1.75160000,25.60098681,3
ca_cave,56,0.43560000,24.04163056,2
ca_cave,57,0.32700000,23.70653918,2
ca_cave,58,0.31560000,25.17935662,2
ca_cave,59,0.99680000,26.17250466,2
ca_cave,60,1.63060000,29.64536894,3
ca_cave,61,1.09540000,29.20616373,2
ca_cave,62,1.02480000,28.42534081,2
ca_cave,63,0.69620000,27.80287755,2
ca_cave,64,0.68580000,27.80287755,2
ca_cave,65,1.43600000,26.92582404,2
ca_cave,66,0.62940000,27.65863337,2
ca_cave,67,0.41960000,26.24880950,2
ca_cave,68,1.01920000,26.00000000,2
ca_cave,69,1.27520000,29.00000000,2
ca_cave,70,1.70360000,33.30165161,2
ca_cave,71,1.81740000,30.08321791,2
ca_cave,72,0.50060000,31.89043744,2
ca_cave,73,0.40500000,34.65544690,2
ca_cave,74,1.77140000,30.43945224,6
ca_cave,75,0.35220000,29.73213749,2
ca_cave,76,1.15540000,31.40063694,2
ca_cave,77,1.42440000,32.44264164,4
ca_cave,78,2.35380000,31.62405413,3
ca_cave,79,1.12060000,33.83784863,2
ca_cave,80,2.64900000,37.96874448,4
ca_cave,81,0.86080000,36.05551275,2
ca_cave,82,0.40900000,35.12833614,2
ca_cave,83,2.19280000,36.81034066,4
ca_cave,84,1.75000000,34.00000000,2
ca_cave,85,2.30480000,35.35304040,5
ca_cave,86,1.09820000,38.94868419,2
ca_cave,87,1.75580000,36.40054945,2
ca_cave,88,0.73480000,34.82814953,2
ca_cave,89,2.24460000,36.52386319,4
ca_cave,90,2.00940000,42.04759208,2
ca_cave,91,1.76160000,41.01219331,2
ca_cave,92,2.28120000,42.08318916,3
ca_cave,93,1.44980000,39.00000000,2
ca_cave,94,2.81380000,39.76874374,3
ca_cave,95,3.37900000,39.72710570,5
ca_cave,96,1.47220000,42.10960958,3
ca_cave,97,3.04440000,40.52797254,5
ca_cave,98,2.11620000,37.75566021,4
ca_cave,99,1.99500000,40.07780528,4
ca_cave,100,0.68160000,41.14608122,2
ca_cave,101,1.11360000,45.20978031,3
ca_cave,102,0.71600000,41.14608122,2
ca_cave,103,0.66440000,41.14608122,2
ca_cave,104,1.46360000,44.18929927,4
ca_cave,105,2.21800000,40.41421356,3
ca_cave,106,3.00700000,43.20809626,7
ca_cave,107,1.40960000,43.93176527,2
ca_cave,108,2.22680000,41.63202937,4
ca_cave,109,2.32560000,44.68440284,6
ca_cave,110,3.31340000,48.12075754,6
ca_cave,111,1.00580000,44.32409742,3
ca_cave,112,2.00400000,49.04079934,2
ca_cave,113,2.73660000,47.15123643,3
ca_cave,114,3.04500000,45.29948817,6
ca_cave,115,3.30460000,46.91452747,5
ca_cave,116,2.55880000,47.75848980,4
ca_cave,117,1.68680000,47.70744177,2
ca_cave,118,1.77920000,43.69945687,6
ca_cave,119,5.20820000,46.88986479,5
ca_cave,120,1.30420000,51.47815070,2
ca_cave,121,4.39600000,49.33129091,6
ca_cave,122,1.79780000,48.06401784,3
ca_cave,123,3.66300000,51.52867504,5
ca_cave,124,2.26320000,51.76040949,3
ca_cave,125,2.43480000,49.05559258,3
ca_cave,126,2.58740000,54.15419138,4
ca_cave,127,1.63660000,50.36067977,3
ca_cave,128,3.11720000,49.23477816,7
ca_cave,129,1.23660000,50.96076922,2
ca_cave,130,2.52540000,56.31581803,5
ca_cave,131,3.89980000,53.72925896,7
ca_cave,132,2.64060000,52.72324031,3
ca_cave,133,3.00280000,52.27145926,6
ca_cave,134,5.28160000,55.37272112,10
ca_cave,135,3.25800000,53.45687608,7
ca_cave,136,2.63200000,52.97571295,6
ca_cave,137,3.07580000,51.55101087,5
ca_cave,138,3.30840000,55.51435705,6
ca_cave,139,3.28140000,57.73390688,7
ca_cave,140,5.90640000,53.75563646,8
ca_cave,141,3.49020000,55.94881303,6
ca_cave,142,3.03860000,58.37938423,7
ca_cave,143,4.98920000,56.92367227,8
ca_cave,144,3.02180000,58.11490349,3
ca_cave,145,1.80520000,57.24508713,2
ca_cave,146,6.31960000,59.43430433,5
ca_cave,147,3.10380000,58.73033603,4
ca_cave,148,3.26920000,56.03700769,7
ca_cave,149,1.59900000,55.94640292,2
ca_cave,150,4.71100000,64.01192011,6
ca_cave,151,3.37860000,61.10798350,5
ca_cave,152,3.55240000,61.47588121,5
ca_cave,153,3.00080000,62.60818289,4
ca_cave,154,3.73080000,62.18701081,9
ca_cave,155,5.52060000,62.48624968,7
