Map,Query Number,Time,Distance,Path Length
ca_caverns1,0,1.49600000,7.28010989,2
ca_caverns1,1,0.56300000,5.00000000,2
ca_caverns1,2,0.69280000,4.00000000,2
ca_caverns1,3,1.00640000,7.07106781,2
ca_caverns1,4,0.92700000,5.38516481,2
ca_caverns1,5,0.64320000,5.00000000,2
ca_caverns1,6,0.89280000,7.21110255,2
ca_caverns1,7,0.44560000,4.12310563,2
ca_caverns1,8,0.67580000,6.08276253,2
ca_caverns1,9,0.43940000,6.00000000,2
ca_caverns1,10,0.83060000,11.00000000,2
ca_caverns1,11,1.20100000,8.00000000,2
ca_caverns1,12,1.26460000,9.05538514,2
ca_caverns1,13,0.45120000,9.05538514,2
ca_caverns1,14,0.93920000,8.60232527,2
ca_caverns1,15,1.37480000,8.06225775,2
ca_caverns1,16,1.95320000,9.49697609,4
ca_caverns1,17,0.86840000,9.21954446,2
ca_caverns1,18,0.69000000,8.06225775,2
ca_caverns1,19,0.80580000,8.06225775,2
ca_caverns1,20,1.08400000,13.15294644,2
ca_caverns1,21,0.76540000,12.52996409,2
ca_caverns1,22,1.01820000,12.00000000,2
ca_caverns1,23,0.75680000,12.16552506,2
ca_caverns1,24,0.64200000,11.70469991,2
ca_caverns1,25,0.84640000,15.13274595,2
ca_caverns1,26,0.92040000,13.41640786,2
ca_caverns1,27,1.25940000,12.82509573,3
ca_caverns1,28,0.86100000,12.08304597,2
ca_caverns1,29,0.60720000,14.76482306,2
ca_caverns1,30,1.70260000,17.16151044,3
ca_caverns1,31,1.18600000,18.00000000,2
ca_caverns1,32,1.49380000,16.44919630,3
ca_caverns1,33,1.40680000,15.23154621,2
ca_caverns1,34,1.08440000,16.15549442,2
ca_caverns1,35,0.43540000,19.10497317,2
ca_caverns1,36,1.09120000,17.02938637,2
ca_caverns1,37,0.52360000,16.64331698,2
ca_caverns1,38,0.57140000,15.26433752,2
ca_caverns1,39,1.19800000,15.65247584,2
ca_caverns1,40,1.46060000,20.29267632,3
