Map,Query Number,Time,Distance,Path Length
ca_caverns1_mines,0,0.74060000,4.47213595,2
ca_caverns1_mines,1,0.47280000,6.32455532,2
ca_caverns1_mines,2,0.74560000,4.16227766,3
ca_caverns1_mines,3,0.88360000,4.47213595,2
ca_caverns1_mines,4,0.89300000,4.12310563,2
ca_caverns1_mines,5,0.68020000,5.12310563,3
ca_caverns1_mines,6,0.63460000,5.09901951,2
ca_caverns1_mines,7,0.81860000,6.08276253,2
ca_caverns1_mines,8,0.50960000,5.09901951,2
ca_caverns1_mines,9,0.46560000,6.32455532,2
ca_caverns1_mines,10,0.98880000,9.05538514,2
ca_caverns1_mines,11,1.25900000,9.48683298,3
ca_caverns1_mines,12,0.48700000,9.84885780,2
ca_caverns1_mines,13,1.03700000,11.04536102,2
ca_caverns1_mines,14,1.23100000,8.06225775,2
ca_caverns1_mines,15,1.46700000,8.60232527,2
ca_caverns1_mines,16,0.44440000,8.48528137,2
ca_caverns1_mines,17,1.38140000,11.06225775,3
ca_caverns1_mines,18,1.27820000,10.81665383,2
ca_caverns1_mines,19,0.73780000,8.60232527,2
ca_caverns1_mines,20,1.92380000,14.96403675,5
ca_caverns1_mines,21,1.11260000,13.08304597,3
ca_caverns1_mines,22,0.74920000,15.47213595,3
ca_caverns1_mines,23,0.90460000,12.64911064,2
ca_caverns1_mines,24,0.47520000,15.03329638,2
ca_caverns1_mines,25,0.81120000,13.41640786,2
ca_caverns1_mines,26,1.18000000,11.18033989,2
ca_caverns1_mines,27,1.43960000,14.87278650,3
ca_caverns1_mines,28,0.68540000,14.86606875,2
ca_caverns1_mines,29,0.50880000,11.40175425,2
ca_caverns1_mines,30,0.99660000,17.00000000,2
ca_caverns1_mines,31,1.53840000,15.52417470,2
ca_caverns1_mines,32,1.49980000,16.14218506,3
ca_caverns1_mines,33,0.79340000,18.00000000,2
ca_caverns1_mines,34,2.54960000,17.00006606,5
ca_caverns1_mines,35,1.38520000,17.26267650,2
ca_caverns1_mines,36,1.50040000,17.28947375,5
ca_caverns1_mines,37,1.22320000,17.02938637,2
ca_caverns1_mines,38,1.39660000,15.30665755,3
ca_caverns1_mines,39,1.20680000,17.53565181,3
ca_caverns1_mines,40,0.78120000,22.00000000,2
ca_caverns1_mines,41,1.83700000,22.62018546,4
ca_caverns1_mines,42,1.53960000,21.49409510,3
ca_caverns1_mines,43,0.72680000,20.09975124,2
ca_caverns1_mines,44,0.78860000,18.78829423,2
ca_caverns1_mines,45,1.36500000,20.00000000,2
ca_caverns1_mines,46,2.17400000,18.53811125,3
ca_caverns1_mines,47,0.57840000,23.02172887,2
ca_caverns1_mines,48,1.78080000,20.41846119,3
ca_caverns1_mines,49,1.36920000,20.92744664,4
ca_caverns1_mines,50,2.09800000,23.78353044,4
ca_caverns1_mines,51,0.98020000,25.45584412,2
ca_caverns1_mines,52,1.04660000,24.35159132,2
ca_caverns1_mines,53,1.73140000,23.86606875,3
ca_caverns1_mines,54,1.36020000,23.70653918,2
ca_caverns1_mines,55,1.53760000,25.94224354,2
ca_caverns1_mines,56,1.37020000,24.75883681,2
ca_caverns1_mines,57,1.00460000,25.17935662,2
ca_caverns1_mines,58,1.34520000,25.07987241,2
ca_caverns1_mines,59,1.96180000,24.02775638,3
ca_caverns1_mines,60,1.91420000,27.61988180,6
ca_caverns1_mines,61,1.81260000,29.15475947,2
ca_caverns1_mines,62,2.18140000,28.35480603,3
ca_caverns1_mines,63,2.32760000,26.03218097,4
ca_caverns1_mines,64,2.70540000,27.47538285,4
ca_caverns1_mines,65,1.51720000,26.48683298,3
ca_caverns1_mines,66,2.16440000,26.32513825,4
ca_caverns1_mines,67,1.71600000,26.95546739,4
ca_caverns1_mines,68,1.97500000,28.06225775,3
ca_caverns1_mines,69,1.42680000,28.63564213,2
ca_caverns1_mines,70,2.33380000,29.80090933,4
ca_caverns1_mines,71,1.36260000,33.00000000,2
ca_caverns1_mines,72,1.31660000,33.94112550,2
ca_caverns1_mines,73,2.72160000,34.47725346,4
ca_caverns1_mines,74,1.76660000,30.58584832,4
ca_caverns1_mines,75,1.45240000,31.32091953,2
ca_caverns1_mines,76,2.29740000,33.46806289,4
ca_caverns1_mines,77,2.15080000,31.71986380,5
ca_caverns1_mines,78,1.03960000,32.55764119,2
ca_caverns1_mines,79,1.34920000,32.80243893,2
ca_caverns1_mines,80,2.14280000,35.42356962,4
ca_caverns1_mines,81,2.81700000,34.82751429,5
ca_caverns1_mines,82,4.10100000,37.30291968,5
ca_caverns1_mines,83,2.61280000,38.01768655,4
ca_caverns1_mines,84,3.68200000,32.46357353,7
ca_caverns1_mines,85,2.24640000,36.83602858,4
ca_caverns1_mines,86,2.48460000,36.93011157,5
ca_caverns1_mines,87,2.77960000,34.60555128,5
ca_caverns1_mines,88,3.59040000,32.84560306,7
ca_caverns1_mines,89,2.27760000,37.83672139,5
ca_caverns1_mines,90,2.01600000,41.05252004,3
ca_caverns1_mines,91,3.35040000,37.96739272,6
ca_caverns1_mines,92,1.83500000,38.27571426,3
ca_caverns1_mines,93,2.67420000,40.28125694,3
ca_caverns1_mines,94,2.05080000,42.04759208,2
ca_caverns1_mines,95,1.98680000,40.31128874,2
ca_caverns1_mines,96,3.88440000,38.82637499,6
ca_caverns1_mines,97,2.31900000,39.80804369,5
ca_caverns1_mines,98,2.29860000,39.87278108,3
ca_caverns1_mines,99,4.00260000,40.73159715,7
ca_caverns1_mines,100,2.39300000,44.88029110,4
ca_caverns1_mines,101,5.02560000,41.48195271,6
ca_caverns1_mines,102,5.52080000,42.21720888,8
ca_caverns1_mines,103,1.49860000,45.09988914,2
ca_caverns1_mines,104,5.17020000,43.97549145,6
ca_caverns1_mines,105,2.32000000,41.50492774,7
ca_caverns1_mines,106,5.18560000,43.55392849,8
ca_caverns1_mines,107,3.68720000,43.29446721,4
ca_caverns1_mines,108,6.08360000,40.46815226,5
ca_caverns1_mines,109,3.90920000,43.46693537,6
ca_caverns1_mines,110,6.41160000,44.50554234,6
ca_caverns1_mines,111,5.92200000,46.88979675,7
ca_caverns1_mines,112,7.91920000,47.36526480,5
ca_caverns1_mines,113,2.89660000,44.23199463,5
ca_caverns1_mines,114,5.06020000,45.38808493,8
ca_caverns1_mines,115,1.76220000,49.04079934,2
ca_caverns1_mines,116,1.72840000,51.00980298,2
ca_caverns1_mines,117,2.30600000,48.64139015,5
ca_caverns1_mines,118,3.11740000,45.73636407,7
ca_caverns1_mines,119,9.07980000,47.81570837,7
ca_caverns1_mines,120,2.84580000,51.90895607,5
ca_caverns1_mines,121,1.99720000,53.36708927,3
ca_caverns1_mines,122,2.32200000,50.04705444,4
ca_caverns1_mines,123,2.13360000,51.49477439,4
ca_caverns1_mines,124,7.69360000,51.38733377,7
ca_caverns1_mines,125,5.05440000,49.00324648,6
ca_caverns1_mines,126,3.39240000,53.34431571,6
ca_caverns1_mines,127,5.78980000,50.98413424,5
ca_caverns1_mines,128,5.14960000,49.54263156,8
ca_caverns1_mines,129,3.31840000,49.09502311,5
ca_caverns1_mines,130,5.51760000,53.05957226,7
ca_caverns1_mines,131,3.57040000,54.21727445,5
ca_caverns1_mines,132,5.43340000,55.29758213,6
ca_caverns1_mines,133,5.63600000,57.00315020,4
ca_caverns1_mines,134,2.31920000,55.09890953,4
ca_caverns1_mines,135,6.04360000,54.77702757,8
ca_caverns1_mines,136,3.32220000,53.08113062,7
ca_caverns1_mines,137,2.37580000,56.41286399,3
ca_caverns1_mines,138,6.12100000,56.04127294,5
ca_caverns1_mines,139,3.00080000,53.01561290,4
ca_caverns1_mines,140,3.54860000,59.65117390,5
ca_caverns1_mines,141,4.84600000,57.47337881,7
ca_caverns1_mines,142,6.52260000,56.33720831,8
ca_caverns1_mines,143,2.99260000,57.50615518,5
ca_caverns1_mines,144,1.44940000,60.64400445,3
ca_caverns1_mines,145,4.60720000,57.34614415,5
ca_caverns1_mines,146,2.16200000,59.07650788,3
ca_caverns1_mines,147,5.44360000,59.65646975,7
ca_caverns1_mines,148,2.24240000,59.57769096,3
ca_caverns1_mines,149,4.15740000,58.14457781,5
ca_caverns1_mines,150,7.57140000,59.46843485,8
ca_caverns1_mines,151,5.55200000,60.89404014,6
ca_caverns1_mines,152,5.33440000,60.28946745,10
ca_caverns1_mines,153,7.14620000,61.89210593,10
ca_caverns1_mines,154,3.95740000,63.19239384,6
ca_caverns1_mines,155,4.47540000,62.46223101,8
ca_caverns1_mines,156,2.87240000,60.78007559,5
ca_caverns1_mines,157,6.79120000,65.26473976,7
ca_caverns1_mines,158,4.26640000,62.19680255,5
ca_caverns1_mines,159,2.13940000,62.64183905,2
ca_caverns1_mines,160,5.77120000,68.70498790,6
ca_caverns1_mines,161,2.93300000,66.21178143,2
ca_caverns1_mines,162,2.70600000,65.00480196,3
ca_caverns1_mines,163,2.94880000,67.12009724,4
ca_caverns1_mines,164,5.26080000,66.25275365,8
ca_caverns1_mines,165,5.19420000,65.28048546,7
ca_caverns1_mines,166,8.32780000,67.36811056,9
ca_caverns1_mines,167,2.64280000,64.67800452,3
ca_caverns1_mines,168,6.12020000,65.20044834,6
ca_caverns1_mines,169,3.74460000,64.47766162,7
ca_caverns1_mines,170,3.74100000,68.10912095,6
ca_caverns1_mines,171,5.62180000,70.64103212,7
ca_caverns1_mines,172,5.97960000,70.95571193,6
ca_caverns1_mines,173,2.77320000,68.25454401,3
ca_caverns1_mines,174,5.17460000,68.77947865,9
ca_caverns1_mines,175,7.90320000,69.47314673,10
ca_caverns1_mines,176,5.71220000,70.03147886,9
ca_caverns1_mines,177,7.14840000,69.60824402,7
ca_caverns1_mines,178,4.19860000,69.72865574,5
ca_caverns1_mines,179,6.52380000,70.09533509,9
ca_caverns1_mines,180,4.44080000,74.93661524,6
ca_caverns1_mines,181,5.19800000,74.24509591,6
ca_caverns1_mines,182,2.88680000,74.18790944,3
ca_caverns1_mines,183,4.84720000,72.95696047,9
ca_caverns1_mines,184,6.34880000,72.45688048,8
ca_caverns1_mines,185,3.17080000,74.99688061,6
ca_caverns1_mines,186,4.59720000,70.38758047,8
