Map,Query Number,Time,Distance,Path Length
ca_caverns2prc,0,0.74900000,5.83095189,2
ca_caverns2prc,1,0.90140000,6.00000000,2
ca_caverns2prc,2,0.37600000,5.83095189,2
ca_caverns2prc,3,0.33120000,4.47213595,2
ca_caverns2prc,4,1.16360000,5.83095189,2
ca_caverns2prc,5,0.41720000,4.12310563,2
ca_caverns2prc,6,1.06120000,5.83095189,2
ca_caverns2prc,7,1.00920000,5.38516481,2
ca_caverns2prc,8,0.69380000,7.32455532,3
ca_caverns2prc,9,0.40300000,6.00000000,2
ca_caverns2prc,10,0.42540000,10.29563014,2
ca_caverns2prc,11,0.95960000,8.00000000,2
ca_caverns2prc,12,0.84440000,8.06225775,2
ca_caverns2prc,13,0.30560000,7.61577311,2
ca_caverns2prc,14,0.38680000,8.48528137,2
ca_caverns2prc,15,0.34600000,8.48528137,2
ca_caverns2prc,16,0.33440000,9.21954446,2
ca_caverns2prc,17,1.21640000,8.24621125,2
ca_caverns2prc,18,1.42080000,8.60232527,2
ca_caverns2prc,19,0.80300000,9.21954446,2
ca_caverns2prc,20,1.77300000,13.44717053,4
ca_caverns2prc,21,0.83600000,12.52996409,2
ca_caverns2prc,22,0.84820000,13.45362405,2
ca_caverns2prc,23,1.08160000,13.15294644,2
ca_caverns2prc,24,0.83220000,11.42357483,3
ca_caverns2prc,25,0.32940000,12.64911064,2
ca_caverns2prc,26,0.32120000,13.45362405,2
ca_caverns2prc,27,0.65380000,14.14213562,2
ca_caverns2prc,28,0.90180000,13.67662182,3
ca_caverns2prc,29,1.12440000,11.70469991,2
ca_caverns2prc,30,1.12080000,18.60107524,2
ca_caverns2prc,31,1.44660000,15.67803085,3
ca_caverns2prc,32,1.96180000,16.38516481,4
ca_caverns2prc,33,0.52520000,16.00000000,2
ca_caverns2prc,34,0.66780000,16.03121954,2
ca_caverns2prc,35,1.28860000,17.67115824,4
ca_caverns2prc,36,0.86460000,18.00000000,2
ca_caverns2prc,37,0.37320000,18.02775638,2
ca_caverns2prc,38,1.60380000,16.06225775,3
ca_caverns2prc,39,0.35820000,16.15549442,2
ca_caverns2prc,40,1.31800000,22.63184887,3
ca_caverns2prc,41,2.19200000,20.74768690,5
ca_caverns2prc,42,1.44840000,18.98389833,3
ca_caverns2prc,43,0.40600000,20.51828453,2
ca_caverns2prc,44,0.53600000,23.02172887,2
ca_caverns2prc,45,1.76680000,19.67600819,4
ca_caverns2prc,46,0.50440000,19.69771560,2
ca_caverns2prc,47,0.86860000,21.02379604,2
ca_caverns2prc,48,0.89700000,21.26029163,2
ca_caverns2prc,49,1.58500000,18.40052423,4
ca_caverns2prc,50,0.81360000,26.17250466,2
