Map,Query Number,Time,Distance,Path Length
dr_0_deeproads,0,0.62440000,7.28010989,2
dr_0_deeproads,1,2.00020000,3.16227766,2
dr_0_deeproads,2,0.77800000,7.07106781,2
dr_0_deeproads,3,0.49440000,4.47213595,2
dr_0_deeproads,4,0.38740000,5.00000000,2
dr_0_deeproads,5,1.32300000,6.00000000,2
dr_0_deeproads,6,1.31960000,6.41421356,4
dr_0_deeproads,7,0.29800000,5.65685425,2
dr_0_deeproads,8,0.98520000,5.38516481,2
dr_0_deeproads,9,1.10040000,5.83095189,2
dr_0_deeproads,10,0.83060000,8.54400375,2
dr_0_deeproads,11,0.63200000,10.04987562,2
dr_0_deeproads,12,0.47640000,8.24621125,2
dr_0_deeproads,13,0.49500000,7.81024968,2
dr_0_deeproads,14,0.79880000,10.44030651,2
dr_0_deeproads,15,0.50860000,9.84885780,2
dr_0_deeproads,16,0.85060000,10.81665383,2
dr_0_deeproads,17,0.97560000,11.31370850,2
dr_0_deeproads,18,0.99160000,8.94427191,2
dr_0_deeproads,19,0.42580000,10.19803903,2
dr_0_deeproads,20,0.82900000,12.80624847,2
dr_0_deeproads,21,1.20220000,13.41640786,3
dr_0_deeproads,22,1.06660000,12.16552506,2
dr_0_deeproads,23,1.05000000,12.16552506,2
dr_0_deeproads,24,0.67740000,13.45362405,2
dr_0_deeproads,25,1.47900000,13.72947367,3
dr_0_deeproads,26,0.46180000,12.20655562,2
dr_0_deeproads,27,0.53780000,13.34166406,2
dr_0_deeproads,28,0.41800000,13.00000000,2
dr_0_deeproads,29,1.38860000,15.13274595,2
dr_0_deeproads,30,0.60860000,16.00000000,2
dr_0_deeproads,31,0.99300000,17.02938637,2
dr_0_deeproads,32,1.26620000,19.20937271,2
dr_0_deeproads,33,1.32240000,14.28238563,4
dr_0_deeproads,34,0.57220000,16.03121954,2
dr_0_deeproads,35,2.14320000,18.24828759,2
dr_0_deeproads,36,1.02880000,17.11724277,2
dr_0_deeproads,37,0.80300000,16.76305461,2
dr_0_deeproads,38,0.69120000,16.12451550,2
dr_0_deeproads,39,1.30160000,17.02938637,2
dr_0_deeproads,40,0.98700000,19.23538406,2
dr_0_deeproads,41,1.16820000,22.00000000,2
dr_0_deeproads,42,0.83060000,21.49409510,3
dr_0_deeproads,43,0.62780000,21.18962010,2
dr_0_deeproads,44,0.34740000,19.41648784,2
dr_0_deeproads,45,1.07900000,21.02379604,2
dr_0_deeproads,46,0.34140000,20.88061302,2
dr_0_deeproads,47,0.97300000,20.61552813,2
dr_0_deeproads,48,1.34580000,20.96677147,3
dr_0_deeproads,49,0.92760000,19.84943324,2
dr_0_deeproads,50,1.42740000,24.18677324,2
dr_0_deeproads,51,1.51020000,23.60084744,2
dr_0_deeproads,52,1.25200000,23.70653918,2
dr_0_deeproads,53,1.59160000,25.70992026,2
dr_0_deeproads,54,1.12960000,23.19482701,2
dr_0_deeproads,55,1.48940000,23.70653918,2
dr_0_deeproads,56,0.38300000,27.01851217,2
dr_0_deeproads,57,1.65120000,23.43398113,4
dr_0_deeproads,58,1.32320000,25.49509757,2
dr_0_deeproads,59,1.28780000,22.77221627,4
dr_0_deeproads,60,1.32720000,28.16025568,2
dr_0_deeproads,61,0.39340000,29.00000000,2
dr_0_deeproads,62,0.86760000,26.57066051,2
dr_0_deeproads,63,2.00640000,27.29468813,2
dr_0_deeproads,64,2.05200000,26.37858431,5
dr_0_deeproads,65,1.09920000,29.27456234,2
dr_0_deeproads,66,1.31520000,26.92582404,2
dr_0_deeproads,67,0.37440000,28.01785145,2
dr_0_deeproads,68,1.51040000,26.92597500,3
dr_0_deeproads,69,1.26880000,26.24880950,2
dr_0_deeproads,70,3.43360000,32.63682554,4
dr_0_deeproads,71,0.91740000,30.52964612,3
dr_0_deeproads,72,0.74460000,33.73425559,2
dr_0_deeproads,73,1.48780000,30.41381265,2
dr_0_deeproads,74,1.73660000,31.83948470,4
dr_0_deeproads,75,2.00400000,32.60992997,3
dr_0_deeproads,76,0.81340000,34.23448554,2
dr_0_deeproads,77,1.59180000,31.95309062,2
dr_0_deeproads,78,0.96240000,33.01514804,2
dr_0_deeproads,79,1.31320000,32.89631544,4
dr_0_deeproads,80,1.28820000,38.20994635,2
dr_0_deeproads,81,1.16560000,35.35533906,2
dr_0_deeproads,82,1.39840000,37.12142239,2
dr_0_deeproads,83,0.51980000,35.11409973,2
dr_0_deeproads,84,0.99280000,35.35694588,3
dr_0_deeproads,85,1.16440000,37.48332963,2
dr_0_deeproads,86,1.68100000,34.62277660,3
dr_0_deeproads,87,1.00620000,35.79897746,3
dr_0_deeproads,88,1.22000000,37.64352948,4
dr_0_deeproads,89,0.77340000,37.53664876,2
dr_0_deeproads,90,1.04840000,42.44997055,2
dr_0_deeproads,91,1.54340000,39.42869094,3
dr_0_deeproads,92,1.81660000,41.64399270,4
dr_0_deeproads,93,2.53640000,38.96903356,4
dr_0_deeproads,94,2.92140000,41.09555648,5
dr_0_deeproads,95,2.26980000,37.64311929,6
dr_0_deeproads,96,1.54740000,38.10844684,4
dr_0_deeproads,97,2.51820000,39.92057016,4
dr_0_deeproads,98,1.56540000,37.95671149,4
dr_0_deeproads,99,1.23920000,40.44749683,2
dr_0_deeproads,100,3.39740000,44.65621641,7
dr_0_deeproads,101,1.55060000,42.86796226,3
dr_0_deeproads,102,1.29500000,43.04648650,2
dr_0_deeproads,103,1.76340000,43.41658669,2
dr_0_deeproads,104,1.59560000,45.09988914,2
dr_0_deeproads,105,1.06800000,45.01110974,2
dr_0_deeproads,106,2.09540000,43.24845673,3
