Map,Query Number,Time,Distance,Path Length
dr_primevaltomb,0,0.63220000,4.47213595,2
dr_primevaltomb,1,0.53600000,7.21110255,2
dr_primevaltomb,2,0.50460000,6.08276253,2
dr_primevaltomb,3,1.40540000,7.09901951,3
dr_primevaltomb,4,0.77980000,4.00000000,2
dr_primevaltomb,5,0.90120000,4.00000000,2
dr_primevaltomb,6,0.48560000,6.70820393,2
dr_primevaltomb,7,0.45060000,5.00000000,2
dr_primevaltomb,8,0.37020000,5.09901951,2
dr_primevaltomb,9,0.34860000,6.08276253,2
dr_primevaltomb,10,0.37140000,7.61577311,2
dr_primevaltomb,11,0.64640000,9.21954446,2
dr_primevaltomb,12,1.10500000,8.59524158,3
dr_primevaltomb,13,0.42800000,7.61577311,2
dr_primevaltomb,14,0.39560000,11.18033989,2
dr_primevaltomb,15,0.92460000,8.24621125,2
dr_primevaltomb,16,1.11760000,8.24621125,2
dr_primevaltomb,17,0.79340000,11.40175425,2
dr_primevaltomb,18,0.40380000,8.24621125,2
dr_primevaltomb,19,0.72680000,8.24621125,2
dr_primevaltomb,20,1.38020000,15.00000000,2
dr_primevaltomb,21,0.78660000,12.36931688,2
dr_primevaltomb,22,0.78580000,14.21267040,2
dr_primevaltomb,23,0.95800000,12.08304597,2
dr_primevaltomb,24,0.70700000,14.14213562,2
dr_primevaltomb,25,1.78620000,13.60147051,2
dr_primevaltomb,26,1.28340000,14.00000000,2
dr_primevaltomb,27,1.16840000,14.16227766,4
dr_primevaltomb,28,0.46600000,14.03566885,2
dr_primevaltomb,29,1.57660000,12.43410700,3
dr_primevaltomb,30,0.87120000,18.64911064,3
dr_primevaltomb,31,0.76780000,18.24621125,3
dr_primevaltomb,32,2.19700000,19.26936436,4
dr_primevaltomb,33,0.74240000,18.02775638,2
dr_primevaltomb,34,1.26760000,17.18033989,3
dr_primevaltomb,35,0.96200000,18.24828759,2
dr_primevaltomb,36,0.96360000,14.87639871,3
dr_primevaltomb,37,1.52660000,18.43908891,2
dr_primevaltomb,38,1.65840000,17.46833639,3
dr_primevaltomb,39,1.33020000,17.88854382,2
dr_primevaltomb,40,1.16420000,22.20360331,2
dr_primevaltomb,41,0.41960000,20.61552813,2
dr_primevaltomb,42,2.24800000,22.24483499,5
dr_primevaltomb,43,0.49400000,22.02271555,2
dr_primevaltomb,44,1.53600000,23.08679276,2
dr_primevaltomb,45,2.23700000,21.05149390,4
dr_primevaltomb,46,1.26820000,20.61552813,2
dr_primevaltomb,47,2.13400000,18.41640786,4
dr_primevaltomb,48,1.96760000,21.57427268,3
dr_primevaltomb,49,0.91340000,20.61432102,3
dr_primevaltomb,50,1.64720000,25.75660549,4
dr_primevaltomb,51,2.03540000,25.08318916,3
dr_primevaltomb,52,1.62300000,24.26490547,4
