Map,Query Number,Time,Distance,Path Length
ht_0_hightown_a2,0,0.71460000,4.00000000,2
ht_0_hightown_a2,1,0.40540000,5.00000000,2
ht_0_hightown_a2,2,0.52700000,6.70820393,2
ht_0_hightown_a2,3,0.48840000,4.47213595,2
ht_0_hightown_a2,4,2.05040000,7.33508749,3
ht_0_hightown_a2,5,0.44640000,6.08276253,2
ht_0_hightown_a2,6,0.48860000,4.24264069,2
ht_0_hightown_a2,7,1.50800000,5.65685425,2
ht_0_hightown_a2,8,0.47180000,4.12310563,2
ht_0_hightown_a2,9,0.33940000,4.12310563,2
ht_0_hightown_a2,10,0.79260000,8.24621125,2
ht_0_hightown_a2,11,0.43940000,11.00000000,2
ht_0_hightown_a2,12,0.80460000,11.00000000,2
ht_0_hightown_a2,13,0.46300000,7.81024968,2
ht_0_hightown_a2,14,0.41220000,7.81024968,2
ht_0_hightown_a2,15,0.99400000,11.18033989,2
ht_0_hightown_a2,16,0.50560000,9.00000000,2
ht_0_hightown_a2,17,0.40880000,8.60232527,2
ht_0_hightown_a2,18,0.39740000,9.21954446,2
ht_0_hightown_a2,19,0.89700000,9.21954446,2
ht_0_hightown_a2,20,0.50820000,11.18033989,2
ht_0_hightown_a2,21,0.38260000,14.56021978,2
ht_0_hightown_a2,22,0.88040000,13.03840481,2
ht_0_hightown_a2,23,0.42460000,13.41640786,2
ht_0_hightown_a2,24,0.30480000,13.34166406,2
ht_0_hightown_a2,25,0.75860000,14.14213562,2
ht_0_hightown_a2,26,0.36420000,15.13274595,2
ht_0_hightown_a2,27,1.50280000,15.13814767,3
ht_0_hightown_a2,28,1.34840000,13.03840481,2
ht_0_hightown_a2,29,1.50200000,13.32455532,3
ht_0_hightown_a2,30,0.33460000,18.02775638,2
ht_0_hightown_a2,31,1.07400000,17.91140325,3
ht_0_hightown_a2,32,0.61780000,16.76305461,2
ht_0_hightown_a2,33,1.18640000,14.86606875,2
ht_0_hightown_a2,34,1.27680000,17.02938637,2
ht_0_hightown_a2,35,1.83560000,16.42357483,4
ht_0_hightown_a2,36,0.39620000,16.49242250,2
ht_0_hightown_a2,37,0.82600000,15.53932602,3
ht_0_hightown_a2,38,1.35580000,17.26267650,2
ht_0_hightown_a2,39,0.65280000,18.35755975,2
ht_0_hightown_a2,40,1.07700000,19.23538406,2
ht_0_hightown_a2,41,1.08700000,19.69771560,2
ht_0_hightown_a2,42,1.07980000,20.88061302,2
ht_0_hightown_a2,43,0.66960000,22.00000000,2
ht_0_hightown_a2,44,0.95380000,19.69771560,2
ht_0_hightown_a2,45,2.22020000,20.28217583,3
ht_0_hightown_a2,46,0.44720000,22.80350850,2
ht_0_hightown_a2,47,0.39380000,20.61552813,2
ht_0_hightown_a2,48,0.59300000,19.31320792,2
ht_0_hightown_a2,49,1.43360000,21.21320344,2
ht_0_hightown_a2,50,1.15000000,25.07987241,2
ht_0_hightown_a2,51,0.94600000,24.33105012,2
ht_0_hightown_a2,52,1.53900000,21.91040781,4
ht_0_hightown_a2,53,1.16420000,25.00000000,2
ht_0_hightown_a2,54,1.49240000,24.08318916,2
ht_0_hightown_a2,55,0.61960000,27.58622845,2
ht_0_hightown_a2,56,0.89320000,24.83948470,2
ht_0_hightown_a2,57,0.97660000,24.00000000,2
ht_0_hightown_a2,58,0.61200000,25.96150997,2
ht_0_hightown_a2,59,1.99700000,25.61134848,3
ht_0_hightown_a2,60,0.39000000,27.89265136,2
ht_0_hightown_a2,61,1.01080000,29.17618695,3
ht_0_hightown_a2,62,1.47820000,29.43206501,3
ht_0_hightown_a2,63,2.67120000,28.84987259,3
ht_0_hightown_a2,64,2.69440000,27.85593629,4
ht_0_hightown_a2,65,1.52860000,29.52964612,2
ht_0_hightown_a2,66,1.14560000,27.34523506,3
ht_0_hightown_a2,67,1.32100000,26.72004515,3
