Map,Query Number,Time,Distance,Path Length
ht_bartrand_n,0,0.67100000,5.83095189,2
ht_bartrand_n,1,0.44260000,5.09901951,2
ht_bartrand_n,2,1.28000000,6.32455532,2
ht_bartrand_n,3,2.44040000,6.00000000,2
ht_bartrand_n,4,0.36780000,5.09901951,2
ht_bartrand_n,5,0.96380000,5.00000000,2
ht_bartrand_n,6,0.43600000,5.00000000,2
ht_bartrand_n,7,0.43800000,6.32455532,2
ht_bartrand_n,8,0.48740000,7.07106781,2
ht_bartrand_n,9,0.42700000,6.40312424,2
ht_bartrand_n,10,1.15280000,9.05538514,2
ht_bartrand_n,11,0.37440000,7.61577311,2
ht_bartrand_n,12,0.41560000,8.54400375,2
ht_bartrand_n,13,0.40520000,8.06225775,2
ht_bartrand_n,14,0.35660000,7.81024968,2
ht_bartrand_n,15,1.65000000,9.95153275,4
ht_bartrand_n,16,0.37220000,9.21954446,2
ht_bartrand_n,17,0.56380000,8.60232527,2
ht_bartrand_n,18,0.36780000,10.04987562,2
ht_bartrand_n,19,0.38660000,8.94427191,2
ht_bartrand_n,20,0.37740000,12.04159458,2
ht_bartrand_n,21,0.95220000,14.03566885,2
ht_bartrand_n,22,0.44380000,13.41640786,2
ht_bartrand_n,23,0.88520000,14.56021978,2
ht_bartrand_n,24,0.41040000,14.56021978,2
ht_bartrand_n,25,0.36440000,12.52996409,2
ht_bartrand_n,26,0.41620000,12.80624847,2
ht_bartrand_n,27,1.52840000,13.34166406,2
ht_bartrand_n,28,0.76380000,13.00000000,2
ht_bartrand_n,29,0.91820000,12.36931688,2
ht_bartrand_n,30,0.32700000,18.35755975,2
ht_bartrand_n,31,1.08440000,17.80449381,2
ht_bartrand_n,32,2.54920000,14.82687566,4
ht_bartrand_n,33,2.28240000,15.86198436,3
ht_bartrand_n,34,1.87040000,18.80449381,3
ht_bartrand_n,35,1.37020000,19.10497317,2
ht_bartrand_n,36,0.36780000,14.86606875,2
ht_bartrand_n,37,0.33080000,17.46424920,2
ht_bartrand_n,38,1.44880000,15.43504043,3
ht_bartrand_n,39,1.16800000,18.43908891,2
ht_bartrand_n,40,1.31020000,19.81007398,3
ht_bartrand_n,41,1.25140000,22.21954446,3
ht_bartrand_n,42,1.88780000,20.12461180,2
ht_bartrand_n,43,0.68540000,20.00000000,2
ht_bartrand_n,44,1.22180000,19.41648784,2
ht_bartrand_n,45,1.32580000,19.92485885,2
ht_bartrand_n,46,1.57840000,21.02775638,3
ht_bartrand_n,47,7.21100000,22.56670555,4
ht_bartrand_n,48,1.09000000,21.18962010,2
ht_bartrand_n,49,1.84000000,20.64386015,3
ht_bartrand_n,50,1.21460000,26.07680962,2
ht_bartrand_n,51,1.54540000,25.70992026,2
ht_bartrand_n,52,1.69720000,23.61781687,3
ht_bartrand_n,53,0.40240000,25.07987241,2
ht_bartrand_n,54,1.39260000,23.32380758,2
ht_bartrand_n,55,2.26180000,24.51550735,3
ht_bartrand_n,56,1.70120000,23.67253832,4
ht_bartrand_n,57,1.61740000,26.29166806,4
ht_bartrand_n,58,1.28160000,22.74660874,4
ht_bartrand_n,59,1.70560000,25.83271463,4
ht_bartrand_n,60,3.96080000,28.78517996,5
ht_bartrand_n,61,5.34480000,27.45916048,3
ht_bartrand_n,62,2.02600000,26.84857550,3
ht_bartrand_n,63,2.12120000,28.81011897,6
ht_bartrand_n,64,2.22860000,24.35369094,5
ht_bartrand_n,65,1.57240000,29.42014564,5
ht_bartrand_n,66,2.42100000,28.47220505,3
ht_bartrand_n,67,1.99280000,26.38508306,3
ht_bartrand_n,68,1.57640000,27.18974155,3
ht_bartrand_n,69,1.58340000,27.66552734,4
ht_bartrand_n,70,1.67500000,32.73782899,4
ht_bartrand_n,71,1.50360000,31.09780736,3
ht_bartrand_n,72,4.18300000,29.12465521,8
ht_bartrand_n,73,1.84280000,32.67745705,4
ht_bartrand_n,74,1.57880000,32.96365899,3
ht_bartrand_n,75,1.46520000,29.46617956,3
ht_bartrand_n,76,2.44020000,30.56491831,3
ht_bartrand_n,77,1.62680000,32.42859134,3
ht_bartrand_n,78,1.21620000,33.06055051,2
ht_bartrand_n,79,2.18440000,30.51685598,4
ht_bartrand_n,80,3.15020000,34.67506762,6
ht_bartrand_n,81,2.10700000,34.47037997,5
ht_bartrand_n,82,1.22540000,35.01922366,3
ht_bartrand_n,83,2.94400000,33.88752384,4
ht_bartrand_n,84,1.52200000,35.84689666,2
ht_bartrand_n,85,2.34620000,37.71320530,4
ht_bartrand_n,86,1.45100000,34.26728821,4
ht_bartrand_n,87,0.76080000,34.48187930,2
ht_bartrand_n,88,1.25920000,35.44009029,2
ht_bartrand_n,89,3.49860000,34.07106781,5
ht_bartrand_n,90,5.44920000,37.19253472,6
ht_bartrand_n,91,1.73240000,39.78571087,3
ht_bartrand_n,92,1.93720000,40.46309242,3
ht_bartrand_n,93,3.86580000,34.38780929,7
ht_bartrand_n,94,2.71720000,40.43997297,4
ht_bartrand_n,95,3.42260000,38.48242391,3
ht_bartrand_n,96,2.89080000,38.47750241,4
ht_bartrand_n,97,3.19480000,38.58600277,4
ht_bartrand_n,98,3.19120000,37.05166954,9
ht_bartrand_n,99,3.30260000,40.65153672,5
ht_bartrand_n,100,2.72100000,43.73587653,4
ht_bartrand_n,101,4.22940000,40.73961822,10
ht_bartrand_n,102,3.89500000,41.09895252,6
ht_bartrand_n,103,1.83080000,41.35869300,3
ht_bartrand_n,104,2.23100000,41.86201484,5
ht_bartrand_n,105,3.82700000,45.37703422,5
ht_bartrand_n,106,3.80000000,43.07886553,4
ht_bartrand_n,107,1.72160000,44.55386468,4
ht_bartrand_n,108,2.60300000,42.00248440,3
ht_bartrand_n,109,1.19480000,46.18084641,3
ht_bartrand_n,110,1.94480000,45.83547456,4
ht_bartrand_n,111,1.12200000,46.01524666,4
ht_bartrand_n,112,2.38580000,47.07820028,5
ht_bartrand_n,113,2.50820000,47.29563014,3
ht_bartrand_n,114,4.59000000,43.69212250,7
ht_bartrand_n,115,1.80140000,47.81297266,3
ht_bartrand_n,116,2.84180000,47.39707325,5
ht_bartrand_n,117,3.03700000,46.20961211,3
ht_bartrand_n,118,5.04980000,45.19619459,7
ht_bartrand_n,119,3.91320000,47.09423265,5
ht_bartrand_n,120,4.36280000,48.70165956,5
ht_bartrand_n,121,3.65360000,51.16475634,4
ht_bartrand_n,122,4.36180000,49.02628297,7
ht_bartrand_n,123,14.71900000,50.45988575,7
ht_bartrand_n,124,2.64120000,47.45558661,4
ht_bartrand_n,125,2.54460000,49.88591168,4
ht_bartrand_n,126,2.63580000,51.88432242,4
ht_bartrand_n,127,4.03580000,51.21818049,4
ht_bartrand_n,128,2.91680000,51.65874313,6
ht_bartrand_n,129,4.39980000,51.69747192,6
ht_bartrand_n,130,14.14160000,53.18183102,6
ht_bartrand_n,131,5.14180000,53.94008345,4
ht_bartrand_n,132,6.77280000,53.26942008,6
ht_bartrand_n,133,6.24300000,51.92721273,7
ht_bartrand_n,134,3.00900000,51.18499529,6
ht_bartrand_n,135,9.88620000,51.21693660,10
ht_bartrand_n,136,2.09960000,54.40790267,3
ht_bartrand_n,137,4.11340000,54.76314207,4
ht_bartrand_n,138,7.38420000,55.16617981,5
ht_bartrand_n,139,2.65520000,55.01208386,4
ht_bartrand_n,140,4.63680000,59.08764176,7
ht_bartrand_n,141,7.64340000,58.54622258,5
ht_bartrand_n,142,3.35480000,57.12805281,4
ht_bartrand_n,143,4.16800000,59.49447123,7
ht_bartrand_n,144,3.69860000,58.60399803,4
ht_bartrand_n,145,4.07340000,56.41604046,4
ht_bartrand_n,146,3.02780000,57.73755338,5
ht_bartrand_n,147,4.48340000,59.95760003,5
ht_bartrand_n,148,5.46100000,57.91909628,6
ht_bartrand_n,149,2.06740000,60.74276927,3
ht_bartrand_n,150,5.52480000,58.65031117,8
ht_bartrand_n,151,4.52720000,58.63095765,8
ht_bartrand_n,152,2.97880000,61.78606582,3
ht_bartrand_n,153,2.95900000,63.19038427,5
ht_bartrand_n,154,5.21940000,64.66145376,5
ht_bartrand_n,155,2.94400000,60.79159578,7
ht_bartrand_n,156,5.00840000,61.07114391,7
ht_bartrand_n,157,5.46260000,61.85396503,4
ht_bartrand_n,158,7.02060000,59.95824222,7
ht_bartrand_n,159,2.83640000,61.34693463,4
ht_bartrand_n,160,6.25980000,62.69737909,8
ht_bartrand_n,161,4.11300000,66.45282535,6
ht_bartrand_n,162,5.46420000,64.38139809,8
ht_bartrand_n,163,4.25440000,65.35662175,5
ht_bartrand_n,164,3.52480000,67.56981646,5
ht_bartrand_n,165,5.23520000,68.04446423,4
ht_bartrand_n,166,4.46100000,66.77399288,4
ht_bartrand_n,167,6.27220000,66.36722884,5
ht_bartrand_n,168,3.92700000,67.79210759,6
ht_bartrand_n,169,4.54800000,66.83010557,5
ht_bartrand_n,170,6.59380000,67.23950612,7
ht_bartrand_n,171,6.72060000,68.23861518,7
ht_bartrand_n,172,8.05140000,70.79889885,4
ht_bartrand_n,173,10.01340000,68.12047349,10
ht_bartrand_n,174,3.76440000,70.00326026,6
ht_bartrand_n,175,9.81340000,69.50646970,6
ht_bartrand_n,176,9.81100000,65.44689523,9
ht_bartrand_n,177,6.01040000,67.31807504,6
ht_bartrand_n,178,6.37380000,69.01711614,8
ht_bartrand_n,179,3.50520000,70.29440369,6
ht_bartrand_n,180,10.08660000,71.35172472,8
ht_bartrand_n,181,5.22380000,72.33755834,7
ht_bartrand_n,182,3.86420000,73.67513027,6
ht_bartrand_n,183,5.88120000,71.34902616,7
ht_bartrand_n,184,4.19620000,71.49913027,4
ht_bartrand_n,185,9.84920000,71.42587773,6
ht_bartrand_n,186,5.89660000,72.88454909,6
ht_bartrand_n,187,6.58080000,70.67229609,6
ht_bartrand_n,188,9.80140000,70.97539041,7
ht_bartrand_n,189,7.09780000,71.24718290,6
ht_bartrand_n,190,10.61340000,77.12028631,6
ht_bartrand_n,191,7.27680000,79.36385150,6
ht_bartrand_n,192,5.07020000,76.72008077,8
ht_bartrand_n,193,8.76240000,73.26608173,8
ht_bartrand_n,194,7.90320000,76.47982849,7
ht_bartrand_n,195,12.10680000,74.61219344,6
ht_bartrand_n,196,9.44820000,75.79649608,7
ht_bartrand_n,197,14.99860000,75.06076399,7
ht_bartrand_n,198,6.41320000,73.08345294,8
ht_bartrand_n,199,11.52540000,75.23506144,6
ht_bartrand_n,200,4.98340000,80.22233408,7
ht_bartrand_n,201,5.38840000,79.31692197,5
ht_bartrand_n,202,7.27560000,84.08748965,7
ht_bartrand_n,203,10.60160000,80.02451727,10
ht_bartrand_n,204,6.64500000,79.69747450,7
ht_bartrand_n,205,7.69840000,83.30160632,5
ht_bartrand_n,206,6.20080000,78.23832142,4
ht_bartrand_n,207,3.96580000,80.33584201,4
ht_bartrand_n,208,6.00460000,79.56248919,9
ht_bartrand_n,209,6.86080000,78.72521184,8
ht_bartrand_n,210,6.42300000,82.51747397,7
ht_bartrand_n,211,5.51340000,80.57439849,8
ht_bartrand_n,212,7.75740000,85.18102467,5
ht_bartrand_n,213,17.01700000,81.70007744,8
ht_bartrand_n,214,5.69180000,83.25894757,5
ht_bartrand_n,215,5.83220000,83.80476956,11
ht_bartrand_n,216,5.86460000,83.18850755,9
ht_bartrand_n,217,9.61940000,85.15591623,12
ht_bartrand_n,218,5.38140000,83.18625046,5
ht_bartrand_n,219,10.92740000,82.07341197,6
ht_bartrand_n,220,6.91380000,87.37143275,12
ht_bartrand_n,221,7.37560000,85.89350240,12
ht_bartrand_n,222,6.36880000,88.35246797,8
ht_bartrand_n,223,17.11380000,85.06001340,8
ht_bartrand_n,224,5.96320000,90.86786939,4
ht_bartrand_n,225,5.75560000,83.71852552,7
ht_bartrand_n,226,7.53900000,84.20036431,7
ht_bartrand_n,227,5.89200000,89.39847083,6
ht_bartrand_n,228,9.16420000,86.27372397,8
ht_bartrand_n,229,4.92740000,87.08074143,8
ht_bartrand_n,230,8.41160000,89.84664591,8
