Map,Query Number,Time,Distance,Path Length
ht_brothel_n,0,0.50440000,5.83095189,2
ht_brothel_n,1,1.01740000,5.00000000,2
ht_brothel_n,2,1.95360000,5.83095189,2
ht_brothel_n,3,0.57420000,6.70820393,2
ht_brothel_n,4,0.39580000,7.21110255,2
ht_brothel_n,5,0.88700000,6.00000000,2
ht_brothel_n,6,1.03600000,7.07106781,2
ht_brothel_n,7,0.75700000,5.38516481,2
ht_brothel_n,8,0.30160000,5.65685425,2
ht_brothel_n,9,0.42040000,6.40312424,2
ht_brothel_n,10,0.98840000,10.77032961,2
ht_brothel_n,11,0.40100000,8.60232527,2
ht_brothel_n,12,1.00700000,8.06225775,2
ht_brothel_n,13,2.01820000,10.07106781,4
ht_brothel_n,14,0.47520000,8.54400375,2
ht_brothel_n,15,0.90300000,7.61577311,2
ht_brothel_n,16,1.02640000,11.31370850,2
ht_brothel_n,17,1.10960000,8.00000000,2
ht_brothel_n,18,0.62720000,8.00000000,2
ht_brothel_n,19,0.70720000,7.61577311,2
ht_brothel_n,20,0.44380000,15.03329638,2
ht_brothel_n,21,0.78240000,12.00000000,2
ht_brothel_n,22,0.93280000,12.72865690,4
ht_brothel_n,23,1.24280000,15.03329638,2
ht_brothel_n,24,0.98720000,12.04159458,2
ht_brothel_n,25,0.89680000,14.37588089,3
ht_brothel_n,26,0.59360000,12.86795680,3
ht_brothel_n,27,4.13220000,12.72792206,2
ht_brothel_n,28,0.42500000,14.31782106,2
ht_brothel_n,29,1.26260000,12.52996409,2
ht_brothel_n,30,1.18760000,14.86606875,2
ht_brothel_n,31,1.24960000,14.73887873,4
ht_brothel_n,32,2.78500000,17.00389691,6
ht_brothel_n,33,0.75980000,15.04536102,3
ht_brothel_n,34,0.77660000,16.03121954,2
ht_brothel_n,35,1.06560000,15.29705854,2
ht_brothel_n,36,1.16560000,17.49285568,3
ht_brothel_n,37,1.73080000,18.60555128,4
ht_brothel_n,38,2.05760000,15.76358907,3
ht_brothel_n,39,1.79880000,15.37994046,4
ht_brothel_n,40,2.27460000,21.07106781,3
ht_brothel_n,41,1.89480000,21.35331075,4
ht_brothel_n,42,1.49960000,20.39607805,2
ht_brothel_n,43,1.58440000,20.82694157,4
ht_brothel_n,44,1.92560000,20.68002143,3
ht_brothel_n,45,1.84460000,21.42751891,4
ht_brothel_n,46,1.99220000,21.64911064,3
ht_brothel_n,47,1.25920000,23.08679276,2
ht_brothel_n,48,2.45480000,21.14624819,4
ht_brothel_n,49,1.06500000,20.47955672,5
ht_brothel_n,50,1.29420000,23.53720459,2
ht_brothel_n,51,2.13600000,26.36067977,3
ht_brothel_n,52,1.49160000,24.51530134,2
ht_brothel_n,53,1.97640000,24.72100421,4
ht_brothel_n,54,1.84380000,23.82425372,3
ht_brothel_n,55,1.96600000,23.54965676,3
ht_brothel_n,56,1.34700000,25.07987241,2
ht_brothel_n,57,2.84720000,24.58041943,5
ht_brothel_n,58,3.30960000,25.05296253,7
ht_brothel_n,59,1.65040000,25.09964637,3
ht_brothel_n,60,2.78200000,29.02472462,6
ht_brothel_n,61,1.05760000,29.06888371,2
ht_brothel_n,62,1.36820000,28.49638612,3
ht_brothel_n,63,1.96080000,27.30266312,6
ht_brothel_n,64,2.07800000,29.55859293,3
ht_brothel_n,65,1.86900000,28.85631527,4
ht_brothel_n,66,2.11020000,27.93171220,4
ht_brothel_n,67,1.68940000,26.58765930,3
ht_brothel_n,68,0.95200000,27.02498439,3
ht_brothel_n,69,1.11740000,26.00000000,2
ht_brothel_n,70,3.68080000,33.11687097,3
ht_brothel_n,71,3.01600000,31.60494805,4
ht_brothel_n,72,1.17940000,29.21954446,4
ht_brothel_n,73,1.79820000,31.41421356,3
ht_brothel_n,74,1.75220000,33.18324230,5
ht_brothel_n,75,1.67660000,30.09018386,4
ht_brothel_n,76,2.81820000,32.88689042,4
ht_brothel_n,77,3.98220000,30.47220505,4
ht_brothel_n,78,2.51260000,30.29016463,4
ht_brothel_n,79,2.41880000,31.06107502,4
ht_brothel_n,80,2.60000000,34.40265169,5
ht_brothel_n,81,1.36260000,33.57587914,4
ht_brothel_n,82,2.52700000,36.93012576,5
ht_brothel_n,83,1.90300000,36.24880950,3
ht_brothel_n,84,6.28980000,36.11876588,5
ht_brothel_n,85,2.66180000,35.32542906,4
ht_brothel_n,86,2.26080000,34.39834564,5
ht_brothel_n,87,3.78380000,38.05975062,3
ht_brothel_n,88,2.85120000,34.10300205,5
ht_brothel_n,89,2.94680000,36.76955262,3
ht_brothel_n,90,5.56120000,38.18706883,5
ht_brothel_n,91,2.44580000,37.97249594,5
ht_brothel_n,92,3.29440000,38.92589289,6
ht_brothel_n,93,1.56900000,38.26045912,3
ht_brothel_n,94,2.60800000,42.37815763,3
ht_brothel_n,95,3.11300000,39.67365321,4
ht_brothel_n,96,3.78240000,38.75637122,9
ht_brothel_n,97,4.42360000,38.18808239,6
