Map,Query Number,Time,Distance,Path Length
ht_keep_n,0,0.61400000,5.83095189,2
ht_keep_n,1,0.80500000,6.08276253,2
ht_keep_n,2,0.41760000,4.47213595,2
ht_keep_n,3,1.07360000,7.00000000,2
ht_keep_n,4,0.96820000,6.40312424,2
ht_keep_n,5,0.66640000,4.12310563,2
ht_keep_n,6,0.56980000,6.00000000,2
ht_keep_n,7,0.99420000,7.07106781,2
ht_keep_n,8,0.49120000,6.08276253,2
ht_keep_n,9,0.41300000,5.00000000,2
ht_keep_n,10,0.68080000,10.19803903,2
ht_keep_n,11,0.45120000,9.84885780,2
ht_keep_n,12,0.84060000,11.18033989,2
ht_keep_n,13,1.04680000,9.89949494,2
ht_keep_n,14,0.61100000,10.77032961,2
ht_keep_n,15,1.92400000,7.61577311,2
ht_keep_n,16,0.74780000,8.54400375,2
ht_keep_n,17,0.53080000,11.40175425,2
ht_keep_n,18,1.23700000,10.21954446,3
ht_keep_n,19,1.51180000,9.05538514,2
ht_keep_n,20,0.38400000,11.18033989,2
ht_keep_n,21,0.83920000,13.34166406,2
ht_keep_n,22,0.58060000,12.04159458,2
ht_keep_n,23,0.33460000,13.15294644,2
ht_keep_n,24,0.36560000,14.56021978,2
ht_keep_n,25,2.41740000,11.23606798,3
ht_keep_n,26,0.69620000,12.08304597,2
ht_keep_n,27,0.99820000,12.08790906,3
ht_keep_n,28,1.36920000,11.40175425,2
ht_keep_n,29,0.79540000,13.00000000,2
ht_keep_n,30,0.37900000,16.27882060,2
ht_keep_n,31,0.63200000,19.10497317,2
ht_keep_n,32,2.19040000,15.72947367,5
ht_keep_n,33,0.82520000,17.02938637,2
ht_keep_n,34,0.64400000,17.46424920,2
ht_keep_n,35,1.07240000,18.35755975,2
ht_keep_n,36,0.80840000,18.43908891,2
ht_keep_n,37,0.87280000,18.43908891,2
ht_keep_n,38,0.34280000,16.40121947,2
ht_keep_n,39,0.56480000,15.81138830,2
ht_keep_n,40,1.53860000,22.67156810,2
ht_keep_n,41,1.07700000,21.40093456,2
ht_keep_n,42,1.05860000,19.26942008,3
ht_keep_n,43,0.80260000,21.22353501,3
ht_keep_n,44,0.97920000,20.22374842,2
ht_keep_n,45,1.69360000,19.82237931,4
ht_keep_n,46,0.96940000,22.20360331,2
ht_keep_n,47,0.83460000,18.68154169,2
ht_keep_n,48,0.58040000,21.22374842,3
ht_keep_n,49,0.57540000,21.02379604,2
ht_keep_n,50,1.00960000,23.88854382,4
ht_keep_n,51,0.38780000,25.00000000,2
ht_keep_n,52,0.82460000,23.60084744,2
ht_keep_n,53,2.20940000,24.76782894,4
ht_keep_n,54,1.10080000,23.76972865,2
ht_keep_n,55,1.01740000,25.87250742,4
ht_keep_n,56,0.40980000,27.01851217,2
ht_keep_n,57,1.43520000,24.33105012,2
ht_keep_n,58,1.99980000,24.54065923,4
ht_keep_n,59,0.80900000,23.40939982,2
ht_keep_n,60,1.63300000,27.29468813,2
ht_keep_n,61,1.27180000,29.15475947,2
ht_keep_n,62,1.41680000,26.45857294,4
ht_keep_n,63,1.11000000,28.42534081,3
ht_keep_n,64,1.87600000,25.72330601,3
ht_keep_n,65,0.57240000,30.06659276,2
ht_keep_n,66,1.29240000,29.06888371,2
ht_keep_n,67,1.91140000,26.56993007,3
ht_keep_n,68,0.90800000,27.20294102,2
ht_keep_n,69,0.57600000,29.29111016,3
ht_keep_n,70,0.84700000,32.75667871,2
ht_keep_n,71,1.58460000,35.07034541,4
ht_keep_n,72,1.41400000,31.48138042,3
ht_keep_n,73,2.01900000,32.51610230,4
ht_keep_n,74,3.26920000,30.30808227,5
ht_keep_n,75,1.33560000,29.79176599,3
ht_keep_n,76,1.53300000,33.08318916,3
ht_keep_n,77,2.67720000,33.62123278,5
ht_keep_n,78,1.66760000,32.52364204,3
ht_keep_n,79,0.78900000,32.00000000,2
ht_keep_n,80,1.88360000,35.74813376,3
ht_keep_n,81,1.91120000,35.19482701,3
ht_keep_n,82,1.06300000,33.95585369,2
ht_keep_n,83,3.22160000,36.06865673,5
ht_keep_n,84,2.43180000,38.65128080,3
ht_keep_n,85,1.64260000,34.99831913,3
ht_keep_n,86,1.86400000,35.24209678,4
ht_keep_n,87,1.65080000,37.07283525,4
ht_keep_n,88,1.01260000,36.05551275,2
ht_keep_n,89,1.28380000,35.11409973,2
ht_keep_n,90,0.90360000,38.47076812,2
ht_keep_n,91,1.67840000,39.72017845,4
ht_keep_n,92,3.70280000,40.13219476,4
ht_keep_n,93,1.99280000,39.81693689,4
ht_keep_n,94,2.84760000,39.70726481,4
ht_keep_n,95,1.77500000,39.52775887,5
ht_keep_n,96,1.85860000,40.78901333,4
ht_keep_n,97,2.57560000,41.76955262,4
ht_keep_n,98,1.85560000,39.30596808,3
ht_keep_n,99,1.05680000,42.09502311,3
ht_keep_n,100,2.57580000,43.44400581,5
ht_keep_n,101,1.78180000,44.21523753,4
ht_keep_n,102,4.71900000,44.60555256,5
ht_keep_n,103,1.22800000,41.64939129,3
ht_keep_n,104,1.32200000,42.80186912,2
ht_keep_n,105,1.22000000,42.86442199,3
ht_keep_n,106,1.81300000,43.06292329,3
ht_keep_n,107,4.43700000,41.59352412,7
ht_keep_n,108,2.71080000,43.63891282,5
ht_keep_n,109,1.95460000,42.21999634,3
ht_keep_n,110,1.78040000,46.21513190,4
ht_keep_n,111,3.41960000,44.90470822,6
ht_keep_n,112,2.53880000,48.87934258,3
ht_keep_n,113,3.32680000,47.52856658,6
ht_keep_n,114,2.28400000,47.23367048,5
ht_keep_n,115,2.66000000,50.09378336,5
ht_keep_n,116,1.97900000,47.51416872,5
ht_keep_n,117,1.39920000,47.96715106,3
ht_keep_n,118,3.67440000,44.17155575,4
ht_keep_n,119,1.55180000,46.10883319,4
ht_keep_n,120,1.57440000,49.93943331,3
ht_keep_n,121,3.32240000,52.04329142,7
ht_keep_n,122,1.74760000,54.13274595,3
ht_keep_n,123,0.87640000,53.03772242,2
ht_keep_n,124,1.11780000,51.12481972,4
ht_keep_n,125,2.14600000,49.72791481,5
ht_keep_n,126,1.52440000,51.06304499,3
ht_keep_n,127,1.64620000,50.43467838,3
ht_keep_n,128,1.64060000,49.92995093,2
ht_keep_n,129,2.47500000,54.66780902,5
ht_keep_n,130,3.89160000,52.86412571,4
ht_keep_n,131,4.15560000,54.79029113,6
ht_keep_n,132,1.83880000,52.67028904,3
ht_keep_n,133,2.97980000,57.04996879,3
ht_keep_n,134,2.98460000,54.66190379,5
ht_keep_n,135,0.85420000,57.21887800,2
ht_keep_n,136,2.90680000,55.33100644,5
ht_keep_n,137,3.90020000,53.99769889,4
ht_keep_n,138,2.78900000,56.01999201,5
ht_keep_n,139,1.80760000,54.78505426,3
ht_keep_n,140,1.79660000,58.67862538,4
ht_keep_n,141,5.17120000,61.77235127,5
ht_keep_n,142,6.18120000,60.07799639,3
ht_keep_n,143,1.72940000,59.71897012,5
ht_keep_n,144,1.75460000,59.37576687,6
ht_keep_n,145,3.69000000,57.29561028,5
ht_keep_n,146,2.63660000,56.87780550,6
ht_keep_n,147,3.09080000,56.50672011,9
ht_keep_n,148,1.18920000,59.47528438,3
ht_keep_n,149,4.38560000,59.56723693,7
ht_keep_n,150,5.16060000,59.17276036,6
ht_keep_n,151,1.94960000,61.29552266,4
ht_keep_n,152,2.30340000,59.63762878,5
ht_keep_n,153,1.87480000,66.12110102,2
ht_keep_n,154,3.05840000,64.66649299,4
ht_keep_n,155,4.11700000,62.64727221,6
ht_keep_n,156,2.18320000,65.51337466,4
ht_keep_n,157,6.34740000,62.74939138,8
ht_keep_n,158,3.56880000,62.29112595,7
ht_keep_n,159,2.31560000,61.73325310,4
ht_keep_n,160,5.35640000,63.67858991,6
ht_keep_n,161,2.55020000,65.31931870,4
ht_keep_n,162,2.75240000,67.04966185,4
ht_keep_n,163,5.22080000,65.12070821,7
ht_keep_n,164,3.15820000,66.07918371,4
ht_keep_n,165,9.08040000,64.28813037,5
ht_keep_n,166,1.96080000,67.11929678,2
ht_keep_n,167,2.75800000,67.88738864,5
ht_keep_n,168,1.90020000,65.38930270,5
ht_keep_n,169,2.69940000,65.12402897,5
ht_keep_n,170,2.49720000,70.31585524,6
ht_keep_n,171,2.39200000,70.93026184,4
ht_keep_n,172,0.79300000,71.17612688,3
ht_keep_n,173,5.80580000,69.17041265,5
ht_keep_n,174,2.68360000,71.16143230,3
ht_keep_n,175,3.36460000,72.22776459,4
ht_keep_n,176,6.14000000,68.19623001,5
ht_keep_n,177,4.46200000,71.47788573,5
ht_keep_n,178,3.97900000,70.67378141,4
ht_keep_n,179,3.36140000,71.63920417,6
ht_keep_n,180,2.37100000,73.04801351,4
ht_keep_n,181,3.75860000,73.17119420,6
ht_keep_n,182,9.81960000,74.83461784,5
ht_keep_n,183,5.98980000,68.82009560,5
ht_keep_n,184,2.48300000,75.74520680,5
ht_keep_n,185,3.33540000,73.33954146,6
ht_keep_n,186,3.71900000,71.77808479,5
ht_keep_n,187,1.11520000,72.19741994,3
ht_keep_n,188,2.17740000,73.01194343,3
ht_keep_n,189,2.26220000,73.43704787,2
ht_keep_n,190,3.33300000,78.67013053,4
ht_keep_n,191,1.71620000,78.46120873,3
ht_keep_n,192,5.18660000,77.65390869,8
ht_keep_n,193,3.16380000,75.88510258,6
ht_keep_n,194,7.90020000,75.43128241,4
ht_keep_n,195,6.99580000,78.54117651,6
ht_keep_n,196,2.45600000,76.57688105,3
ht_keep_n,197,4.49740000,78.78134742,4
ht_keep_n,198,5.99940000,75.02312679,8
ht_keep_n,199,7.13640000,78.42310770,5
ht_keep_n,200,7.47060000,79.28313787,6
ht_keep_n,201,2.98780000,78.67434671,3
ht_keep_n,202,4.06600000,81.23289200,7
ht_keep_n,203,6.34560000,81.50500650,4
ht_keep_n,204,9.19360000,82.73747895,7
ht_keep_n,205,3.18180000,78.80131400,4
ht_keep_n,206,2.19840000,85.40939982,3
ht_keep_n,207,4.83560000,81.46710470,7
ht_keep_n,208,3.79140000,81.62190562,7
ht_keep_n,209,7.50640000,84.21484940,5
ht_keep_n,210,2.29640000,82.40291947,5
ht_keep_n,211,1.77860000,84.41495114,4
ht_keep_n,212,3.29960000,84.89457899,6
ht_keep_n,213,8.03860000,85.71104218,6
ht_keep_n,214,5.58020000,86.08306570,6
ht_keep_n,215,5.16680000,87.57283039,3
ht_keep_n,216,3.12780000,86.18312481,5
ht_keep_n,217,8.60420000,82.52349955,4
ht_keep_n,218,4.87540000,85.75335821,7
ht_keep_n,219,3.04240000,83.98451456,5
ht_keep_n,220,7.13900000,87.22052164,4
ht_keep_n,221,2.30980000,87.77592554,6
ht_keep_n,222,6.56100000,89.91970249,7
ht_keep_n,223,3.34400000,90.22733703,4
ht_keep_n,224,13.82120000,90.48775577,6
ht_keep_n,225,10.96680000,90.55006609,6
ht_keep_n,226,2.38860000,91.05456747,3
ht_keep_n,227,4.02140000,91.59002870,7
ht_keep_n,228,2.62960000,87.14320654,6
ht_keep_n,229,11.14560000,90.83297568,5
ht_keep_n,230,8.74420000,90.90695639,6
ht_keep_n,231,3.19920000,93.79018116,4
ht_keep_n,232,3.10180000,95.07963959,6
ht_keep_n,233,6.34920000,91.16053453,9
ht_keep_n,234,7.20460000,92.16152210,5
ht_keep_n,235,1.76660000,97.00515450,2
ht_keep_n,236,9.33180000,93.58876229,7
ht_keep_n,237,2.38740000,93.63850512,5
ht_keep_n,238,11.14420000,93.29252849,8
ht_keep_n,239,2.31680000,96.19168307,5
ht_keep_n,240,4.77880000,96.64934940,9
ht_keep_n,241,13.29240000,96.55259875,8
ht_keep_n,242,3.26940000,100.56677093,6
ht_keep_n,243,3.29620000,97.77633207,5
ht_keep_n,244,12.73600000,96.83159531,7
ht_keep_n,245,7.02220000,96.67654264,7
ht_keep_n,246,4.87840000,91.31310798,6
ht_keep_n,247,2.94840000,98.55556297,7
ht_keep_n,248,4.70820000,93.53919806,7
ht_keep_n,249,5.57940000,98.30045967,6
ht_keep_n,250,6.26900000,105.62415940,6
ht_keep_n,251,8.18220000,98.29322181,7
ht_keep_n,252,5.53180000,103.15437818,6
ht_keep_n,253,3.83380000,99.71027198,6
ht_keep_n,254,6.32480000,100.29060907,6
ht_keep_n,255,3.67520000,102.52637910,4
ht_keep_n,256,3.85880000,102.24655258,5
