Map,Query Number,Time,Distance,Path Length
ht_playershouse_n,0,1.18180000,5.06449510,3
ht_playershouse_n,1,0.39820000,5.00000000,2
ht_playershouse_n,2,0.34060000,6.08276253,2
ht_playershouse_n,3,0.42240000,6.00000000,2
ht_playershouse_n,4,0.38480000,5.83095189,2
ht_playershouse_n,5,0.99880000,7.07106781,2
ht_playershouse_n,6,0.41420000,6.70820393,2
ht_playershouse_n,7,0.32080000,5.38516481,2
ht_playershouse_n,8,0.51880000,4.12310563,2
ht_playershouse_n,9,0.46240000,4.12310563,2
ht_playershouse_n,10,1.11780000,8.54400375,2
ht_playershouse_n,11,0.75140000,8.54400375,2
ht_playershouse_n,12,0.35760000,11.18033989,2
ht_playershouse_n,13,0.76480000,8.06225775,2
ht_playershouse_n,14,0.74000000,11.00000000,2
ht_playershouse_n,15,0.72860000,10.77032961,2
ht_playershouse_n,16,0.35240000,7.61577311,2
ht_playershouse_n,17,0.64200000,10.29563014,2
ht_playershouse_n,18,0.55300000,8.24621125,2
ht_playershouse_n,19,0.75900000,7.81024968,2
ht_playershouse_n,20,0.77060000,12.04159458,2
ht_playershouse_n,21,0.44320000,14.00000000,2
ht_playershouse_n,22,1.01740000,13.28142899,3
ht_playershouse_n,23,1.40260000,14.26493030,5
ht_playershouse_n,24,0.64140000,12.16552506,2
ht_playershouse_n,25,0.37660000,12.80624847,2
ht_playershouse_n,26,0.32460000,13.03840481,2
ht_playershouse_n,27,0.43580000,12.04159458,2
ht_playershouse_n,28,1.00680000,12.08304597,2
ht_playershouse_n,29,0.75180000,14.76482306,2
ht_playershouse_n,30,0.56920000,15.62049935,2
ht_playershouse_n,31,0.44980000,17.49285568,2
ht_playershouse_n,32,1.10080000,15.27336030,3
ht_playershouse_n,33,0.73060000,17.20465053,2
ht_playershouse_n,34,1.07500000,16.03121954,2
ht_playershouse_n,35,1.00060000,18.43908891,2
ht_playershouse_n,36,0.93280000,16.16552506,3
ht_playershouse_n,37,0.61660000,16.76305461,2
ht_playershouse_n,38,0.46520000,17.80449381,2
ht_playershouse_n,39,0.42520000,17.46424920,2
ht_playershouse_n,40,0.70300000,20.39607805,2
ht_playershouse_n,41,1.35700000,22.09721835,3
ht_playershouse_n,42,1.07400000,20.97164214,3
ht_playershouse_n,43,1.72080000,19.60276593,4
ht_playershouse_n,44,0.72780000,19.23538406,2
ht_playershouse_n,45,0.90080000,22.67156810,2
ht_playershouse_n,46,0.60780000,20.24845673,2
ht_playershouse_n,47,1.29460000,21.41172018,3
ht_playershouse_n,48,1.04880000,22.00000000,2
ht_playershouse_n,49,0.74900000,21.93171220,2
ht_playershouse_n,50,0.76660000,24.79673512,3
ht_playershouse_n,51,1.72720000,25.18102600,4
ht_playershouse_n,52,1.35380000,24.90748648,4
ht_playershouse_n,53,0.34520000,23.76972865,2
ht_playershouse_n,54,1.22600000,23.93171834,3
ht_playershouse_n,55,1.88900000,23.10335672,5
ht_playershouse_n,56,1.82660000,24.40312424,4
ht_playershouse_n,57,1.56900000,23.10124292,4
ht_playershouse_n,58,0.71700000,22.83271943,3
ht_playershouse_n,59,1.79920000,23.67917630,4
ht_playershouse_n,60,1.22900000,26.41773328,4
ht_playershouse_n,61,1.51980000,28.88245611,4
ht_playershouse_n,62,1.50880000,28.73039987,3
ht_playershouse_n,63,2.56720000,26.48447748,5
ht_playershouse_n,64,1.67040000,31.11824318,3
ht_playershouse_n,65,1.54140000,24.99025510,5
ht_playershouse_n,66,1.71580000,28.92050105,4
ht_playershouse_n,67,1.17980000,29.65375131,3
ht_playershouse_n,68,1.88720000,28.47660803,4
ht_playershouse_n,69,0.90680000,30.27018921,3
ht_playershouse_n,70,2.10360000,33.89273579,6
ht_playershouse_n,71,3.35520000,32.92183036,4
ht_playershouse_n,72,1.97820000,32.17761738,6
ht_playershouse_n,73,1.37220000,33.11269837,3
ht_playershouse_n,74,1.30020000,32.52691193,2
ht_playershouse_n,75,1.41760000,32.62278753,3
ht_playershouse_n,76,1.89720000,30.80891240,4
ht_playershouse_n,77,3.38760000,30.78545191,5
ht_playershouse_n,78,1.31620000,31.81843975,4
ht_playershouse_n,79,2.03660000,33.49045715,3
ht_playershouse_n,80,2.00220000,35.94605374,4
ht_playershouse_n,81,1.90740000,35.98691042,6
ht_playershouse_n,82,1.70820000,34.40203172,3
ht_playershouse_n,83,2.78400000,36.83567074,6
ht_playershouse_n,84,1.36720000,33.09780736,5
ht_playershouse_n,85,0.95660000,34.47548558,4
ht_playershouse_n,86,1.53360000,37.15399816,3
ht_playershouse_n,87,1.37940000,36.82747061,4
ht_playershouse_n,88,2.49520000,35.37836575,7
ht_playershouse_n,89,2.40660000,33.37040646,5
ht_playershouse_n,90,1.53180000,41.42736918,4
ht_playershouse_n,91,1.67420000,41.84165534,6
ht_playershouse_n,92,2.35800000,39.50537253,6
ht_playershouse_n,93,1.05920000,39.42470201,4
ht_playershouse_n,94,1.68660000,40.30495168,4
ht_playershouse_n,95,2.38880000,36.96058762,5
ht_playershouse_n,96,1.72660000,37.83094873,4
ht_playershouse_n,97,1.58480000,41.09159388,6
ht_playershouse_n,98,2.27460000,38.73425992,4
ht_playershouse_n,99,2.51100000,38.22349411,3
ht_playershouse_n,100,3.46980000,44.23717789,6
ht_playershouse_n,101,2.18320000,44.82206821,4
ht_playershouse_n,102,1.14300000,43.31054118,3
ht_playershouse_n,103,1.67760000,45.29077109,4
ht_playershouse_n,104,2.54560000,40.71088324,6
ht_playershouse_n,105,3.00820000,43.13642660,5
ht_playershouse_n,106,2.51960000,44.60480680,5
ht_playershouse_n,107,1.52940000,41.79719482,3
ht_playershouse_n,108,2.04400000,41.62108195,6
ht_playershouse_n,109,5.69540000,44.98259966,7
ht_playershouse_n,110,2.03780000,46.82417740,3
ht_playershouse_n,111,2.76280000,45.85085098,6
ht_playershouse_n,112,2.18940000,45.92437029,7
ht_playershouse_n,113,1.76100000,46.68338983,6
ht_playershouse_n,114,1.60900000,46.27571835,5
ht_playershouse_n,115,2.59780000,45.10272110,7
ht_playershouse_n,116,5.63020000,48.82522067,8
ht_playershouse_n,117,3.41520000,46.47440390,6
ht_playershouse_n,118,6.00940000,43.67373016,8
ht_playershouse_n,119,2.02880000,48.15767249,6
ht_playershouse_n,120,2.19360000,50.54753414,6
ht_playershouse_n,121,2.42300000,51.22091667,4
ht_playershouse_n,122,1.54280000,52.32705712,5
ht_playershouse_n,123,5.84940000,48.51810187,6
ht_playershouse_n,124,1.74820000,49.49896304,3
ht_playershouse_n,125,1.82720000,51.70789335,6
ht_playershouse_n,126,7.04600000,50.63668156,6
ht_playershouse_n,127,6.21480000,52.94564413,6
ht_playershouse_n,128,4.74200000,48.08271726,7
ht_playershouse_n,129,2.90360000,52.14332158,6
ht_playershouse_n,130,3.83760000,56.70144724,6
ht_playershouse_n,131,7.36760000,54.04617477,10
ht_playershouse_n,132,10.42440000,57.09196348,7
ht_playershouse_n,133,3.12760000,53.60788101,3
ht_playershouse_n,134,2.17600000,54.53817174,6
ht_playershouse_n,135,5.72980000,56.73037209,8
ht_playershouse_n,136,2.21680000,54.18831058,6
ht_playershouse_n,137,2.55100000,54.25140770,6
ht_playershouse_n,138,3.82600000,54.26063111,7
ht_playershouse_n,139,6.68120000,54.79907808,7
ht_playershouse_n,140,2.70280000,55.53606595,6
ht_playershouse_n,141,2.80940000,56.51903320,5
ht_playershouse_n,142,4.78240000,58.46438593,4
