Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a2,0,0.69820000,6.70820393,2
lt_0_lowtown_a2,1,0.98800000,5.38516481,2
lt_0_lowtown_a2,2,0.54120000,5.83095189,2
lt_0_lowtown_a2,3,0.76260000,6.32455532,2
lt_0_lowtown_a2,4,0.56740000,5.09901951,2
lt_0_lowtown_a2,5,0.73440000,6.32455532,2
lt_0_lowtown_a2,6,0.88780000,7.07106781,2
lt_0_lowtown_a2,7,0.62760000,7.21110255,2
lt_0_lowtown_a2,8,0.93620000,6.32455532,2
lt_0_lowtown_a2,9,0.47360000,6.40312424,2
lt_0_lowtown_a2,10,0.97540000,8.24621125,2
lt_0_lowtown_a2,11,0.66740000,10.81665383,2
lt_0_lowtown_a2,12,0.47040000,11.40175425,2
lt_0_lowtown_a2,13,0.45020000,8.06225775,2
lt_0_lowtown_a2,14,1.42280000,10.00000000,2
lt_0_lowtown_a2,15,0.67840000,8.06225775,2
lt_0_lowtown_a2,16,0.76920000,10.63014581,2
lt_0_lowtown_a2,17,0.85540000,10.19803903,2
lt_0_lowtown_a2,18,1.32740000,8.06225775,2
lt_0_lowtown_a2,19,1.14680000,11.18033989,2
lt_0_lowtown_a2,20,0.79440000,15.00000000,2
lt_0_lowtown_a2,21,0.71200000,14.31782106,2
lt_0_lowtown_a2,22,1.24340000,13.09901951,3
lt_0_lowtown_a2,23,1.33800000,11.66190379,2
lt_0_lowtown_a2,24,1.25300000,13.34166406,2
lt_0_lowtown_a2,25,0.48980000,13.34166406,2
lt_0_lowtown_a2,26,0.28180000,11.70469991,2
lt_0_lowtown_a2,27,0.87340000,13.89244399,2
lt_0_lowtown_a2,28,0.64980000,14.31782106,2
lt_0_lowtown_a2,29,1.29580000,12.64911064,2
lt_0_lowtown_a2,30,1.36240000,18.38477631,2
lt_0_lowtown_a2,31,1.64000000,16.00000000,3
lt_0_lowtown_a2,32,0.67240000,17.46424920,2
lt_0_lowtown_a2,33,1.07260000,15.52417470,2
lt_0_lowtown_a2,34,1.33160000,17.10213672,3
lt_0_lowtown_a2,35,1.05740000,18.02775638,2
lt_0_lowtown_a2,36,0.63220000,16.40121947,2
lt_0_lowtown_a2,37,0.80540000,18.00000000,2
lt_0_lowtown_a2,38,0.34660000,17.20465053,2
lt_0_lowtown_a2,39,0.37300000,15.26433752,2
lt_0_lowtown_a2,40,1.36420000,20.42661518,4
lt_0_lowtown_a2,41,0.88400000,22.20360331,2
lt_0_lowtown_a2,42,2.02820000,22.93171220,3
lt_0_lowtown_a2,43,2.27560000,19.48683298,4
lt_0_lowtown_a2,44,1.05440000,20.61552813,2
lt_0_lowtown_a2,45,1.97340000,22.67156810,2
lt_0_lowtown_a2,46,0.88800000,20.00000000,2
lt_0_lowtown_a2,47,1.36360000,21.67219397,4
lt_0_lowtown_a2,48,0.89760000,19.23538406,2
lt_0_lowtown_a2,49,1.11900000,20.24845673,2
lt_0_lowtown_a2,50,1.37880000,23.85372088,2
lt_0_lowtown_a2,51,1.20000000,24.81024968,3
lt_0_lowtown_a2,52,1.79100000,26.00000000,3
lt_0_lowtown_a2,53,1.44760000,26.07680962,2
lt_0_lowtown_a2,54,1.11180000,23.70653918,2
lt_0_lowtown_a2,55,1.51620000,24.89945189,4
lt_0_lowtown_a2,56,1.73340000,22.82542442,2
lt_0_lowtown_a2,57,1.81580000,24.19201124,3
lt_0_lowtown_a2,58,1.38240000,23.47125855,3
lt_0_lowtown_a2,59,1.35160000,26.07680962,2
lt_0_lowtown_a2,60,0.72560000,30.26549190,2
lt_0_lowtown_a2,61,1.36520000,29.73213749,2
lt_0_lowtown_a2,62,1.28660000,31.01612484,2
lt_0_lowtown_a2,63,2.21960000,26.58209414,4
lt_0_lowtown_a2,64,1.02860000,25.97925548,3
lt_0_lowtown_a2,65,2.05020000,29.06888371,2
lt_0_lowtown_a2,66,1.30240000,31.01612484,2
lt_0_lowtown_a2,67,1.06160000,30.14962686,2
lt_0_lowtown_a2,68,1.23120000,30.14962686,2
lt_0_lowtown_a2,69,1.63420000,27.62688397,5
lt_0_lowtown_a2,70,1.24080000,33.37663854,2
lt_0_lowtown_a2,71,2.57960000,30.57625654,5
lt_0_lowtown_a2,72,1.41080000,32.01562119,2
lt_0_lowtown_a2,73,0.41020000,31.40063694,2
lt_0_lowtown_a2,74,1.29100000,33.13608305,2
lt_0_lowtown_a2,75,1.41740000,32.20248438,2
lt_0_lowtown_a2,76,1.88320000,32.07114056,4
lt_0_lowtown_a2,77,1.87020000,32.07474738,4
lt_0_lowtown_a2,78,1.27840000,30.46309242,2
lt_0_lowtown_a2,79,4.65920000,34.23448554,2
lt_0_lowtown_a2,80,2.13960000,36.26542718,3
lt_0_lowtown_a2,81,5.53060000,36.68082278,7
lt_0_lowtown_a2,82,4.45540000,36.23534186,2
lt_0_lowtown_a2,83,2.53240000,33.34541834,4
lt_0_lowtown_a2,84,1.73960000,36.16346865,3
lt_0_lowtown_a2,85,1.64820000,34.72605538,3
lt_0_lowtown_a2,86,1.76720000,36.82528834,3
lt_0_lowtown_a2,87,1.86280000,34.58122454,4
lt_0_lowtown_a2,88,1.12400000,37.80211634,2
lt_0_lowtown_a2,89,1.37640000,36.23534186,2
lt_0_lowtown_a2,90,0.94100000,39.05124838,2
lt_0_lowtown_a2,91,1.85720000,39.56008089,2
lt_0_lowtown_a2,92,1.88100000,41.43669871,2
lt_0_lowtown_a2,93,2.05600000,38.11642883,4
lt_0_lowtown_a2,94,2.66760000,38.83735463,5
lt_0_lowtown_a2,95,2.31500000,38.94868419,2
lt_0_lowtown_a2,96,1.88940000,37.70234384,4
lt_0_lowtown_a2,97,1.53220000,39.11611308,3
lt_0_lowtown_a2,98,1.06420000,39.05645482,3
lt_0_lowtown_a2,99,1.39380000,42.00000000,2
lt_0_lowtown_a2,100,3.16480000,42.66422609,6
lt_0_lowtown_a2,101,2.30440000,42.42787794,3
lt_0_lowtown_a2,102,1.70720000,42.64279089,3
lt_0_lowtown_a2,103,2.55000000,43.56604182,2
lt_0_lowtown_a2,104,2.54640000,44.02643560,5
lt_0_lowtown_a2,105,2.69700000,44.04089824,3
lt_0_lowtown_a2,106,3.54560000,44.34254891,4
lt_0_lowtown_a2,107,2.27900000,44.74589139,6
lt_0_lowtown_a2,108,2.00920000,44.60147051,4
lt_0_lowtown_a2,109,1.70240000,43.51350195,3
lt_0_lowtown_a2,110,2.36180000,49.16025568,3
lt_0_lowtown_a2,111,2.92660000,48.66024230,5
lt_0_lowtown_a2,112,1.99140000,47.63402146,2
lt_0_lowtown_a2,113,2.92880000,47.05033953,4
lt_0_lowtown_a2,114,3.10100000,45.93929514,4
lt_0_lowtown_a2,115,2.47940000,47.41454655,5
lt_0_lowtown_a2,116,2.25660000,47.41780692,4
lt_0_lowtown_a2,117,1.31040000,45.29993769,5
lt_0_lowtown_a2,118,2.27160000,45.21766280,4
lt_0_lowtown_a2,119,2.53360000,45.10747374,3
lt_0_lowtown_a2,120,2.31840000,49.73596769,3
lt_0_lowtown_a2,121,1.89360000,49.65176664,4
lt_0_lowtown_a2,122,2.71200000,52.13616195,4
lt_0_lowtown_a2,123,2.11980000,51.56404598,4
lt_0_lowtown_a2,124,0.97640000,48.84669897,2
lt_0_lowtown_a2,125,1.65780000,54.21359099,3
lt_0_lowtown_a2,126,1.84040000,49.54199440,4
lt_0_lowtown_a2,127,1.84980000,50.55416586,3
lt_0_lowtown_a2,128,2.64280000,50.65319054,4
lt_0_lowtown_a2,129,1.85880000,52.78049716,3
lt_0_lowtown_a2,130,3.68260000,52.97890667,4
lt_0_lowtown_a2,131,2.61500000,53.19385930,4
lt_0_lowtown_a2,132,2.26540000,54.41967840,4
lt_0_lowtown_a2,133,3.93160000,56.03894553,5
lt_0_lowtown_a2,134,2.35300000,56.33509311,3
lt_0_lowtown_a2,135,0.98980000,59.03388857,2
lt_0_lowtown_a2,136,2.03680000,52.55473337,2
lt_0_lowtown_a2,137,2.04960000,56.67610438,4
lt_0_lowtown_a2,138,5.35920000,52.28366006,5
lt_0_lowtown_a2,139,2.51580000,54.49519816,3
lt_0_lowtown_a2,140,3.70000000,57.55339338,6
lt_0_lowtown_a2,141,2.19740000,59.89990670,4
lt_0_lowtown_a2,142,2.34560000,58.33863069,4
lt_0_lowtown_a2,143,2.49380000,57.70583626,4
lt_0_lowtown_a2,144,2.53080000,57.03910310,5
lt_0_lowtown_a2,145,2.00460000,56.97929022,4
lt_0_lowtown_a2,146,6.43560000,60.29239456,7
lt_0_lowtown_a2,147,1.77460000,57.00669268,3
lt_0_lowtown_a2,148,1.89700000,58.61545711,3
lt_0_lowtown_a2,149,2.71980000,59.23904451,5
lt_0_lowtown_a2,150,2.29440000,61.62883162,4
lt_0_lowtown_a2,151,1.86860000,61.70203922,3
lt_0_lowtown_a2,152,5.86940000,64.05785033,5
lt_0_lowtown_a2,153,4.11960000,62.81706494,7
lt_0_lowtown_a2,154,6.03920000,62.64834108,6
lt_0_lowtown_a2,155,1.43200000,65.06919394,2
lt_0_lowtown_a2,156,2.82600000,59.32711492,6
lt_0_lowtown_a2,157,2.68460000,60.56790991,3
lt_0_lowtown_a2,158,3.42220000,60.95846970,5
lt_0_lowtown_a2,159,4.05060000,61.92662530,4
lt_0_lowtown_a2,160,2.08280000,64.20294102,3
lt_0_lowtown_a2,161,2.62160000,66.14379805,4
lt_0_lowtown_a2,162,4.57460000,67.64448716,6
lt_0_lowtown_a2,163,4.36360000,65.88388976,8
lt_0_lowtown_a2,164,4.03540000,66.79219670,6
lt_0_lowtown_a2,165,2.49220000,64.56383594,4
lt_0_lowtown_a2,166,2.53640000,66.91252178,4
lt_0_lowtown_a2,167,4.96220000,65.50168264,4
lt_0_lowtown_a2,168,3.68540000,66.60370977,6
lt_0_lowtown_a2,169,4.59980000,64.83413504,8
lt_0_lowtown_a2,170,4.39540000,71.11113190,4
lt_0_lowtown_a2,171,3.55420000,71.02272174,4
lt_0_lowtown_a2,172,3.13520000,69.06205392,4
lt_0_lowtown_a2,173,3.23220000,71.25711293,5
lt_0_lowtown_a2,174,6.00320000,69.86368669,9
lt_0_lowtown_a2,175,2.31740000,69.50342994,4
lt_0_lowtown_a2,176,4.02320000,69.39461323,6
lt_0_lowtown_a2,177,2.97620000,70.42252591,4
lt_0_lowtown_a2,178,2.44700000,70.05948169,3
lt_0_lowtown_a2,179,3.02380000,69.28800498,4
lt_0_lowtown_a2,180,2.69720000,72.29063071,3
lt_0_lowtown_a2,181,3.13560000,71.04111703,3
lt_0_lowtown_a2,182,3.22460000,72.42596355,6
lt_0_lowtown_a2,183,1.93940000,71.85446072,4
lt_0_lowtown_a2,184,1.02020000,77.00649323,2
lt_0_lowtown_a2,185,2.76960000,73.41310032,4
lt_0_lowtown_a2,186,3.17300000,74.70692571,5
lt_0_lowtown_a2,187,4.83040000,75.91422648,7
lt_0_lowtown_a2,188,2.14900000,72.85655178,4
lt_0_lowtown_a2,189,3.08500000,73.09782744,4
lt_0_lowtown_a2,190,2.45280000,75.09709331,3
lt_0_lowtown_a2,191,4.33280000,77.52776929,4
lt_0_lowtown_a2,192,4.85680000,74.77184745,7
lt_0_lowtown_a2,193,4.02000000,75.79435884,4
lt_0_lowtown_a2,194,3.94560000,76.14167619,7
lt_0_lowtown_a2,195,6.19040000,75.34912898,8
lt_0_lowtown_a2,196,3.16720000,81.27048852,3
lt_0_lowtown_a2,197,2.14420000,76.56222872,3
