Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a2_n,0,0.67200000,4.24264069,2
lt_0_lowtown_a2_n,1,0.48680000,7.00000000,2
lt_0_lowtown_a2_n,2,1.64640000,5.38516481,2
lt_0_lowtown_a2_n,3,1.05620000,4.00000000,2
lt_0_lowtown_a2_n,4,0.36400000,7.07106781,2
lt_0_lowtown_a2_n,5,0.33800000,5.09901951,2
lt_0_lowtown_a2_n,6,0.50040000,7.21110255,2
lt_0_lowtown_a2_n,7,0.48780000,5.00000000,2
lt_0_lowtown_a2_n,8,0.34860000,5.09901951,2
lt_0_lowtown_a2_n,9,0.53780000,5.09901951,2
lt_0_lowtown_a2_n,10,0.45340000,10.81665383,2
lt_0_lowtown_a2_n,11,0.91240000,11.04536102,2
lt_0_lowtown_a2_n,12,0.36640000,9.21954446,2
lt_0_lowtown_a2_n,13,0.53800000,7.61577311,2
lt_0_lowtown_a2_n,14,0.56360000,11.40175425,2
lt_0_lowtown_a2_n,15,1.28000000,7.81024968,2
lt_0_lowtown_a2_n,16,0.74780000,8.60232527,2
lt_0_lowtown_a2_n,17,0.43000000,8.48528137,2
lt_0_lowtown_a2_n,18,0.44760000,8.60232527,2
lt_0_lowtown_a2_n,19,0.83900000,7.61577311,2
lt_0_lowtown_a2_n,20,2.20900000,11.15298245,5
lt_0_lowtown_a2_n,21,0.76840000,13.60147051,2
lt_0_lowtown_a2_n,22,0.63200000,14.86606875,2
lt_0_lowtown_a2_n,23,0.98620000,12.20655562,2
lt_0_lowtown_a2_n,24,1.38700000,12.08304597,2
lt_0_lowtown_a2_n,25,0.96060000,14.07716315,3
lt_0_lowtown_a2_n,26,0.54040000,11.66190379,2
lt_0_lowtown_a2_n,27,0.69100000,14.31782106,2
lt_0_lowtown_a2_n,28,0.57000000,11.18033989,2
lt_0_lowtown_a2_n,29,0.79120000,13.34166406,2
lt_0_lowtown_a2_n,30,1.33380000,18.43908891,2
lt_0_lowtown_a2_n,31,0.38820000,18.11077028,2
lt_0_lowtown_a2_n,32,0.96040000,15.62049935,2
lt_0_lowtown_a2_n,33,1.55280000,17.70134478,4
lt_0_lowtown_a2_n,34,1.24300000,19.10497317,2
lt_0_lowtown_a2_n,35,1.07640000,17.02938637,2
lt_0_lowtown_a2_n,36,0.87500000,17.26267650,2
lt_0_lowtown_a2_n,37,1.45740000,18.02775638,2
lt_0_lowtown_a2_n,38,0.95240000,14.86606875,2
lt_0_lowtown_a2_n,39,0.62220000,18.43908891,2
lt_0_lowtown_a2_n,40,1.07220000,20.61552813,2
lt_0_lowtown_a2_n,41,1.50380000,22.09147020,3
lt_0_lowtown_a2_n,42,0.88840000,20.24845673,2
lt_0_lowtown_a2_n,43,0.65740000,21.37755833,2
lt_0_lowtown_a2_n,44,1.08380000,21.93171220,2
lt_0_lowtown_a2_n,45,1.05500000,22.09072203,2
lt_0_lowtown_a2_n,46,1.14900000,22.85159611,3
lt_0_lowtown_a2_n,47,0.58740000,19.23538406,2
lt_0_lowtown_a2_n,48,0.65840000,20.59126028,2
lt_0_lowtown_a2_n,49,0.57560000,22.36067977,2
lt_0_lowtown_a2_n,50,1.00320000,25.49509757,2
