Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a2_n_c,0,0.72300000,5.09901951,2
lt_0_lowtown_a2_n_c,1,0.46240000,5.83095189,2
lt_0_lowtown_a2_n_c,2,0.40060000,6.00000000,2
lt_0_lowtown_a2_n_c,3,0.43300000,6.08276253,2
lt_0_lowtown_a2_n_c,4,1.22640000,7.00000000,2
lt_0_lowtown_a2_n_c,5,1.33860000,7.21110255,2
lt_0_lowtown_a2_n_c,6,0.48840000,4.24264069,2
lt_0_lowtown_a2_n_c,7,0.67240000,5.00000000,2
lt_0_lowtown_a2_n_c,8,0.73900000,7.21110255,2
lt_0_lowtown_a2_n_c,9,0.98980000,5.83095189,2
lt_0_lowtown_a2_n_c,10,0.54160000,9.43398113,2
lt_0_lowtown_a2_n_c,11,0.39720000,8.06225775,2
lt_0_lowtown_a2_n_c,12,0.82220000,9.21954446,2
lt_0_lowtown_a2_n_c,13,1.05860000,10.04987562,2
lt_0_lowtown_a2_n_c,14,0.40340000,10.81665383,2
lt_0_lowtown_a2_n_c,15,0.55320000,7.61577311,2
lt_0_lowtown_a2_n_c,16,0.36680000,11.18033989,2
lt_0_lowtown_a2_n_c,17,0.46880000,10.04987562,2
lt_0_lowtown_a2_n_c,18,0.72240000,11.40175425,2
lt_0_lowtown_a2_n_c,19,0.46220000,8.24621125,2
lt_0_lowtown_a2_n_c,20,0.50200000,14.56021978,2
lt_0_lowtown_a2_n_c,21,0.90160000,11.70469991,2
lt_0_lowtown_a2_n_c,22,0.37420000,13.92838828,2
lt_0_lowtown_a2_n_c,23,1.07640000,12.16552506,2
lt_0_lowtown_a2_n_c,24,0.69080000,12.00000000,2
lt_0_lowtown_a2_n_c,25,1.05280000,12.64911064,2
lt_0_lowtown_a2_n_c,26,1.70440000,12.53169812,3
lt_0_lowtown_a2_n_c,27,0.87820000,11.70469991,2
lt_0_lowtown_a2_n_c,28,1.07000000,13.03840481,2
lt_0_lowtown_a2_n_c,29,1.08680000,14.76482306,2
lt_0_lowtown_a2_n_c,30,0.61860000,17.69180601,2
lt_0_lowtown_a2_n_c,31,0.68480000,15.65247584,2
lt_0_lowtown_a2_n_c,32,0.78780000,15.26433752,2
lt_0_lowtown_a2_n_c,33,1.20900000,15.62049935,2
lt_0_lowtown_a2_n_c,34,1.65260000,18.11077028,2
lt_0_lowtown_a2_n_c,35,0.70900000,17.72004515,2
lt_0_lowtown_a2_n_c,36,0.45700000,19.02629759,2
