Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks,0,1.34920000,5.00000000,2
lt_0_lowtown_docks,1,1.10260000,4.12310563,2
lt_0_lowtown_docks,2,0.52060000,5.09901951,2
lt_0_lowtown_docks,3,0.47800000,6.40312424,2
lt_0_lowtown_docks,4,1.36460000,5.09901951,2
lt_0_lowtown_docks,5,0.47320000,7.21110255,2
lt_0_lowtown_docks,6,0.40840000,6.40312424,2
lt_0_lowtown_docks,7,1.03180000,5.00000000,2
lt_0_lowtown_docks,8,0.89680000,5.38516481,2
lt_0_lowtown_docks,9,0.47220000,5.09901951,2
lt_0_lowtown_docks,10,0.50020000,10.19803903,2
lt_0_lowtown_docks,11,0.53260000,10.77032961,2
lt_0_lowtown_docks,12,0.40140000,10.00000000,2
lt_0_lowtown_docks,13,0.91600000,10.00000000,2
lt_0_lowtown_docks,14,0.47860000,10.00000000,2
lt_0_lowtown_docks,15,0.41060000,11.18033989,2
lt_0_lowtown_docks,16,0.40720000,10.44030651,2
lt_0_lowtown_docks,17,0.43680000,9.48683298,2
lt_0_lowtown_docks,18,0.86580000,10.03952968,3
lt_0_lowtown_docks,19,1.38060000,10.39834564,4
lt_0_lowtown_docks,20,0.94420000,13.03840481,2
lt_0_lowtown_docks,21,1.14180000,14.86606875,2
lt_0_lowtown_docks,22,0.82720000,13.45362405,2
lt_0_lowtown_docks,23,0.84860000,14.86606875,2
lt_0_lowtown_docks,24,0.50300000,12.80624847,2
lt_0_lowtown_docks,25,1.92060000,11.89949494,4
lt_0_lowtown_docks,26,1.19020000,14.14213562,2
lt_0_lowtown_docks,27,1.42220000,14.31782106,2
lt_0_lowtown_docks,28,0.40480000,12.00000000,2
lt_0_lowtown_docks,29,0.48480000,11.18033989,2
lt_0_lowtown_docks,30,0.66020000,18.02775638,2
lt_0_lowtown_docks,31,1.02940000,17.02938637,2
lt_0_lowtown_docks,32,1.05360000,19.20937271,2
lt_0_lowtown_docks,33,0.71320000,18.60107524,2
lt_0_lowtown_docks,34,0.80280000,18.43908891,2
lt_0_lowtown_docks,35,0.55300000,18.02775638,2
lt_0_lowtown_docks,36,0.58300000,16.15549442,2
lt_0_lowtown_docks,37,1.45420000,18.02775638,2
lt_0_lowtown_docks,38,1.04400000,16.03840481,4
lt_0_lowtown_docks,39,0.84900000,15.26433752,2
lt_0_lowtown_docks,40,1.17440000,20.61552813,2
lt_0_lowtown_docks,41,1.24240000,19.23538406,2
lt_0_lowtown_docks,42,2.20020000,20.10654957,4
lt_0_lowtown_docks,43,0.43660000,21.26029163,2
lt_0_lowtown_docks,44,1.67840000,22.09072203,2
lt_0_lowtown_docks,45,1.12560000,21.93171220,2
lt_0_lowtown_docks,46,0.92480000,20.22374842,2
lt_0_lowtown_docks,47,1.37020000,22.20360331,2
lt_0_lowtown_docks,48,0.91340000,18.86796226,2
lt_0_lowtown_docks,49,0.70500000,22.02271555,2
lt_0_lowtown_docks,50,1.71280000,25.91841776,4
lt_0_lowtown_docks,51,1.45920000,24.33105012,2
lt_0_lowtown_docks,52,1.68020000,23.34194205,5
lt_0_lowtown_docks,53,1.27300000,24.18677324,2
lt_0_lowtown_docks,54,1.48680000,26.90724809,2
lt_0_lowtown_docks,55,1.13020000,23.08679276,2
lt_0_lowtown_docks,56,1.15660000,24.75883681,2
lt_0_lowtown_docks,57,1.47520000,24.00945607,3
lt_0_lowtown_docks,58,2.21100000,23.97252734,5
lt_0_lowtown_docks,59,0.87680000,25.49509757,2
lt_0_lowtown_docks,60,1.83460000,28.07133770,2
lt_0_lowtown_docks,61,0.57860000,29.27456234,2
lt_0_lowtown_docks,62,0.74640000,29.42787794,2
lt_0_lowtown_docks,63,1.40160000,29.15475947,2
lt_0_lowtown_docks,64,0.85060000,26.24880950,2
lt_0_lowtown_docks,65,1.18040000,27.73084925,2
lt_0_lowtown_docks,66,1.21140000,27.27250884,3
lt_0_lowtown_docks,67,1.18760000,27.19882144,3
lt_0_lowtown_docks,68,1.59000000,27.01851217,2
lt_0_lowtown_docks,69,0.42380000,28.86173938,2
lt_0_lowtown_docks,70,1.48800000,31.73288209,3
lt_0_lowtown_docks,71,1.21080000,33.13608305,2
lt_0_lowtown_docks,72,1.45100000,31.95309062,2
lt_0_lowtown_docks,73,1.18220000,31.46406925,3
lt_0_lowtown_docks,74,1.66200000,33.39286604,3
lt_0_lowtown_docks,75,2.13180000,32.76683196,3
lt_0_lowtown_docks,76,0.81760000,32.24903099,2
lt_0_lowtown_docks,77,1.72960000,32.50245216,3
lt_0_lowtown_docks,78,0.79920000,29.73977658,3
lt_0_lowtown_docks,79,1.59120000,31.24099870,2
lt_0_lowtown_docks,80,1.91280000,34.92849839,2
lt_0_lowtown_docks,81,0.49960000,37.21558813,2
lt_0_lowtown_docks,82,1.78260000,35.51362621,3
lt_0_lowtown_docks,83,2.20260000,36.30414742,6
lt_0_lowtown_docks,84,0.91840000,34.71310992,2
lt_0_lowtown_docks,85,0.74200000,33.61547263,2
lt_0_lowtown_docks,86,1.94720000,36.81693689,3
lt_0_lowtown_docks,87,1.36440000,33.54101966,2
lt_0_lowtown_docks,88,1.82020000,36.19208246,4
lt_0_lowtown_docks,89,0.75040000,34.48187930,2
lt_0_lowtown_docks,90,1.15120000,40.49691346,2
lt_0_lowtown_docks,91,1.73680000,40.04996879,2
lt_0_lowtown_docks,92,1.16880000,40.31128874,2
lt_0_lowtown_docks,93,1.74600000,38.10226964,3
lt_0_lowtown_docks,94,1.43760000,42.00000000,2
lt_0_lowtown_docks,95,1.73280000,39.91244246,4
lt_0_lowtown_docks,96,0.47180000,37.85498646,2
lt_0_lowtown_docks,97,2.17280000,39.05124838,2
lt_0_lowtown_docks,98,2.23720000,38.55381735,5
lt_0_lowtown_docks,99,2.21040000,42.19004622,2
lt_0_lowtown_docks,100,1.29080000,41.96556168,3
lt_0_lowtown_docks,101,1.39800000,42.15447782,2
lt_0_lowtown_docks,102,1.26700000,43.10452412,2
lt_0_lowtown_docks,103,1.61180000,42.07747755,3
lt_0_lowtown_docks,104,2.04820000,44.12044607,6
lt_0_lowtown_docks,105,1.90300000,44.59674775,4
lt_0_lowtown_docks,106,1.71440000,41.84768176,4
lt_0_lowtown_docks,107,1.78380000,41.48975643,3
lt_0_lowtown_docks,108,1.65040000,46.00000000,2
lt_0_lowtown_docks,109,2.09380000,45.01608892,3
lt_0_lowtown_docks,110,2.64600000,47.12979413,5
lt_0_lowtown_docks,111,2.20420000,48.36760065,4
lt_0_lowtown_docks,112,1.42460000,44.94928666,3
lt_0_lowtown_docks,113,1.59500000,45.18849411,2
lt_0_lowtown_docks,114,1.98040000,45.09148484,4
lt_0_lowtown_docks,115,2.96300000,47.03720246,5
lt_0_lowtown_docks,116,1.57080000,49.04079934,2
lt_0_lowtown_docks,117,1.88920000,46.81879964,2
lt_0_lowtown_docks,118,1.45880000,45.79301257,2
lt_0_lowtown_docks,119,1.91880000,49.01020302,2
lt_0_lowtown_docks,120,1.88940000,51.88448708,2
lt_0_lowtown_docks,121,2.51660000,48.93051353,3
lt_0_lowtown_docks,122,3.18500000,51.62242816,3
lt_0_lowtown_docks,123,2.85700000,53.15072906,2
lt_0_lowtown_docks,124,1.66440000,51.22884931,3
lt_0_lowtown_docks,125,4.14360000,46.58637254,6
lt_0_lowtown_docks,126,4.85320000,48.54120508,3
lt_0_lowtown_docks,127,2.64740000,51.64588185,3
lt_0_lowtown_docks,128,2.06880000,49.76946855,2
lt_0_lowtown_docks,129,1.52520000,55.01922366,3
lt_0_lowtown_docks,130,1.51600000,52.63078947,2
lt_0_lowtown_docks,131,1.41480000,53.00750432,3
lt_0_lowtown_docks,132,2.00820000,55.03758311,3
lt_0_lowtown_docks,133,1.48960000,54.40043458,3
lt_0_lowtown_docks,134,1.95120000,52.98459517,3
lt_0_lowtown_docks,135,1.78800000,56.32051136,2
lt_0_lowtown_docks,136,0.84320000,53.14132102,2
lt_0_lowtown_docks,137,2.81180000,56.40611320,4
lt_0_lowtown_docks,138,5.79300000,54.93123540,5
lt_0_lowtown_docks,139,4.71120000,55.83589592,4
lt_0_lowtown_docks,140,2.04540000,59.00432137,4
lt_0_lowtown_docks,141,2.23800000,58.07468473,3
lt_0_lowtown_docks,142,1.37640000,56.51548460,2
lt_0_lowtown_docks,143,2.77400000,61.59500821,5
lt_0_lowtown_docks,144,6.48240000,57.45318140,6
lt_0_lowtown_docks,145,0.86900000,57.06444201,3
lt_0_lowtown_docks,146,2.56980000,58.64586783,4
lt_0_lowtown_docks,147,2.87280000,58.76736852,3
lt_0_lowtown_docks,148,3.94760000,57.66364126,6
lt_0_lowtown_docks,149,1.98540000,56.50286002,3
lt_0_lowtown_docks,150,6.04860000,61.32900502,5
lt_0_lowtown_docks,151,2.21040000,63.28506933,2
lt_0_lowtown_docks,152,2.67980000,61.70344384,5
lt_0_lowtown_docks,153,2.24120000,62.33487832,5
lt_0_lowtown_docks,154,2.75200000,60.04558027,3
lt_0_lowtown_docks,155,3.99720000,60.77355172,7
lt_0_lowtown_docks,156,2.62700000,62.52836929,3
lt_0_lowtown_docks,157,4.67960000,62.68272905,7
lt_0_lowtown_docks,158,2.32140000,61.81423784,2
lt_0_lowtown_docks,159,4.84860000,60.85524554,4
lt_0_lowtown_docks,160,2.53160000,65.75131315,5
lt_0_lowtown_docks,161,2.23980000,65.86806525,4
lt_0_lowtown_docks,162,4.15260000,63.76741617,5
lt_0_lowtown_docks,163,2.91100000,65.63123122,4
lt_0_lowtown_docks,164,2.54440000,63.95716803,3
lt_0_lowtown_docks,165,1.87720000,66.12238933,3
lt_0_lowtown_docks,166,5.71860000,67.40384815,5
lt_0_lowtown_docks,167,2.21800000,65.75487293,3
lt_0_lowtown_docks,168,1.98580000,68.00735254,2
lt_0_lowtown_docks,169,2.06160000,69.57891769,4
lt_0_lowtown_docks,170,3.43820000,70.96467905,7
lt_0_lowtown_docks,171,2.14000000,69.03002289,4
lt_0_lowtown_docks,172,4.04220000,71.89014955,5
lt_0_lowtown_docks,173,5.69960000,71.08814827,7
lt_0_lowtown_docks,174,3.12320000,71.45670222,3
lt_0_lowtown_docks,175,2.19900000,69.22884297,4
lt_0_lowtown_docks,176,2.83400000,68.49808676,4
lt_0_lowtown_docks,177,2.28920000,68.18269707,5
lt_0_lowtown_docks,178,6.17180000,69.02213797,4
lt_0_lowtown_docks,179,3.46100000,70.08364279,4
lt_0_lowtown_docks,180,4.21060000,75.36270445,5
lt_0_lowtown_docks,181,1.75720000,75.16648189,2
lt_0_lowtown_docks,182,3.36320000,70.72562818,4
lt_0_lowtown_docks,183,3.74780000,74.98047491,5
lt_0_lowtown_docks,184,2.75420000,70.41193222,3
lt_0_lowtown_docks,185,2.17240000,73.14213562,4
lt_0_lowtown_docks,186,3.88020000,74.52262119,6
lt_0_lowtown_docks,187,1.26000000,72.35563511,3
lt_0_lowtown_docks,188,1.27380000,73.11282524,3
lt_0_lowtown_docks,189,4.71360000,70.65989127,3
lt_0_lowtown_docks,190,5.92200000,76.06021502,5
lt_0_lowtown_docks,191,1.61720000,76.79384296,3
lt_0_lowtown_docks,192,1.70620000,78.95673777,3
lt_0_lowtown_docks,193,4.05600000,75.94860687,4
lt_0_lowtown_docks,194,1.82620000,80.60162067,5
lt_0_lowtown_docks,195,5.66720000,76.42873023,7
lt_0_lowtown_docks,196,2.31740000,74.80127387,3
lt_0_lowtown_docks,197,4.57480000,75.68439937,3
lt_0_lowtown_docks,198,3.36400000,77.07820784,5
lt_0_lowtown_docks,199,6.74520000,76.23751545,7
lt_0_lowtown_docks,200,5.12940000,79.43600029,7
lt_0_lowtown_docks,201,1.48520000,82.03507693,3
lt_0_lowtown_docks,202,2.73400000,86.00581376,2
lt_0_lowtown_docks,203,7.37900000,77.46807637,7
lt_0_lowtown_docks,204,1.58580000,83.38465087,2
lt_0_lowtown_docks,205,2.79860000,85.16608385,3
lt_0_lowtown_docks,206,1.77060000,80.00435037,5
lt_0_lowtown_docks,207,2.17960000,82.35975941,4
lt_0_lowtown_docks,208,2.49300000,81.64619162,5
lt_0_lowtown_docks,209,2.93040000,79.91270004,5
lt_0_lowtown_docks,210,7.83040000,83.34664729,7
lt_0_lowtown_docks,211,3.43040000,85.46024954,7
lt_0_lowtown_docks,212,2.40000000,86.16527255,5
lt_0_lowtown_docks,213,7.98640000,84.20744637,4
lt_0_lowtown_docks,214,4.06400000,85.43771385,4
lt_0_lowtown_docks,215,2.83120000,84.78627566,3
lt_0_lowtown_docks,216,3.92000000,85.00000000,5
lt_0_lowtown_docks,217,5.30900000,86.81867671,4
lt_0_lowtown_docks,218,2.24680000,86.34587689,4
lt_0_lowtown_docks,219,1.20400000,88.09161344,4
lt_0_lowtown_docks,220,4.31560000,89.18776739,7
lt_0_lowtown_docks,221,1.76840000,91.02912213,4
lt_0_lowtown_docks,222,5.04400000,87.95122212,7
lt_0_lowtown_docks,223,6.11720000,92.07592675,7
lt_0_lowtown_docks,224,4.41000000,86.92108564,5
lt_0_lowtown_docks,225,4.17380000,87.69856128,5
lt_0_lowtown_docks,226,7.22440000,89.82300829,7
lt_0_lowtown_docks,227,2.17400000,88.74113149,3
lt_0_lowtown_docks,228,8.98180000,86.63695961,9
lt_0_lowtown_docks,229,2.34240000,87.03277808,3
lt_0_lowtown_docks,230,1.72420000,94.14068848,3
lt_0_lowtown_docks,231,3.62740000,91.86685103,5
lt_0_lowtown_docks,232,2.70040000,90.75583478,5
lt_0_lowtown_docks,233,7.53340000,89.98848643,7
lt_0_lowtown_docks,234,1.87340000,91.88497762,3
lt_0_lowtown_docks,235,2.29160000,93.35548124,3
