Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_a3,0,0.50420000,5.65685425,2
lt_0_lowtown_docks_a3,1,0.68360000,5.53731919,3
lt_0_lowtown_docks_a3,2,0.71080000,5.99070478,3
lt_0_lowtown_docks_a3,3,1.25700000,7.07106781,2
lt_0_lowtown_docks_a3,4,0.42580000,5.09901951,2
lt_0_lowtown_docks_a3,5,0.43260000,5.09901951,2
lt_0_lowtown_docks_a3,6,0.46540000,6.08276253,2
lt_0_lowtown_docks_a3,7,0.71240000,6.08276253,2
lt_0_lowtown_docks_a3,8,1.56480000,4.47213595,2
lt_0_lowtown_docks_a3,9,0.41300000,7.07106781,2
lt_0_lowtown_docks_a3,10,0.37420000,11.18033989,2
lt_0_lowtown_docks_a3,11,1.15760000,7.81024968,2
lt_0_lowtown_docks_a3,12,0.47680000,7.81024968,2
lt_0_lowtown_docks_a3,13,0.38820000,7.61577311,2
lt_0_lowtown_docks_a3,14,0.38860000,10.00000000,2
lt_0_lowtown_docks_a3,15,0.63340000,10.00000000,2
lt_0_lowtown_docks_a3,16,0.75020000,10.77032961,2
lt_0_lowtown_docks_a3,17,0.49980000,7.81024968,2
lt_0_lowtown_docks_a3,18,0.99980000,9.48683298,2
lt_0_lowtown_docks_a3,19,0.73620000,10.63014581,2
lt_0_lowtown_docks_a3,20,0.54060000,11.66190379,2
lt_0_lowtown_docks_a3,21,0.35160000,13.45362405,2
lt_0_lowtown_docks_a3,22,0.65920000,14.56021978,2
lt_0_lowtown_docks_a3,23,0.38220000,13.03840481,2
lt_0_lowtown_docks_a3,24,1.00980000,14.53300065,3
lt_0_lowtown_docks_a3,25,0.86340000,12.04159458,2
lt_0_lowtown_docks_a3,26,0.86840000,14.31782106,2
lt_0_lowtown_docks_a3,27,0.72620000,14.86606875,2
lt_0_lowtown_docks_a3,28,0.41780000,13.34166406,2
lt_0_lowtown_docks_a3,29,0.58200000,12.04159458,2
lt_0_lowtown_docks_a3,30,0.38240000,16.00000000,2
lt_0_lowtown_docks_a3,31,0.85240000,19.10497317,2
lt_0_lowtown_docks_a3,32,1.18620000,16.49242250,2
lt_0_lowtown_docks_a3,33,0.77660000,18.43398113,3
lt_0_lowtown_docks_a3,34,0.56640000,16.76305461,2
lt_0_lowtown_docks_a3,35,0.37860000,18.11077028,2
lt_0_lowtown_docks_a3,36,0.95720000,19.00000000,2
lt_0_lowtown_docks_a3,37,0.73140000,16.27882060,2
lt_0_lowtown_docks_a3,38,0.90660000,16.34261755,4
lt_0_lowtown_docks_a3,39,0.58780000,16.00000000,2
lt_0_lowtown_docks_a3,40,0.77840000,21.09502311,2
lt_0_lowtown_docks_a3,41,1.07660000,20.88061302,2
lt_0_lowtown_docks_a3,42,1.34840000,21.50821710,3
lt_0_lowtown_docks_a3,43,0.92320000,18.86796226,2
lt_0_lowtown_docks_a3,44,0.66440000,19.23538406,2
lt_0_lowtown_docks_a3,45,1.27540000,21.95449840,2
lt_0_lowtown_docks_a3,46,0.75360000,20.51828453,2
lt_0_lowtown_docks_a3,47,0.80940000,21.09502311,2
lt_0_lowtown_docks_a3,48,0.52320000,20.39607805,2
lt_0_lowtown_docks_a3,49,1.46640000,21.47866561,3
lt_0_lowtown_docks_a3,50,1.34160000,25.74795788,3
lt_0_lowtown_docks_a3,51,1.91640000,26.87005769,2
lt_0_lowtown_docks_a3,52,1.84320000,22.98586649,4
lt_0_lowtown_docks_a3,53,1.05880000,26.90724809,2
lt_0_lowtown_docks_a3,54,1.15200000,23.08679276,2
lt_0_lowtown_docks_a3,55,1.00660000,24.33105012,2
lt_0_lowtown_docks_a3,56,1.07460000,27.00000000,2
lt_0_lowtown_docks_a3,57,1.03600000,26.46424920,3
lt_0_lowtown_docks_a3,58,1.19380000,22.17599288,3
lt_0_lowtown_docks_a3,59,1.31060000,25.94224354,2
lt_0_lowtown_docks_a3,60,1.14960000,29.41088234,2
lt_0_lowtown_docks_a3,61,0.73060000,28.06312326,3
lt_0_lowtown_docks_a3,62,0.71740000,26.57066051,2
lt_0_lowtown_docks_a3,63,1.47640000,29.52964612,2
lt_0_lowtown_docks_a3,64,1.34240000,27.29468813,2
lt_0_lowtown_docks_a3,65,1.11780000,26.68332813,2
lt_0_lowtown_docks_a3,66,0.79900000,29.15475947,2
lt_0_lowtown_docks_a3,67,0.68660000,27.89265136,2
lt_0_lowtown_docks_a3,68,0.82820000,29.41088234,2
lt_0_lowtown_docks_a3,69,1.36380000,27.18974155,3
lt_0_lowtown_docks_a3,70,0.74880000,34.01470270,2
lt_0_lowtown_docks_a3,71,0.94140000,32.00000000,2
lt_0_lowtown_docks_a3,72,0.94780000,32.75667871,2
lt_0_lowtown_docks_a3,73,0.83760000,31.79412566,3
lt_0_lowtown_docks_a3,74,2.06340000,33.37663854,2
lt_0_lowtown_docks_a3,75,0.67660000,35.05709629,2
lt_0_lowtown_docks_a3,76,1.98360000,33.00000000,2
lt_0_lowtown_docks_a3,77,1.29260000,31.25784106,3
lt_0_lowtown_docks_a3,78,0.72880000,30.59411708,2
